#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0818600.1-p1   -            762 4681at5820           -            517  3.2e-270  895.8  59.8   1   5   1.5e-09   2.7e-07   28.2   1.0     5    31    34    60    30    73 0.83 | transcript=PVP01_0818600.1 | gene=PVP01_0818600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX42, putative | transcript_product=ATP-dependent RNA helicase DDX42, putative | location=PvP01_08_v2:816280-818806(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1329800.1-p1   -            995 4681at5820           -            517   2.4e-16   58.1  32.2   4   4       8.3   1.5e+03   -3.9   3.6   463   514   898   949   884   951 0.77 | transcript=PVP01_1329800.1 | gene=PVP01_1329800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX55, putative | transcript_product=ATP-dependent RNA helicase DDX55, putative | location=PvP01_13_v2:1260717-1263704(-) | protein_length=995 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261800.1-p1   -            791 4681at5820           -            517   4.6e-16   57.2  16.8   1   2     6e-12   1.1e-09   36.2   6.9   154   286   279   427   251   478 0.77 | transcript=PVP01_1261800.1 | gene=PVP01_1261800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase MAK5, putative | transcript_product=ATP-dependent RNA helicase MAK5, putative | location=PvP01_12_v2:2548870-2551662(-) | protein_length=791 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261800.1-p1   -            791 4681at5820           -            517   4.6e-16   57.2  16.8   2   2   5.2e-09   9.4e-07   26.5   2.3   361   453   586   681   550   735 0.83 | transcript=PVP01_1261800.1 | gene=PVP01_1261800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase MAK5, putative | transcript_product=ATP-dependent RNA helicase MAK5, putative | location=PvP01_12_v2:2548870-2551662(-) | protein_length=791 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1029800.1-p1   -            522 4681at5820           -            517   5.8e-16   56.8  21.9   1   1   9.3e-18   1.7e-15   55.3  21.9   150   486   130   496    93   507 0.68 | transcript=PVP01_1029800.1 | gene=PVP01_1029800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX27, putative | transcript_product=ATP-dependent RNA helicase DDX27, putative | location=PvP01_10_v2:1285939-1287889(-) | protein_length=522 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0211100.1-p1   -           1408 4681at5820           -            517   1.3e-13   49.1  11.7   1   4     0.014       2.6    5.2   0.0   154   180   619   645   614   649 0.90 | transcript=PVP01_0211100.1 | gene=PVP01_0211100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA/RNA helicase PSH1, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH1, putative | location=PvP01_02_v2:449693-454241(-) | protein_length=1408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0211100.1-p1   -           1408 4681at5820           -            517   1.3e-13   49.1  11.7   2   4       1.2   2.2e+02   -1.2   0.0   184   205   771   792   766   805 0.80 | transcript=PVP01_0211100.1 | gene=PVP01_0211100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA/RNA helicase PSH1, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH1, putative | location=PvP01_02_v2:449693-454241(-) | protein_length=1408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0211100.1-p1   -           1408 4681at5820           -            517   1.3e-13   49.1  11.7   3   4       5.7     1e+03   -3.4   0.0   244   271   915   943   901   945 0.72 | transcript=PVP01_0211100.1 | gene=PVP01_0211100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA/RNA helicase PSH1, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH1, putative | location=PvP01_02_v2:449693-454241(-) | protein_length=1408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0211100.1-p1   -           1408 4681at5820           -            517   1.3e-13   49.1  11.7   4   4   1.4e-14   2.5e-12   44.9   6.3   341   453  1145  1269  1138  1298 0.75 | transcript=PVP01_0211100.1 | gene=PVP01_0211100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA/RNA helicase PSH1, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH1, putative | location=PvP01_02_v2:449693-454241(-) | protein_length=1408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907400.1-p1   -           1329 4681at5820           -            517     1e-12   46.1   9.3   1   4     0.006       1.1    6.5   0.0   123   179   149   205   123   221 0.82 | transcript=PVP01_0907400.1 | gene=PVP01_0907400 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_09_v2:394370-398359(+) | protein_length=1329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907400.1-p1   -           1329 4681at5820           -            517     1e-12   46.1   9.3   2   4       3.8   6.8e+02   -2.8   0.2   355   395   334   374   330   379 0.80 | transcript=PVP01_0907400.1 | gene=PVP01_0907400 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_09_v2:394370-398359(+) | protein_length=1329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907400.1-p1   -           1329 4681at5820           -            517     1e-12   46.1   9.3   3   4       2.3   4.1e+02   -2.1   0.1   259   284   528   554   496   559 0.66 | transcript=PVP01_0907400.1 | gene=PVP01_0907400 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_09_v2:394370-398359(+) | protein_length=1329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907400.1-p1   -           1329 4681at5820           -            517     1e-12   46.1   9.3   4   4   2.1e-14   3.8e-12   44.3   0.3   344   439   887   978   867  1001 0.90 | transcript=PVP01_0907400.1 | gene=PVP01_0907400 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_09_v2:394370-398359(+) | protein_length=1329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0310700.1-p1   -           1189 4681at5820           -            517   8.2e-09   33.3  12.1   1   2   4.8e-08   8.7e-06   23.3   6.3   113   287   224   423   216   468 0.65 | transcript=PVP01_0310700.1 | gene=PVP01_0310700 | organism=Plasmodium_vivax_P01 | gene_product=DEAD box ATP-dependent RNA helicase, putative | transcript_product=DEAD box ATP-dependent RNA helicase, putative | location=PvP01_03_v2:477928-481497(-) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0310700.1-p1   -           1189 4681at5820           -            517   8.2e-09   33.3  12.1   2   2   5.4e-05    0.0099   13.2   0.3   360   462   831   938   821   972 0.78 | transcript=PVP01_0310700.1 | gene=PVP01_0310700 | organism=Plasmodium_vivax_P01 | gene_product=DEAD box ATP-dependent RNA helicase, putative | transcript_product=DEAD box ATP-dependent RNA helicase, putative | location=PvP01_03_v2:477928-481497(-) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1319500.1-p1   -           1264 4681at5820           -            517   4.5e-07   27.5   8.2   1   2    0.0035      0.63    7.2   0.4   150   306    60   220    45   265 0.61 | transcript=PVP01_1319500.1 | gene=PVP01_1319500 | organism=Plasmodium_vivax_P01 | gene_product=ADP-dependent DNA helicase RecQ, putative | transcript_product=ADP-dependent DNA helicase RecQ, putative | location=PvP01_13_v2:887926-891720(-) | protein_length=1264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1319500.1-p1   -           1264 4681at5820           -            517   4.5e-07   27.5   8.2   2   2   3.8e-08   6.8e-06   23.6   2.3   344   461   283   398   270   437 0.82 | transcript=PVP01_1319500.1 | gene=PVP01_1319500 | organism=Plasmodium_vivax_P01 | gene_product=ADP-dependent DNA helicase RecQ, putative | transcript_product=ADP-dependent DNA helicase RecQ, putative | location=PvP01_13_v2:887926-891720(-) | protein_length=1264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452100.1-p1   -            368 4681at5820           -            517    0.0021   15.4   1.6   1   1   1.6e-05     0.003   14.9   1.6   197   276   166   245   156   271 0.78 | transcript=PVP01_1452100.1 | gene=PVP01_1452100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:2274407-2275674(-) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4681at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4681at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4681at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:35 2026
# [ok]
