#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1216900.1-p1   -            563 4925at5820           -            472  1.2e-292  969.2  37.4   1   2     1e-18     1e-16   59.4   2.7     1    47    32    79    32    87 0.89 | transcript=PVP01_1216900.1 | gene=PVP01_1216900 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 5, putative | transcript_product=calcium-dependent protein kinase 5, putative | location=PvP01_12_v2:704678-706369(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1300900.1-p1   -            296 4925at5820           -            472   3.1e-19   67.6   5.7   1   1     4e-21   3.9e-19   67.3   5.7    94   298    64   270    34   284 0.82 | transcript=PVP01_1300900.1 | gene=PVP01_1300900 | organism=Plasmodium_vivax_P01 | gene_product=NIMA related kinase 3, putative | transcript_product=NIMA related kinase 3, putative | location=PvP01_13_v2:41061-41951(-) | protein_length=296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0118800.1-p1   -            721 4925at5820           -            472   6.2e-18   63.4   1.7   1   1   9.1e-20   8.9e-18   62.9   1.7    47   259   449   666   421   681 0.79 | transcript=PVP01_0118800.1 | gene=PVP01_0118800 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_01_v2:862457-865487(+) | protein_length=721 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262500.1-p1   -           1526 4925at5820           -            472   1.3e-17   62.3   3.6   1   2       2.2   2.1e+02   -1.0   5.8    62   150   465   568   417   584 0.65 | transcript=PVP01_1262500.1 | gene=PVP01_1262500 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | location=PvP01_12_v2:2569991-2574722(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262500.1-p1   -           1526 4925at5820           -            472   1.3e-17   62.3   3.6   2   2   1.4e-19   1.3e-17   62.3   3.6    94   243   565   716   560   739 0.75 | transcript=PVP01_1262500.1 | gene=PVP01_1262500 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | location=PvP01_12_v2:2569991-2574722(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413200.1-p1   -           1029 4925at5820           -            472   4.2e-17   60.6   0.6   1   1   7.3e-19   7.1e-17   59.9   0.6    83   251   798   965   764   976 0.86 | transcript=PVP01_0413200.1 | gene=PVP01_0413200 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_04_v2:537325-540414(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1205500.1-p1   -           1714 4925at5820           -            472     3e-16   57.8   0.1   1   1   5.3e-18   5.1e-16   57.1   0.1   113   319  1489  1708  1470  1713 0.82 | transcript=PVP01_1205500.1 | gene=PVP01_1205500 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_12_v2:211272-216416(-) | protein_length=1714 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945900.1-p1   -           2011 4925at5820           -            472   6.9e-16   56.6   0.4   1   1   1.3e-17   1.3e-15   55.7   0.4    62   249    82   275    62   361 0.80 | transcript=PVP01_0945900.1 | gene=PVP01_0945900 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_09_v2:2001384-2007419(-) | protein_length=2011 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521800.1-p1   -           1610 4925at5820           -            472   7.4e-16   56.5   5.5   1   2     0.043       4.2    4.6   2.8    61   120   651   712   597   717 0.70 | transcript=PVP01_0521800.1 | gene=PVP01_0521800 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related kinase 3, putative, cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=PvP01_05_v2:884331-889289(+) | protein_length=1610 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521800.1-p1   -           1610 4925at5820           -            472   7.4e-16   56.5   5.5   2   2   1.5e-16   1.5e-14   52.2   0.0   149   262   898  1015   890  1023 0.85 | transcript=PVP01_0521800.1 | gene=PVP01_0521800 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related kinase 3, putative, cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=PvP01_05_v2:884331-889289(+) | protein_length=1610 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202200.1-p1   -            423 4925at5820           -            472   7.6e-16   56.5  27.1   1   1   4.1e-17     4e-15   54.1  27.1    85   438    56   398    49   409 0.82 | transcript=PVP01_1202200.1 | gene=PVP01_1202200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_12_v2:92438-95743(+) | protein_length=423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1416900.1-p1   -            341 4925at5820           -            472   4.4e-15   54.0   5.1   1   1   7.7e-17   7.5e-15   53.2   5.1    62   258    35   247    13   257 0.74 | transcript=PVP01_1416900.1 | gene=PVP01_1416900 | organism=Plasmodium_vivax_P01 | gene_product=glycogen synthase kinase-3 alpha, putative | transcript_product=glycogen synthase kinase-3 alpha, putative | location=PvP01_14_v2:737461-740374(-) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0104700.1-p1   -           1251 4925at5820           -            472   6.6e-15   53.4  17.1   1   2   5.8e-14   5.7e-12   43.7   8.2    43   198   718   878   693   888 0.80 | transcript=PVP01_0104700.1 | gene=PVP01_0104700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_01_v2:242786-246541(-) | protein_length=1251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0104700.1-p1   -           1251 4925at5820           -            472   6.6e-15   53.4  17.1   2   2   4.4e-05    0.0043   14.4   1.6   210   250  1094  1134  1039  1228 0.77 | transcript=PVP01_0104700.1 | gene=PVP01_0104700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_01_v2:242786-246541(-) | protein_length=1251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818800.1-p1   -            327 4925at5820           -            472   1.1e-14   52.7   0.7   1   1   1.3e-16   1.3e-14   52.4   0.7   114   299    81   271    44   298 0.85 | transcript=PVP01_0818800.1 | gene=PVP01_0818800 | organism=Plasmodium_vivax_P01 | gene_product=pseudo protein kinase 1, putative | transcript_product=pseudo protein kinase 1, putative | location=PvP01_08_v2:823384-824701(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1264000.1-p1   -           1310 4925at5820           -            472   1.3e-13   49.2   5.9   1   2   2.1e-09   2.1e-07   28.7   2.0   111   185   918   992   914  1006 0.91 | transcript=PVP01_1264000.1 | gene=PVP01_1264000 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:2642004-2645936(+) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1264000.1-p1   -           1310 4925at5820           -            472   1.3e-13   49.2   5.9   2   2   3.5e-07   3.4e-05   21.3   0.1   190   254  1085  1148  1075  1157 0.86 | transcript=PVP01_1264000.1 | gene=PVP01_1264000 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:2642004-2645936(+) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411500.1-p1   -            344 4925at5820           -            472   5.2e-13   47.1   1.0   1   1   7.1e-15     7e-13   46.7   1.0    97   255    84   253    33   287 0.78 | transcript=PVP01_0411500.1 | gene=PVP01_0411500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 7, putative | transcript_product=protein kinase 7, putative | location=PvP01_04_v2:470144-471765(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1125700.1-p1   -           2200 4925at5820           -            472   6.3e-13   46.9   7.7   1   2       4.3   4.2e+02   -2.0  10.2    92   191  1384  1489  1364  1502 0.76 | transcript=PVP01_1125700.1 | gene=PVP01_1125700 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_11_v2:1121056-1127658(+) | protein_length=2200 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1125700.1-p1   -           2200 4925at5820           -            472   6.3e-13   46.9   7.7   2   2   6.5e-15   6.3e-13   46.9   7.7    84   259  1970  2148  1960  2198 0.86 | transcript=PVP01_1125700.1 | gene=PVP01_1125700 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_11_v2:1121056-1127658(+) | protein_length=2200 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822900.1-p1   -           1391 4925at5820           -            472   1.9e-12   45.3   9.3   1   3      0.11        11    3.3   0.3    61   122   802   870   760   948 0.79 | transcript=PVP01_0822900.1 | gene=PVP01_0822900 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 4, putative | transcript_product=cdc2-related protein kinase 4, putative | location=PvP01_08_v2:1029162-1033337(+) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822900.1-p1   -           1391 4925at5820           -            472   1.9e-12   45.3   9.3   2   3   1.6e-10   1.6e-08   32.4   1.4   147   262  1159  1290  1142  1303 0.79 | transcript=PVP01_0822900.1 | gene=PVP01_0822900 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 4, putative | transcript_product=cdc2-related protein kinase 4, putative | location=PvP01_08_v2:1029162-1033337(+) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822900.1-p1   -           1391 4925at5820           -            472   1.9e-12   45.3   9.3   3   3   0.00019     0.019   12.3   0.0   262   316  1321  1380  1306  1386 0.81 | transcript=PVP01_0822900.1 | gene=PVP01_0822900 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 4, putative | transcript_product=cdc2-related protein kinase 4, putative | location=PvP01_08_v2:1029162-1033337(+) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828800.1-p1   -           3003 4925at5820           -            472   3.4e-12   44.5   0.3   1   1   5.2e-14   5.1e-12   43.9   0.3    79   306   191   445   153   458 0.74 | transcript=PVP01_0828800.1 | gene=PVP01_0828800 | organism=Plasmodium_vivax_P01 | gene_product=kinase-related protein PKRP, putative | transcript_product=kinase-related protein PKRP, putative | location=PvP01_08_v2:1236390-1245587(-) | protein_length=3003 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513200.1-p1   -            800 4925at5820           -            472   8.7e-12   43.1  11.7   1   3   8.1e-05    0.0079   13.6   1.7    61   122    39    96     5   119 0.74 | transcript=PVP01_0513200.1 | gene=PVP01_0513200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=PvP01_05_v2:547872-550471(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513200.1-p1   -            800 4925at5820           -            472   8.7e-12   43.1  11.7   2   3   0.00021      0.02   12.2   0.1   144   186   227   269   213   280 0.76 | transcript=PVP01_0513200.1 | gene=PVP01_0513200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=PvP01_05_v2:547872-550471(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513200.1-p1   -            800 4925at5820           -            472   8.7e-12   43.1  11.7   3   3   1.2e-07   1.1e-05   22.9   0.3   189   262   571   646   543   669 0.85 | transcript=PVP01_0513200.1 | gene=PVP01_0513200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=PvP01_05_v2:547872-550471(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724600.1-p1   -           3250 4925at5820           -            472   2.3e-10   38.4   2.1   1   1   4.2e-12     4e-10   37.6   2.1    63   226  2959  3136  2942  3228 0.67 | transcript=PVP01_0724600.1 | gene=PVP01_0724600 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1049322-1059074(-) | protein_length=3250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0207800.1-p1   -            168 4925at5820           -            472   2.7e-10   38.2   5.1   1   1   3.7e-11   3.7e-09   34.5   5.0   345   471    29   163    26   164 0.85 | transcript=PVP01_0207800.1 | gene=PVP01_0207800 | organism=Plasmodium_vivax_P01 | gene_product=centrin-1, putative | transcript_product=centrin-1, putative | location=PvP01_02_v2:328638-329949(-) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0937400.1-p1   -            323 4925at5820           -            472     5e-10   37.3   1.2   1   1   7.2e-12     7e-10   36.8   1.2    61   261    13   222     3   278 0.71 | transcript=PVP01_0937400.1 | gene=PVP01_0937400 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=PvP01_09_v2:1606184-1608602(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1255300.1-p1   -            177 4925at5820           -            472   5.7e-10   37.1   4.6   1   1   7.1e-12   6.9e-10   36.8   4.6   344   471    29   165    18   166 0.83 | transcript=PVP01_1255300.1 | gene=PVP01_1255300 | organism=Plasmodium_vivax_P01 | gene_product=calcineurin subunit B, putative | transcript_product=calcineurin subunit B, putative | location=PvP01_12_v2:2267325-2268756(+) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133600.1-p1   -            801 4925at5820           -            472   7.7e-10   36.7   5.7   1   4       2.3   2.3e+02   -1.1   0.0   101   126    97   123    83   131 0.83 | transcript=PVP01_1133600.1 | gene=PVP01_1133600 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=PvP01_11_v2:1437367-1439772(-) | protein_length=801 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133600.1-p1   -            801 4925at5820           -            472   7.7e-10   36.7   5.7   2   4   1.5e-10   1.4e-08   32.5   0.2    95   228   125   270   100   276 0.78 | transcript=PVP01_1133600.1 | gene=PVP01_1133600 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=PvP01_11_v2:1437367-1439772(-) | protein_length=801 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133600.1-p1   -            801 4925at5820           -            472   7.7e-10   36.7   5.7   3   4     0.039       3.8    4.7   0.1   226   261   474   509   458   551 0.84 | transcript=PVP01_1133600.1 | gene=PVP01_1133600 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=PvP01_11_v2:1437367-1439772(-) | protein_length=801 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133600.1-p1   -            801 4925at5820           -            472   7.7e-10   36.7   5.7   4   4       2.1     2e+02   -1.0   0.0   276   307   556   591   531   594 0.78 | transcript=PVP01_1133600.1 | gene=PVP01_1133600 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=PvP01_11_v2:1437367-1439772(-) | protein_length=801 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0207300.1-p1   -           3308 4925at5820           -            472   1.2e-09   36.1   0.5   1   2   2.5e-09   2.4e-07   28.4   0.5   126   200  3078  3151  3068  3161 0.84 | transcript=PVP01_0207300.1 | gene=PVP01_0207300 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | location=PvP01_02_v2:297497-308722(-) | protein_length=3308 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0207300.1-p1   -           3308 4925at5820           -            472   1.2e-09   36.1   0.5   2   2     0.029       2.9    5.1   0.0   212   243  3207  3239  3199  3249 0.85 | transcript=PVP01_0207300.1 | gene=PVP01_0207300 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | location=PvP01_02_v2:297497-308722(-) | protein_length=3308 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1260400.1-p1   -            168 4925at5820           -            472   1.1e-08   32.9   1.9   1   1   3.7e-10   3.6e-08   31.2   1.7   345   471    29   163    27   164 0.80 | transcript=PVP01_1260400.1 | gene=PVP01_1260400 | organism=Plasmodium_vivax_P01 | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=PvP01_12_v2:2483484-2484244(+) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0612800.1-p1   -            179 4925at5820           -            472   1.4e-08   32.6   8.0   1   2   9.5e-08   9.3e-06   23.2   1.3   407   471    36   101    30   102 0.89 | transcript=PVP01_0612800.1 | gene=PVP01_0612800 | organism=Plasmodium_vivax_P01 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=PvP01_06_v2:553783-555183(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0612800.1-p1   -            179 4925at5820           -            472   1.4e-08   32.6   8.0   2   2   8.5e-05    0.0083   13.5   0.7   413   471   115   174   110   175 0.92 | transcript=PVP01_0612800.1 | gene=PVP01_0612800 | organism=Plasmodium_vivax_P01 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=PvP01_06_v2:553783-555183(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724500.1-p1   -           1177 4925at5820           -            472   6.3e-07   27.1   0.1   1   3     0.027       2.6    5.2   0.0    92   143   817   870   797   878 0.77 | transcript=PVP01_0724500.1 | gene=PVP01_0724500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1044650-1048727(+) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724500.1-p1   -           1177 4925at5820           -            472   6.3e-07   27.1   0.1   2   3     0.014       1.4    6.1   0.0   156   189   908   941   898   963 0.82 | transcript=PVP01_0724500.1 | gene=PVP01_0724500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1044650-1048727(+) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724500.1-p1   -           1177 4925at5820           -            472   6.3e-07   27.1   0.1   3   3   0.00034     0.033   11.5   0.0   213   250  1057  1095  1046  1100 0.82 | transcript=PVP01_0724500.1 | gene=PVP01_0724500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1044650-1048727(+) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909400.1-p1   -            344 4925at5820           -            472     1e-05   23.1  10.1   1   2   0.00021     0.021   12.2   0.4   414   466    67   120    56   126 0.79 | transcript=PVP01_0909400.1 | gene=PVP01_0909400 | organism=Plasmodium_vivax_P01 | gene_product=endoplasmic reticulum-resident calcium binding protein, putative | transcript_product=endoplasmic reticulum-resident calcium binding protein, putative | location=PvP01_09_v2:498657-499691(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909400.1-p1   -            344 4925at5820           -            472     1e-05   23.1  10.1   2   2   3.6e-05    0.0036   14.7   3.8   345   435   140   238   126   255 0.77 | transcript=PVP01_0909400.1 | gene=PVP01_0909400 | organism=Plasmodium_vivax_P01 | gene_product=endoplasmic reticulum-resident calcium binding protein, putative | transcript_product=endoplasmic reticulum-resident calcium binding protein, putative | location=PvP01_09_v2:498657-499691(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215800.1-p1   -            891 4925at5820           -            472     1e-05   23.1   0.1   1   2       3.5   3.4e+02   -1.7   0.0    60   123   404   473   393   483 0.58 | transcript=PVP01_1215800.1 | gene=PVP01_1215800 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:660557-663232(+) | protein_length=891 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215800.1-p1   -            891 4925at5820           -            472     1e-05   23.1   0.1   2   2   3.5e-07   3.4e-05   21.4   0.0   152   259   530   649   488   655 0.77 | transcript=PVP01_1215800.1 | gene=PVP01_1215800 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:660557-663232(+) | protein_length=891 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0727300.1-p1   -            601 4925at5820           -            472   1.2e-05   22.9   3.0   1   3         7   6.8e+02   -2.7   0.3    55   123   224   291   211   299 0.54 | transcript=PVP01_0727300.1 | gene=PVP01_0727300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_07_v2:1160934-1162739(+) | protein_length=601 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0727300.1-p1   -            601 4925at5820           -            472   1.2e-05   22.9   3.0   2   3   8.7e-05    0.0084   13.5   0.4   148   187   381   420   371   439 0.84 | transcript=PVP01_0727300.1 | gene=PVP01_0727300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_07_v2:1160934-1162739(+) | protein_length=601 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0727300.1-p1   -            601 4925at5820           -            472   1.2e-05   22.9   3.0   3   3    0.0016      0.15    9.3   0.0   231   298   494   564   421   576 0.70 | transcript=PVP01_0727300.1 | gene=PVP01_0727300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_07_v2:1160934-1162739(+) | protein_length=601 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0906300.1-p1   -            167 4925at5820           -            472   2.7e-05   21.7   8.1   1   2   2.2e-05    0.0022   15.4   2.7   413   471    21    80     8    81 0.88 | transcript=PVP01_0906300.1 | gene=PVP01_0906300 | organism=Plasmodium_vivax_P01 | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=PvP01_09_v2:359830-360606(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0906300.1-p1   -            167 4925at5820           -            472   2.7e-05   21.7   8.1   2   2    0.0012      0.12    9.7   0.3   414   470    95   152    85   154 0.86 | transcript=PVP01_0906300.1 | gene=PVP01_0906300 | organism=Plasmodium_vivax_P01 | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=PvP01_09_v2:359830-360606(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1030400.1-p1   -            792 4925at5820           -            472   0.00067   17.1   0.0   1   1   1.6e-05    0.0015   15.9   0.0    67   181    34   142    25   158 0.68 | transcript=PVP01_1030400.1 | gene=PVP01_1030400 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_10_v2:1310556-1312934(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4925at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4925at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4925at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:39 2026
# [ok]
