#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1259000.1-p1   -           1222 1841at5820           -            929         0 1701.1  87.0   1   4    1e-148  2.6e-146  487.9  22.5     1   263     1   276     1   283 0.96 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225200.1-p1   -            533 1841at5820           -            929   1.3e-06   25.6   3.0   2   3   2.5e-08   6.4e-06   23.3   1.0    72   189   345   461   340   480 0.79 | transcript=PVP01_1225200.1 | gene=PVP01_1225200 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit B, putative | transcript_product=chromatin assembly factor 1 subunit B, putative | location=PvP01_12_v2:980220-981821(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225200.1-p1   -            533 1841at5820           -            929   1.3e-06   25.6   3.0   3   3      0.31        82   -0.2   0.0   419   473   470   527   456   531 0.78 | transcript=PVP01_1225200.1 | gene=PVP01_1225200 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit B, putative | transcript_product=chromatin assembly factor 1 subunit B, putative | location=PvP01_12_v2:980220-981821(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0312600.1-p1   -            327 1841at5820           -            929   1.8e-06   25.2   1.1   1   4    0.0081       2.1    5.0   0.0   579   616     6    43     2    46 0.88 | transcript=PVP01_0312600.1 | gene=PVP01_0312600 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=PvP01_03_v2:546721-548166(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0312600.1-p1   -            327 1841at5820           -            929   1.8e-06   25.2   1.1   2   4      0.22        57    0.3   0.0   578   624    46    92    43   121 0.83 | transcript=PVP01_0312600.1 | gene=PVP01_0312600 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=PvP01_03_v2:546721-548166(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0312600.1-p1   -            327 1841at5820           -            929   1.8e-06   25.2   1.1   3   4   8.9e-06    0.0023   14.8   0.1   595   661   154   220   127   233 0.89 | transcript=PVP01_0312600.1 | gene=PVP01_0312600 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=PvP01_03_v2:546721-548166(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0312600.1-p1   -            327 1841at5820           -            929   1.8e-06   25.2   1.1   4   4      0.28        74   -0.1   0.0   134   161   271   298   260   322 0.59 | transcript=PVP01_0312600.1 | gene=PVP01_0312600 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=PvP01_03_v2:546721-548166(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1308500.1-p1   -            694 1841at5820           -            929     8e-06   23.0   0.8   1   4    0.0005      0.13    9.0   0.2   576   639     6    69     1    82 0.83 | transcript=PVP01_1308500.1 | gene=PVP01_1308500 | organism=Plasmodium_vivax_P01 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=PvP01_13_v2:396209-398293(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1308500.1-p1   -            694 1841at5820           -            929     8e-06   23.0   0.8   2   4       0.1        27    1.4   0.3   107   154    85   135    71   146 0.81 | transcript=PVP01_1308500.1 | gene=PVP01_1308500 | organism=Plasmodium_vivax_P01 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=PvP01_13_v2:396209-398293(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1308500.1-p1   -            694 1841at5820           -            929     8e-06   23.0   0.8   3   4   3.1e-08     8e-06   23.0   0.8   637   718   261   346   249   371 0.83 | transcript=PVP01_1308500.1 | gene=PVP01_1308500 | organism=Plasmodium_vivax_P01 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=PvP01_13_v2:396209-398293(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1308500.1-p1   -            694 1841at5820           -            929     8e-06   23.0   0.8   4   4       1.3   3.3e+02   -2.2   1.4   574   619   604   651   592   693 0.35 | transcript=PVP01_1308500.1 | gene=PVP01_1308500 | organism=Plasmodium_vivax_P01 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=PvP01_13_v2:396209-398293(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455700.1-p1   -            511 1841at5820           -            929   1.4e-05   22.2   3.7   1   1   1.5e-07   3.9e-05   20.7   3.7   103   238   282   410   273   449 0.78 | transcript=PVP01_1455700.1 | gene=PVP01_1455700 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=PvP01_14_v2:2421554-2423408(+) | protein_length=511 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1210900.1-p1   -            644 1841at5820           -            929   2.3e-05   21.5   4.6   1   3    0.0079       2.1    5.1   0.2   568   622   224   284   218   331 0.75 | transcript=PVP01_1210900.1 | gene=PVP01_1210900 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=PvP01_12_v2:454911-456845(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1210900.1-p1   -            644 1841at5820           -            929   2.3e-05   21.5   4.6   2   3   8.7e-08   2.3e-05   21.5   4.6    72   220   437   578   429   579 0.86 | transcript=PVP01_1210900.1 | gene=PVP01_1210900 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=PvP01_12_v2:454911-456845(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1210900.1-p1   -            644 1841at5820           -            929   2.3e-05   21.5   4.6   3   3   1.7e-05    0.0043   13.9   4.0   599   680   533   615   529   640 0.53 | transcript=PVP01_1210900.1 | gene=PVP01_1210900 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=PvP01_12_v2:454911-456845(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308500.1-p1   -            499 1841at5820           -            929   2.7e-05   21.3   4.7   1   3   3.9e-06     0.001   16.0   0.1    55   144    55   144    40   158 0.72 | transcript=PVP01_0308500.1 | gene=PVP01_0308500 | organism=Plasmodium_vivax_P01 | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=PvP01_03_v2:408142-409641(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308500.1-p1   -            499 1841at5820           -            929   2.7e-05   21.3   4.7   2   3     0.028       7.4    3.2   0.2    60   160   245   346   240   351 0.78 | transcript=PVP01_0308500.1 | gene=PVP01_0308500 | organism=Plasmodium_vivax_P01 | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=PvP01_03_v2:408142-409641(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308500.1-p1   -            499 1841at5820           -            929   2.7e-05   21.3   4.7   3   3    0.0048       1.2    5.8   0.2    64   136   291   364   284   371 0.90 | transcript=PVP01_0308500.1 | gene=PVP01_0308500 | organism=Plasmodium_vivax_P01 | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=PvP01_03_v2:408142-409641(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917000.1-p1   -            465 1841at5820           -            929   0.00047   17.1   5.1   1   3       1.9     5e+02   -2.8   0.0   675   712    16    54    13    61 0.77 | transcript=PVP01_0917000.1 | gene=PVP01_0917000 | organism=Plasmodium_vivax_P01 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=PvP01_09_v2:759296-760693(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917000.1-p1   -            465 1841at5820           -            929   0.00047   17.1   5.1   2   3    0.0017      0.45    7.3   0.2   580   613   212   245   201   255 0.86 | transcript=PVP01_0917000.1 | gene=PVP01_0917000 | organism=Plasmodium_vivax_P01 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=PvP01_09_v2:759296-760693(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917000.1-p1   -            465 1841at5820           -            929   0.00047   17.1   5.1   3   3   0.00015      0.04   10.7   0.7   537   607   320   390   280   402 0.77 | transcript=PVP01_0917000.1 | gene=PVP01_0917000 | organism=Plasmodium_vivax_P01 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=PvP01_09_v2:759296-760693(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0611600.1-p1   -            661 1841at5820           -            929    0.0086   13.0  18.8   1   3   0.00084      0.22    8.3   0.0    80   139   370   427   366   434 0.91 | transcript=PVP01_0611600.1 | gene=PVP01_0611600 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=PvP01_06_v2:510785-512770(-) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0611600.1-p1   -            661 1841at5820           -            929    0.0086   13.0  18.8   2   3    0.0007      0.18    8.5   0.1    88   158   418   489   408   497 0.82 | transcript=PVP01_0611600.1 | gene=PVP01_0611600 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=PvP01_06_v2:510785-512770(-) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0611600.1-p1   -            661 1841at5820           -            929    0.0086   13.0  18.8   3   3   0.00061      0.16    8.8   0.0   600   694   502   597   491   600 0.81 | transcript=PVP01_0611600.1 | gene=PVP01_0611600 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=PvP01_06_v2:510785-512770(-) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0919700.1-p1   -            368 1841at5820           -            929     0.078    9.8  10.1   1   1   0.00059      0.15    8.8  10.1   264   338    30   105    25   119 0.68 | transcript=PVP01_0919700.1 | gene=PVP01_0919700 | organism=Plasmodium_vivax_P01 | gene_product=tRNA m(1)G methyltransferase, putative | transcript_product=tRNA m(1)G methyltransferase, putative | location=PvP01_09_v2:860433-862074(+) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1841at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1841at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1841at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:59 2026
# [ok]
