#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0508200.1-p1   -           8558 24at5820             -           4512         0 7726.2 826.2   1  39   1.6e-49   1.1e-46  156.3   2.1     1    81     1    81     1    88 0.98 | transcript=PVP01_0508200.1 | gene=PVP01_0508200 | organism=Plasmodium_vivax_P01 | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=PvP01_05_v2:359975-385651(+) | protein_length=8558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1459000.1-p1   -            571 24at5820             -           4512       6.1    1.1  26.1   1   1     0.011       7.1    0.9  26.1  2812  2944   281   398   250   532 0.61 | transcript=PVP01_1459000.1 | gene=PVP01_1459000 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_14_v2:2579586-2581301(+) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024700.1-p1   -            143 24at5820             -           4512       6.1    1.1  11.7   1   1     0.011       7.1    0.9  11.7  2887  2948    67   128    54   137 0.56 | transcript=PVP01_1024700.1 | gene=PVP01_1024700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:1078491-1079181(+) | protein_length=143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1253300.1-p1   -            266 24at5820             -           4512       7.9    0.7  16.0   1   1     0.017        11    0.2  16.0  2896  2971   186   259   163   264 0.64 | transcript=PVP01_1253300.1 | gene=PVP01_1253300 | organism=Plasmodium_vivax_P01 | gene_product=HSP90 co-chaperone p23, putative | transcript_product=HSP90 co-chaperone p23, putative | location=PvP01_12_v2:2175101-2176573(-) | protein_length=266 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/24at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/24at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/24at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:27 2026
# [ok]
