#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1007900.1-p1   -            288 9439at5820           -            250  1.9e-145  481.6   1.3   1   1  2.3e-147  2.3e-145  481.3   1.3     1   246     7   267     7   270 0.96 | transcript=PVP01_1007900.1 | gene=PVP01_1007900 | organism=Plasmodium_vivax_P01 | gene_product=NIMA related kinase 2, putative | transcript_product=NIMA related kinase 2, putative | location=PvP01_10_v2:352291-354430(-) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0207300.1-p1   -           3308 9439at5820           -            250   1.2e-13   49.8   0.6   2   2     0.014       1.4    7.1   0.0   159   202  3207  3247  3197  3297 0.66 | transcript=PVP01_0207300.1 | gene=PVP01_0207300 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | location=PvP01_02_v2:297497-308722(-) | protein_length=3308 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424400.1-p1   -            517 9439at5820           -            250     3e-13   48.5   6.3   1   3         1     1e+02    1.0   0.2   133   186    40    95     9   119 0.65 | transcript=PVP01_1424400.1 | gene=PVP01_1424400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_14_v2:1058768-1060867(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424400.1-p1   -            517 9439at5820           -            250     3e-13   48.5   6.3   2   3     1e-06   9.8e-05   20.6   1.6    47   136   261   347   238   385 0.83 | transcript=PVP01_1424400.1 | gene=PVP01_1424400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_14_v2:1058768-1060867(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424400.1-p1   -            517 9439at5820           -            250     3e-13   48.5   6.3   3   3   9.6e-09   9.5e-07   27.2   0.0   138   198   397   459   389   465 0.88 | transcript=PVP01_1424400.1 | gene=PVP01_1424400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_14_v2:1058768-1060867(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0921900.1-p1   -           1542 9439at5820           -            250   3.5e-13   48.3   0.9   1   2       6.7   6.7e+02   -1.8   0.2    12    86   189   264   183   271 0.82 | transcript=PVP01_0921900.1 | gene=PVP01_0921900 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_09_v2:946073-950834(-) | protein_length=1542 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0921900.1-p1   -           1542 9439at5820           -            250   3.5e-13   48.3   0.9   2   2   1.4e-14   1.3e-12   46.4   0.0   104   197   353   449   341   457 0.90 | transcript=PVP01_0921900.1 | gene=PVP01_0921900 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_09_v2:946073-950834(-) | protein_length=1542 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0915400.1-p1   -            708 9439at5820           -            250     7e-13   47.3   2.2   1   1   7.1e-15     7e-13   47.3   2.2    22   201   399   580   371   589 0.87 | transcript=PVP01_0915400.1 | gene=PVP01_0915400 | organism=Plasmodium_vivax_P01 | gene_product=cyclin-dependent-like kinase CLK3, putative | transcript_product=cyclin-dependent-like kinase CLK3, putative | location=PvP01_09_v2:696362-700179(+) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1264000.1-p1   -           1310 9439at5820           -            250   5.2e-12   44.5   2.9   1   2   9.5e-07   9.4e-05   20.7   0.6    57   135   920   995   914  1016 0.75 | transcript=PVP01_1264000.1 | gene=PVP01_1264000 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:2642004-2645936(+) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1264000.1-p1   -           1310 9439at5820           -            250   5.2e-12   44.5   2.9   2   2   1.6e-07   1.6e-05   23.2   0.1   130   199  1077  1145  1073  1160 0.84 | transcript=PVP01_1264000.1 | gene=PVP01_1264000 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:2642004-2645936(+) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513200.1-p1   -            800 9439at5820           -            250   2.2e-11   42.4   8.6   1   3   4.1e-05    0.0041   15.3   0.7     5    70    34    99    31   123 0.80 | transcript=PVP01_0513200.1 | gene=PVP01_0513200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=PvP01_05_v2:547872-550471(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513200.1-p1   -            800 9439at5820           -            250   2.2e-11   42.4   8.6   2   3   4.1e-06    0.0004   18.6   0.1    82   132   222   268   203   284 0.82 | transcript=PVP01_0513200.1 | gene=PVP01_0513200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=PvP01_05_v2:547872-550471(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513200.1-p1   -            800 9439at5820           -            250   2.2e-11   42.4   8.6   3   3   0.00041      0.04   12.1   0.2   138   198   573   634   558   651 0.79 | transcript=PVP01_0513200.1 | gene=PVP01_0513200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=PvP01_05_v2:547872-550471(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822900.1-p1   -           1391 9439at5820           -            250   6.4e-11   40.9   1.2   1   1   1.2e-12   1.2e-10   40.0   0.4    92   202  1157  1282  1128  1310 0.75 | transcript=PVP01_0822900.1 | gene=PVP01_0822900 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 4, putative | transcript_product=cdc2-related protein kinase 4, putative | location=PvP01_08_v2:1029162-1033337(+) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818800.1-p1   -            327 9439at5820           -            250   2.1e-10   39.2   0.1   1   1   3.1e-12     3e-10   38.7   0.1    69   223    92   248    73   274 0.82 | transcript=PVP01_0818800.1 | gene=PVP01_0818800 | organism=Plasmodium_vivax_P01 | gene_product=pseudo protein kinase 1, putative | transcript_product=pseudo protein kinase 1, putative | location=PvP01_08_v2:823384-824701(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724600.1-p1   -           3250 9439at5820           -            250   2.3e-10   39.1   0.5   1   1   4.4e-12   4.4e-10   38.2   0.5    12   204  2959  3181  2954  3233 0.69 | transcript=PVP01_0724600.1 | gene=PVP01_0724600 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1049322-1059074(-) | protein_length=3250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1121300.1-p1   -           2587 9439at5820           -            250   3.4e-10   38.5   2.7   1   3      0.17        16    3.5   0.0     5    93  1820  1917  1816  1947 0.79 | transcript=PVP01_1121300.1 | gene=PVP01_1121300 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=PvP01_11_v2:912876-920639(-) | protein_length=2587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1121300.1-p1   -           2587 9439at5820           -            250   3.4e-10   38.5   2.7   2   3   1.6e-09   1.6e-07   29.7   0.3   105   158  2308  2362  2259  2386 0.83 | transcript=PVP01_1121300.1 | gene=PVP01_1121300 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=PvP01_11_v2:912876-920639(-) | protein_length=2587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1121300.1-p1   -           2587 9439at5820           -            250   3.4e-10   38.5   2.7   3   3       0.3        30    2.7   0.1   152   193  2385  2424  2360  2431 0.78 | transcript=PVP01_1121300.1 | gene=PVP01_1121300 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=PvP01_11_v2:912876-920639(-) | protein_length=2587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261600.1-p1   -            877 9439at5820           -            250   7.4e-10   37.4   2.5   1   2   5.8e-06   0.00058   18.1   1.6     5   135   547   684   544   693 0.68 | transcript=PVP01_1261600.1 | gene=PVP01_1261600 | organism=Plasmodium_vivax_P01 | gene_product=protein serine/threonine kinase-1, putative | transcript_product=protein serine/threonine kinase-1, putative | location=PvP01_12_v2:2542000-2544633(+) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261600.1-p1   -            877 9439at5820           -            250   7.4e-10   37.4   2.5   2   2   6.2e-06   0.00061   18.0   0.0   126   198   700   770   686   798 0.79 | transcript=PVP01_1261600.1 | gene=PVP01_1261600 | organism=Plasmodium_vivax_P01 | gene_product=protein serine/threonine kinase-1, putative | transcript_product=protein serine/threonine kinase-1, putative | location=PvP01_12_v2:2542000-2544633(+) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724800.1-p1   -            950 9439at5820           -            250   1.1e-09   36.8   0.4   1   2       4.6   4.5e+02   -1.2   0.2    30    50   364   384   354   450 0.65 | transcript=PVP01_0724800.1 | gene=PVP01_0724800 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1066631-1072544(+) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724800.1-p1   -            950 9439at5820           -            250   1.1e-09   36.8   0.4   2   2   1.1e-11   1.1e-09   36.8   0.4   100   195   777   877   690   884 0.78 | transcript=PVP01_0724800.1 | gene=PVP01_0724800 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1066631-1072544(+) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828800.1-p1   -           3003 9439at5820           -            250   1.2e-09   36.7   0.2   1   1     2e-11   1.9e-09   36.0   0.2    56   200   229   384   181   390 0.76 | transcript=PVP01_0828800.1 | gene=PVP01_0828800 | organism=Plasmodium_vivax_P01 | gene_product=kinase-related protein PKRP, putative | transcript_product=kinase-related protein PKRP, putative | location=PvP01_08_v2:1236390-1245587(-) | protein_length=3003 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0104700.1-p1   -           1251 9439at5820           -            250   6.4e-09   34.3   7.9   1   2   4.7e-08   4.6e-06   25.0   4.0    27   146   764   879   753   885 0.75 | transcript=PVP01_0104700.1 | gene=PVP01_0104700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_01_v2:242786-246541(-) | protein_length=1251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0104700.1-p1   -           1251 9439at5820           -            250   6.4e-09   34.3   7.9   2   2    0.0013      0.13   10.4   0.1   157   196  1094  1132  1080  1202 0.88 | transcript=PVP01_0104700.1 | gene=PVP01_0104700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_01_v2:242786-246541(-) | protein_length=1251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907600.1-p1   -           1342 9439at5820           -            250   2.2e-08   32.6   0.0   1   2   0.00019     0.019   13.1   0.0   100   148  1098  1146  1085  1163 0.75 | transcript=PVP01_0907600.1 | gene=PVP01_0907600 | organism=Plasmodium_vivax_P01 | gene_product=pseudo-tyrosine kinase-like protein, putative | transcript_product=pseudo-tyrosine kinase-like protein, putative | location=PvP01_09_v2:403264-408228(+) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907600.1-p1   -           1342 9439at5820           -            250   2.2e-08   32.6   0.0   2   2   1.6e-05    0.0015   16.7   0.0   167   245  1235  1319  1225  1323 0.77 | transcript=PVP01_0907600.1 | gene=PVP01_0907600 | organism=Plasmodium_vivax_P01 | gene_product=pseudo-tyrosine kinase-like protein, putative | transcript_product=pseudo-tyrosine kinase-like protein, putative | location=PvP01_09_v2:403264-408228(+) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945900.1-p1   -           2011 9439at5820           -            250     6e-08   31.1   0.1   1   1   1.1e-09   1.1e-07   30.3   0.1     6   194    77   272    73   308 0.73 | transcript=PVP01_0945900.1 | gene=PVP01_0945900 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_09_v2:2001384-2007419(-) | protein_length=2011 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837700.1-p1   -           1397 9439at5820           -            250   3.4e-06   25.4   0.1   1   2    0.0017      0.17   10.0   0.0    73   132   153   213   125   216 0.81 | transcript=PVP01_0837700.1 | gene=PVP01_0837700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_08_v2:1595439-1599632(-) | protein_length=1397 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837700.1-p1   -           1397 9439at5820           -            250   3.4e-06   25.4   0.1   2   2   0.00024     0.024   12.8   0.0   131   193   697   757   693   773 0.79 | transcript=PVP01_0837700.1 | gene=PVP01_0837700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_08_v2:1595439-1599632(-) | protein_length=1397 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0937400.1-p1   -            323 9439at5820           -            250   4.9e-06   24.9   0.1   1   2       2.6   2.6e+02   -0.4   0.0     5    29     8    33     4    49 0.70 | transcript=PVP01_0937400.1 | gene=PVP01_0937400 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=PvP01_09_v2:1606184-1608602(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0937400.1-p1   -            323 9439at5820           -            250   4.9e-06   24.9   0.1   2   2   2.4e-07   2.4e-05   22.6   0.1   107   192   111   207    96   245 0.79 | transcript=PVP01_0937400.1 | gene=PVP01_0937400 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=PvP01_09_v2:1606184-1608602(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724500.1-p1   -           1177 9439at5820           -            250   5.9e-05   21.4   0.0   1   2   0.00077     0.076   11.2   0.0    97   145   902   951   895   964 0.82 | transcript=PVP01_0724500.1 | gene=PVP01_0724500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1044650-1048727(+) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724500.1-p1   -           1177 9439at5820           -            250   5.9e-05   21.4   0.0   2   2    0.0096      0.95    7.6   0.0   162   201  1059  1098  1041  1105 0.83 | transcript=PVP01_0724500.1 | gene=PVP01_0724500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1044650-1048727(+) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215800.1-p1   -            891 9439at5820           -            250   0.00014   20.1   0.0   1   1   2.6e-06   0.00025   19.3   0.0    93   199   524   641   488   687 0.74 | transcript=PVP01_1215800.1 | gene=PVP01_1215800 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:660557-663232(+) | protein_length=891 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0727300.1-p1   -            601 9439at5820           -            250   0.00085   17.6   1.0   1   2   0.00016     0.016   13.4   0.8    87   139   373   425   365   437 0.90 | transcript=PVP01_0727300.1 | gene=PVP01_0727300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_07_v2:1160934-1162739(+) | protein_length=601 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0727300.1-p1   -            601 9439at5820           -            250   0.00085   17.6   1.0   2   2       0.5        49    1.9   0.0   176   199   491   514   447   523 0.83 | transcript=PVP01_0727300.1 | gene=PVP01_0727300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_07_v2:1160934-1162739(+) | protein_length=601 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320900.1-p1   -           2220 9439at5820           -            250     0.002   16.3   7.5   1   3       3.8   3.7e+02   -0.9   0.3    39    68   654   683   641   702 0.75 | transcript=PVP01_1320900.1 | gene=PVP01_1320900 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_13_v2:938545-945964(-) | protein_length=2220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320900.1-p1   -           2220 9439at5820           -            250     0.002   16.3   7.5   2   3    0.0013      0.13   10.4   1.4    67   136   937  1004   918  1039 0.77 | transcript=PVP01_1320900.1 | gene=PVP01_1320900 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_13_v2:938545-945964(-) | protein_length=2220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320900.1-p1   -           2220 9439at5820           -            250     0.002   16.3   7.5   3   3    0.0083      0.82    7.8   0.0   174   201  1142  1168  1135  1197 0.76 | transcript=PVP01_1320900.1 | gene=PVP01_1320900 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_13_v2:938545-945964(-) | protein_length=2220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9439at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9439at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9439at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:51:07 2026
# [ok]
