#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1445300.1-p1   -            717 4744at5820           -            548  3.3e-292  968.4  19.3   1   4     0.089        15    2.4   0.0     1    48     1    67     1    80 0.60 | transcript=PVP01_1445300.1 | gene=PVP01_1445300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase 60, putative | transcript_product=DNA helicase 60, putative | location=PvP01_14_v2:1956382-1958535(-) | protein_length=717 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301300.1-p1   -            869 4744at5820           -            548   7.1e-20   69.5   7.1   2   3       4.1     7e+02   -3.1   0.1   337   379   388   431   384   444 0.72 | transcript=PVP01_1301300.1 | gene=PVP01_1301300 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA/RNA helicase PSH2, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH2, putative | location=PvP01_13_v2:50765-54538(-) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301300.1-p1   -            869 4744at5820           -            548   7.1e-20   69.5   7.1   3   3   1.5e-19   2.5e-17   61.1   0.2   407   525   535   654   522   664 0.86 | transcript=PVP01_1301300.1 | gene=PVP01_1301300 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA/RNA helicase PSH2, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH2, putative | location=PvP01_13_v2:50765-54538(-) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0717000.1-p1   -            732 4744at5820           -            548   1.6e-17   61.8   2.5   1   3       5.2   8.9e+02   -3.4   0.4   378   408   105   135    97   145 0.44 | transcript=PVP01_0717000.1 | gene=PVP01_0717000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA helicase Q1, putative | transcript_product=ATP-dependent DNA helicase Q1, putative | location=PvP01_07_v2:757887-760085(+) | protein_length=732 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0717000.1-p1   -            732 4744at5820           -            548   1.6e-17   61.8   2.5   2   3       1.7     3e+02   -1.9   2.2    52    86   245   279   199   302 0.56 | transcript=PVP01_0717000.1 | gene=PVP01_0717000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA helicase Q1, putative | transcript_product=ATP-dependent DNA helicase Q1, putative | location=PvP01_07_v2:757887-760085(+) | protein_length=732 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0717000.1-p1   -            732 4744at5820           -            548   1.6e-17   61.8   2.5   3   3     9e-20   1.6e-17   61.8   2.5   382   511   348   480   339   490 0.87 | transcript=PVP01_0717000.1 | gene=PVP01_0717000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA helicase Q1, putative | transcript_product=ATP-dependent DNA helicase Q1, putative | location=PvP01_07_v2:757887-760085(+) | protein_length=732 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907400.1-p1   -           1329 4744at5820           -            548   2.9e-15   54.3   1.7   1   3    0.0044      0.75    6.7   0.0   155   215   144   205   132   221 0.81 | transcript=PVP01_0907400.1 | gene=PVP01_0907400 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_09_v2:394370-398359(+) | protein_length=1329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907400.1-p1   -           1329 4744at5820           -            548   2.9e-15   54.3   1.7   2   3       2.2   3.8e+02   -2.2   0.0   280   321   500   541   479   558 0.77 | transcript=PVP01_0907400.1 | gene=PVP01_0907400 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_09_v2:394370-398359(+) | protein_length=1329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907400.1-p1   -           1329 4744at5820           -            548   2.9e-15   54.3   1.7   3   3     1e-14   1.7e-12   45.1   0.3   400   501   879   980   873   988 0.96 | transcript=PVP01_0907400.1 | gene=PVP01_0907400 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_09_v2:394370-398359(+) | protein_length=1329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0304400.1-p1   -            548 4744at5820           -            548   8.7e-15   52.7  10.7   1   2   4.8e-05    0.0083   13.2   1.6   145   321    97   263    58   280 0.63 | transcript=PVP01_0304400.1 | gene=PVP01_0304400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX51, putative | transcript_product=ATP-dependent RNA helicase DDX51, putative | location=PvP01_03_v2:229512-231484(-) | protein_length=548 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0304400.1-p1   -            548 4744at5820           -            548   8.7e-15   52.7  10.7   2   2   1.7e-14     3e-12   44.4   2.1   406   507   362   470   354   524 0.84 | transcript=PVP01_0304400.1 | gene=PVP01_0304400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX51, putative | transcript_product=ATP-dependent RNA helicase DDX51, putative | location=PvP01_03_v2:229512-231484(-) | protein_length=548 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105800.1-p1   -           1051 4744at5820           -            548   6.5e-13   46.5   8.4   1   6      0.71   1.2e+02   -0.6   0.0   154   200    75   119    64   132 0.80 | transcript=PVP01_0105800.1 | gene=PVP01_0105800 | organism=Plasmodium_vivax_P01 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=PvP01_01_v2:313457-316612(-) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105800.1-p1   -           1051 4744at5820           -            548   6.5e-13   46.5   8.4   2   6       3.9   6.7e+02   -3.0   0.0   198   222   212   236   207   249 0.74 | transcript=PVP01_0105800.1 | gene=PVP01_0105800 | organism=Plasmodium_vivax_P01 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=PvP01_01_v2:313457-316612(-) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105800.1-p1   -           1051 4744at5820           -            548   6.5e-13   46.5   8.4   3   6      0.67   1.1e+02   -0.5   0.0   224   262   316   354   301   363 0.73 | transcript=PVP01_0105800.1 | gene=PVP01_0105800 | organism=Plasmodium_vivax_P01 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=PvP01_01_v2:313457-316612(-) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105800.1-p1   -           1051 4744at5820           -            548   6.5e-13   46.5   8.4   4   6     0.044       7.5    3.4   0.1   279   343   430   498   420   504 0.77 | transcript=PVP01_0105800.1 | gene=PVP01_0105800 | organism=Plasmodium_vivax_P01 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=PvP01_01_v2:313457-316612(-) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105800.1-p1   -           1051 4744at5820           -            548   6.5e-13   46.5   8.4   5   6   3.8e-15   6.5e-13   46.5   8.4   408   497   762   850   758   902 0.89 | transcript=PVP01_0105800.1 | gene=PVP01_0105800 | organism=Plasmodium_vivax_P01 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=PvP01_01_v2:313457-316612(-) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105800.1-p1   -           1051 4744at5820           -            548   6.5e-13   46.5   8.4   6   6       1.8   3.1e+02   -1.9   0.8    16    89   946  1025   927  1044 0.58 | transcript=PVP01_0105800.1 | gene=PVP01_0105800 | organism=Plasmodium_vivax_P01 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=PvP01_01_v2:313457-316612(-) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0310700.1-p1   -           1189 4744at5820           -            548   8.3e-13   46.2   2.6   1   2   3.1e-11   5.2e-09   33.6   2.3   157   365   235   452   213   461 0.79 | transcript=PVP01_0310700.1 | gene=PVP01_0310700 | organism=Plasmodium_vivax_P01 | gene_product=DEAD box ATP-dependent RNA helicase, putative | transcript_product=DEAD box ATP-dependent RNA helicase, putative | location=PvP01_03_v2:477928-481497(-) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0310700.1-p1   -           1189 4744at5820           -            548   8.3e-13   46.2   2.6   2   2   0.00032     0.055   10.5   0.0   439   510   855   925   836   934 0.86 | transcript=PVP01_0310700.1 | gene=PVP01_0310700 | organism=Plasmodium_vivax_P01 | gene_product=DEAD box ATP-dependent RNA helicase, putative | transcript_product=DEAD box ATP-dependent RNA helicase, putative | location=PvP01_03_v2:477928-481497(-) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1319500.1-p1   -           1264 4744at5820           -            548   5.5e-11   40.2   3.3   1   2     0.091        16    2.4   0.0   190   218    64    92    47    99 0.86 | transcript=PVP01_1319500.1 | gene=PVP01_1319500 | organism=Plasmodium_vivax_P01 | gene_product=ADP-dependent DNA helicase RecQ, putative | transcript_product=ADP-dependent DNA helicase RecQ, putative | location=PvP01_13_v2:887926-891720(-) | protein_length=1264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1319500.1-p1   -           1264 4744at5820           -            548   5.5e-11   40.2   3.3   2   2   3.1e-12   5.3e-10   36.9   1.6   387   513   263   388   248   417 0.88 | transcript=PVP01_1319500.1 | gene=PVP01_1319500 | organism=Plasmodium_vivax_P01 | gene_product=ADP-dependent DNA helicase RecQ, putative | transcript_product=ADP-dependent DNA helicase RecQ, putative | location=PvP01_13_v2:887926-891720(-) | protein_length=1264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0211100.1-p1   -           1408 4744at5820           -            548     2e-06   25.1   3.3   1   3       6.8   1.2e+03   -3.8   0.0   198   214   627   643   625   645 0.89 | transcript=PVP01_0211100.1 | gene=PVP01_0211100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA/RNA helicase PSH1, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH1, putative | location=PvP01_02_v2:449693-454241(-) | protein_length=1408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0211100.1-p1   -           1408 4744at5820           -            548     2e-06   25.1   3.3   2   3      0.22        38    1.1   0.0   284   318   906   941   902   949 0.76 | transcript=PVP01_0211100.1 | gene=PVP01_0211100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA/RNA helicase PSH1, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH1, putative | location=PvP01_02_v2:449693-454241(-) | protein_length=1408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0211100.1-p1   -           1408 4744at5820           -            548     2e-06   25.1   3.3   3   3   1.2e-08     2e-06   25.1   3.3   407   514  1147  1270  1134  1282 0.73 | transcript=PVP01_0211100.1 | gene=PVP01_0211100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA/RNA helicase PSH1, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH1, putative | location=PvP01_02_v2:449693-454241(-) | protein_length=1408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1414300.1-p1   -            790 4744at5820           -            548   0.00025   18.2   4.2   1   3       2.8   4.7e+02   -2.5   0.3    17    59    97   139    88   207 0.62 | transcript=PVP01_1414300.1 | gene=PVP01_1414300 | organism=Plasmodium_vivax_P01 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=PvP01_14_v2:632410-634782(-) | protein_length=790 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1414300.1-p1   -            790 4744at5820           -            548   0.00025   18.2   4.2   2   3     0.079        14    2.6   0.0   216   253   233   270   221   283 0.75 | transcript=PVP01_1414300.1 | gene=PVP01_1414300 | organism=Plasmodium_vivax_P01 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=PvP01_14_v2:632410-634782(-) | protein_length=790 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1414300.1-p1   -            790 4744at5820           -            548   0.00025   18.2   4.2   3   3   5.8e-06     0.001   16.2   0.1   459   509   663   713   634   718 0.87 | transcript=PVP01_1414300.1 | gene=PVP01_1414300 | organism=Plasmodium_vivax_P01 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=PvP01_14_v2:632410-634782(-) | protein_length=790 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4744at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4744at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4744at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:50 2026
# [ok]
