#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1429700.1-p1   -            923 4079at5820           -            677         0 1224.2 132.2   1   5   5.1e-05    0.0088   12.8  20.0     1    84     1    82     1    94 0.63 | transcript=PVP01_1429700.1 | gene=PVP01_1429700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP1, putative | transcript_product=ATP-dependent RNA helicase DBP1, putative | location=PvP01_14_v2:1276317-1279088(-) | protein_length=923 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1330000.1-p1   -            877 4079at5820           -            677   5.8e-19   66.2  47.5   2   3         5   8.5e+02   -3.7   0.6    39    85   688   735   676   750 0.54 | transcript=PVP01_1330000.1 | gene=PVP01_1330000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP4, putative | transcript_product=ATP-dependent RNA helicase DBP4, putative | location=PvP01_13_v2:1271625-1274418(+) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1330000.1-p1   -            877 4079at5820           -            677   5.8e-19   66.2  47.5   3   3       8.1   1.4e+03   -4.4   2.4    23    87   768   829   764   858 0.54 | transcript=PVP01_1330000.1 | gene=PVP01_1330000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP4, putative | transcript_product=ATP-dependent RNA helicase DBP4, putative | location=PvP01_13_v2:1271625-1274418(+) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301300.1-p1   -            869 4079at5820           -            677   4.5e-16   56.7   0.1   1   4   2.9e-05     0.005   13.6   0.3   179   250   150   224    51   250 0.85 | transcript=PVP01_1301300.1 | gene=PVP01_1301300 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA/RNA helicase PSH2, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH2, putative | location=PvP01_13_v2:50765-54538(-) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301300.1-p1   -            869 4079at5820           -            677   4.5e-16   56.7   0.1   2   4       8.3   1.4e+03   -4.4   3.8   247   313   305   371   287   422 0.53 | transcript=PVP01_1301300.1 | gene=PVP01_1301300 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA/RNA helicase PSH2, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH2, putative | location=PvP01_13_v2:50765-54538(-) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301300.1-p1   -            869 4079at5820           -            677   4.5e-16   56.7   0.1   3   4   2.6e-18   4.5e-16   56.7   0.1   467   578   537   648   528   676 0.81 | transcript=PVP01_1301300.1 | gene=PVP01_1301300 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA/RNA helicase PSH2, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH2, putative | location=PvP01_13_v2:50765-54538(-) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301300.1-p1   -            869 4079at5820           -            677   4.5e-16   56.7   0.1   4   4       1.5   2.5e+02   -2.0   1.0    31   110   742   821   726   860 0.68 | transcript=PVP01_1301300.1 | gene=PVP01_1301300 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA/RNA helicase PSH2, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH2, putative | location=PvP01_13_v2:50765-54538(-) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458900.1-p1   -            847 4079at5820           -            677   6.7e-16   56.1   9.5   1   3   1.6e-11   2.8e-09   34.2   0.4   204   388   111   280    87   308 0.75 | transcript=PVP01_1458900.1 | gene=PVP01_1458900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP9, putative | transcript_product=ATP-dependent RNA helicase DBP9, putative | location=PvP01_14_v2:2575210-2577753(-) | protein_length=847 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458900.1-p1   -            847 4079at5820           -            677   6.7e-16   56.1   9.5   2   3   1.2e-11   2.1e-09   34.6   3.2   525   589   513   581   509   653 0.71 | transcript=PVP01_1458900.1 | gene=PVP01_1458900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP9, putative | transcript_product=ATP-dependent RNA helicase DBP9, putative | location=PvP01_14_v2:2575210-2577753(-) | protein_length=847 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458900.1-p1   -            847 4079at5820           -            677   6.7e-16   56.1   9.5   3   3       4.6   7.9e+02   -3.6   3.0   601   640   770   809   755   840 0.55 | transcript=PVP01_1458900.1 | gene=PVP01_1458900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP9, putative | transcript_product=ATP-dependent RNA helicase DBP9, putative | location=PvP01_14_v2:2575210-2577753(-) | protein_length=847 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113300.1-p1   -           1261 4079at5820           -            677   4.6e-14   50.0  14.1   1   3       0.6     1e+02   -0.7   0.0   277   290   133   146    33   155 0.52 | transcript=PVP01_0113300.1 | gene=PVP01_0113300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase PSH3, putative | transcript_product=DNA helicase PSH3, putative | location=PvP01_01_v2:597824-601609(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113300.1-p1   -           1261 4079at5820           -            677   4.6e-14   50.0  14.1   2   3   0.00051     0.088    9.5   0.1   303   374   213   307   208   315 0.67 | transcript=PVP01_0113300.1 | gene=PVP01_0113300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase PSH3, putative | transcript_product=DNA helicase PSH3, putative | location=PvP01_01_v2:597824-601609(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113300.1-p1   -           1261 4079at5820           -            677   4.6e-14   50.0  14.1   3   3   3.8e-15   6.6e-13   46.2   0.6   449   570   582   703   571   711 0.87 | transcript=PVP01_0113300.1 | gene=PVP01_0113300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase PSH3, putative | transcript_product=DNA helicase PSH3, putative | location=PvP01_01_v2:597824-601609(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105800.1-p1   -           1051 4079at5820           -            677   1.8e-13   48.1   4.9   1   4     0.051       8.8    2.8   0.3   228   252   209   233   201   258 0.76 | transcript=PVP01_0105800.1 | gene=PVP01_0105800 | organism=Plasmodium_vivax_P01 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=PvP01_01_v2:313457-316612(-) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105800.1-p1   -           1051 4079at5820           -            677   1.8e-13   48.1   4.9   2   4      0.92   1.6e+02   -1.3   0.5   267   297   318   348   298   359 0.73 | transcript=PVP01_0105800.1 | gene=PVP01_0105800 | organism=Plasmodium_vivax_P01 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=PvP01_01_v2:313457-316612(-) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105800.1-p1   -           1051 4079at5820           -            677   1.8e-13   48.1   4.9   3   4       1.1   1.8e+02   -1.5   0.1   312   352   422   463   413   488 0.73 | transcript=PVP01_0105800.1 | gene=PVP01_0105800 | organism=Plasmodium_vivax_P01 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=PvP01_01_v2:313457-316612(-) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105800.1-p1   -           1051 4079at5820           -            677   1.8e-13   48.1   4.9   4   4     1e-15   1.8e-13   48.1   4.9   467   592   763   894   753   960 0.81 | transcript=PVP01_0105800.1 | gene=PVP01_0105800 | organism=Plasmodium_vivax_P01 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=PvP01_01_v2:313457-316612(-) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0717000.1-p1   -            732 4079at5820           -            677   5.7e-12   43.1   0.7   1   1   3.3e-14   5.7e-12   43.1   0.7   444   565   356   476   339   491 0.84 | transcript=PVP01_0717000.1 | gene=PVP01_0717000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA helicase Q1, putative | transcript_product=ATP-dependent DNA helicase Q1, putative | location=PvP01_07_v2:757887-760085(+) | protein_length=732 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1029800.1-p1   -            522 4079at5820           -            677   6.5e-12   42.9  11.0   1   2    0.0018      0.31    7.6   0.1   210   251   122   162    88   191 0.77 | transcript=PVP01_1029800.1 | gene=PVP01_1029800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX27, putative | transcript_product=ATP-dependent RNA helicase DDX27, putative | location=PvP01_10_v2:1285939-1287889(-) | protein_length=522 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1029800.1-p1   -            522 4079at5820           -            677   6.5e-12   42.9  11.0   2   2   3.9e-12   6.7e-10   36.3   7.5   344   573   243   465   213   484 0.73 | transcript=PVP01_1029800.1 | gene=PVP01_1029800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX27, putative | transcript_product=ATP-dependent RNA helicase DDX27, putative | location=PvP01_10_v2:1285939-1287889(-) | protein_length=522 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0304400.1-p1   -            548 4079at5820           -            677     4e-10   37.0  16.7   1   1     5e-12   8.6e-10   35.9  16.7   276   559   171   464    77   487 0.78 | transcript=PVP01_0304400.1 | gene=PVP01_0304400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX51, putative | transcript_product=ATP-dependent RNA helicase DDX51, putative | location=PvP01_03_v2:229512-231484(-) | protein_length=548 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1319500.1-p1   -           1264 4079at5820           -            677     1e-08   32.4   1.7   1   2       2.4   4.2e+02   -2.7   0.0   201   242    42    83    31    86 0.82 | transcript=PVP01_1319500.1 | gene=PVP01_1319500 | organism=Plasmodium_vivax_P01 | gene_product=ADP-dependent DNA helicase RecQ, putative | transcript_product=ADP-dependent DNA helicase RecQ, putative | location=PvP01_13_v2:887926-891720(-) | protein_length=1264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1319500.1-p1   -           1264 4079at5820           -            677     1e-08   32.4   1.7   2   2     1e-10   1.7e-08   31.6   0.9   467   594   284   411   274   444 0.86 | transcript=PVP01_1319500.1 | gene=PVP01_1319500 | organism=Plasmodium_vivax_P01 | gene_product=ADP-dependent DNA helicase RecQ, putative | transcript_product=ADP-dependent DNA helicase RecQ, putative | location=PvP01_13_v2:887926-891720(-) | protein_length=1264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1329800.1-p1   -            995 4079at5820           -            677   1.5e-07   28.5  37.3   1   3   0.00098      0.17    8.5   0.0   188   247    51   110    47   114 0.90 | transcript=PVP01_1329800.1 | gene=PVP01_1329800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX55, putative | transcript_product=ATP-dependent RNA helicase DDX55, putative | location=PvP01_13_v2:1260717-1263704(-) | protein_length=995 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1329800.1-p1   -            995 4079at5820           -            677   1.5e-07   28.5  37.3   2   3   2.4e-05    0.0041   13.9   0.3   278   374   244   368   231   379 0.58 | transcript=PVP01_1329800.1 | gene=PVP01_1329800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX55, putative | transcript_product=ATP-dependent RNA helicase DDX55, putative | location=PvP01_13_v2:1260717-1263704(-) | protein_length=995 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1329800.1-p1   -            995 4079at5820           -            677   1.5e-07   28.5  37.3   3   3   5.6e-09   9.6e-07   25.9   3.2   482   574   547   642   540   654 0.82 | transcript=PVP01_1329800.1 | gene=PVP01_1329800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX55, putative | transcript_product=ATP-dependent RNA helicase DDX55, putative | location=PvP01_13_v2:1260717-1263704(-) | protein_length=995 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0211100.1-p1   -           1408 4079at5820           -            677   7.3e-07   26.3   0.7   1   4       5.1   8.8e+02   -3.8   0.9    37    77   105   142    92   153 0.65 | transcript=PVP01_0211100.1 | gene=PVP01_0211100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA/RNA helicase PSH1, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH1, putative | location=PvP01_02_v2:449693-454241(-) | protein_length=1408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0211100.1-p1   -           1408 4079at5820           -            677   7.3e-07   26.3   0.7   2   4       4.7   8.1e+02   -3.7   0.1   307   321   847   861   841   863 0.84 | transcript=PVP01_0211100.1 | gene=PVP01_0211100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA/RNA helicase PSH1, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH1, putative | location=PvP01_02_v2:449693-454241(-) | protein_length=1408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0211100.1-p1   -           1408 4079at5820           -            677   7.3e-07   26.3   0.7   3   4     0.098        17    1.9   0.0   326   360   907   942   903   947 0.82 | transcript=PVP01_0211100.1 | gene=PVP01_0211100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA/RNA helicase PSH1, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH1, putative | location=PvP01_02_v2:449693-454241(-) | protein_length=1408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0211100.1-p1   -           1408 4079at5820           -            677   7.3e-07   26.3   0.7   4   4   4.2e-09   7.3e-07   26.3   0.7   508   571  1206  1269  1129  1284 0.84 | transcript=PVP01_0211100.1 | gene=PVP01_0211100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA/RNA helicase PSH1, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH1, putative | location=PvP01_02_v2:449693-454241(-) | protein_length=1408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1414300.1-p1   -            790 4079at5820           -            677   1.2e-06   25.5   0.2   1   4      0.89   1.5e+02   -1.3   2.5   208   248   132   172    97   195 0.67 | transcript=PVP01_1414300.1 | gene=PVP01_1414300 | organism=Plasmodium_vivax_P01 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=PvP01_14_v2:632410-634782(-) | protein_length=790 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1414300.1-p1   -            790 4079at5820           -            677   1.2e-06   25.5   0.2   2   4       0.9   1.5e+02   -1.3   0.3     4    46   173   216   169   249 0.64 | transcript=PVP01_1414300.1 | gene=PVP01_1414300 | organism=Plasmodium_vivax_P01 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=PvP01_14_v2:632410-634782(-) | protein_length=790 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1414300.1-p1   -            790 4079at5820           -            677   1.2e-06   25.5   0.2   3   4       5.2   8.9e+02   -3.8   0.0   278   290   254   266   253   269 0.90 | transcript=PVP01_1414300.1 | gene=PVP01_1414300 | organism=Plasmodium_vivax_P01 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=PvP01_14_v2:632410-634782(-) | protein_length=790 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1414300.1-p1   -            790 4079at5820           -            677   1.2e-06   25.5   0.2   4   4   7.1e-09   1.2e-06   25.5   0.2   483   582   623   728   568   767 0.75 | transcript=PVP01_1414300.1 | gene=PVP01_1414300 | organism=Plasmodium_vivax_P01 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=PvP01_14_v2:632410-634782(-) | protein_length=790 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0310700.1-p1   -           1189 4079at5820           -            677   2.5e-05   21.2   3.4   1   2   8.2e-05     0.014   12.1   2.3   190   369   236   415   215   424 0.73 | transcript=PVP01_0310700.1 | gene=PVP01_0310700 | organism=Plasmodium_vivax_P01 | gene_product=DEAD box ATP-dependent RNA helicase, putative | transcript_product=DEAD box ATP-dependent RNA helicase, putative | location=PvP01_03_v2:477928-481497(-) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0310700.1-p1   -           1189 4079at5820           -            677   2.5e-05   21.2   3.4   2   2    0.0018      0.31    7.6   0.0   492   553   846   910   836   927 0.87 | transcript=PVP01_0310700.1 | gene=PVP01_0310700 | organism=Plasmodium_vivax_P01 | gene_product=DEAD box ATP-dependent RNA helicase, putative | transcript_product=DEAD box ATP-dependent RNA helicase, putative | location=PvP01_03_v2:477928-481497(-) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4079at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4079at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4079at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:04 2026
# [ok]
