#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0837800.1-p1   -            595 4767at5820           -            494         0 1054.1  41.6   1   2   1.5e-56   3.3e-54  182.9  19.1     1   132    40   188    40   207 0.88 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308500.1-p1   -            499 4767at5820           -            494   1.8e-08   32.1   6.0   1   3   7.4e-08   1.6e-05   22.3   0.5   170   253    56   140    38   149 0.78 | transcript=PVP01_0308500.1 | gene=PVP01_0308500 | organism=Plasmodium_vivax_P01 | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=PvP01_03_v2:408142-409641(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308500.1-p1   -            499 4767at5820           -            494   1.8e-08   32.1   6.0   2   3       3.8   8.3e+02   -3.1   0.0   316   335   221   238   214   257 0.70 | transcript=PVP01_0308500.1 | gene=PVP01_0308500 | organism=Plasmodium_vivax_P01 | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=PvP01_03_v2:408142-409641(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308500.1-p1   -            499 4767at5820           -            494   1.8e-08   32.1   6.0   3   3   0.00011     0.024   11.8   0.6   203   304   317   420   299   438 0.82 | transcript=PVP01_0308500.1 | gene=PVP01_0308500 | organism=Plasmodium_vivax_P01 | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=PvP01_03_v2:408142-409641(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455700.1-p1   -            511 4767at5820           -            494   3.3e-08   31.2   1.0   1   3       2.3     5e+02   -2.4   0.0   253   306   161   214   159   217 0.72 | transcript=PVP01_1455700.1 | gene=PVP01_1455700 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=PvP01_14_v2:2421554-2423408(+) | protein_length=511 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455700.1-p1   -            511 4767at5820           -            494   3.3e-08   31.2   1.0   2   3   1.5e-10   3.3e-08   31.2   1.0   295   363   277   346   264   360 0.86 | transcript=PVP01_1455700.1 | gene=PVP01_1455700 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=PvP01_14_v2:2421554-2423408(+) | protein_length=511 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455700.1-p1   -            511 4767at5820           -            494   3.3e-08   31.2   1.0   3   3      0.37        80    0.2   0.1   277   353   345   421   343   441 0.65 | transcript=PVP01_1455700.1 | gene=PVP01_1455700 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=PvP01_14_v2:2421554-2423408(+) | protein_length=511 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 4767at5820           -            494   4.6e-08   30.7   9.6   1   5      0.13        27    1.7   0.0   328   359    34    65    19   103 0.87 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 4767at5820           -            494   4.6e-08   30.7   9.6   2   5     0.065        14    2.7   0.1   164   246   145   231   128   241 0.71 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 4767at5820           -            494   4.6e-08   30.7   9.6   3   5    0.0031      0.66    7.1   0.0   195   252   424   481   410   494 0.73 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 4767at5820           -            494   4.6e-08   30.7   9.6   4   5   9.7e-08   2.1e-05   21.9   0.1   268   337   528   602   522   633 0.86 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 4767at5820           -            494   4.6e-08   30.7   9.6   5   5         9     2e+03   -4.4   0.3   386   423   706   743   695   756 0.68 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206100.1-p1   -            720 4767at5820           -            494   3.6e-07   27.7   5.2   1   3   0.00021     0.045   10.9   0.2   276   376   300   399   249   419 0.75 | transcript=PVP01_1206100.1 | gene=PVP01_1206100 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 16, putative | transcript_product=WD repeat-containing protein 16, putative | location=PvP01_12_v2:237679-241110(+) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206100.1-p1   -            720 4767at5820           -            494   3.6e-07   27.7   5.2   2   3   0.00013     0.027   11.6   3.1   171   293   496   620   458   626 0.76 | transcript=PVP01_1206100.1 | gene=PVP01_1206100 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 16, putative | transcript_product=WD repeat-containing protein 16, putative | location=PvP01_12_v2:237679-241110(+) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206100.1-p1   -            720 4767at5820           -            494   3.6e-07   27.7   5.2   3   3   1.6e-09   3.6e-07   27.7   5.2   191   338   559   708   532   717 0.83 | transcript=PVP01_1206100.1 | gene=PVP01_1206100 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 16, putative | transcript_product=WD repeat-containing protein 16, putative | location=PvP01_12_v2:237679-241110(+) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1263600.1-p1   -            834 4767at5820           -            494   1.2e-06   26.0  18.8   1   4   3.9e-08   8.5e-06   23.2   1.2   192   259    78   147    55   164 0.82 | transcript=PVP01_1263600.1 | gene=PVP01_1263600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_12_v2:2629484-2632366(+) | protein_length=834 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1263600.1-p1   -            834 4767at5820           -            494   1.2e-06   26.0  18.8   2   4   0.00047       0.1    9.7   1.2   149   245   233   333   219   348 0.77 | transcript=PVP01_1263600.1 | gene=PVP01_1263600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_12_v2:2629484-2632366(+) | protein_length=834 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1263600.1-p1   -            834 4767at5820           -            494   1.2e-06   26.0  18.8   3   4     0.065        14    2.7   0.1   194   253   432   490   415   514 0.49 | transcript=PVP01_1263600.1 | gene=PVP01_1263600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_12_v2:2629484-2632366(+) | protein_length=834 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1263600.1-p1   -            834 4767at5820           -            494   1.2e-06   26.0  18.8   4   4      0.44        96   -0.1   0.3   410   442   746   778   724   791 0.83 | transcript=PVP01_1263600.1 | gene=PVP01_1263600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_12_v2:2629484-2632366(+) | protein_length=834 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 4767at5820           -            494   3.2e-06   24.6   0.1   1   2       4.3   9.4e+02   -3.3   0.0   475   493   203   221   195   235 0.76 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 4767at5820           -            494   3.2e-06   24.6   0.1   2   2     3e-08   6.6e-06   23.6   0.1   262   338   325   404   292   425 0.82 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202600.1-p1   -            466 4767at5820           -            494   1.4e-05   22.5   1.1   1   2   1.7e-07   3.7e-05   21.1   0.6   302   362   110   170    89   217 0.82 | transcript=PVP01_1202600.1 | gene=PVP01_1202600 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 15, putative | transcript_product=U3 small nucleolar RNA-associated protein 15, putative | location=PvP01_12_v2:108711-111548(-) | protein_length=466 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202600.1-p1   -            466 4767at5820           -            494   1.4e-05   22.5   1.1   2   2      0.71   1.5e+02   -0.7   0.1    20    70   180   229   172   292 0.56 | transcript=PVP01_1202600.1 | gene=PVP01_1202600 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 15, putative | transcript_product=U3 small nucleolar RNA-associated protein 15, putative | location=PvP01_12_v2:108711-111548(-) | protein_length=466 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204400.1-p1   -            447 4767at5820           -            494   0.00028   18.2   0.2   1   2   9.6e-06    0.0021   15.3   0.2   177   335   203   369   123   380 0.64 | transcript=PVP01_0204400.1 | gene=PVP01_0204400 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit C, putative | transcript_product=chromatin assembly factor 1 subunit C, putative | location=PvP01_02_v2:208734-210077(+) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204400.1-p1   -            447 4767at5820           -            494   0.00028   18.2   0.2   2   2      0.33        72    0.4   0.0   216   252   390   429   374   434 0.73 | transcript=PVP01_0204400.1 | gene=PVP01_0204400 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit C, putative | transcript_product=chromatin assembly factor 1 subunit C, putative | location=PvP01_02_v2:208734-210077(+) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0318300.1-p1   -            644 4767at5820           -            494   0.00055   17.2   0.5   1   1   4.6e-06   0.00099   16.4   0.5   228   373   313   455   303   472 0.80 | transcript=PVP01_0318300.1 | gene=PVP01_0318300 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 7, putative | transcript_product=U3 small nucleolar RNA-associated protein 7, putative | location=PvP01_03_v2:772270-774204(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1141000.1-p1   -            361 4767at5820           -            494   0.00093   16.5   0.0   1   1   6.5e-06    0.0014   15.9   0.0   261   353   189   283   176   292 0.86 | transcript=PVP01_1141000.1 | gene=PVP01_1141000 | organism=Plasmodium_vivax_P01 | gene_product=diphthine methyltransferase, putative | transcript_product=diphthine methyltransferase, putative | location=PvP01_11_v2:1737892-1740448(+) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0118700.1-p1   -            574 4767at5820           -            494    0.0084   13.3   0.1   1   2   3.9e-05    0.0084   13.3   0.1   226   342   145   262   136   281 0.81 | transcript=PVP01_0118700.1 | gene=PVP01_0118700 | organism=Plasmodium_vivax_P01 | gene_product=nucleolar protein 10, putative | transcript_product=nucleolar protein 10, putative | location=PvP01_01_v2:858473-860197(+) | protein_length=574 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0118700.1-p1   -            574 4767at5820           -            494    0.0084   13.3   0.1   2   2       4.1   8.9e+02   -3.2   0.7    88   122   508   543   482   553 0.67 | transcript=PVP01_0118700.1 | gene=PVP01_0118700 | organism=Plasmodium_vivax_P01 | gene_product=nucleolar protein 10, putative | transcript_product=nucleolar protein 10, putative | location=PvP01_01_v2:858473-860197(+) | protein_length=574 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225400.1-p1   -           1992 4767at5820           -            494       1.3    6.1   8.3   1   4       1.6   3.4e+02   -1.9   2.1    28    80  1036  1089  1031  1097 0.81 | transcript=PVP01_1225400.1 | gene=PVP01_1225400 | organism=Plasmodium_vivax_P01 | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=PvP01_12_v2:985781-992295(+) | protein_length=1992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225400.1-p1   -           1992 4767at5820           -            494       1.3    6.1   8.3   2   4       4.4   9.5e+02   -3.3   0.0   369   424  1633  1687  1605  1689 0.74 | transcript=PVP01_1225400.1 | gene=PVP01_1225400 | organism=Plasmodium_vivax_P01 | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=PvP01_12_v2:985781-992295(+) | protein_length=1992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225400.1-p1   -           1992 4767at5820           -            494       1.3    6.1   8.3   3   4   0.00045     0.097    9.8   0.0   173   339  1723  1763  1717  1826 0.61 | transcript=PVP01_1225400.1 | gene=PVP01_1225400 | organism=Plasmodium_vivax_P01 | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=PvP01_12_v2:985781-992295(+) | protein_length=1992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225400.1-p1   -           1992 4767at5820           -            494       1.3    6.1   8.3   4   4       2.4   5.1e+02   -2.5   0.0   321   374  1931  1987  1921  1990 0.55 | transcript=PVP01_1225400.1 | gene=PVP01_1225400 | organism=Plasmodium_vivax_P01 | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=PvP01_12_v2:985781-992295(+) | protein_length=1992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4767at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4767at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4767at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:51 2026
# [ok]
