#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1238700.1-p1   -           3088 518at5820            -           2167         0 3488.1 347.8   1   7  2.9e-248    4e-246  818.5  78.5     1   537     1   725     1   741 0.91 | transcript=PVP01_1238700.1 | gene=PVP01_1238700 | organism=Plasmodium_vivax_P01 | gene_product=MORC family protein, putative | transcript_product=MORC family protein, putative | location=PvP01_12_v2:1539628-1548894(+) | protein_length=3088 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1144600.1-p1   -            709 518at5820            -           2167       3.6    2.8   9.5   1   1     0.039       5.3    2.2   9.5  1647  1695   286   334   279   348 0.58 | transcript=PVP01_1144600.1 | gene=PVP01_1144600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:1893939-1896068(-) | protein_length=709 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0617300.1-p1   -            247 518at5820            -           2167       3.9    2.7  42.2   1   1     0.035       4.7    2.4  42.2  1961  2157    83   235    37   246 0.26 | transcript=PVP01_0617300.1 | gene=PVP01_0617300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:716723-718100(-) | protein_length=247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208200.1-p1   -            292 518at5820            -           2167       4.3    2.5  22.1   1   1     0.038       5.1    2.3  22.1  2008  2080    74   138    38   177 0.39 | transcript=PVP01_0208200.1 | gene=PVP01_0208200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_02_v2:342180-343058(-) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315600.1-p1   -           2741 518at5820            -           2167       4.4    2.5  10.0   1   1     0.067       9.1    1.4  10.0  1649  1772   849   964   796   984 0.42 | transcript=PVP01_0315600.1 | gene=PVP01_0315600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:688625-696850(+) | protein_length=2741 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0522700.1-p1   -            411 518at5820            -           2167       5.1    2.3  32.9   1   2   0.00013     0.018   10.4  23.6  1592  1698    63   170    32   183 0.46 | transcript=PVP01_0522700.1 | gene=PVP01_0522700 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein (PHIST), unknown function | transcript_product=Plasmodium exported protein (PHIST), unknown function | location=PvP01_05_v2:914875-916300(-) | protein_length=411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0522700.1-p1   -            411 518at5820            -           2167       5.1    2.3  32.9   2   2       3.2   4.3e+02   -4.1   1.8  1670  1684   388   402   360   411 0.41 | transcript=PVP01_0522700.1 | gene=PVP01_0522700 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein (PHIST), unknown function | transcript_product=Plasmodium exported protein (PHIST), unknown function | location=PvP01_05_v2:914875-916300(-) | protein_length=411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1219900.1-p1   -            411 518at5820            -           2167       5.5    2.2  27.4   1   1     0.056       7.6    1.7  27.4  1964  2151    41   236     8   259 0.32 | transcript=PVP01_1219900.1 | gene=PVP01_1219900 | organism=Plasmodium_vivax_P01 | gene_product=MSP7-like protein | transcript_product=MSP7-like protein | location=PvP01_12_v2:806200-807435(+) | protein_length=411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526400.1-p1   -            319 518at5820            -           2167       6.4    2.0  23.6   1   1     0.053       7.1    1.8  23.6  1634  2148    81   150    33   244 0.42 | transcript=PVP01_0526400.1 | gene=PVP01_0526400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1070413-1071498(+) | protein_length=319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0108700.1-p1   -            748 518at5820            -           2167       6.6    1.9  42.6   1   2    0.0018      0.25    6.6  35.0  1635  1786   189   335   134   357 0.58 | transcript=PVP01_0108700.1 | gene=PVP01_0108700 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 90, putative | transcript_product=heat shock protein 90, putative | location=PvP01_01_v2:420718-423613(+) | protein_length=748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0108700.1-p1   -            748 518at5820            -           2167       6.6    1.9  42.6   2   2       0.2        27   -0.1   0.8   211   294   423   510   363   526 0.72 | transcript=PVP01_0108700.1 | gene=PVP01_0108700 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 90, putative | transcript_product=heat shock protein 90, putative | location=PvP01_01_v2:420718-423613(+) | protein_length=748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139600.1-p1   -            671 518at5820            -           2167       7.1    1.8  12.5   1   1     0.081        11    1.2  12.5  1660  1744    57   141    12   180 0.39 | transcript=PVP01_1139600.1 | gene=PVP01_1139600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:1677852-1680056(-) | protein_length=671 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1314200.1-p1   -           3056 518at5820            -           2167       7.2    1.8  43.9   1   1   3.9e-05    0.0053   12.2  32.3  1572  1755  1555  1731  1532  1780 0.32 | transcript=PVP01_1314200.1 | gene=PVP01_1314200 | organism=Plasmodium_vivax_P01 | gene_product=glutamate synthase [NADH], putative | transcript_product=glutamate synthase [NADH], putative | location=PvP01_13_v2:645712-654882(+) | protein_length=3056 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/518at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/518at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/518at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:46 2026
# [ok]
