#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0909200.1-p1   -            335 8091at5820           -            238  1.5e-169  560.0  12.3   1   1  1.7e-171    2e-169  559.6  12.3     1   238    96   333    96   333 1.00 | transcript=PVP01_0909200.1 | gene=PVP01_0909200 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=PvP01_09_v2:493076-494083(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0422000.1-p1   -           2125 8091at5820           -            238   7.5e-10   37.3   0.3   1   1   1.4e-11   1.5e-09   36.2   0.3    36   140  1795  1899  1759  1916 0.79 | transcript=PVP01_0422000.1 | gene=PVP01_0422000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_04_v2:882364-888741(+) | protein_length=2125 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115100.1-p1   -           4009 8091at5820           -            238   8.8e-10   37.0   1.6   1   2     2e-11   2.3e-09   35.7   0.7    43   141  1290  1386  1246  1397 0.86 | transcript=PVP01_1115100.1 | gene=PVP01_1115100 | organism=Plasmodium_vivax_P01 | gene_product=aurora-related kinase ARK3, putative | transcript_product=aurora-related kinase ARK3, putative | location=PvP01_11_v2:639663-651692(-) | protein_length=4009 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115100.1-p1   -           4009 8091at5820           -            238   8.8e-10   37.0   1.6   2   2       3.6   4.1e+02   -1.1   0.0   206   235  1412  1441  1401  1443 0.86 | transcript=PVP01_1115100.1 | gene=PVP01_1115100 | organism=Plasmodium_vivax_P01 | gene_product=aurora-related kinase ARK3, putative | transcript_product=aurora-related kinase ARK3, putative | location=PvP01_11_v2:639663-651692(-) | protein_length=4009 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215800.1-p1   -            891 8091at5820           -            238   3.6e-09   35.0   0.0   1   2   3.5e-07   3.9e-05   21.8   0.0    41    94   531   585   523   654 0.78 | transcript=PVP01_1215800.1 | gene=PVP01_1215800 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:660557-663232(+) | protein_length=891 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215800.1-p1   -            891 8091at5820           -            238   3.6e-09   35.0   0.0   2   2   0.00083     0.094   10.8   0.0   205   235   860   890   849   891 0.87 | transcript=PVP01_1215800.1 | gene=PVP01_1215800 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:660557-663232(+) | protein_length=891 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0937400.1-p1   -            323 8091at5820           -            238   3.6e-09   35.0   0.6   1   2      0.65        73    1.3   0.0    94   119    32    57    20    60 0.86 | transcript=PVP01_0937400.1 | gene=PVP01_0937400 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=PvP01_09_v2:1606184-1608602(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0937400.1-p1   -            323 8091at5820           -            238   3.6e-09   35.0   0.6   2   2   3.8e-10   4.3e-08   31.5   0.1    34    95    97   160    88   174 0.86 | transcript=PVP01_0937400.1 | gene=PVP01_0937400 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=PvP01_09_v2:1606184-1608602(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922500.1-p1   -            561 8091at5820           -            238   5.5e-09   34.4   4.7   1   3   4.4e-09     5e-07   28.0   2.4     2    88    98   184    97   192 0.81 | transcript=PVP01_0922500.1 | gene=PVP01_0922500 | organism=Plasmodium_vivax_P01 | gene_product=3-phosphoinositide-dependent protein kinase 1, putative | transcript_product=3-phosphoinositide-dependent protein kinase 1, putative | location=PvP01_09_v2:982022-983707(-) | protein_length=561 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922500.1-p1   -            561 8091at5820           -            238   5.5e-09   34.4   4.7   2   3      0.32        36    2.3   0.0   106   141   352   386   332   404 0.70 | transcript=PVP01_0922500.1 | gene=PVP01_0922500 | organism=Plasmodium_vivax_P01 | gene_product=3-phosphoinositide-dependent protein kinase 1, putative | transcript_product=3-phosphoinositide-dependent protein kinase 1, putative | location=PvP01_09_v2:982022-983707(-) | protein_length=561 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922500.1-p1   -            561 8091at5820           -            238   5.5e-09   34.4   4.7   3   3      0.37        42    2.1   0.0   204   235   411   446   400   448 0.81 | transcript=PVP01_0922500.1 | gene=PVP01_0922500 | organism=Plasmodium_vivax_P01 | gene_product=3-phosphoinositide-dependent protein kinase 1, putative | transcript_product=3-phosphoinositide-dependent protein kinase 1, putative | location=PvP01_09_v2:982022-983707(-) | protein_length=561 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262500.1-p1   -           1526 8091at5820           -            238   6.4e-09   34.2   0.1   1   2   5.7e-11   6.4e-09   34.2   0.1    45   141   625   721   606   750 0.83 | transcript=PVP01_1262500.1 | gene=PVP01_1262500 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | location=PvP01_12_v2:2569991-2574722(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262500.1-p1   -           1526 8091at5820           -            238   6.4e-09   34.2   0.1   2   2       1.7   1.9e+02   -0.1   0.0     2    28   910   936   909   961 0.74 | transcript=PVP01_1262500.1 | gene=PVP01_1262500 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | location=PvP01_12_v2:2569991-2574722(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724600.1-p1   -           3250 8091at5820           -            238   4.3e-08   31.5   0.7   1   1   8.2e-10   9.3e-08   30.4   0.7    48   151  3064  3188  3011  3201 0.65 | transcript=PVP01_0724600.1 | gene=PVP01_0724600 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1049322-1059074(-) | protein_length=3250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0733500.1-p1   -            341 8091at5820           -            238   4.5e-08   31.4   2.1   1   2       2.6     3e+02   -0.7   0.0    19    47    83   111    65   119 0.73 | transcript=PVP01_0733500.1 | gene=PVP01_0733500 | organism=Plasmodium_vivax_P01 | gene_product=cAMP-dependent protein kinase catalytic subunit, putative | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative | location=PvP01_07_v2:1376764-1378505(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0733500.1-p1   -            341 8091at5820           -            238   4.5e-08   31.4   2.1   2   2   6.5e-10   7.3e-08   30.7   0.6    36   145   128   233   104   303 0.70 | transcript=PVP01_0733500.1 | gene=PVP01_0733500 | organism=Plasmodium_vivax_P01 | gene_product=cAMP-dependent protein kinase catalytic subunit, putative | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative | location=PvP01_07_v2:1376764-1378505(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202200.1-p1   -            423 8091at5820           -            238   7.8e-07   27.4   1.8   1   2   3.4e-07   3.8e-05   21.9   1.5    20    97    97   179    80   201 0.69 | transcript=PVP01_1202200.1 | gene=PVP01_1202200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_12_v2:92438-95743(+) | protein_length=423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202200.1-p1   -            423 8091at5820           -            238   7.8e-07   27.4   1.8   2   2      0.18        20    3.1   0.0   209   235   230   256   222   259 0.91 | transcript=PVP01_1202200.1 | gene=PVP01_1202200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_12_v2:92438-95743(+) | protein_length=423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0118800.1-p1   -            721 8091at5820           -            238   2.8e-06   25.6   0.5   1   1   3.8e-08   4.2e-06   25.0   0.5    30   152   540   667   514   692 0.74 | transcript=PVP01_0118800.1 | gene=PVP01_0118800 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_01_v2:862457-865487(+) | protein_length=721 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424400.1-p1   -            517 8091at5820           -            238   3.5e-06   25.2   2.2   1   3   8.1e-07   9.1e-05   20.6   0.3    36    76   306   346   241   359 0.87 | transcript=PVP01_1424400.1 | gene=PVP01_1424400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_14_v2:1058768-1060867(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424400.1-p1   -            517 8091at5820           -            238   3.5e-06   25.2   2.2   2   3      0.63        71    1.3   0.1   103   142   422   460   386   470 0.71 | transcript=PVP01_1424400.1 | gene=PVP01_1424400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_14_v2:1058768-1060867(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424400.1-p1   -            517 8091at5820           -            238   3.5e-06   25.2   2.2   3   3       1.3   1.4e+02    0.4   0.0   205   234   482   511   470   513 0.87 | transcript=PVP01_1424400.1 | gene=PVP01_1424400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_14_v2:1058768-1060867(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1464600.1-p1   -            730 8091at5820           -            238   4.2e-06   25.0   4.2   1   1   4.5e-08   5.1e-06   24.7   2.9    12   145    93   246    81   278 0.70 | transcript=PVP01_1464600.1 | gene=PVP01_1464600 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_14_v2:2767708-2769900(+) | protein_length=730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0207300.1-p1   -           3308 8091at5820           -            238   4.9e-06   24.8   0.4   1   2   5.7e-07   6.4e-05   21.1   0.5    41    97  3104  3159  3089  3172 0.84 | transcript=PVP01_0207300.1 | gene=PVP01_0207300 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | location=PvP01_02_v2:297497-308722(-) | protein_length=3308 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0207300.1-p1   -           3308 8091at5820           -            238   4.9e-06   24.8   0.4   2   2       1.1   1.3e+02    0.5   0.0    98   138  3204  3243  3191  3248 0.80 | transcript=PVP01_0207300.1 | gene=PVP01_0207300 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | location=PvP01_02_v2:297497-308722(-) | protein_length=3308 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1300900.1-p1   -            296 8091at5820           -            238   5.5e-06   24.6   4.2   1   2   6.1e-08   6.9e-06   24.3   0.6     2    89    84   174    83   228 0.70 | transcript=PVP01_1300900.1 | gene=PVP01_1300900 | organism=Plasmodium_vivax_P01 | gene_product=NIMA related kinase 3, putative | transcript_product=NIMA related kinase 3, putative | location=PvP01_13_v2:41061-41951(-) | protein_length=296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1300900.1-p1   -            296 8091at5820           -            238   5.5e-06   24.6   4.2   2   2      0.54        61    1.5   0.2   181   222   228   269   222   278 0.85 | transcript=PVP01_1300900.1 | gene=PVP01_1300900 | organism=Plasmodium_vivax_P01 | gene_product=NIMA related kinase 3, putative | transcript_product=NIMA related kinase 3, putative | location=PvP01_13_v2:41061-41951(-) | protein_length=296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413200.1-p1   -           1029 8091at5820           -            238   7.5e-06   24.2   0.1   1   1     2e-07   2.3e-05   22.6   0.1    20   141   840   964   826   977 0.76 | transcript=PVP01_0413200.1 | gene=PVP01_0413200 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_04_v2:537325-540414(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411500.1-p1   -            344 8091at5820           -            238   1.2e-05   23.5   0.0   1   1     2e-07   2.2e-05   22.6   0.0    47   142   154   249   141   286 0.80 | transcript=PVP01_0411500.1 | gene=PVP01_0411500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 7, putative | transcript_product=protein kinase 7, putative | location=PvP01_04_v2:470144-471765(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1265700.1-p1   -           2433 8091at5820           -            238   1.6e-05   23.1   0.7   1   1   1.2e-06   0.00014   20.0   0.7    38   153   216   357   180   369 0.64 | transcript=PVP01_1265700.1 | gene=PVP01_1265700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:2723739-2731820(-) | protein_length=2433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1205500.1-p1   -           1714 8091at5820           -            238   2.1e-05   22.7   1.5   1   2      0.74        83    1.1   0.3    14    61   283   333   271   338 0.79 | transcript=PVP01_1205500.1 | gene=PVP01_1205500 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_12_v2:211272-216416(-) | protein_length=1714 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1205500.1-p1   -           1714 8091at5820           -            238   2.1e-05   22.7   1.5   2   2   1.5e-06   0.00016   19.8   0.0    25   138  1522  1636  1512  1655 0.75 | transcript=PVP01_1205500.1 | gene=PVP01_1205500 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_12_v2:211272-216416(-) | protein_length=1714 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905700.1-p1   -           1294 8091at5820           -            238   3.1e-05   22.1   4.2   1   3   2.8e-07   3.1e-05   22.1   4.2     2    79   337   415   336   440 0.75 | transcript=PVP01_0905700.1 | gene=PVP01_0905700 | organism=Plasmodium_vivax_P01 | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=PvP01_09_v2:335375-339259(+) | protein_length=1294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905700.1-p1   -           1294 8091at5820           -            238   3.1e-05   22.1   4.2   2   3       2.7     3e+02   -0.7   0.1   106   148   548   590   534   601 0.65 | transcript=PVP01_0905700.1 | gene=PVP01_0905700 | organism=Plasmodium_vivax_P01 | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=PvP01_09_v2:335375-339259(+) | protein_length=1294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905700.1-p1   -           1294 8091at5820           -            238   3.1e-05   22.1   4.2   3   3         9     1e+03   -2.5   0.0   208   234   620   647   595   650 0.81 | transcript=PVP01_0905700.1 | gene=PVP01_0905700 | organism=Plasmodium_vivax_P01 | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=PvP01_09_v2:335375-339259(+) | protein_length=1294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945900.1-p1   -           2011 8091at5820           -            238   9.3e-05   20.6   0.0   1   1   1.7e-06   0.00019   19.6   0.0    42    93   177   227   138   291 0.76 | transcript=PVP01_0945900.1 | gene=PVP01_0945900 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_09_v2:2001384-2007419(-) | protein_length=2011 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0114800.1-p1   -           1422 8091at5820           -            238   0.00012   20.3   0.7   1   1   2.8e-06   0.00032   18.9   0.7    24    88  1200  1262  1186  1281 0.82 | transcript=PVP01_0114800.1 | gene=PVP01_0114800 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, FIKK family | transcript_product=serine/threonine protein kinase, FIKK family | location=PvP01_01_v2:658723-663278(+) | protein_length=1422 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0410300.1-p1   -           1621 8091at5820           -            238   0.00019   19.6   0.1   1   1   3.8e-06   0.00043   18.4   0.1    30    78  1205  1254  1177  1264 0.83 | transcript=PVP01_0410300.1 | gene=PVP01_0410300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase STK2, putative | transcript_product=serine/threonine protein kinase STK2, putative | location=PvP01_04_v2:420492-425357(-) | protein_length=1621 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828800.1-p1   -           3003 8091at5820           -            238   0.00065   17.8   0.1   1   2   1.9e-05    0.0021   16.1   0.1    36   144   267   385   258   400 0.78 | transcript=PVP01_0828800.1 | gene=PVP01_0828800 | organism=Plasmodium_vivax_P01 | gene_product=kinase-related protein PKRP, putative | transcript_product=kinase-related protein PKRP, putative | location=PvP01_08_v2:1236390-1245587(-) | protein_length=3003 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828800.1-p1   -           3003 8091at5820           -            238   0.00065   17.8   0.1   2   2       6.2   6.9e+02   -1.9   0.0   206   234   416   444   396   446 0.88 | transcript=PVP01_0828800.1 | gene=PVP01_0828800 | organism=Plasmodium_vivax_P01 | gene_product=kinase-related protein PKRP, putative | transcript_product=kinase-related protein PKRP, putative | location=PvP01_08_v2:1236390-1245587(-) | protein_length=3003 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0727300.1-p1   -            601 8091at5820           -            238    0.0017   16.4   0.3   1   2   0.00011     0.013   13.6   0.4    45    78   390   423   373   439 0.81 | transcript=PVP01_0727300.1 | gene=PVP01_0727300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_07_v2:1160934-1162739(+) | protein_length=601 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0727300.1-p1   -            601 8091at5820           -            238    0.0017   16.4   0.3   2   2       2.5   2.8e+02   -0.6   0.0   207   232   548   573   543   575 0.89 | transcript=PVP01_0727300.1 | gene=PVP01_0727300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_07_v2:1160934-1162739(+) | protein_length=601 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8091at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8091at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8091at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:49:57 2026
# [ok]
