#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0727300.1-p1   -            601 9615at5820           -            352  3.8e-158  524.8   8.7   1   3   4.2e-05    0.0083   13.9   0.0    14    36   107   129    98   148 0.86 | transcript=PVP01_0727300.1 | gene=PVP01_0727300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_07_v2:1160934-1162739(+) | protein_length=601 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115100.1-p1   -           4009 9615at5820           -            352    0.0083   13.9   8.3   1   3   5.5e-05     0.011   13.5   1.4   110   209  1234  1328  1221  1335 0.81 | transcript=PVP01_1115100.1 | gene=PVP01_1115100 | organism=Plasmodium_vivax_P01 | gene_product=aurora-related kinase ARK3, putative | transcript_product=aurora-related kinase ARK3, putative | location=PvP01_11_v2:639663-651692(-) | protein_length=4009 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115100.1-p1   -           4009 9615at5820           -            352    0.0083   13.9   8.3   2   3     0.042       8.3    4.0   0.0   276   348  1369  1438  1348  1440 0.85 | transcript=PVP01_1115100.1 | gene=PVP01_1115100 | organism=Plasmodium_vivax_P01 | gene_product=aurora-related kinase ARK3, putative | transcript_product=aurora-related kinase ARK3, putative | location=PvP01_11_v2:639663-651692(-) | protein_length=4009 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115100.1-p1   -           4009 9615at5820           -            352    0.0083   13.9   8.3   3   3       7.1   1.4e+03   -3.3   0.2    25    49  2651  2675  2649  2680 0.86 | transcript=PVP01_1115100.1 | gene=PVP01_1115100 | organism=Plasmodium_vivax_P01 | gene_product=aurora-related kinase ARK3, putative | transcript_product=aurora-related kinase ARK3, putative | location=PvP01_11_v2:639663-651692(-) | protein_length=4009 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0410300.1-p1   -           1621 9615at5820           -            352    0.0086   13.8   3.0   1   2     0.012       2.3    5.9   2.2   170   208  1218  1256  1109  1263 0.90 | transcript=PVP01_0410300.1 | gene=PVP01_0410300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase STK2, putative | transcript_product=serine/threonine protein kinase STK2, putative | location=PvP01_04_v2:420492-425357(-) | protein_length=1621 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0410300.1-p1   -           1621 9615at5820           -            352    0.0086   13.8   3.0   2   2     0.014       2.7    5.7   0.0   273   302  1536  1564  1515  1613 0.75 | transcript=PVP01_0410300.1 | gene=PVP01_0410300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase STK2, putative | transcript_product=serine/threonine protein kinase STK2, putative | location=PvP01_04_v2:420492-425357(-) | protein_length=1621 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513200.1-p1   -            800 9615at5820           -            352     0.011   13.5  10.7   1   3      0.24        48    1.5   0.1   110   134    75    99    61   123 0.73 | transcript=PVP01_0513200.1 | gene=PVP01_0513200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=PvP01_05_v2:547872-550471(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513200.1-p1   -            800 9615at5820           -            352     0.011   13.5  10.7   2   3   0.00034     0.068   10.9   2.6   172   224   239   290   221   303 0.77 | transcript=PVP01_0513200.1 | gene=PVP01_0513200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=PvP01_05_v2:547872-550471(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513200.1-p1   -            800 9615at5820           -            352     0.011   13.5  10.7   3   3     0.027       5.2    4.7   0.1   319   348   687   716   677   718 0.87 | transcript=PVP01_0513200.1 | gene=PVP01_0513200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=PvP01_05_v2:547872-550471(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521800.1-p1   -           1610 9615at5820           -            352       8.3    4.0  14.2   1   1    0.0012      0.24    9.1   0.0   146   202   881   935   860   942 0.72 | transcript=PVP01_0521800.1 | gene=PVP01_0521800 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related kinase 3, putative, cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=PvP01_05_v2:884331-889289(+) | protein_length=1610 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9615at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9615at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9615at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:52:03 2026
# [ok]
