#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0116800.1-p1   -           1093 2167at5820           -            898         0 1746.0 122.5   1   3         0         0 1680.2  55.6     1   824     1   874     1   876 0.93 | transcript=PVP01_0116800.1 | gene=PVP01_0116800 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair and recombination protein RAD54, putative | transcript_product=DNA repair and recombination protein RAD54, putative | location=PvP01_01_v2:763437-766718(-) | protein_length=1093 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1314200.1-p1   -           3056 2167at5820           -            898      0.12    8.7  29.6   1   1    0.0018      0.28    7.6  29.6   768   876  1646  1754  1633  1772 0.45 | transcript=PVP01_1314200.1 | gene=PVP01_1314200 | organism=Plasmodium_vivax_P01 | gene_product=glutamate synthase [NADH], putative | transcript_product=glutamate synthase [NADH], putative | location=PvP01_13_v2:645712-654882(+) | protein_length=3056 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415700.1-p1   -            731 2167at5820           -            898      0.13    8.7  18.6   1   1    0.0014      0.23    7.9  18.6   764   869   183   289   170   354 0.63 | transcript=PVP01_0415700.1 | gene=PVP01_0415700 | organism=Plasmodium_vivax_P01 | gene_product=patatin-like phospholipase 1, putative | transcript_product=patatin-like phospholipase 1, putative | location=PvP01_04_v2:632349-634916(+) | protein_length=731 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1005900.1-p1   -            667 2167at5820           -            898      0.24    7.8  23.4   1   1    0.0026      0.41    7.0  23.4   760   882    49   178    31   185 0.43 | transcript=PVP01_1005900.1 | gene=PVP01_1005900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX41, putative | transcript_product=ATP-dependent RNA helicase DDX41, putative | location=PvP01_10_v2:267076-269079(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0812300.1-p1   -            254 2167at5820           -            898      0.37    7.2  20.2   1   1     0.003      0.48    6.8  20.2   775   889    58   175    24   184 0.60 | transcript=PVP01_0812300.1 | gene=PVP01_0812300 | organism=Plasmodium_vivax_P01 | gene_product=rhoptry associated adhesin, putative | transcript_product=rhoptry associated adhesin, putative | location=PvP01_08_v2:525093-526201(+) | protein_length=254 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526300.1-p1   -           2224 2167at5820           -            898      0.37    7.2  13.1   1   1    0.0057      0.91    5.9  13.1   772   816   102   144    76   203 0.54 | transcript=PVP01_0526300.1 | gene=PVP01_0526300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1061019-1067947(-) | protein_length=2224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0409600.1-p1   -            793 2167at5820           -            898      0.75    6.2   7.6   1   1    0.0072       1.1    5.6   7.6   763   862   501   605   492   618 0.37 | transcript=PVP01_0409600.1 | gene=PVP01_0409600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_04_v2:388246-390629(+) | protein_length=793 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731600.1-p1   -            264 2167at5820           -            898      0.84    6.0  28.0   1   1    0.0069       1.1    5.6  28.0   759   885    72   201    60   212 0.50 | transcript=PVP01_0731600.1 | gene=PVP01_0731600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1327085-1327879(-) | protein_length=264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1318100.1-p1   -            780 2167at5820           -            898       1.5    5.2  31.1   1   1     0.015       2.4    4.5  31.1   772   822   203   252   184   307 0.47 | transcript=PVP01_1318100.1 | gene=PVP01_1318100 | organism=Plasmodium_vivax_P01 | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=PvP01_13_v2:841539-844043(-) | protein_length=780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0412800.1-p1   -           1620 2167at5820           -            898       1.6    5.0  18.3   1   1     0.016       2.6    4.4  18.3   765   809  1320  1358  1290  1380 0.43 | transcript=PVP01_0412800.1 | gene=PVP01_0412800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_04_v2:522625-527487(-) | protein_length=1620 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452300.1-p1   -           1884 2167at5820           -            898       1.8    4.9   6.0   1   1     0.023       3.6    3.9   6.0   767   801   362   395   348   439 0.45 | transcript=PVP01_1452300.1 | gene=PVP01_1452300 | organism=Plasmodium_vivax_P01 | gene_product=helicase, putative | transcript_product=helicase, putative | location=PvP01_14_v2:2288506-2294160(+) | protein_length=1884 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024700.1-p1   -            143 2167at5820           -            898       2.3    4.5  18.3   1   1     0.018       2.9    4.2  18.3   760   832    56   127    42   135 0.41 | transcript=PVP01_1024700.1 | gene=PVP01_1024700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:1078491-1079181(+) | protein_length=143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0106500.1-p1   -            162 2167at5820           -            898       2.6    4.4  10.2   1   1     0.018       2.8    4.3  10.2   772   842     6    76     1   103 0.36 | transcript=PVP01_0106500.1 | gene=PVP01_0106500 | organism=Plasmodium_vivax_P01 | gene_product=apicomplexan kinetochore protein 11, putative | transcript_product=apicomplexan kinetochore protein 11, putative | location=PvP01_01_v2:338072-338769(+) | protein_length=162 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006800.1-p1   -            971 2167at5820           -            898       2.6    4.4  29.2   1   1   3.2e-05    0.0051   13.3  19.0   771   860   792   871   718   911 0.45 | transcript=PVP01_1006800.1 | gene=PVP01_1006800 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=PvP01_10_v2:298381-301416(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1451300.1-p1   -            166 2167at5820           -            898       2.7    4.3  11.3   1   1      0.02       3.1    4.1  11.3   758   857    36   134    22   159 0.63 | transcript=PVP01_1451300.1 | gene=PVP01_1451300 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_14_v2:2225634-2226134(+) | protein_length=166 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0309300.1-p1   -            862 2167at5820           -            898       6.8    3.0  24.5   1   1     0.093        15    1.9  24.5   775   854    97   175    75   182 0.49 | transcript=PVP01_0309300.1 | gene=PVP01_0309300 | organism=Plasmodium_vivax_P01 | gene_product=erythrocyte vesicle protein 1, putative | transcript_product=erythrocyte vesicle protein 1, putative | location=PvP01_03_v2:434117-436824(-) | protein_length=862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1228600.1-p1   -            822 2167at5820           -            898       7.6    2.8   8.9   1   1     0.071        11    2.3   8.9   762   791   505   534   483   556 0.47 | transcript=PVP01_1228600.1 | gene=PVP01_1228600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1134415-1137148(-) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1235700.1-p1   -            273 2167at5820           -            898       7.7    2.8  17.1   1   2     0.019         3    4.2   0.2   460   513    94   149     5   173 0.71 | transcript=PVP01_1235700.1 | gene=PVP01_1235700 | organism=Plasmodium_vivax_P01 | gene_product=exported protein 2, putative | transcript_product=exported protein 2, putative | location=PvP01_12_v2:1424671-1425797(+) | protein_length=273 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1235700.1-p1   -            273 2167at5820           -            898       7.7    2.8  17.1   2   2     0.074        12    2.2  11.8   772   814   228   269   185   273 0.35 | transcript=PVP01_1235700.1 | gene=PVP01_1235700 | organism=Plasmodium_vivax_P01 | gene_product=exported protein 2, putative | transcript_product=exported protein 2, putative | location=PvP01_12_v2:1424671-1425797(+) | protein_length=273 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0422700.1-p1   -            392 2167at5820           -            898       7.8    2.8  31.1   1   1     0.067        11    2.4  31.1   760   828   106   177    93   238 0.53 | transcript=PVP01_0422700.1 | gene=PVP01_0422700 | organism=Plasmodium_vivax_P01 | gene_product=gamete antigen 27/25, putative | transcript_product=gamete antigen 27/25, putative | location=PvP01_04_v2:918265-919443(-) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0942500.1-p1   -            426 2167at5820           -            898       7.9    2.8  49.1   1   2         2   3.1e+02   -2.5   0.1   826   850   130   154   111   179 0.61 | transcript=PVP01_0942500.1 | gene=PVP01_0942500 | organism=Plasmodium_vivax_P01 | gene_product=EELM2 domain-containing protein, putative | transcript_product=EELM2 domain-containing protein, putative | location=PvP01_09_v2:1877534-1879741(-) | protein_length=426 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0942500.1-p1   -            426 2167at5820           -            898       7.9    2.8  49.1   2   2    0.0078       1.2    5.4  44.9   758   821   354   418   321   425 0.49 | transcript=PVP01_0942500.1 | gene=PVP01_0942500 | organism=Plasmodium_vivax_P01 | gene_product=EELM2 domain-containing protein, putative | transcript_product=EELM2 domain-containing protein, putative | location=PvP01_09_v2:1877534-1879741(-) | protein_length=426 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2167at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2167at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2167at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:19 2026
# [ok]
