#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1330000.1-p1   -            877 3396at5820           -            652         0 1269.6  89.1   1   5   3.2e-12   5.9e-10   36.7  14.2     2    53    14    79    13    83 0.71 | transcript=PVP01_1330000.1 | gene=PVP01_1330000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP4, putative | transcript_product=ATP-dependent RNA helicase DBP4, putative | location=PvP01_13_v2:1271625-1274418(+) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113300.1-p1   -           1261 3396at5820           -            652   1.6e-12   45.2  17.9   1   3   0.00015     0.028   11.4   0.0    66   128    26    88    20   100 0.91 | transcript=PVP01_0113300.1 | gene=PVP01_0113300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase PSH3, putative | transcript_product=DNA helicase PSH3, putative | location=PvP01_01_v2:597824-601609(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113300.1-p1   -           1261 3396at5820           -            652   1.6e-12   45.2  17.9   2   3   0.00046     0.086    9.8   0.1   216   276   283   344   278   348 0.83 | transcript=PVP01_0113300.1 | gene=PVP01_0113300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase PSH3, putative | transcript_product=DNA helicase PSH3, putative | location=PvP01_01_v2:597824-601609(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113300.1-p1   -           1261 3396at5820           -            652   1.6e-12   45.2  17.9   3   3   6.4e-12   1.2e-09   35.7   0.7   339   418   611   697   577   711 0.70 | transcript=PVP01_0113300.1 | gene=PVP01_0113300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase PSH3, putative | transcript_product=DNA helicase PSH3, putative | location=PvP01_01_v2:597824-601609(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907400.1-p1   -           1329 3396at5820           -            652   9.2e-10   36.1  10.2   1   3    0.0032       0.6    7.0   0.1    29   130   104   205    83   216 0.82 | transcript=PVP01_0907400.1 | gene=PVP01_0907400 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_09_v2:394370-398359(+) | protein_length=1329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907400.1-p1   -           1329 3396at5820           -            652   9.2e-10   36.1  10.2   2   3      0.28        53    0.5   0.1   185   238   499   552   460   563 0.74 | transcript=PVP01_0907400.1 | gene=PVP01_0907400 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_09_v2:394370-398359(+) | protein_length=1329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907400.1-p1   -           1329 3396at5820           -            652   9.2e-10   36.1  10.2   3   3   1.1e-10   2.1e-08   31.6   2.3   315   411   886   978   877   982 0.90 | transcript=PVP01_0907400.1 | gene=PVP01_0907400 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_09_v2:394370-398359(+) | protein_length=1329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1029800.1-p1   -            522 3396at5820           -            652   8.7e-08   29.6  23.8   1   1   1.3e-09   2.5e-07   28.1  23.8   110   453   139   490    89   500 0.67 | transcript=PVP01_1029800.1 | gene=PVP01_1029800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX27, putative | transcript_product=ATP-dependent RNA helicase DDX27, putative | location=PvP01_10_v2:1285939-1287889(-) | protein_length=522 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0717000.1-p1   -            732 3396at5820           -            652   7.8e-06   23.1   1.8   1   2      0.87   1.6e+02   -1.1   0.2   415   448   134   167    95   219 0.67 | transcript=PVP01_0717000.1 | gene=PVP01_0717000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA helicase Q1, putative | transcript_product=ATP-dependent DNA helicase Q1, putative | location=PvP01_07_v2:757887-760085(+) | protein_length=732 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0717000.1-p1   -            732 3396at5820           -            652   7.8e-06   23.1   1.8   2   2   4.2e-08   7.8e-06   23.1   1.8   332   452   390   509   340   526 0.69 | transcript=PVP01_0717000.1 | gene=PVP01_0717000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA helicase Q1, putative | transcript_product=ATP-dependent DNA helicase Q1, putative | location=PvP01_07_v2:757887-760085(+) | protein_length=732 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1414300.1-p1   -            790 3396at5820           -            652   9.4e-06   22.8   6.9   1   3    0.0012      0.23    8.4   0.4    54   133    97   175    82   183 0.77 | transcript=PVP01_1414300.1 | gene=PVP01_1414300 | organism=Plasmodium_vivax_P01 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=PvP01_14_v2:632410-634782(-) | protein_length=790 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1414300.1-p1   -            790 3396at5820           -            652   9.4e-06   22.8   6.9   2   3       4.8     9e+02   -3.5   0.3   116   162   405   446   357   457 0.52 | transcript=PVP01_1414300.1 | gene=PVP01_1414300 | organism=Plasmodium_vivax_P01 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=PvP01_14_v2:632410-634782(-) | protein_length=790 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1414300.1-p1   -            790 3396at5820           -            652   9.4e-06   22.8   6.9   3   3   1.6e-06    0.0003   17.9   0.0   377   436   669   726   637   751 0.79 | transcript=PVP01_1414300.1 | gene=PVP01_1414300 | organism=Plasmodium_vivax_P01 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=PvP01_14_v2:632410-634782(-) | protein_length=790 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0211100.1-p1   -           1408 3396at5820           -            652   1.9e-05   21.9   7.9   1   2      0.01       1.9    5.3   0.0   189   226   905   942   899   952 0.90 | transcript=PVP01_0211100.1 | gene=PVP01_0211100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA/RNA helicase PSH1, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH1, putative | location=PvP01_02_v2:449693-454241(-) | protein_length=1408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0211100.1-p1   -           1408 3396at5820           -            652   1.9e-05   21.9   7.9   2   2   1.4e-05    0.0026   14.8   6.7   302   418  1134  1262  1125  1280 0.71 | transcript=PVP01_0211100.1 | gene=PVP01_0211100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA/RNA helicase PSH1, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH1, putative | location=PvP01_02_v2:449693-454241(-) | protein_length=1408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3396at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3396at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3396at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:40 2026
# [ok]
