#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0519300.1-p1   -            458 6833at5820           -            348  1.5e-177  588.4  15.9   1   4   5.3e-15   1.7e-12   45.5   0.2     1    31     1    31     1    34 0.95 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 6833at5820           -            348   1.3e-05   22.9   1.3   1   3      0.24        78    0.6   0.0   268   344   245   327   140   331 0.71 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 6833at5820           -            348   1.3e-05   22.9   1.3   2   3   0.00042      0.14    9.7   0.1   230   291   417   480   359   487 0.88 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 6833at5820           -            348   1.3e-05   22.9   1.3   3   3   0.00066      0.21    9.0   0.0   236   292   538   601   513   618 0.78 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439900.1-p1   -            430 6833at5820           -            348   0.00017   19.2   1.2   1   2         3   9.7e+02   -3.0   0.0    96   113    61    78    58    93 0.85 | transcript=PVP01_1439900.1 | gene=PVP01_1439900 | organism=Plasmodium_vivax_P01 | gene_product=protein TSSC1, putative | transcript_product=protein TSSC1, putative | location=PvP01_14_v2:1702773-1704065(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439900.1-p1   -            430 6833at5820           -            348   0.00017   19.2   1.2   2   2   5.2e-07   0.00017   19.2   1.2   217   291   287   365   260   399 0.82 | transcript=PVP01_1439900.1 | gene=PVP01_1439900 | organism=Plasmodium_vivax_P01 | gene_product=protein TSSC1, putative | transcript_product=protein TSSC1, putative | location=PvP01_14_v2:1702773-1704065(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605500.1-p1   -            735 6833at5820           -            348   0.00053   17.6   0.5   1   3       4.2   1.4e+03   -3.5   0.0   145   163   499   517   484   523 0.83 | transcript=PVP01_0605500.1 | gene=PVP01_0605500 | organism=Plasmodium_vivax_P01 | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=PvP01_06_v2:223767-225974(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605500.1-p1   -            735 6833at5820           -            348   0.00053   17.6   0.5   2   3   7.1e-06    0.0023   15.5   0.1   124   190   622   690   609   697 0.84 | transcript=PVP01_0605500.1 | gene=PVP01_0605500 | organism=Plasmodium_vivax_P01 | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=PvP01_06_v2:223767-225974(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605500.1-p1   -            735 6833at5820           -            348   0.00053   17.6   0.5   3   3      0.54   1.7e+02   -0.5   0.0   147   164   689   706   682   722 0.78 | transcript=PVP01_0605500.1 | gene=PVP01_0605500 | organism=Plasmodium_vivax_P01 | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=PvP01_06_v2:223767-225974(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0318300.1-p1   -            644 6833at5820           -            348    0.0029   15.2   0.1   1   1   2.8e-05    0.0092   13.5   0.0   240   292   325   377   307   418 0.87 | transcript=PVP01_0318300.1 | gene=PVP01_0318300 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 7, putative | transcript_product=U3 small nucleolar RNA-associated protein 7, putative | location=PvP01_03_v2:772270-774204(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6833at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6833at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6833at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:46 2026
# [ok]
