#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0922500.1-p1   -            561 7185at5820           -            435  1.7e-235  780.2  57.5   1   2  7.8e-128  9.6e-126  418.5  21.7     1   224     1   235     1   255 0.92 | transcript=PVP01_0922500.1 | gene=PVP01_0922500 | organism=Plasmodium_vivax_P01 | gene_product=3-phosphoinositide-dependent protein kinase 1, putative | transcript_product=3-phosphoinositide-dependent protein kinase 1, putative | location=PvP01_09_v2:982022-983707(-) | protein_length=561 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0914700.1-p1   -            575 7185at5820           -            435   2.4e-15   54.7  11.5   3   3      0.76        93    0.0   0.0   297   340   477   515   472   529 0.78 | transcript=PVP01_0914700.1 | gene=PVP01_0914700 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=PvP01_09_v2:671593-673320(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424400.1-p1   -            517 7185at5820           -            435   1.3e-14   52.3   4.6   1   1   1.8e-16   2.2e-14   51.5   4.6    56   329   239   506   232   516 0.75 | transcript=PVP01_1424400.1 | gene=PVP01_1424400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_14_v2:1058768-1060867(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457000.1-p1   -            508 7185at5820           -            435   1.6e-14   52.0  19.5   1   2   1.9e-16   2.3e-14   51.5   4.1    33   186   115   263   107   267 0.80 | transcript=PVP01_1457000.1 | gene=PVP01_1457000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 2, putative | transcript_product=protein kinase 2, putative | location=PvP01_14_v2:2470814-2472340(-) | protein_length=508 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457000.1-p1   -            508 7185at5820           -            435   1.6e-14   52.0  19.5   2   2     0.012       1.5    5.9   7.4   239   352   266   385   261   467 0.67 | transcript=PVP01_1457000.1 | gene=PVP01_1457000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 2, putative | transcript_product=protein kinase 2, putative | location=PvP01_14_v2:2470814-2472340(-) | protein_length=508 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905700.1-p1   -           1294 7185at5820           -            435   1.9e-14   51.7  15.1   1   2   6.5e-12     8e-10   36.5  10.0    58   165   306   410   288   433 0.78 | transcript=PVP01_0905700.1 | gene=PVP01_0905700 | organism=Plasmodium_vivax_P01 | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=PvP01_09_v2:335375-339259(+) | protein_length=1294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905700.1-p1   -           1294 7185at5820           -            435   1.9e-14   51.7  15.1   2   2   3.2e-06    0.0004   17.7   0.2   229   325   533   637   496   667 0.68 | transcript=PVP01_0905700.1 | gene=PVP01_0905700 | organism=Plasmodium_vivax_P01 | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=PvP01_09_v2:335375-339259(+) | protein_length=1294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0527200.1-p1   -            622 7185at5820           -            435   2.7e-14   51.2   9.3   1   3   6.2e-14   7.6e-12   43.2   5.9    34   191   282   438   271   442 0.77 | transcript=PVP01_0527200.1 | gene=PVP01_0527200 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=PvP01_05_v2:1113369-1115237(-) | protein_length=622 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0527200.1-p1   -            622 7185at5820           -            435   2.7e-14   51.2   9.3   2   3     0.061       7.5    3.6   0.1   243   273   443   474   435   486 0.76 | transcript=PVP01_0527200.1 | gene=PVP01_0527200 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=PvP01_05_v2:1113369-1115237(-) | protein_length=622 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0527200.1-p1   -            622 7185at5820           -            435   2.7e-14   51.2   9.3   3   3     0.045       5.6    4.1   0.0   305   340   551   582   538   605 0.86 | transcript=PVP01_0527200.1 | gene=PVP01_0527200 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=PvP01_05_v2:1113369-1115237(-) | protein_length=622 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0207300.1-p1   -           3308 7185at5820           -            435     3e-14   51.1   2.0   1   1   5.8e-16   7.1e-14   49.9   2.0   101   276  3074  3243  3057  3291 0.84 | transcript=PVP01_0207300.1 | gene=PVP01_0207300 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | location=PvP01_02_v2:297497-308722(-) | protein_length=3308 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1143600.1-p1   -            354 7185at5820           -            435   3.2e-14   51.0   0.2   1   2   2.7e-13   3.4e-11   41.0   0.1    24   179    27   178    19   182 0.83 | transcript=PVP01_1143600.1 | gene=PVP01_1143600 | organism=Plasmodium_vivax_P01 | gene_product=aurora-related kinase ARK1, putative | transcript_product=aurora-related kinase ARK1, putative | location=PvP01_11_v2:1853071-1854606(-) | protein_length=354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1143600.1-p1   -            354 7185at5820           -            435   3.2e-14   51.0   0.2   2   2    0.0023      0.28    8.3   0.0   230   313   183   276   179   306 0.74 | transcript=PVP01_1143600.1 | gene=PVP01_1143600 | organism=Plasmodium_vivax_P01 | gene_product=aurora-related kinase ARK1, putative | transcript_product=aurora-related kinase ARK1, putative | location=PvP01_11_v2:1853071-1854606(-) | protein_length=354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909200.1-p1   -            335 7185at5820           -            435   5.4e-14   50.2  10.8   1   3   5.3e-14   6.5e-12   43.4   6.7    12   177    28   182    21   187 0.77 | transcript=PVP01_0909200.1 | gene=PVP01_0909200 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=PvP01_09_v2:493076-494083(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909200.1-p1   -            335 7185at5820           -            435   5.4e-14   50.2  10.8   2   3     0.051       6.3    3.9   0.0   235   279   191   236   183   251 0.77 | transcript=PVP01_0909200.1 | gene=PVP01_0909200 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=PvP01_09_v2:493076-494083(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909200.1-p1   -            335 7185at5820           -            435   5.4e-14   50.2  10.8   3   3     0.084        10    3.2   0.0   301   340   296   331   292   334 0.84 | transcript=PVP01_0909200.1 | gene=PVP01_0909200 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=PvP01_09_v2:493076-494083(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1265700.1-p1   -           2433 7185at5820           -            435   1.4e-13   48.9  14.7   1   3   1.8e-08   2.3e-06   25.1   0.8    30   166   120   253   106   267 0.81 | transcript=PVP01_1265700.1 | gene=PVP01_1265700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:2723739-2731820(-) | protein_length=2433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1265700.1-p1   -           2433 7185at5820           -            435   1.4e-13   48.9  14.7   2   3   1.9e-09   2.4e-07   28.3   0.0   231   334   289   398   259   419 0.78 | transcript=PVP01_1265700.1 | gene=PVP01_1265700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:2723739-2731820(-) | protein_length=2433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1265700.1-p1   -           2433 7185at5820           -            435   1.4e-13   48.9  14.7   3   3      0.53        65    0.6   3.4   200   246   646   692   622   707 0.83 | transcript=PVP01_1265700.1 | gene=PVP01_1265700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:2723739-2731820(-) | protein_length=2433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1217600.1-p1   -            305 7185at5820           -            435   2.2e-13   48.2   9.1   1   3   9.8e-13   1.2e-10   39.2   6.6    29   179     9   166     5   176 0.70 | transcript=PVP01_1217600.1 | gene=PVP01_1217600 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=PvP01_12_v2:734765-736876(-) | protein_length=305 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1217600.1-p1   -            305 7185at5820           -            435   2.2e-13   48.2   9.1   2   3    0.0045      0.56    7.4   0.0   240   280   176   217   167   231 0.78 | transcript=PVP01_1217600.1 | gene=PVP01_1217600 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=PvP01_12_v2:734765-736876(-) | protein_length=305 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1217600.1-p1   -            305 7185at5820           -            435   2.2e-13   48.2   9.1   3   3      0.61        76    0.3   0.0   306   341   266   297   252   302 0.78 | transcript=PVP01_1217600.1 | gene=PVP01_1217600 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=PvP01_12_v2:734765-736876(-) | protein_length=305 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945900.1-p1   -           2011 7185at5820           -            435   2.9e-13   47.8   1.1   1   4   2.4e-15   2.9e-13   47.8   1.1    17   188    65   232    54   239 0.85 | transcript=PVP01_0945900.1 | gene=PVP01_0945900 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_09_v2:2001384-2007419(-) | protein_length=2011 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945900.1-p1   -           2011 7185at5820           -            435   2.9e-13   47.8   1.1   2   4         1   1.2e+02   -0.4   0.0   307   340   313   342   236   365 0.76 | transcript=PVP01_0945900.1 | gene=PVP01_0945900 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_09_v2:2001384-2007419(-) | protein_length=2011 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945900.1-p1   -           2011 7185at5820           -            435   2.9e-13   47.8   1.1   3   4         3   3.7e+02   -1.9   2.3   200   248   812   860   796   867 0.67 | transcript=PVP01_0945900.1 | gene=PVP01_0945900 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_09_v2:2001384-2007419(-) | protein_length=2011 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945900.1-p1   -           2011 7185at5820           -            435   2.9e-13   47.8   1.1   4   4       9.7   1.2e+03   -3.6   2.3   363   411  1094  1142  1088  1150 0.73 | transcript=PVP01_0945900.1 | gene=PVP01_0945900 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_09_v2:2001384-2007419(-) | protein_length=2011 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411500.1-p1   -            344 7185at5820           -            435   4.5e-13   47.2   0.0   1   2   7.7e-08   9.5e-06   23.1   0.0   139   183   155   200   144   207 0.86 | transcript=PVP01_0411500.1 | gene=PVP01_0411500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 7, putative | transcript_product=protein kinase 7, putative | location=PvP01_04_v2:470144-471765(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411500.1-p1   -            344 7185at5820           -            435   4.5e-13   47.2   0.0   2   2   1.5e-07   1.9e-05   22.1   0.0   240   299   207   269   195   284 0.84 | transcript=PVP01_0411500.1 | gene=PVP01_0411500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 7, putative | transcript_product=protein kinase 7, putative | location=PvP01_04_v2:470144-471765(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923400.1-p1   -           1607 7185at5820           -            435   6.4e-13   46.7  14.2   1   3       8.6   1.1e+03   -3.5   1.3   183   229  1009  1055   991  1089 0.54 | transcript=PVP01_0923400.1 | gene=PVP01_0923400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 6, putative | transcript_product=calcium-dependent protein kinase 6, putative | location=PvP01_09_v2:1021123-1026936(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923400.1-p1   -           1607 7185at5820           -            435   6.4e-13   46.7  14.2   2   3   5.2e-15   6.4e-13   46.7  14.2    34   180  1173  1313  1133  1324 0.78 | transcript=PVP01_0923400.1 | gene=PVP01_0923400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 6, putative | transcript_product=calcium-dependent protein kinase 6, putative | location=PvP01_09_v2:1021123-1026936(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923400.1-p1   -           1607 7185at5820           -            435   6.4e-13   46.7  14.2   3   3    0.0049      0.61    7.2   0.1   240   301  1325  1385  1315  1430 0.77 | transcript=PVP01_0923400.1 | gene=PVP01_0923400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 6, putative | transcript_product=calcium-dependent protein kinase 6, putative | location=PvP01_09_v2:1021123-1026936(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0814500.1-p1   -            325 7185at5820           -            435   6.5e-13   46.7  16.0   1   3   8.9e-14   1.1e-11   42.6  11.5    62   180    39   160    14   178 0.74 | transcript=PVP01_0814500.1 | gene=PVP01_0814500 | organism=Plasmodium_vivax_P01 | gene_product=MO15-related protein kinase, putative | transcript_product=MO15-related protein kinase, putative | location=PvP01_08_v2:635589-636566(+) | protein_length=325 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0814500.1-p1   -            325 7185at5820           -            435   6.5e-13   46.7  16.0   2   3     0.019       2.3    5.3   0.0   226   283   172   230   164   238 0.73 | transcript=PVP01_0814500.1 | gene=PVP01_0814500 | organism=Plasmodium_vivax_P01 | gene_product=MO15-related protein kinase, putative | transcript_product=MO15-related protein kinase, putative | location=PvP01_08_v2:635589-636566(+) | protein_length=325 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0814500.1-p1   -            325 7185at5820           -            435   6.5e-13   46.7  16.0   3   3      0.87   1.1e+02   -0.2   0.0   290   337   264   308   259   311 0.75 | transcript=PVP01_0814500.1 | gene=PVP01_0814500 | organism=Plasmodium_vivax_P01 | gene_product=MO15-related protein kinase, putative | transcript_product=MO15-related protein kinase, putative | location=PvP01_08_v2:635589-636566(+) | protein_length=325 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521800.1-p1   -           1610 7185at5820           -            435   6.1e-12   43.5  21.3   1   2   3.5e-13   4.3e-11   40.7   0.4   135   179   905   949   896   960 0.90 | transcript=PVP01_0521800.1 | gene=PVP01_0521800 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related kinase 3, putative, cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=PvP01_05_v2:884331-889289(+) | protein_length=1610 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521800.1-p1   -           1610 7185at5820           -            435   6.1e-12   43.5  21.3   2   2   0.00026     0.032   11.4   0.1   236   290   959  1014   954  1035 0.77 | transcript=PVP01_0521800.1 | gene=PVP01_0521800 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related kinase 3, putative, cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=PvP01_05_v2:884331-889289(+) | protein_length=1610 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0827800.1-p1   -            488 7185at5820           -            435   4.9e-10   37.2   4.4   1   2   1.3e-10   1.7e-08   32.2   2.5    81   181   154   266   127   279 0.72 | transcript=PVP01_0827800.1 | gene=PVP01_0827800 | organism=Plasmodium_vivax_P01 | gene_product=glycogen synthase kinase-3 beta, putative | transcript_product=glycogen synthase kinase-3 beta, putative | location=PvP01_08_v2:1206811-1209248(+) | protein_length=488 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0827800.1-p1   -            488 7185at5820           -            435   4.9e-10   37.2   4.4   2   2      0.03       3.6    4.7   0.0   239   281   275   318   270   326 0.71 | transcript=PVP01_0827800.1 | gene=PVP01_0827800 | organism=Plasmodium_vivax_P01 | gene_product=glycogen synthase kinase-3 beta, putative | transcript_product=glycogen synthase kinase-3 beta, putative | location=PvP01_08_v2:1206811-1209248(+) | protein_length=488 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0937400.1-p1   -            323 7185at5820           -            435   2.6e-09   34.8   0.4   1   2   2.1e-11   2.6e-09   34.8   0.4   138   183   110   158    97   175 0.79 | transcript=PVP01_0937400.1 | gene=PVP01_0937400 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=PvP01_09_v2:1606184-1608602(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0937400.1-p1   -            323 7185at5820           -            435   2.6e-09   34.8   0.4   2   2         1   1.3e+02   -0.4   0.2   281   373   209   303   168   316 0.64 | transcript=PVP01_0937400.1 | gene=PVP01_0937400 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=PvP01_09_v2:1606184-1608602(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0410300.1-p1   -           1621 7185at5820           -            435   1.7e-08   32.1  17.4   1   3       2.6   3.2e+02   -1.7   2.9   201   227   799   825   781   857 0.53 | transcript=PVP01_0410300.1 | gene=PVP01_0410300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase STK2, putative | transcript_product=serine/threonine protein kinase STK2, putative | location=PvP01_04_v2:420492-425357(-) | protein_length=1621 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0410300.1-p1   -           1621 7185at5820           -            435   1.7e-08   32.1  17.4   2   3   1.7e-07   2.1e-05   21.9   5.0    53   165  1140  1250  1107  1256 0.69 | transcript=PVP01_0410300.1 | gene=PVP01_0410300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase STK2, putative | transcript_product=serine/threonine protein kinase STK2, putative | location=PvP01_04_v2:420492-425357(-) | protein_length=1621 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0410300.1-p1   -           1621 7185at5820           -            435   1.7e-08   32.1  17.4   3   3   5.9e-06   0.00073   16.9   0.0   209   322  1487  1605  1459  1619 0.65 | transcript=PVP01_0410300.1 | gene=PVP01_0410300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase STK2, putative | transcript_product=serine/threonine protein kinase STK2, putative | location=PvP01_04_v2:420492-425357(-) | protein_length=1621 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1464600.1-p1   -            730 7185at5820           -            435   2.1e-08   31.8  19.2   1   2   1.1e-08   1.3e-06   25.9  10.1    36   177    31   173    10   202 0.74 | transcript=PVP01_1464600.1 | gene=PVP01_1464600 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_14_v2:2767708-2769900(+) | protein_length=730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1464600.1-p1   -            730 7185at5820           -            435   2.1e-08   31.8  19.2   2   2   0.00032     0.039   11.2   1.6   253   372   216   334   200   356 0.74 | transcript=PVP01_1464600.1 | gene=PVP01_1464600 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_14_v2:2767708-2769900(+) | protein_length=730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133600.1-p1   -            801 7185at5820           -            435   1.5e-07   29.0   8.8   1   4      0.27        34    1.5   0.0    54   106    72   124    69   136 0.65 | transcript=PVP01_1133600.1 | gene=PVP01_1133600 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=PvP01_11_v2:1437367-1439772(-) | protein_length=801 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133600.1-p1   -            801 7185at5820           -            435   1.5e-07   29.0   8.8   2   4   8.2e-08     1e-05   23.0   0.0   100   183   153   246   129   283 0.75 | transcript=PVP01_1133600.1 | gene=PVP01_1133600 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=PvP01_11_v2:1437367-1439772(-) | protein_length=801 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133600.1-p1   -            801 7185at5820           -            435   1.5e-07   29.0   8.8   3   4      0.22        27    1.8   0.0   259   288   478   507   468   517 0.86 | transcript=PVP01_1133600.1 | gene=PVP01_1133600 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=PvP01_11_v2:1437367-1439772(-) | protein_length=801 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133600.1-p1   -            801 7185at5820           -            435   1.5e-07   29.0   8.8   4   4     0.023       2.9    5.0   0.2   306   402   561   651   531   670 0.68 | transcript=PVP01_1133600.1 | gene=PVP01_1133600 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=PvP01_11_v2:1437367-1439772(-) | protein_length=801 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413200.1-p1   -           1029 7185at5820           -            435   5.6e-07   27.1   0.3   1   2   2.6e-07   3.2e-05   21.3   0.7    81   178   815   911   753   914 0.83 | transcript=PVP01_0413200.1 | gene=PVP01_0413200 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_04_v2:537325-540414(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413200.1-p1   -           1029 7185at5820           -            435   5.6e-07   27.1   0.3   2   2     0.076       9.4    3.3   0.0   228   280   913   965   910   969 0.94 | transcript=PVP01_0413200.1 | gene=PVP01_0413200 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_04_v2:537325-540414(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1416900.1-p1   -            341 7185at5820           -            435   1.5e-06   25.7   7.1   1   3   4.9e-07   6.1e-05   20.4   1.9   107   183   103   190    32   198 0.68 | transcript=PVP01_1416900.1 | gene=PVP01_1416900 | organism=Plasmodium_vivax_P01 | gene_product=glycogen synthase kinase-3 alpha, putative | transcript_product=glycogen synthase kinase-3 alpha, putative | location=PvP01_14_v2:737461-740374(-) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1416900.1-p1   -            341 7185at5820           -            435   1.5e-06   25.7   7.1   2   3     0.006      0.73    7.0   0.1   257   275   216   234   196   244 0.69 | transcript=PVP01_1416900.1 | gene=PVP01_1416900 | organism=Plasmodium_vivax_P01 | gene_product=glycogen synthase kinase-3 alpha, putative | transcript_product=glycogen synthase kinase-3 alpha, putative | location=PvP01_14_v2:737461-740374(-) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1416900.1-p1   -            341 7185at5820           -            435   1.5e-06   25.7   7.1   3   3       1.7   2.1e+02   -1.2   0.0   304   325   310   331   307   340 0.79 | transcript=PVP01_1416900.1 | gene=PVP01_1416900 | organism=Plasmodium_vivax_P01 | gene_product=glycogen synthase kinase-3 alpha, putative | transcript_product=glycogen synthase kinase-3 alpha, putative | location=PvP01_14_v2:737461-740374(-) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724600.1-p1   -           3250 7185at5820           -            435   1.7e-05   22.2   1.9   1   2   1.4e-07   1.7e-05   22.2   1.9    66   182  2983  3113  2972  3124 0.68 | transcript=PVP01_0724600.1 | gene=PVP01_0724600 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1049322-1059074(-) | protein_length=3250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724600.1-p1   -           3250 7185at5820           -            435   1.7e-05   22.2   1.9   2   2       3.1   3.8e+02   -2.0   0.0   260   282  3156  3178  3150  3226 0.74 | transcript=PVP01_0724600.1 | gene=PVP01_0724600 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1049322-1059074(-) | protein_length=3250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0727300.1-p1   -            601 7185at5820           -            435   5.2e-05   20.6   0.7   1   2    0.0027      0.33    8.1   0.7   130   165   384   419   375   433 0.84 | transcript=PVP01_0727300.1 | gene=PVP01_0727300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_07_v2:1160934-1162739(+) | protein_length=601 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
