#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1202600.1-p1   -            466 7562at5820           -            393  3.3e-176  584.5  31.3   1   1  7.1e-178  1.8e-175  582.0  31.3     1   393     1   466     1   466 0.90 | transcript=PVP01_1202600.1 | gene=PVP01_1202600 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 15, putative | transcript_product=U3 small nucleolar RNA-associated protein 15, putative | location=PvP01_12_v2:108711-111548(-) | protein_length=466 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0813200.1-p1   -           1155 7562at5820           -            393   2.3e-05   22.0  13.9   3   5       2.5   6.3e+02   -2.5   0.3    19    65   457   508   450   513 0.56 | transcript=PVP01_0813200.1 | gene=PVP01_0813200 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 13, putative | transcript_product=U3 small nucleolar RNA-associated protein 13, putative | location=PvP01_08_v2:557987-561672(-) | protein_length=1155 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0813200.1-p1   -           1155 7562at5820           -            393   2.3e-05   22.0  13.9   4   5    0.0018      0.45    7.8   1.1    99   155   572   630   554   663 0.74 | transcript=PVP01_0813200.1 | gene=PVP01_0813200 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 13, putative | transcript_product=U3 small nucleolar RNA-associated protein 13, putative | location=PvP01_08_v2:557987-561672(-) | protein_length=1155 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0813200.1-p1   -           1155 7562at5820           -            393   2.3e-05   22.0  13.9   5   5   9.1e-08   2.3e-05   22.0  13.9   101   314   688   914   681   921 0.80 | transcript=PVP01_0813200.1 | gene=PVP01_0813200 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 13, putative | transcript_product=U3 small nucleolar RNA-associated protein 13, putative | location=PvP01_08_v2:557987-561672(-) | protein_length=1155 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1108600.1-p1   -            887 7562at5820           -            393   2.4e-05   21.9   7.5   1   4      0.11        27    2.0   0.1   120   173   130   185   120   192 0.82 | transcript=PVP01_1108600.1 | gene=PVP01_1108600 | organism=Plasmodium_vivax_P01 | gene_product=polyubiquitin binding protein, putative | transcript_product=polyubiquitin binding protein, putative | location=PvP01_11_v2:338285-341141(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1108600.1-p1   -            887 7562at5820           -            393   2.4e-05   21.9   7.5   2   4   9.5e-08   2.4e-05   21.9   7.5    18   136   220   342   215   349 0.86 | transcript=PVP01_1108600.1 | gene=PVP01_1108600 | organism=Plasmodium_vivax_P01 | gene_product=polyubiquitin binding protein, putative | transcript_product=polyubiquitin binding protein, putative | location=PvP01_11_v2:338285-341141(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1108600.1-p1   -            887 7562at5820           -            393   2.4e-05   21.9   7.5   3   4         1   2.6e+02   -1.3   0.2   256   295   637   678   607   693 0.73 | transcript=PVP01_1108600.1 | gene=PVP01_1108600 | organism=Plasmodium_vivax_P01 | gene_product=polyubiquitin binding protein, putative | transcript_product=polyubiquitin binding protein, putative | location=PvP01_11_v2:338285-341141(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1108600.1-p1   -            887 7562at5820           -            393   2.4e-05   21.9   7.5   4   4       1.8   4.5e+02   -2.1   1.5   327   379   806   857   761   861 0.62 | transcript=PVP01_1108600.1 | gene=PVP01_1108600 | organism=Plasmodium_vivax_P01 | gene_product=polyubiquitin binding protein, putative | transcript_product=polyubiquitin binding protein, putative | location=PvP01_11_v2:338285-341141(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438500.1-p1   -            612 7562at5820           -            393   6.4e-05   20.5  15.1   1   3   4.7e-07   0.00012   19.6   1.5    98   172   315   395   312   402 0.85 | transcript=PVP01_1438500.1 | gene=PVP01_1438500 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 17, putative | transcript_product=pre-mRNA-processing factor 17, putative | location=PvP01_14_v2:1629592-1631430(+) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438500.1-p1   -            612 7562at5820           -            393   6.4e-05   20.5  15.1   2   3    0.0022      0.54    7.6   2.1    78   178   423   528   398   534 0.77 | transcript=PVP01_1438500.1 | gene=PVP01_1438500 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 17, putative | transcript_product=pre-mRNA-processing factor 17, putative | location=PvP01_14_v2:1629592-1631430(+) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438500.1-p1   -            612 7562at5820           -            393   6.4e-05   20.5  15.1   3   3      0.44   1.1e+02   -0.0   0.2    82   133   559   611   532   612 0.72 | transcript=PVP01_1438500.1 | gene=PVP01_1438500 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 17, putative | transcript_product=pre-mRNA-processing factor 17, putative | location=PvP01_14_v2:1629592-1631430(+) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225400.1-p1   -           1992 7562at5820           -            393   0.00013   19.4   0.1   1   1   1.2e-06    0.0003   18.3   0.1    99   138  1723  1762  1720  1780 0.91 | transcript=PVP01_1225400.1 | gene=PVP01_1225400 | organism=Plasmodium_vivax_P01 | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=PvP01_12_v2:985781-992295(+) | protein_length=1992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455700.1-p1   -            511 7562at5820           -            393   0.00033   18.1   1.1   1   1   2.9e-06   0.00072   17.0   1.1   101   175   283   363   276   408 0.74 | transcript=PVP01_1455700.1 | gene=PVP01_1455700 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=PvP01_14_v2:2421554-2423408(+) | protein_length=511 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917000.1-p1   -            465 7562at5820           -            393   0.00034   18.1   1.2   1   2   0.00053      0.13    9.6   0.1    97   136   206   245   202   255 0.90 | transcript=PVP01_0917000.1 | gene=PVP01_0917000 | organism=Plasmodium_vivax_P01 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=PvP01_09_v2:759296-760693(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917000.1-p1   -            465 7562at5820           -            393   0.00034   18.1   1.2   2   2    0.0027      0.68    7.2   0.1    75   135   336   395   274   400 0.91 | transcript=PVP01_0917000.1 | gene=PVP01_0917000 | organism=Plasmodium_vivax_P01 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=PvP01_09_v2:759296-760693(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448900.1-p1   -            763 7562at5820           -            393    0.0026   15.2   2.9   1   1   1.9e-05    0.0049   14.3   2.9   104   173    10    88     4   108 0.86 | transcript=PVP01_1448900.1 | gene=PVP01_1448900 | organism=Plasmodium_vivax_P01 | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=PvP01_14_v2:2118685-2120976(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 7562at5820           -            393     0.007   13.8   3.6   1   3       2.6   6.5e+02   -2.6   0.1   114   135   171   192   155   195 0.72 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 7562at5820           -            393     0.007   13.8   3.6   2   3   0.00049      0.12    9.7   0.0    76   136   421   481   408   486 0.85 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 7562at5820           -            393     0.007   13.8   3.6   3   3     0.029       7.3    3.8   0.1    96   137   558   602   543   623 0.79 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0611600.1-p1   -            661 7562at5820           -            393     0.022   12.1   3.3   1   2    0.0018      0.45    7.8   3.9    61   158   353   450   321   468 0.65 | transcript=PVP01_0611600.1 | gene=PVP01_0611600 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=PvP01_06_v2:510785-512770(-) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0611600.1-p1   -            661 7562at5820           -            393     0.022   12.1   3.3   2   2       3.1   7.7e+02   -2.8   0.0    96   136   560   600   547   602 0.85 | transcript=PVP01_0611600.1 | gene=PVP01_0611600 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=PvP01_06_v2:510785-512770(-) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448700.1-p1   -            445 7562at5820           -            393      0.11    9.8   7.1   1   3     0.027       6.9    3.9   0.9    40   136    48   147    13   204 0.75 | transcript=PVP01_1448700.1 | gene=PVP01_1448700 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_14_v2:2113799-2115136(-) | protein_length=445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448700.1-p1   -            445 7562at5820           -            393      0.11    9.8   7.1   2   3       2.1   5.3e+02   -2.3   0.0    84   125   191   233   180   240 0.77 | transcript=PVP01_1448700.1 | gene=PVP01_1448700 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_14_v2:2113799-2115136(-) | protein_length=445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448700.1-p1   -            445 7562at5820           -            393      0.11    9.8   7.1   3   3   0.00083      0.21    8.9   0.4    99   147   307   354   301   363 0.88 | transcript=PVP01_1448700.1 | gene=PVP01_1448700 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_14_v2:2113799-2115136(-) | protein_length=445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7562at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7562at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7562at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:07 2026
# [ok]
