#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1261400.1-p1   -            786 7357at5820           -            357  5.3e-172  570.4  36.7   1   5   6.5e-69   1.3e-66  223.7   1.4     1   114     1   113     1   135 0.93 | transcript=PVP01_1261400.1 | gene=PVP01_1261400 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_12_v2:2531620-2534682(-) | protein_length=786 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0609400.1-p1   -            181 7357at5820           -            357    0.0011   16.7   0.3   1   1   7.4e-06    0.0014   16.3   0.3    28   113    74   161    54   180 0.72 | transcript=PVP01_0609400.1 | gene=PVP01_0609400 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_06_v2:425893-426438(-) | protein_length=181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0919900.1-p1   -            316 7357at5820           -            357    0.0017   16.1   1.1   1   2   8.7e-06    0.0017   16.1   1.1    44   113    84   152    75   213 0.67 | transcript=PVP01_0919900.1 | gene=PVP01_0919900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor U2AF small subunit, putative | transcript_product=splicing factor U2AF small subunit, putative | location=PvP01_09_v2:864272-865222(-) | protein_length=316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0919900.1-p1   -            316 7357at5820           -            357    0.0017   16.1   1.1   2   2       4.6   8.8e+02   -2.7   1.4   130   132   268   270   215   305 0.49 | transcript=PVP01_0919900.1 | gene=PVP01_0919900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor U2AF small subunit, putative | transcript_product=splicing factor U2AF small subunit, putative | location=PvP01_09_v2:864272-865222(-) | protein_length=316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0927500.1-p1   -           1064 7357at5820           -            357    0.0045   14.7   0.1   1   1   2.4e-05    0.0045   14.7   0.1    32   139     8   118     4   138 0.81 | transcript=PVP01_0927500.1 | gene=PVP01_0927500 | organism=Plasmodium_vivax_P01 | gene_product=alternative splicing factor SR-MG, putative | transcript_product=alternative splicing factor SR-MG, putative | location=PvP01_09_v2:1212670-1215864(+) | protein_length=1064 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232900.1-p1   -           1029 7357at5820           -            357     0.017   12.8   0.1   1   3     0.021       4.1    4.9   1.1    25   113   636   721   618   733 0.80 | transcript=PVP01_1232900.1 | gene=PVP01_1232900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=PvP01_12_v2:1323265-1326509(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232900.1-p1   -           1029 7357at5820           -            357     0.017   12.8   0.1   2   3   8.8e-05     0.017   12.8   0.1    41   109   751   819   748   856 0.91 | transcript=PVP01_1232900.1 | gene=PVP01_1232900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=PvP01_12_v2:1323265-1326509(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232900.1-p1   -           1029 7357at5820           -            357     0.017   12.8   0.1   3   3      0.64   1.2e+02    0.1   0.0    52   104   969  1017   961  1023 0.76 | transcript=PVP01_1232900.1 | gene=PVP01_1232900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=PvP01_12_v2:1323265-1326509(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1016700.1-p1   -            314 7357at5820           -            357     0.088   10.4   0.0   1   2   0.00046     0.088   10.4   0.0    32   118    10    93     4   104 0.87 | transcript=PVP01_1016700.1 | gene=PVP01_1016700 | organism=Plasmodium_vivax_P01 | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=PvP01_10_v2:743534-744685(+) | protein_length=314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1016700.1-p1   -            314 7357at5820           -            357     0.088   10.4   0.0   2   2       5.8   1.1e+03   -3.1   1.0   127   142   202   217   170   241 0.57 | transcript=PVP01_1016700.1 | gene=PVP01_1016700 | organism=Plasmodium_vivax_P01 | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=PvP01_10_v2:743534-744685(+) | protein_length=314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0311800.1-p1   -           1036 7357at5820           -            357       3.1    5.4  10.0   1   2       5.7   1.1e+03   -3.0   0.0    71   103   619   650   607   654 0.84 | transcript=PVP01_0311800.1 | gene=PVP01_0311800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_03_v2:522219-525329(+) | protein_length=1036 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0311800.1-p1   -           1036 7357at5820           -            357       3.1    5.4  10.0   2   2   0.00019     0.037   11.7   0.2    29    93   709   772   693   811 0.83 | transcript=PVP01_0311800.1 | gene=PVP01_0311800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_03_v2:522219-525329(+) | protein_length=1036 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7357at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7357at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7357at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:09 2026
# [ok]
