#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1023200.1-p1   -            646 4216at5820           -            524         0 1010.7  75.8   1   3     0.012       2.4    5.2   0.5     1    19    25    43    25    48 0.82 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1129000.1-p1   -            539 4216at5820           -            524   7.5e-10   36.6  25.4   3   3   2.5e-06   0.00049   17.4   6.7   338   483   302   461   288   488 0.70 | transcript=PVP01_1129000.1 | gene=PVP01_1129000 | organism=Plasmodium_vivax_P01 | gene_product=cleavage stimulation factor subunit 1, putative | transcript_product=cleavage stimulation factor subunit 1, putative | location=PvP01_11_v2:1251595-1253214(-) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455700.1-p1   -            511 4216at5820           -            524   1.4e-09   35.8   4.1   1   1   6.9e-12   1.4e-09   35.8   4.1   303   437   293   431   279   454 0.83 | transcript=PVP01_1455700.1 | gene=PVP01_1455700 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=PvP01_14_v2:2421554-2423408(+) | protein_length=511 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1263600.1-p1   -            834 4216at5820           -            524   8.4e-09   33.1  17.6   1   3   1.6e-06   0.00032   18.0   2.6   417   494    61   141    47   155 0.86 | transcript=PVP01_1263600.1 | gene=PVP01_1263600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_12_v2:2629484-2632366(+) | protein_length=834 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1263600.1-p1   -            834 4216at5820           -            524   8.4e-09   33.1  17.6   2   3   0.00019     0.038   11.2   0.2   433   486   280   335   257   350 0.80 | transcript=PVP01_1263600.1 | gene=PVP01_1263600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_12_v2:2629484-2632366(+) | protein_length=834 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1263600.1-p1   -            834 4216at5820           -            524   8.4e-09   33.1  17.6   3   3   0.00013     0.026   11.7   2.3   302   374   424   495   406   514 0.72 | transcript=PVP01_1263600.1 | gene=PVP01_1263600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_12_v2:2629484-2632366(+) | protein_length=834 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202600.1-p1   -            466 4216at5820           -            524   8.5e-09   33.1   2.1   1   1     1e-10     2e-08   31.9   2.1   246   409    66   232    20   259 0.72 | transcript=PVP01_1202600.1 | gene=PVP01_1202600 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 15, putative | transcript_product=U3 small nucleolar RNA-associated protein 15, putative | location=PvP01_12_v2:108711-111548(-) | protein_length=466 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448900.1-p1   -            763 4216at5820           -            524   2.7e-07   28.2   2.3   1   3   1.3e-09   2.7e-07   28.2   2.3   287   413     3   141     1   157 0.80 | transcript=PVP01_1448900.1 | gene=PVP01_1448900 | organism=Plasmodium_vivax_P01 | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=PvP01_14_v2:2118685-2120976(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448900.1-p1   -            763 4216at5820           -            524   2.7e-07   28.2   2.3   2   3      0.14        27    1.8   0.2   269   323   197   261   191   270 0.76 | transcript=PVP01_1448900.1 | gene=PVP01_1448900 | organism=Plasmodium_vivax_P01 | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=PvP01_14_v2:2118685-2120976(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448900.1-p1   -            763 4216at5820           -            524   2.7e-07   28.2   2.3   3   3       1.9   3.7e+02   -2.0   0.0   232   280   269   316   263   333 0.77 | transcript=PVP01_1448900.1 | gene=PVP01_1448900 | organism=Plasmodium_vivax_P01 | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=PvP01_14_v2:2118685-2120976(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 4216at5820           -            524   5.8e-07   27.1  13.3   1   5      0.53     1e+02   -0.2   0.0   348   372   173   197   122   234 0.65 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 4216at5820           -            524   5.8e-07   27.1  13.3   2   5   4.6e-07   9.2e-05   19.8   0.0   266   332   421   487   393   494 0.76 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 4216at5820           -            524   5.8e-07   27.1  13.3   3   5   0.00096      0.19    8.9   0.6   400   452   546   604   528   609 0.73 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 4216at5820           -            524   5.8e-07   27.1  13.3   4   5     0.044       8.6    3.4   0.1   299   334   619   655   609   661 0.85 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 4216at5820           -            524   5.8e-07   27.1  13.3   5   5       5.1     1e+03   -3.4   0.4   424   454   732   762   726   767 0.86 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 4216at5820           -            524     1e-06   26.3   0.4   1   2       1.2   2.4e+02   -1.3   0.0   342   373   277   308   271   323 0.78 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 4216at5820           -            524     1e-06   26.3   0.4   2   2   1.3e-08   2.6e-06   25.0   0.1   251   331   324   407   316   435 0.80 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1141000.1-p1   -            361 4216at5820           -            524   9.5e-06   23.1   0.6   1   1     7e-08   1.4e-05   22.5   0.6   248   351   186   291   167   312 0.83 | transcript=PVP01_1141000.1 | gene=PVP01_1141000 | organism=Plasmodium_vivax_P01 | gene_product=diphthine methyltransferase, putative | transcript_product=diphthine methyltransferase, putative | location=PvP01_11_v2:1737892-1740448(+) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1107300.1-p1   -            382 4216at5820           -            524   0.00024   18.5   2.4   1   2   1.2e-06   0.00024   18.5   2.4   376   466    20   111    15   136 0.79 | transcript=PVP01_1107300.1 | gene=PVP01_1107300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_11_v2:279326-280474(-) | protein_length=382 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1107300.1-p1   -            382 4216at5820           -            524   0.00024   18.5   2.4   2   2     0.061        12    2.9   1.3   337   410   286   362   230   367 0.74 | transcript=PVP01_1107300.1 | gene=PVP01_1107300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_11_v2:279326-280474(-) | protein_length=382 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1207800.1-p1   -            363 4216at5820           -            524   0.00026   18.3   1.0   1   3    0.0004     0.078   10.1   0.1   330   411    58   144    29   172 0.63 | transcript=PVP01_1207800.1 | gene=PVP01_1207800 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 92, putative | transcript_product=WD repeat-containing protein 92, putative | location=PvP01_12_v2:317847-320011(+) | protein_length=363 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1207800.1-p1   -            363 4216at5820           -            524   0.00026   18.3   1.0   2   3       2.3   4.6e+02   -2.3   0.1   311   367   188   246   182   250 0.51 | transcript=PVP01_1207800.1 | gene=PVP01_1207800 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 92, putative | transcript_product=WD repeat-containing protein 92, putative | location=PvP01_12_v2:317847-320011(+) | protein_length=363 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1207800.1-p1   -            363 4216at5820           -            524   0.00026   18.3   1.0   3   3    0.0058       1.1    6.3   0.0   333   370   322   360   313   362 0.82 | transcript=PVP01_1207800.1 | gene=PVP01_1207800 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 92, putative | transcript_product=WD repeat-containing protein 92, putative | location=PvP01_12_v2:317847-320011(+) | protein_length=363 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917000.1-p1   -            465 4216at5820           -            524   0.00056   17.2   3.7   1   3       1.6   3.2e+02   -1.8   0.0   386   409   116   139    71   144 0.73 | transcript=PVP01_0917000.1 | gene=PVP01_0917000 | organism=Plasmodium_vivax_P01 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=PvP01_09_v2:759296-760693(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917000.1-p1   -            465 4216at5820           -            524   0.00056   17.2   3.7   2   3   0.00029     0.057   10.6   0.6   287   333   206   252   195   270 0.84 | transcript=PVP01_0917000.1 | gene=PVP01_0917000 | organism=Plasmodium_vivax_P01 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=PvP01_09_v2:759296-760693(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917000.1-p1   -            465 4216at5820           -            524   0.00056   17.2   3.7   3   3    0.0059       1.2    6.3   0.0   458   516   324   381   312   406 0.53 | transcript=PVP01_0917000.1 | gene=PVP01_0917000 | organism=Plasmodium_vivax_P01 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=PvP01_09_v2:759296-760693(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225400.1-p1   -           1992 4216at5820           -            524    0.0078   13.5   0.0   1   2      0.88   1.7e+02   -0.9   0.0   249   284   135   170   128   182 0.86 | transcript=PVP01_1225400.1 | gene=PVP01_1225400 | organism=Plasmodium_vivax_P01 | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=PvP01_12_v2:985781-992295(+) | protein_length=1992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225400.1-p1   -           1992 4216at5820           -            524    0.0078   13.5   0.0   2   2   3.9e-05    0.0078   13.5   0.0   288   373  1722  1807  1715  1846 0.79 | transcript=PVP01_1225400.1 | gene=PVP01_1225400 | organism=Plasmodium_vivax_P01 | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=PvP01_12_v2:985781-992295(+) | protein_length=1992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448700.1-p1   -            445 4216at5820           -            524     0.014   12.6   6.3   1   2   3.7e-05    0.0073   13.5   1.0   267   383    88   216    59   229 0.70 | transcript=PVP01_1448700.1 | gene=PVP01_1448700 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_14_v2:2113799-2115136(-) | protein_length=445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448700.1-p1   -            445 4216at5820           -            524     0.014   12.6   6.3   2   2      0.77   1.5e+02   -0.7   0.3   417   449   309   343   300   358 0.58 | transcript=PVP01_1448700.1 | gene=PVP01_1448700 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_14_v2:2113799-2115136(-) | protein_length=445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0408800.1-p1   -            206 4216at5820           -            524       7.4    3.6  11.0   1   2      0.01         2    5.5   4.9   162   243     3    89     1   102 0.68 | transcript=PVP01_0408800.1 | gene=PVP01_0408800 | organism=Plasmodium_vivax_P01 | gene_product=Alba domain-containing protein, putative | transcript_product=Alba domain-containing protein, putative | location=PvP01_04_v2:358131-358931(+) | protein_length=206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0408800.1-p1   -            206 4216at5820           -            524       7.4    3.6  11.0   2   2      0.12        24    1.9   0.3    36    78   117   162   106   185 0.79 | transcript=PVP01_0408800.1 | gene=PVP01_0408800 | organism=Plasmodium_vivax_P01 | gene_product=Alba domain-containing protein, putative | transcript_product=Alba domain-containing protein, putative | location=PvP01_04_v2:358131-358931(+) | protein_length=206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4216at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4216at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4216at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:47 2026
# [ok]
