#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0411500.1-p1   -            344 8167at5820           -            291  2.1e-139  462.4   2.0   1   1    8e-140    1e-137  456.9   2.0    11   291    23   341    14   341 0.92 | transcript=PVP01_0411500.1 | gene=PVP01_0411500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 7, putative | transcript_product=protein kinase 7, putative | location=PvP01_04_v2:470144-471765(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945900.1-p1   -           2011 8167at5820           -            291   5.6e-11   40.9   0.0   1   1   1.3e-12   1.6e-10   39.4   0.0   135   282   183   342   151   350 0.75 | transcript=PVP01_0945900.1 | gene=PVP01_0945900 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_09_v2:2001384-2007419(-) | protein_length=2011 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1446500.1-p1   -           1026 8167at5820           -            291   9.5e-11   40.1   2.3   1   1   4.9e-12   6.4e-10   37.4   2.3    13   274    12   293     5   300 0.72 | transcript=PVP01_1446500.1 | gene=PVP01_1446500 | organism=Plasmodium_vivax_P01 | gene_product=NIMA related kinase 1, putative | transcript_product=NIMA related kinase 1, putative | location=PvP01_14_v2:2007901-2011200(+) | protein_length=1026 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0914700.1-p1   -            575 8167at5820           -            291   1.2e-10   39.8  10.5   1   3   3.1e-09     4e-07   28.2   8.5    32   175   177   320   156   328 0.73 | transcript=PVP01_0914700.1 | gene=PVP01_0914700 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=PvP01_09_v2:671593-673320(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0914700.1-p1   -            575 8167at5820           -            291   1.2e-10   39.8  10.5   2   3      0.51        66    1.3   0.0   196   221   372   396   354   406 0.76 | transcript=PVP01_0914700.1 | gene=PVP01_0914700 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=PvP01_09_v2:671593-673320(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0914700.1-p1   -            575 8167at5820           -            291   1.2e-10   39.8  10.5   3   3    0.0046       0.6    8.0   0.0   239   279   472   512   458   522 0.82 | transcript=PVP01_0914700.1 | gene=PVP01_0914700 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=PvP01_09_v2:671593-673320(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909200.1-p1   -            335 8167at5820           -            291   5.3e-10   37.7   9.0   1   2   2.8e-11   3.7e-09   34.9   7.2   128   224   136   237    25   270 0.82 | transcript=PVP01_0909200.1 | gene=PVP01_0909200 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=PvP01_09_v2:493076-494083(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909200.1-p1   -            335 8167at5820           -            291   5.3e-10   37.7   9.0   2   2       1.8   2.4e+02   -0.5   0.0   250   279   299   328   287   333 0.82 | transcript=PVP01_0909200.1 | gene=PVP01_0909200 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=PvP01_09_v2:493076-494083(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0207300.1-p1   -           3308 8167at5820           -            291   9.7e-10   36.8   0.6   1   2   2.4e-10   3.2e-08   31.9   0.8   117   177  3093  3152  3075  3159 0.89 | transcript=PVP01_0207300.1 | gene=PVP01_0207300 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | location=PvP01_02_v2:297497-308722(-) | protein_length=3308 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0207300.1-p1   -           3308 8167at5820           -            291   9.7e-10   36.8   0.6   2   2      0.31        40    2.0   0.0   186   220  3208  3243  3198  3292 0.82 | transcript=PVP01_0207300.1 | gene=PVP01_0207300 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | location=PvP01_02_v2:297497-308722(-) | protein_length=3308 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1416900.1-p1   -            341 8167at5820           -            291     1e-09   36.7   2.0   1   1   5.5e-11   7.2e-09   34.0   2.6   120   217   128   232    28   254 0.75 | transcript=PVP01_1416900.1 | gene=PVP01_1416900 | organism=Plasmodium_vivax_P01 | gene_product=glycogen synthase kinase-3 alpha, putative | transcript_product=glycogen synthase kinase-3 alpha, putative | location=PvP01_14_v2:737461-740374(-) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133600.1-p1   -            801 8167at5820           -            291   5.1e-09   34.5   1.4   1   4       5.6   7.3e+02   -2.1   0.1   219   259    38    79    19    97 0.74 | transcript=PVP01_1133600.1 | gene=PVP01_1133600 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=PvP01_11_v2:1437367-1439772(-) | protein_length=801 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133600.1-p1   -            801 8167at5820           -            291   5.1e-09   34.5   1.4   2   4   3.9e-07   5.1e-05   21.3   0.0   123   168   186   230   136   265 0.76 | transcript=PVP01_1133600.1 | gene=PVP01_1133600 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=PvP01_11_v2:1437367-1439772(-) | protein_length=801 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133600.1-p1   -            801 8167at5820           -            291   5.1e-09   34.5   1.4   3   4         7   9.2e+02   -2.5   0.0   200   216   475   491   467   554 0.70 | transcript=PVP01_1133600.1 | gene=PVP01_1133600 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=PvP01_11_v2:1437367-1439772(-) | protein_length=801 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133600.1-p1   -            801 8167at5820           -            291   5.1e-09   34.5   1.4   4   4   0.00082      0.11   10.4   0.0   252   279   561   588   538   594 0.90 | transcript=PVP01_1133600.1 | gene=PVP01_1133600 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=PvP01_11_v2:1437367-1439772(-) | protein_length=801 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724600.1-p1   -           3250 8167at5820           -            291   1.4e-08   33.1   1.3   1   1     2e-10   2.6e-08   32.1   1.3    72   199  3001  3136  2996  3186 0.64 | transcript=PVP01_0724600.1 | gene=PVP01_0724600 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1049322-1059074(-) | protein_length=3250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0921900.1-p1   -           1542 8167at5820           -            291   1.3e-07   29.8   4.9   1   2      0.32        42    1.9   0.9    59   118   211   272   198   286 0.80 | transcript=PVP01_0921900.1 | gene=PVP01_0921900 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_09_v2:946073-950834(-) | protein_length=1542 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0921900.1-p1   -           1542 8167at5820           -            291   1.3e-07   29.8   4.9   2   2   1.9e-09   2.5e-07   28.9   0.2   123   218   344   445   328   465 0.83 | transcript=PVP01_0921900.1 | gene=PVP01_0921900 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_09_v2:946073-950834(-) | protein_length=1542 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1205500.1-p1   -           1714 8167at5820           -            291   2.5e-06   25.7   0.0   1   2       8.8   1.1e+03   -2.8   0.1   139   184   533   576   485   580 0.61 | transcript=PVP01_1205500.1 | gene=PVP01_1205500 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_12_v2:211272-216416(-) | protein_length=1714 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1205500.1-p1   -           1714 8167at5820           -            291   2.5e-06   25.7   0.0   2   2   1.9e-08   2.5e-06   25.7   0.0   129   236  1540  1652  1520  1683 0.78 | transcript=PVP01_1205500.1 | gene=PVP01_1205500 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_12_v2:211272-216416(-) | protein_length=1714 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215800.1-p1   -            891 8167at5820           -            291   2.8e-06   25.5   0.0   1   2   1.9e-06   0.00025   19.1   0.0   108   212   511   628   494   644 0.72 | transcript=PVP01_1215800.1 | gene=PVP01_1215800 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:660557-663232(+) | protein_length=891 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215800.1-p1   -            891 8167at5820           -            291   2.8e-06   25.5   0.0   2   2      0.08        10    3.9   0.0   254   280   863   889   858   891 0.90 | transcript=PVP01_1215800.1 | gene=PVP01_1215800 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:660557-663232(+) | protein_length=891 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0937400.1-p1   -            323 8167at5820           -            291   4.8e-06   24.7   0.1   1   1   8.2e-08   1.1e-05   23.6   0.1   114   174    91   152    87   169 0.76 | transcript=PVP01_0937400.1 | gene=PVP01_0937400 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=PvP01_09_v2:1606184-1608602(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837700.1-p1   -           1397 8167at5820           -            291     1e-05   23.6   4.4   1   3   3.9e-06   0.00051   18.1   0.2   122   162   174   214   149   226 0.89 | transcript=PVP01_0837700.1 | gene=PVP01_0837700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_08_v2:1595439-1599632(-) | protein_length=1397 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837700.1-p1   -           1397 8167at5820           -            291     1e-05   23.6   4.4   2   3     0.042       5.5    4.8   0.0   158   217   695   756   674   767 0.76 | transcript=PVP01_0837700.1 | gene=PVP01_0837700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_08_v2:1595439-1599632(-) | protein_length=1397 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837700.1-p1   -           1397 8167at5820           -            291     1e-05   23.6   4.4   3   3       1.5   1.9e+02   -0.2   0.1   250   281   836   867   802   879 0.73 | transcript=PVP01_0837700.1 | gene=PVP01_0837700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_08_v2:1595439-1599632(-) | protein_length=1397 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0727300.1-p1   -            601 8167at5820           -            291   6.3e-05   21.0  13.3   1   4      0.35        46    1.8   1.2     9    66   221   288   215   298 0.60 | transcript=PVP01_0727300.1 | gene=PVP01_0727300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_07_v2:1160934-1162739(+) | protein_length=601 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0727300.1-p1   -            601 8167at5820           -            291   6.3e-05   21.0  13.3   2   4    0.0012      0.15    9.9   1.1   130   163   388   420   377   428 0.81 | transcript=PVP01_0727300.1 | gene=PVP01_0727300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_07_v2:1160934-1162739(+) | protein_length=601 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0727300.1-p1   -            601 8167at5820           -            291   6.3e-05   21.0  13.3   3   4     0.043       5.6    4.8   1.7    18    52   417   450   416   452 0.86 | transcript=PVP01_0727300.1 | gene=PVP01_0727300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_07_v2:1160934-1162739(+) | protein_length=601 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0727300.1-p1   -            601 8167at5820           -            291   6.3e-05   21.0  13.3   4   4   7.5e-05    0.0098   13.8   0.0   161   274   447   569   442   580 0.73 | transcript=PVP01_0727300.1 | gene=PVP01_0727300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_07_v2:1160934-1162739(+) | protein_length=601 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818800.1-p1   -            327 8167at5820           -            291   0.00018   19.5   0.6   1   1   1.4e-06   0.00018   19.5   0.6   146   279   138   280   115   285 0.73 | transcript=PVP01_0818800.1 | gene=PVP01_0818800 | organism=Plasmodium_vivax_P01 | gene_product=pseudo protein kinase 1, putative | transcript_product=pseudo protein kinase 1, putative | location=PvP01_08_v2:823384-824701(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8167at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8167at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8167at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:17 2026
# [ok]
