#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0822900.1-p1   -           1391 1133at5820           -           1080         0 1824.1 108.5   1   2   2.4e-78   5.1e-76  255.1  45.7     1   327     1   486     1   494 0.86 | transcript=PVP01_0822900.1 | gene=PVP01_0822900 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 4, putative | transcript_product=cdc2-related protein kinase 4, putative | location=PvP01_08_v2:1029162-1033337(+) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1257000.1-p1   -            377 1133at5820           -           1080   3.7e-07   27.1   2.3   1   3   0.00015     0.031   10.8   0.9   554   576    37    59    33   107 0.88 | transcript=PVP01_1257000.1 | gene=PVP01_1257000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_12_v2:2340182-2342802(-) | protein_length=377 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1257000.1-p1   -            377 1133at5820           -           1080   3.7e-07   27.1   2.3   2   3   1.8e-09   3.7e-07   27.1   2.3   849   979   140   261   109   274 0.84 | transcript=PVP01_1257000.1 | gene=PVP01_1257000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_12_v2:2340182-2342802(-) | protein_length=377 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1257000.1-p1   -            377 1133at5820           -           1080   3.7e-07   27.1   2.3   3   3       2.1   4.4e+02   -2.9   0.0  1032  1058   284   310   279   322 0.89 | transcript=PVP01_1257000.1 | gene=PVP01_1257000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_12_v2:2340182-2342802(-) | protein_length=377 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1007900.1-p1   -            288 1133at5820           -           1080   2.6e-06   24.3   1.1   1   2       2.6   5.5e+02   -3.2   0.1   559   602    12    53    11    78 0.60 | transcript=PVP01_1007900.1 | gene=PVP01_1007900 | organism=Plasmodium_vivax_P01 | gene_product=NIMA related kinase 2, putative | transcript_product=NIMA related kinase 2, putative | location=PvP01_10_v2:352291-354430(-) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1007900.1-p1   -            288 1133at5820           -           1080   2.6e-06   24.3   1.1   2   2   1.4e-08     3e-06   24.1   0.1   852   961   112   206    96   220 0.82 | transcript=PVP01_1007900.1 | gene=PVP01_1007900 | organism=Plasmodium_vivax_P01 | gene_product=NIMA related kinase 2, putative | transcript_product=NIMA related kinase 2, putative | location=PvP01_10_v2:352291-354430(-) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0422000.1-p1   -           2125 1133at5820           -           1080   2.1e-05   21.3   0.8   1   1   3.4e-07   7.1e-05   19.6   0.8   858   970  1804  1903  1788  1914 0.77 | transcript=PVP01_0422000.1 | gene=PVP01_0422000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_04_v2:882364-888741(+) | protein_length=2125 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325400.1-p1   -            284 1133at5820           -           1080   7.2e-05   19.6  17.7   1   3      0.57   1.2e+02   -1.0   6.7   558   630    21    91     4    97 0.77 | transcript=PVP01_1325400.1 | gene=PVP01_1325400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=PvP01_13_v2:1101101-1103359(-) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325400.1-p1   -            284 1133at5820           -           1080   7.2e-05   19.6  17.7   2   3   0.00011     0.024   11.2  12.6   791   972    54   226    51   238 0.67 | transcript=PVP01_1325400.1 | gene=PVP01_1325400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=PvP01_13_v2:1101101-1103359(-) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325400.1-p1   -            284 1133at5820           -           1080   7.2e-05   19.6  17.7   3   3    0.0006      0.13    8.8   0.0  1026  1058   248   280   243   283 0.93 | transcript=PVP01_1325400.1 | gene=PVP01_1325400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=PvP01_13_v2:1101101-1103359(-) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0937400.1-p1   -            323 1133at5820           -           1080   0.00024   17.8   1.9   1   2      0.16        35    0.7   0.1   557   579     7    29     4    51 0.82 | transcript=PVP01_0937400.1 | gene=PVP01_0937400 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=PvP01_09_v2:1606184-1608602(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0937400.1-p1   -            323 1133at5820           -           1080   0.00024   17.8   1.9   2   2   4.4e-06   0.00092   15.9   0.2   860   887   110   137   100   153 0.87 | transcript=PVP01_0937400.1 | gene=PVP01_0937400 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=PvP01_09_v2:1606184-1608602(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411500.1-p1   -            344 1133at5820           -           1080    0.0048   13.5   1.9   1   2      0.51   1.1e+02   -0.9   0.6   368   443    56   131    17   144 0.53 | transcript=PVP01_0411500.1 | gene=PVP01_0411500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 7, putative | transcript_product=protein kinase 7, putative | location=PvP01_04_v2:470144-471765(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411500.1-p1   -            344 1133at5820           -           1080    0.0048   13.5   1.9   2   2    0.0004     0.085    9.4   0.0   872  1063   167   328   147   341 0.63 | transcript=PVP01_0411500.1 | gene=PVP01_0411500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 7, putative | transcript_product=protein kinase 7, putative | location=PvP01_04_v2:470144-471765(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1432100.1-p1   -            118 1133at5820           -           1080     0.017   11.7   0.4   1   1   9.3e-05      0.02   11.5   0.4   310   398    11   102     2   114 0.68 | transcript=PVP01_1432100.1 | gene=PVP01_1432100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:1404026-1404526(-) | protein_length=118 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905700.1-p1   -           1294 1133at5820           -           1080      0.02   11.4  18.5   1   2   5.5e-05     0.012   12.2  12.7   776   889   293   412   255   418 0.66 | transcript=PVP01_0905700.1 | gene=PVP01_0905700 | organism=Plasmodium_vivax_P01 | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=PvP01_09_v2:335375-339259(+) | protein_length=1294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905700.1-p1   -           1294 1133at5820           -           1080      0.02   11.4  18.5   2   2     0.088        18    1.6   0.3   929   966   545   581   537   586 0.79 | transcript=PVP01_0905700.1 | gene=PVP01_0905700 | organism=Plasmodium_vivax_P01 | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=PvP01_09_v2:335375-339259(+) | protein_length=1294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828800.1-p1   -           3003 1133at5820           -           1080     0.031   10.8   0.1   1   2      0.35        74   -0.4   0.1   850   960   268   375   236   378 0.66 | transcript=PVP01_0828800.1 | gene=PVP01_0828800 | organism=Plasmodium_vivax_P01 | gene_product=kinase-related protein PKRP, putative | transcript_product=kinase-related protein PKRP, putative | location=PvP01_08_v2:1236390-1245587(-) | protein_length=3003 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828800.1-p1   -           3003 1133at5820           -           1080     0.031   10.8   0.1   2   2     0.001      0.22    8.0   0.0  1026  1059   412   445   404   458 0.88 | transcript=PVP01_0828800.1 | gene=PVP01_0828800 | organism=Plasmodium_vivax_P01 | gene_product=kinase-related protein PKRP, putative | transcript_product=kinase-related protein PKRP, putative | location=PvP01_08_v2:1236390-1245587(-) | protein_length=3003 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1133at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1133at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1133at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:09 2026
# [ok]
