#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0733500.1-p1   -            341 7756at5820           -            296  6.9e-196  647.9   8.5   1   1  6.7e-198  8.7e-196  647.6   8.5     1   296    27   339    27   339 0.97 | transcript=PVP01_0733500.1 | gene=PVP01_0733500 | organism=Plasmodium_vivax_P01 | gene_product=cAMP-dependent protein kinase catalytic subunit, putative | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative | location=PvP01_07_v2:1376764-1378505(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1446500.1-p1   -           1026 7756at5820           -            296   5.1e-05   21.3   0.6   1   1   3.2e-06   0.00041   18.3   0.6     4   174    12   215     9   231 0.73 | transcript=PVP01_1446500.1 | gene=PVP01_1446500 | organism=Plasmodium_vivax_P01 | gene_product=NIMA related kinase 1, putative | transcript_product=NIMA related kinase 1, putative | location=PvP01_14_v2:2007901-2011200(+) | protein_length=1026 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0410300.1-p1   -           1621 7756at5820           -            296   0.00018   19.5   3.4   1   2     3e-06   0.00039   18.4   3.0    25   138  1131  1251  1113  1265 0.79 | transcript=PVP01_0410300.1 | gene=PVP01_0410300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase STK2, putative | transcript_product=serine/threonine protein kinase STK2, putative | location=PvP01_04_v2:420492-425357(-) | protein_length=1621 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0410300.1-p1   -           1621 7756at5820           -            296   0.00018   19.5   3.4   2   2       6.6   8.6e+02   -2.4   0.0   157   175  1514  1532  1492  1548 0.79 | transcript=PVP01_0410300.1 | gene=PVP01_0410300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase STK2, putative | transcript_product=serine/threonine protein kinase STK2, putative | location=PvP01_04_v2:420492-425357(-) | protein_length=1621 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424400.1-p1   -            517 7756at5820           -            296   0.00033   18.6   2.0   1   1     5e-06   0.00065   17.7   2.0    34   136   242   343   231   353 0.88 | transcript=PVP01_1424400.1 | gene=PVP01_1424400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_14_v2:1058768-1060867(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0207300.1-p1   -           3308 7756at5820           -            296   0.00039   18.4   0.1   1   1   6.2e-06   0.00082   17.4   0.1   111   151  3111  3151  3076  3157 0.86 | transcript=PVP01_0207300.1 | gene=PVP01_0207300 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | location=PvP01_02_v2:297497-308722(-) | protein_length=3308 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223600.1-p1   -            522 7756at5820           -            296    0.0018   16.2   0.5   1   1   2.2e-05    0.0029   15.5   0.5   102   197   346   446   300   469 0.69 | transcript=PVP01_1223600.1 | gene=PVP01_1223600 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_12_v2:915971-917539(+) | protein_length=522 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7756at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7756at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7756at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:44 2026
# [ok]
