#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1308500.1-p1   -            694 5720at5820           -            385  5.8e-223  738.7  47.3   1   4   3.4e-85   9.6e-83  277.1  15.0     1   146     1   163     1   169 0.90 | transcript=PVP01_1308500.1 | gene=PVP01_1308500 | organism=Plasmodium_vivax_P01 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=PvP01_13_v2:396209-398293(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0919400.1-p1   -            401 5720at5820           -            385   6.6e-06   24.2   0.5   1   1     5e-08   1.4e-05   23.1   0.5    75   186    69   179    25   185 0.83 | transcript=PVP01_0919400.1 | gene=PVP01_0919400 | organism=Plasmodium_vivax_P01 | gene_product=actin-related protein 2/3 complex subunit 1, putative | transcript_product=actin-related protein 2/3 complex subunit 1, putative | location=PvP01_09_v2:853459-855465(-) | protein_length=401 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0611600.1-p1   -            661 5720at5820           -            385   8.5e-06   23.9   6.4   1   4     0.016       4.4    5.0   0.5     9    54   353   398   348   408 0.86 | transcript=PVP01_0611600.1 | gene=PVP01_0611600 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=PvP01_06_v2:510785-512770(-) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0611600.1-p1   -            661 5720at5820           -            385   8.5e-06   23.9   6.4   2   4   0.00052      0.15    9.9   0.8   174   235   411   471   404   482 0.81 | transcript=PVP01_0611600.1 | gene=PVP01_0611600 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=PvP01_06_v2:510785-512770(-) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0611600.1-p1   -            661 5720at5820           -            385   8.5e-06   23.9   6.4   3   4      0.06        17    3.1   0.0    10    52   479   524   473   533 0.69 | transcript=PVP01_0611600.1 | gene=PVP01_0611600 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=PvP01_06_v2:510785-512770(-) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0611600.1-p1   -            661 5720at5820           -            385   8.5e-06   23.9   6.4   4   4     0.009       2.5    5.8   0.0   162   232   529   598   523   602 0.81 | transcript=PVP01_0611600.1 | gene=PVP01_0611600 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=PvP01_06_v2:510785-512770(-) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204400.1-p1   -            447 5720at5820           -            385   8.7e-06   23.8   0.4   1   1     1e-07   2.8e-05   22.1   0.4    82   343   167   435   124   446 0.69 | transcript=PVP01_0204400.1 | gene=PVP01_0204400 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit C, putative | transcript_product=chromatin assembly factor 1 subunit C, putative | location=PvP01_02_v2:208734-210077(+) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 5720at5820           -            385   2.4e-05   22.4   3.2   1   2   0.00011     0.031   12.1   1.0   343   382   321   357   265   360 0.63 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 5720at5820           -            385   2.4e-05   22.4   3.2   2   2    0.0077       2.2    6.1   0.0   306   336   369   400   362   418 0.62 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1033200.1-p1   -            940 5720at5820           -            385     3e-05   22.1  15.5   1   4   2.1e-05    0.0059   14.5   0.1   194   238   196   240   168   260 0.70 | transcript=PVP01_1033200.1 | gene=PVP01_1033200 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit A, putative | transcript_product=chromatin assembly factor 1 subunit A, putative | location=PvP01_10_v2:1408959-1411781(-) | protein_length=940 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1033200.1-p1   -            940 5720at5820           -            385     3e-05   22.1  15.5   2   4   6.3e-05     0.018   12.9   0.3     7    60   303   357   291   366 0.83 | transcript=PVP01_1033200.1 | gene=PVP01_1033200 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit A, putative | transcript_product=chromatin assembly factor 1 subunit A, putative | location=PvP01_10_v2:1408959-1411781(-) | protein_length=940 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1033200.1-p1   -            940 5720at5820           -            385     3e-05   22.1  15.5   3   4       1.1     3e+02   -1.0   0.6    19   112   498   596   486   673 0.61 | transcript=PVP01_1033200.1 | gene=PVP01_1033200 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit A, putative | transcript_product=chromatin assembly factor 1 subunit A, putative | location=PvP01_10_v2:1408959-1411781(-) | protein_length=940 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1033200.1-p1   -            940 5720at5820           -            385     3e-05   22.1  15.5   4   4      0.11        30    2.3   0.2    12    46   819   853   787   893 0.67 | transcript=PVP01_1033200.1 | gene=PVP01_1033200 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit A, putative | transcript_product=chromatin assembly factor 1 subunit A, putative | location=PvP01_10_v2:1408959-1411781(-) | protein_length=940 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1468300.1-p1   -            565 5720at5820           -            385    0.0013   16.7   0.7   1   2     0.033       9.3    4.0   0.0   199   234    69   105    58   119 0.82 | transcript=PVP01_1468300.1 | gene=PVP01_1468300 | organism=Plasmodium_vivax_P01 | gene_product=coronin, putative | transcript_product=coronin, putative | location=PvP01_14_v2:2907698-2909797(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1468300.1-p1   -            565 5720at5820           -            385    0.0013   16.7   0.7   2   2   0.00061      0.17    9.7   0.5     9    46   121   159   114   181 0.63 | transcript=PVP01_1468300.1 | gene=PVP01_1468300 | organism=Plasmodium_vivax_P01 | gene_product=coronin, putative | transcript_product=coronin, putative | location=PvP01_14_v2:2907698-2909797(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1141000.1-p1   -            361 5720at5820           -            385     0.016   13.1   3.3   1   2    0.0044       1.2    6.9   0.8   198   232   186   220   177   229 0.89 | transcript=PVP01_1141000.1 | gene=PVP01_1141000 | organism=Plasmodium_vivax_P01 | gene_product=diphthine methyltransferase, putative | transcript_product=diphthine methyltransferase, putative | location=PvP01_11_v2:1737892-1740448(+) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1141000.1-p1   -            361 5720at5820           -            385     0.016   13.1   3.3   2   2    0.0065       1.9    6.3   0.1   307   344   235   272   224   312 0.56 | transcript=PVP01_1141000.1 | gene=PVP01_1141000 | organism=Plasmodium_vivax_P01 | gene_product=diphthine methyltransferase, putative | transcript_product=diphthine methyltransferase, putative | location=PvP01_11_v2:1737892-1740448(+) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1447000.1-p1   -           2999 5720at5820           -            385     0.093   10.6   2.8   1   1    0.0032      0.91    7.3   2.8   100   189   131   220    53   222 0.67 | transcript=PVP01_1447000.1 | gene=PVP01_1447000 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_14_v2:2030881-2039880(-) | protein_length=2999 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5720at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5720at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5720at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:04 2026
# [ok]
