#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1300900.1-p1   -            296 9902at5820           -            263  6.2e-151  499.8  22.9   1   1  5.4e-153    7e-151  499.7  22.9     1   263     1   277     1   277 0.97 | transcript=PVP01_1300900.1 | gene=PVP01_1300900 | organism=Plasmodium_vivax_P01 | gene_product=NIMA related kinase 3, putative | transcript_product=NIMA related kinase 3, putative | location=PvP01_13_v2:41061-41951(-) | protein_length=296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1264000.1-p1   -           1310 9902at5820           -            263   1.7e-06   26.4   4.8   1   2   4.6e-07   6.1e-05   21.3   1.2    77   159   918   996   912  1018 0.82 | transcript=PVP01_1264000.1 | gene=PVP01_1264000 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:2642004-2645936(+) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1264000.1-p1   -           1310 9902at5820           -            263   1.7e-06   26.4   4.8   2   2     0.032       4.2    5.4   0.1   156   211  1082  1145  1068  1159 0.68 | transcript=PVP01_1264000.1 | gene=PVP01_1264000 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:2642004-2645936(+) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905700.1-p1   -           1294 9902at5820           -            263   4.5e-06   25.0   8.9   1   2   1.2e-06   0.00016   19.9   4.9    70   161   328   415   281   421 0.84 | transcript=PVP01_0905700.1 | gene=PVP01_0905700 | organism=Plasmodium_vivax_P01 | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=PvP01_09_v2:335375-339259(+) | protein_length=1294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905700.1-p1   -           1294 9902at5820           -            263   4.5e-06   25.0   8.9   2   2     0.015       1.9    6.5   0.1   173   230   542   600   534   609 0.82 | transcript=PVP01_0905700.1 | gene=PVP01_0905700 | organism=Plasmodium_vivax_P01 | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=PvP01_09_v2:335375-339259(+) | protein_length=1294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0733500.1-p1   -            341 9902at5820           -            263   1.6e-05   23.2   0.1   1   1   3.3e-07   4.3e-05   21.8   0.1    60   221    75   240    62   276 0.73 | transcript=PVP01_0733500.1 | gene=PVP01_0733500 | organism=Plasmodium_vivax_P01 | gene_product=cAMP-dependent protein kinase catalytic subunit, putative | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative | location=PvP01_07_v2:1376764-1378505(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0410300.1-p1   -           1621 9902at5820           -            263   2.9e-05   22.3   3.6   1   1   3.5e-07   4.6e-05   21.7   2.9    57   159  1154  1253  1109  1269 0.76 | transcript=PVP01_0410300.1 | gene=PVP01_0410300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase STK2, putative | transcript_product=serine/threonine protein kinase STK2, putative | location=PvP01_04_v2:420492-425357(-) | protein_length=1621 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724600.1-p1   -           3250 9902at5820           -            263   3.5e-05   22.1   3.9   1   2   4.4e-05    0.0058   14.8   1.9    62   172  2996  3113  2988  3125 0.83 | transcript=PVP01_0724600.1 | gene=PVP01_0724600 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1049322-1059074(-) | protein_length=3250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724600.1-p1   -           3250 9902at5820           -            263   3.5e-05   22.1   3.9   2   2     0.012       1.5    6.8   0.0   185   225  3147  3190  3137  3210 0.75 | transcript=PVP01_0724600.1 | gene=PVP01_0724600 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1049322-1059074(-) | protein_length=3250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320900.1-p1   -           2220 9902at5820           -            263   0.00025   19.2   0.7   1   3       7.4   9.7e+02   -2.3   0.0    38    58   482   502   475   516 0.77 | transcript=PVP01_1320900.1 | gene=PVP01_1320900 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_13_v2:938545-945964(-) | protein_length=2220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320900.1-p1   -           2220 9902at5820           -            263   0.00025   19.2   0.7   2   3   1.9e-06   0.00025   19.2   0.7    88   159   936  1004   927  1032 0.83 | transcript=PVP01_1320900.1 | gene=PVP01_1320900 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_13_v2:938545-945964(-) | protein_length=2220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320900.1-p1   -           2220 9902at5820           -            263   0.00025   19.2   0.7   3   3      0.31        41    2.2   0.0   181   217  1134  1175  1120  1223 0.61 | transcript=PVP01_1320900.1 | gene=PVP01_1320900 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_13_v2:938545-945964(-) | protein_length=2220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0827800.1-p1   -            488 9902at5820           -            263    0.0003   19.0   1.2   1   1   5.3e-06   0.00069   17.8   1.1    64   182   150   275   142   322 0.65 | transcript=PVP01_0827800.1 | gene=PVP01_0827800 | organism=Plasmodium_vivax_P01 | gene_product=glycogen synthase kinase-3 beta, putative | transcript_product=glycogen synthase kinase-3 beta, putative | location=PvP01_08_v2:1206811-1209248(+) | protein_length=488 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0937400.1-p1   -            323 9902at5820           -            263    0.0011   17.2   0.2   1   1   8.3e-06    0.0011   17.2   0.2   116   174    97   159    89   173 0.81 | transcript=PVP01_0937400.1 | gene=PVP01_0937400 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=PvP01_09_v2:1606184-1608602(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0114800.1-p1   -           1422 9902at5820           -            263    0.0035   15.5   0.6   1   1     5e-05    0.0065   14.6   0.6    93   166  1186  1260  1174  1271 0.77 | transcript=PVP01_0114800.1 | gene=PVP01_0114800 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, FIKK family | transcript_product=serine/threonine protein kinase, FIKK family | location=PvP01_01_v2:658723-663278(+) | protein_length=1422 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724500.1-p1   -           1177 9902at5820           -            263      0.01   14.0   0.1   1   1   0.00022     0.029   12.5   0.0   119   165   901   949   893   957 0.84 | transcript=PVP01_0724500.1 | gene=PVP01_0724500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1044650-1048727(+) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0727300.1-p1   -            601 9902at5820           -            263     0.013   13.6   0.1   1   1   0.00022     0.029   12.5   0.1   113   161   376   424   364   434 0.84 | transcript=PVP01_0727300.1 | gene=PVP01_0727300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_07_v2:1160934-1162739(+) | protein_length=601 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0529500.1-p1   -            646 9902at5820           -            263     0.017   13.3   3.9   1   2   0.00024     0.031   12.4   2.8   122   166   200   245   184   259 0.86 | transcript=PVP01_0529500.1 | gene=PVP01_0529500 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase RIO2, putative | transcript_product=serine/threonine protein kinase RIO2, putative | location=PvP01_05_v2:1236051-1237991(+) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0529500.1-p1   -            646 9902at5820           -            263     0.017   13.3   3.9   2   2       6.8   8.8e+02   -2.2   0.0   151   168   267   284   247   294 0.79 | transcript=PVP01_0529500.1 | gene=PVP01_0529500 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase RIO2, putative | transcript_product=serine/threonine protein kinase RIO2, putative | location=PvP01_05_v2:1236051-1237991(+) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9902at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9902at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9902at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:53:11 2026
# [ok]
