#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1257000.1-p1   -            377 7573at5820           -            324  1.3e-213  706.7  37.4   1   2  1.9e-214  2.2e-212  702.6  29.8     3   315    16   329     6   339 0.95 | transcript=PVP01_1257000.1 | gene=PVP01_1257000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_12_v2:2340182-2342802(-) | protein_length=377 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0410300.1-p1   -           1621 7573at5820           -            324   1.7e-11   42.5   9.5   1   2   8.2e-13   9.7e-11   40.0   8.1    24   167  1113  1253  1107  1267 0.87 | transcript=PVP01_0410300.1 | gene=PVP01_0410300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase STK2, putative | transcript_product=serine/threonine protein kinase STK2, putative | location=PvP01_04_v2:420492-425357(-) | protein_length=1621 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0410300.1-p1   -           1621 7573at5820           -            324   1.7e-11   42.5   9.5   2   2   0.00033     0.039   11.7   0.0   173   239  1491  1560  1466  1578 0.80 | transcript=PVP01_0410300.1 | gene=PVP01_0410300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase STK2, putative | transcript_product=serine/threonine protein kinase STK2, putative | location=PvP01_04_v2:420492-425357(-) | protein_length=1621 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411500.1-p1   -            344 7573at5820           -            324   1.8e-10   39.1   0.4   1   1     4e-12   4.8e-10   37.7   0.4    15   298    16   325     6   343 0.70 | transcript=PVP01_0411500.1 | gene=PVP01_0411500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 7, putative | transcript_product=protein kinase 7, putative | location=PvP01_04_v2:470144-471765(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1264000.1-p1   -           1310 7573at5820           -            324   1.9e-10   39.1   2.4   1   2   2.6e-05    0.0031   15.3   0.3    88   172   921  1001   909  1048 0.66 | transcript=PVP01_1264000.1 | gene=PVP01_1264000 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:2642004-2645936(+) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1264000.1-p1   -           1310 7573at5820           -            324   1.9e-10   39.1   2.4   2   2   1.5e-07   1.8e-05   22.7   0.1   177   242  1083  1151  1070  1161 0.80 | transcript=PVP01_1264000.1 | gene=PVP01_1264000 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:2642004-2645936(+) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513200.1-p1   -            800 7573at5820           -            324   2.6e-10   38.6  14.8   1   3   0.00088       0.1   10.3   4.2    17   131    24   134    13   137 0.80 | transcript=PVP01_0513200.1 | gene=PVP01_0513200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=PvP01_05_v2:547872-550471(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513200.1-p1   -            800 7573at5820           -            324   2.6e-10   38.6  14.8   2   3   4.7e-06   0.00056   17.8   0.8   108   164   214   269   205   276 0.88 | transcript=PVP01_0513200.1 | gene=PVP01_0513200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=PvP01_05_v2:547872-550471(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513200.1-p1   -            800 7573at5820           -            324   2.6e-10   38.6  14.8   3   3   1.6e-05    0.0019   16.1   0.0   191   250   589   649   563   718 0.80 | transcript=PVP01_0513200.1 | gene=PVP01_0513200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=PvP01_05_v2:547872-550471(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133600.1-p1   -            801 7573at5820           -            324   3.8e-10   38.1   0.1   1   3   2.3e-07   2.8e-05   22.1   0.0   108   181   162   242   145   259 0.81 | transcript=PVP01_1133600.1 | gene=PVP01_1133600 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=PvP01_11_v2:1437367-1439772(-) | protein_length=801 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133600.1-p1   -            801 7573at5820           -            324   3.8e-10   38.1   0.1   2   3    0.0027      0.32    8.7   0.0   208   247   471   510   446   528 0.81 | transcript=PVP01_1133600.1 | gene=PVP01_1133600 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=PvP01_11_v2:1437367-1439772(-) | protein_length=801 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133600.1-p1   -            801 7573at5820           -            324   3.8e-10   38.1   0.1   3   3      0.17        20    2.8   0.0   270   296   563   589   533   598 0.83 | transcript=PVP01_1133600.1 | gene=PVP01_1133600 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=PvP01_11_v2:1437367-1439772(-) | protein_length=801 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0937400.1-p1   -            323 7573at5820           -            324   1.7e-09   35.9   0.2   1   2      0.46        55    1.4   0.0   197   217    20    40     3    45 0.77 | transcript=PVP01_0937400.1 | gene=PVP01_0937400 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=PvP01_09_v2:1606184-1608602(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0937400.1-p1   -            323 7573at5820           -            324   1.7e-09   35.9   0.2   2   2   1.6e-10   1.9e-08   32.5   0.0   140   262   113   246    97   287 0.82 | transcript=PVP01_0937400.1 | gene=PVP01_0937400 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=PvP01_09_v2:1606184-1608602(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0914700.1-p1   -            575 7573at5820           -            324   1.1e-08   33.2   6.9   1   2   9.2e-08   1.1e-05   23.4   7.1    11   185   155   325   145   334 0.80 | transcript=PVP01_0914700.1 | gene=PVP01_0914700 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=PvP01_09_v2:671593-673320(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0914700.1-p1   -            575 7573at5820           -            324   1.1e-08   33.2   6.9   2   2    0.0082      0.98    7.1   0.0   194   225   357   389   343   400 0.75 | transcript=PVP01_0914700.1 | gene=PVP01_0914700 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=PvP01_09_v2:671593-673320(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822900.1-p1   -           1391 7573at5820           -            324   2.8e-08   31.9   0.3   1   3   0.00073     0.086   10.6   0.4    22    47   792   817   771   879 0.73 | transcript=PVP01_0822900.1 | gene=PVP01_0822900 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 4, putative | transcript_product=cdc2-related protein kinase 4, putative | location=PvP01_08_v2:1029162-1033337(+) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822900.1-p1   -           1391 7573at5820           -            324   2.8e-08   31.9   0.3   2   3   2.4e-10   2.8e-08   31.9   0.3   126   248  1160  1291  1132  1311 0.81 | transcript=PVP01_0822900.1 | gene=PVP01_0822900 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 4, putative | transcript_product=cdc2-related protein kinase 4, putative | location=PvP01_08_v2:1029162-1033337(+) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822900.1-p1   -           1391 7573at5820           -            324   2.8e-08   31.9   0.3   3   3       7.2   8.5e+02   -2.5   0.0   270   296  1343  1369  1339  1375 0.89 | transcript=PVP01_0822900.1 | gene=PVP01_0822900 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 4, putative | transcript_product=cdc2-related protein kinase 4, putative | location=PvP01_08_v2:1029162-1033337(+) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0814500.1-p1   -            325 7573at5820           -            324   3.5e-08   31.6  11.2   1   1   6.4e-10   7.6e-08   30.5  11.2    32   241    14   232     4   241 0.73 | transcript=PVP01_0814500.1 | gene=PVP01_0814500 | organism=Plasmodium_vivax_P01 | gene_product=MO15-related protein kinase, putative | transcript_product=MO15-related protein kinase, putative | location=PvP01_08_v2:635589-636566(+) | protein_length=325 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818800.1-p1   -            327 7573at5820           -            324   3.7e-08   31.5   0.1   1   1   5.2e-10   6.2e-08   30.8   0.1   104   300    93   285    72   305 0.76 | transcript=PVP01_0818800.1 | gene=PVP01_0818800 | organism=Plasmodium_vivax_P01 | gene_product=pseudo protein kinase 1, putative | transcript_product=pseudo protein kinase 1, putative | location=PvP01_08_v2:823384-824701(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0207300.1-p1   -           3308 7573at5820           -            324   7.6e-08   30.5   7.1   1   2     3e-07   3.6e-05   21.7   0.7   102   182  3076  3152  3062  3165 0.85 | transcript=PVP01_0207300.1 | gene=PVP01_0207300 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | location=PvP01_02_v2:297497-308722(-) | protein_length=3308 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0207300.1-p1   -           3308 7573at5820           -            324   7.6e-08   30.5   7.1   2   2   0.00031     0.037   11.8   0.0   196   293  3207  3297  3196  3307 0.77 | transcript=PVP01_0207300.1 | gene=PVP01_0207300 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | location=PvP01_02_v2:297497-308722(-) | protein_length=3308 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413200.1-p1   -           1029 7573at5820           -            324   7.7e-08   30.5   1.8   1   1   3.3e-09   3.9e-07   28.2   1.8    10   236   740   965   731   975 0.70 | transcript=PVP01_0413200.1 | gene=PVP01_0413200 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_04_v2:537325-540414(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521800.1-p1   -           1610 7573at5820           -            324   4.6e-07   27.9   4.6   1   3       1.2   1.5e+02   -0.0   0.1    25    89   644   707   634   714 0.83 | transcript=PVP01_0521800.1 | gene=PVP01_0521800 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related kinase 3, putative, cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=PvP01_05_v2:884331-889289(+) | protein_length=1610 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521800.1-p1   -           1610 7573at5820           -            324   4.6e-07   27.9   4.6   2   3   8.8e-09     1e-06   26.7   0.1   128   248   899  1016   890  1027 0.82 | transcript=PVP01_0521800.1 | gene=PVP01_0521800 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related kinase 3, putative, cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=PvP01_05_v2:884331-889289(+) | protein_length=1610 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521800.1-p1   -           1610 7573at5820           -            324   4.6e-07   27.9   4.6   3   3       1.1   1.4e+02    0.1   0.1   245   296  1047  1102  1039  1126 0.83 | transcript=PVP01_0521800.1 | gene=PVP01_0521800 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related kinase 3, putative, cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=PvP01_05_v2:884331-889289(+) | protein_length=1610 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837700.1-p1   -           1397 7573at5820           -            324   3.6e-06   25.0   4.0   1   3    0.0011      0.13   10.0   1.2    26   164    52   214    34   221 0.55 | transcript=PVP01_0837700.1 | gene=PVP01_0837700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_08_v2:1595439-1599632(-) | protein_length=1397 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837700.1-p1   -           1397 7573at5820           -            324   3.6e-06   25.0   4.0   2   3    0.0011      0.14    9.9   0.0   200   242   727   769   710   798 0.85 | transcript=PVP01_0837700.1 | gene=PVP01_0837700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_08_v2:1595439-1599632(-) | protein_length=1397 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837700.1-p1   -           1397 7573at5820           -            324   3.6e-06   25.0   4.0   3   3      0.71        85    0.8   0.0   270   297   840   867   832   892 0.76 | transcript=PVP01_0837700.1 | gene=PVP01_0837700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_08_v2:1595439-1599632(-) | protein_length=1397 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0727300.1-p1   -            601 7573at5820           -            324   4.2e-05   21.5   0.4   1   2    0.0005     0.059   11.1   0.4   135   168   390   425   385   433 0.81 | transcript=PVP01_0727300.1 | gene=PVP01_0727300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_07_v2:1160934-1162739(+) | protein_length=601 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0727300.1-p1   -            601 7573at5820           -            324   4.2e-05   21.5   0.4   2   2    0.0054      0.65    7.7   0.0   217   292   495   571   472   581 0.84 | transcript=PVP01_0727300.1 | gene=PVP01_0727300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_07_v2:1160934-1162739(+) | protein_length=601 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724500.1-p1   -           1177 7573at5820           -            324   0.00016   19.5   1.7   1   3      0.08       9.4    3.9   2.1    27    78   119   169   109   182 0.73 | transcript=PVP01_0724500.1 | gene=PVP01_0724500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1044650-1048727(+) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724500.1-p1   -           1177 7573at5820           -            324   0.00016   19.5   1.7   2   3       3.5   4.2e+02   -1.5   0.0   137   164   911   938   900   956 0.77 | transcript=PVP01_0724500.1 | gene=PVP01_0724500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1044650-1048727(+) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724500.1-p1   -           1177 7573at5820           -            324   0.00016   19.5   1.7   3   3    0.0004     0.047   11.4   0.0   191   235  1051  1095  1028  1103 0.85 | transcript=PVP01_0724500.1 | gene=PVP01_0724500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1044650-1048727(+) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7573at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7573at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7573at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:11 2026
# [ok]
