#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1436000.1-p1   -           1121 3505at5820           -            693         0 1198.8 115.2   1   7     7e-57   1.5e-54  184.0  15.3     1   104    39   142    39   159 0.95 | transcript=PVP01_1436000.1 | gene=PVP01_1436000 | organism=Plasmodium_vivax_P01 | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=PvP01_14_v2:1514796-1518161(+) | protein_length=1121 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607200.1-p1   -           1571 3505at5820           -            693     0.007   13.2   5.2   1   2     0.026       5.7    3.6   1.7   547   631   308   400   301   435 0.63 | transcript=PVP01_0607200.1 | gene=PVP01_0607200 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein UIS12, putative | transcript_product=RNA-binding protein UIS12, putative | location=PvP01_06_v2:315846-320697(+) | protein_length=1571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607200.1-p1   -           1571 3505at5820           -            693     0.007   13.2   5.2   2   2   0.00025     0.055   10.3   1.6   506   638   375   518   374   523 0.59 | transcript=PVP01_0607200.1 | gene=PVP01_0607200 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein UIS12, putative | transcript_product=RNA-binding protein UIS12, putative | location=PvP01_06_v2:315846-320697(+) | protein_length=1571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1016700.1-p1   -            314 3505at5820           -            693     0.014   12.3   0.0   1   2    0.0063       1.4    5.7   0.0   365   419     6    63     1    81 0.67 | transcript=PVP01_1016700.1 | gene=PVP01_1016700 | organism=Plasmodium_vivax_P01 | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=PvP01_10_v2:743534-744685(+) | protein_length=314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1016700.1-p1   -            314 3505at5820           -            693     0.014   12.3   0.0   2   2     0.016       3.5    4.3   0.1   500   547   140   187   132   194 0.84 | transcript=PVP01_1016700.1 | gene=PVP01_1016700 | organism=Plasmodium_vivax_P01 | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=PvP01_10_v2:743534-744685(+) | protein_length=314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0932900.1-p1   -            963 3505at5820           -            693     0.035   10.9   0.0   1   1   0.00023     0.051   10.4   0.0   560   623   741   812   726   821 0.85 | transcript=PVP01_0932900.1 | gene=PVP01_0932900 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_09_v2:1408106-1410997(-) | protein_length=963 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3505at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3505at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3505at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:06 2026
# [ok]
