#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0511100.1-p1   -            292 9510at5820           -            234  1.1e-139  462.2  23.2   1   1  2.3e-138  3.8e-136  450.6  23.2     1   224     1   263     1   292 0.93 | transcript=PVP01_0511100.1 | gene=PVP01_0511100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_05_v2:482035-483249(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1417400.1-p1   -            880 9510at5820           -            234   7.9e-05   20.8   3.3   2   2       1.3   2.2e+02   -0.2   0.2    90   121   231   262   223   265 0.88 | transcript=PVP01_1417400.1 | gene=PVP01_1417400 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 40, putative | transcript_product=pre-mRNA-processing factor 40, putative | location=PvP01_14_v2:757684-760326(+) | protein_length=880 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820700.1-p1   -            299 9510at5820           -            234   9.6e-05   20.6   0.0   1   1   9.8e-07   0.00016   19.8   0.0   126   196    36   107    20   114 0.86 | transcript=PVP01_0820700.1 | gene=PVP01_0820700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_08_v2:909033-910367(-) | protein_length=299 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133400.1-p1   -            153 9510at5820           -            234    0.0001   20.5   1.7   1   1   1.8e-06   0.00029   19.0   1.5   103   201    38   136    19   147 0.83 | transcript=PVP01_1133400.1 | gene=PVP01_1133400 | organism=Plasmodium_vivax_P01 | gene_product=THO complex subunit 4, putative | transcript_product=THO complex subunit 4, putative | location=PvP01_11_v2:1425869-1427281(-) | protein_length=153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1421700.1-p1   -            124 9510at5820           -            234    0.0001   20.4   0.1   1   1   7.1e-07   0.00012   20.3   0.1   138   204    20    87     4   110 0.83 | transcript=PVP01_1421700.1 | gene=PVP01_1421700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_14_v2:939195-940065(-) | protein_length=124 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1411700.1-p1   -            158 9510at5820           -            234   0.00021   19.5   0.0   1   1   1.4e-06   0.00023   19.3   0.0     4    66    33    94    30   147 0.84 | transcript=PVP01_1411700.1 | gene=PVP01_1411700 | organism=Plasmodium_vivax_P01 | gene_product=PhIL1-interacting candidate PIC5, putative | transcript_product=PhIL1-interacting candidate PIC5, putative | location=PvP01_14_v2:528162-528638(-) | protein_length=158 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238000.1-p1   -            911 9510at5820           -            234   0.00023   19.3   0.0   1   1   3.2e-06   0.00053   18.1   0.0   124   199   672   748   664   768 0.85 | transcript=PVP01_1238000.1 | gene=PVP01_1238000 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor U2AF large subunit, putative | transcript_product=splicing factor U2AF large subunit, putative | location=PvP01_12_v2:1499194-1501929(+) | protein_length=911 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605200.1-p1   -            513 9510at5820           -            234   0.00042   18.5   0.0   1   1   4.9e-06   0.00082   17.5   0.0   129   199   354   425   342   449 0.85 | transcript=PVP01_0605200.1 | gene=PVP01_0605200 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein 34, putative | transcript_product=RNA-binding protein 34, putative | location=PvP01_06_v2:212984-215977(-) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0609400.1-p1   -            181 9510at5820           -            234    0.0007   17.7   0.0   1   1   5.9e-06   0.00099   17.3   0.0    10   100    79   170    71   179 0.77 | transcript=PVP01_0609400.1 | gene=PVP01_0609400 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_06_v2:425893-426438(-) | protein_length=181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261400.1-p1   -            786 9510at5820           -            234   0.00075   17.6   0.0   1   1     9e-06    0.0015   16.7   0.0   135   205    38   109    14   130 0.88 | transcript=PVP01_1261400.1 | gene=PVP01_1261400 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_12_v2:2531620-2534682(-) | protein_length=786 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1306600.1-p1   -            182 9510at5820           -            234     0.001   17.2   0.0   1   1   8.2e-06    0.0014   16.8   0.0   125   221    81   181    69   182 0.83 | transcript=PVP01_1306600.1 | gene=PVP01_1306600 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein | transcript_product=RNA-binding protein | location=PvP01_13_v2:303697-304720(+) | protein_length=182 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1407800.1-p1   -            505 9510at5820           -            234    0.0048   15.0   1.1   1   2    0.0012       0.2    9.7   0.1   163   201   266   304   221   316 0.76 | transcript=PVP01_1407800.1 | gene=PVP01_1407800 | organism=Plasmodium_vivax_P01 | gene_product=U1 small nuclear ribonucleoprotein A, putative | transcript_product=U1 small nuclear ribonucleoprotein A, putative | location=PvP01_14_v2:373119-374956(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1407800.1-p1   -            505 9510at5820           -            234    0.0048   15.0   1.1   2   2      0.13        21    3.1   0.0   145   201   452   503   432   505 0.77 | transcript=PVP01_1407800.1 | gene=PVP01_1407800 | organism=Plasmodium_vivax_P01 | gene_product=U1 small nuclear ribonucleoprotein A, putative | transcript_product=U1 small nuclear ribonucleoprotein A, putative | location=PvP01_14_v2:373119-374956(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342700.1-p1   -            119 9510at5820           -            234     0.013   13.6   0.0   1   1   9.1e-05     0.015   13.4   0.0   125   198    34   108    15   118 0.75 | transcript=PVP01_1342700.1 | gene=PVP01_1342700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein 8A, putative | transcript_product=RNA-binding protein 8A, putative | location=PvP01_13_v2:1878663-1879391(-) | protein_length=119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9510at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9510at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9510at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:51:29 2026
# [ok]
