#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0317000.1-p1   -            838 4442at5820           -            603         0 1029.4  19.0   1   5  4.4e-118  7.7e-116  386.3   0.8    17   209   126   318   121   324 0.98 | transcript=PVP01_0317000.1 | gene=PVP01_0317000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX31, putative | transcript_product=ATP-dependent RNA helicase DDX31, putative | location=PvP01_03_v2:738869-741385(+) | protein_length=838 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458900.1-p1   -            847 4442at5820           -            603   4.1e-26   90.0   9.5   1   2   1.3e-19   2.3e-17   61.0   2.0    22   229    89   293    77   311 0.79 | transcript=PVP01_1458900.1 | gene=PVP01_1458900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP9, putative | transcript_product=ATP-dependent RNA helicase DBP9, putative | location=PvP01_14_v2:2575210-2577753(-) | protein_length=847 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458900.1-p1   -            847 4442at5820           -            603   4.1e-26   90.0   9.5   2   2   4.4e-11   7.8e-09   32.9   1.0   411   508   513   615   491   680 0.74 | transcript=PVP01_1458900.1 | gene=PVP01_1458900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP9, putative | transcript_product=ATP-dependent RNA helicase DBP9, putative | location=PvP01_14_v2:2575210-2577753(-) | protein_length=847 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818600.1-p1   -            762 4442at5820           -            603   6.9e-26   89.2  21.4   1   3   3.3e-08   5.9e-06   23.4   0.4    22    90   253   321   234   332 0.89 | transcript=PVP01_0818600.1 | gene=PVP01_0818600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX42, putative | transcript_product=ATP-dependent RNA helicase DDX42, putative | location=PvP01_08_v2:816280-818806(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818600.1-p1   -            762 4442at5820           -            603   6.9e-26   89.2  21.4   2   3   3.2e-07   5.6e-05   20.1   5.2   102   274   380   542   374   562 0.77 | transcript=PVP01_0818600.1 | gene=PVP01_0818600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX42, putative | transcript_product=ATP-dependent RNA helicase DDX42, putative | location=PvP01_08_v2:816280-818806(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818600.1-p1   -            762 4442at5820           -            603   6.9e-26   89.2  21.4   3   3     9e-18   1.6e-15   55.0   2.7   364   485   564   694   551   709 0.80 | transcript=PVP01_0818600.1 | gene=PVP01_0818600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX42, putative | transcript_product=ATP-dependent RNA helicase DDX42, putative | location=PvP01_08_v2:816280-818806(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606700.1-p1   -            634 4442at5820           -            603   2.4e-24   84.1   6.0   1   3   4.4e-06   0.00077   16.4   0.0    33    85   141   194   136   200 0.85 | transcript=PVP01_0606700.1 | gene=PVP01_0606700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase ROK1, putative | transcript_product=ATP-dependent RNA helicase ROK1, putative | location=PvP01_06_v2:268849-270753(-) | protein_length=634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606700.1-p1   -            634 4442at5820           -            603   2.4e-24   84.1   6.0   2   3   6.2e-09   1.1e-06   25.8   0.8   103   260   263   411   254   431 0.83 | transcript=PVP01_0606700.1 | gene=PVP01_0606700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase ROK1, putative | transcript_product=ATP-dependent RNA helicase ROK1, putative | location=PvP01_06_v2:268849-270753(-) | protein_length=634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606700.1-p1   -            634 4442at5820           -            603   2.4e-24   84.1   6.0   3   3   3.6e-14   6.4e-12   43.1   0.1   375   462   461   549   458   559 0.89 | transcript=PVP01_0606700.1 | gene=PVP01_0606700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase ROK1, putative | transcript_product=ATP-dependent RNA helicase ROK1, putative | location=PvP01_06_v2:268849-270753(-) | protein_length=634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0310700.1-p1   -           1189 4442at5820           -            603   5.1e-23   79.7  10.7   1   2   3.4e-15   6.1e-13   46.5   4.7     7   239   216   451   211   460 0.76 | transcript=PVP01_0310700.1 | gene=PVP01_0310700 | organism=Plasmodium_vivax_P01 | gene_product=DEAD box ATP-dependent RNA helicase, putative | transcript_product=DEAD box ATP-dependent RNA helicase, putative | location=PvP01_03_v2:477928-481497(-) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0310700.1-p1   -           1189 4442at5820           -            603   5.1e-23   79.7  10.7   2   2   3.8e-12   6.7e-10   36.4   0.3   363   479   830   950   824   964 0.87 | transcript=PVP01_0310700.1 | gene=PVP01_0310700 | organism=Plasmodium_vivax_P01 | gene_product=DEAD box ATP-dependent RNA helicase, putative | transcript_product=DEAD box ATP-dependent RNA helicase, putative | location=PvP01_03_v2:477928-481497(-) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1247900.1-p1   -            787 4442at5820           -            603   1.4e-21   75.0   9.8   1   2   1.1e-15   1.9e-13   48.1   4.7    31   291   380   622   353   633 0.78 | transcript=PVP01_1247900.1 | gene=PVP01_1247900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP5, putative | transcript_product=ATP-dependent RNA helicase DBP5, putative | location=PvP01_12_v2:1947873-1950236(-) | protein_length=787 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1247900.1-p1   -            787 4442at5820           -            603   1.4e-21   75.0   9.8   2   2   6.2e-09   1.1e-06   25.8   0.1   393   462   671   759   661   777 0.81 | transcript=PVP01_1247900.1 | gene=PVP01_1247900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP5, putative | transcript_product=ATP-dependent RNA helicase DBP5, putative | location=PvP01_12_v2:1947873-1950236(-) | protein_length=787 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301300.1-p1   -            869 4442at5820           -            603   4.2e-14   50.3  16.3   1   3     8e-05     0.014   12.2   3.1    47    93   182   233   141   350 0.74 | transcript=PVP01_1301300.1 | gene=PVP01_1301300 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA/RNA helicase PSH2, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH2, putative | location=PvP01_13_v2:50765-54538(-) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301300.1-p1   -            869 4442at5820           -            603   4.2e-14   50.3  16.3   2   3     7e-15   1.2e-12   45.4   2.7   371   516   554   702   474   724 0.77 | transcript=PVP01_1301300.1 | gene=PVP01_1301300 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA/RNA helicase PSH2, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH2, putative | location=PvP01_13_v2:50765-54538(-) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301300.1-p1   -            869 4442at5820           -            603   4.2e-14   50.3  16.3   3   3       1.8   3.2e+02   -2.1   0.1   453   516   724   776   705   804 0.51 | transcript=PVP01_1301300.1 | gene=PVP01_1301300 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA/RNA helicase PSH2, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH2, putative | location=PvP01_13_v2:50765-54538(-) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0304400.1-p1   -            548 4442at5820           -            603   1.2e-13   48.8  21.8   1   2   7.7e-06    0.0014   15.6  10.5    60   236   135   319    95   390 0.71 | transcript=PVP01_0304400.1 | gene=PVP01_0304400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX51, putative | transcript_product=ATP-dependent RNA helicase DDX51, putative | location=PvP01_03_v2:229512-231484(-) | protein_length=548 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0304400.1-p1   -            548 4442at5820           -            603   1.2e-13   48.8  21.8   2   2   1.3e-12   2.3e-10   37.9   2.8   383   488   402   503   394   524 0.81 | transcript=PVP01_0304400.1 | gene=PVP01_0304400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX51, putative | transcript_product=ATP-dependent RNA helicase DDX51, putative | location=PvP01_03_v2:229512-231484(-) | protein_length=548 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1029800.1-p1   -            522 4442at5820           -            603   4.7e-12   43.5   3.6   1   2      0.14        25    1.5   3.7    30   106    99   173    81   322 0.66 | transcript=PVP01_1029800.1 | gene=PVP01_1029800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX27, putative | transcript_product=ATP-dependent RNA helicase DDX27, putative | location=PvP01_10_v2:1285939-1287889(-) | protein_length=522 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1029800.1-p1   -            522 4442at5820           -            603   4.7e-12   43.5   3.6   2   2   2.7e-14   4.7e-12   43.5   3.6   346   478   354   486   341   503 0.82 | transcript=PVP01_1029800.1 | gene=PVP01_1029800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX27, putative | transcript_product=ATP-dependent RNA helicase DDX27, putative | location=PvP01_10_v2:1285939-1287889(-) | protein_length=522 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907400.1-p1   -           1329 4442at5820           -            603     8e-11   39.5   8.3   1   4   0.00032     0.056   10.2   0.0    31    88   150   207   121   215 0.84 | transcript=PVP01_0907400.1 | gene=PVP01_0907400 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_09_v2:394370-398359(+) | protein_length=1329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907400.1-p1   -           1329 4442at5820           -            603     8e-11   39.5   8.3   2   4       1.1   1.9e+02   -1.4   0.4   344   373   338   367   325   381 0.76 | transcript=PVP01_0907400.1 | gene=PVP01_0907400 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_09_v2:394370-398359(+) | protein_length=1329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907400.1-p1   -           1329 4442at5820           -            603     8e-11   39.5   8.3   3   4       2.4   4.3e+02   -2.6   0.0   212   255   689   737   681   747 0.68 | transcript=PVP01_0907400.1 | gene=PVP01_0907400 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_09_v2:394370-398359(+) | protein_length=1329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907400.1-p1   -           1329 4442at5820           -            603     8e-11   39.5   8.3   4   4     7e-11   1.2e-08   32.2   0.8   365   443   897   978   863   988 0.84 | transcript=PVP01_0907400.1 | gene=PVP01_0907400 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_09_v2:394370-398359(+) | protein_length=1329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113300.1-p1   -           1261 4442at5820           -            603   1.9e-10   38.2   4.9   1   3     0.055       9.6    2.9   0.0    34    93    38    98    27   106 0.81 | transcript=PVP01_0113300.1 | gene=PVP01_0113300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase PSH3, putative | transcript_product=DNA helicase PSH3, putative | location=PvP01_01_v2:597824-601609(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113300.1-p1   -           1261 4442at5820           -            603   1.9e-10   38.2   4.9   2   3       1.4   2.5e+02   -1.8   0.0   104   118   134   148   128   156 0.81 | transcript=PVP01_0113300.1 | gene=PVP01_0113300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase PSH3, putative | transcript_product=DNA helicase PSH3, putative | location=PvP01_01_v2:597824-601609(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113300.1-p1   -           1261 4442at5820           -            603   1.9e-10   38.2   4.9   3   3   7.6e-12   1.3e-09   35.4   1.0   375   457   622   704   562   717 0.83 | transcript=PVP01_0113300.1 | gene=PVP01_0113300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase PSH3, putative | transcript_product=DNA helicase PSH3, putative | location=PvP01_01_v2:597824-601609(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105800.1-p1   -           1051 4442at5820           -            603   7.7e-10   36.2  16.8   1   5       4.5     8e+02   -3.5   0.0    38    60    89   111    81   125 0.75 | transcript=PVP01_0105800.1 | gene=PVP01_0105800 | organism=Plasmodium_vivax_P01 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=PvP01_01_v2:313457-316612(-) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105800.1-p1   -           1051 4442at5820           -            603   7.7e-10   36.2  16.8   2   5      0.77   1.4e+02   -0.9   0.0    61    96   203   236   201   259 0.72 | transcript=PVP01_0105800.1 | gene=PVP01_0105800 | organism=Plasmodium_vivax_P01 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=PvP01_01_v2:313457-316612(-) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105800.1-p1   -           1051 4442at5820           -            603   7.7e-10   36.2  16.8   3   5     0.015       2.7    4.7   0.1   146   204   429   490   417   496 0.78 | transcript=PVP01_0105800.1 | gene=PVP01_0105800 | organism=Plasmodium_vivax_P01 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=PvP01_01_v2:313457-316612(-) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105800.1-p1   -           1051 4442at5820           -            603   7.7e-10   36.2  16.8   4   5   1.4e-11   2.5e-09   34.5   7.8   377   485   787   901   778   923 0.75 | transcript=PVP01_0105800.1 | gene=PVP01_0105800 | organism=Plasmodium_vivax_P01 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=PvP01_01_v2:313457-316612(-) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105800.1-p1   -           1051 4442at5820           -            603   7.7e-10   36.2  16.8   5   5       1.6   2.7e+02   -1.9   1.9   266   315   875   922   866   964 0.52 | transcript=PVP01_0105800.1 | gene=PVP01_0105800 | organism=Plasmodium_vivax_P01 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=PvP01_01_v2:313457-316612(-) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1319500.1-p1   -           1264 4442at5820           -            603   3.8e-09   33.9   3.8   1   2    0.0019      0.33    7.7   0.0    49    82    52    85    32    95 0.86 | transcript=PVP01_1319500.1 | gene=PVP01_1319500 | organism=Plasmodium_vivax_P01 | gene_product=ADP-dependent DNA helicase RecQ, putative | transcript_product=ADP-dependent DNA helicase RecQ, putative | location=PvP01_13_v2:887926-891720(-) | protein_length=1264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1319500.1-p1   -           1264 4442at5820           -            603   3.8e-09   33.9   3.8   2   2   5.8e-09     1e-06   25.9   1.8   376   478   307   410   222   425 0.84 | transcript=PVP01_1319500.1 | gene=PVP01_1319500 | organism=Plasmodium_vivax_P01 | gene_product=ADP-dependent DNA helicase RecQ, putative | transcript_product=ADP-dependent DNA helicase RecQ, putative | location=PvP01_13_v2:887926-891720(-) | protein_length=1264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0211100.1-p1   -           1408 4442at5820           -            603   7.3e-09   33.0   2.1   1   3       0.2        35    1.0   0.0    63    88   621   646   617   648 0.90 | transcript=PVP01_0211100.1 | gene=PVP01_0211100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA/RNA helicase PSH1, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH1, putative | location=PvP01_02_v2:449693-454241(-) | protein_length=1408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0211100.1-p1   -           1408 4442at5820           -            603   7.3e-09   33.0   2.1   2   3      0.16        28    1.3   0.0   152   189   906   943   900   950 0.91 | transcript=PVP01_0211100.1 | gene=PVP01_0211100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA/RNA helicase PSH1, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH1, putative | location=PvP01_02_v2:449693-454241(-) | protein_length=1408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0211100.1-p1   -           1408 4442at5820           -            603   7.3e-09   33.0   2.1   3   3     3e-09   5.3e-07   26.8   0.8   355   449  1171  1261  1154  1273 0.87 | transcript=PVP01_0211100.1 | gene=PVP01_0211100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA/RNA helicase PSH1, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH1, putative | location=PvP01_02_v2:449693-454241(-) | protein_length=1408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0717000.1-p1   -            732 4442at5820           -            603   0.00048   17.1   0.7   1   2      0.38        67    0.1   0.6   261   308   116   164    92   174 0.68 | transcript=PVP01_0717000.1 | gene=PVP01_0717000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA helicase Q1, putative | transcript_product=ATP-dependent DNA helicase Q1, putative | location=PvP01_07_v2:757887-760085(+) | protein_length=732 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0717000.1-p1   -            732 4442at5820           -            603   0.00048   17.1   0.7   2   2   2.7e-06   0.00048   17.1   0.7   375   465   400   490   353   515 0.76 | transcript=PVP01_0717000.1 | gene=PVP01_0717000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA helicase Q1, putative | transcript_product=ATP-dependent DNA helicase Q1, putative | location=PvP01_07_v2:757887-760085(+) | protein_length=732 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4442at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4442at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4442at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:37 2026
# [ok]
