#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1326300.1-p1   -            995 4147at5820           -            788         0 1166.9   6.6   1   2  5.3e-227    7e-225  747.3   0.0     1   456     1   581     1   600 0.89 | transcript=PVP01_1326300.1 | gene=PVP01_1326300 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1141831-1144818(-) | protein_length=995 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1314200.1-p1   -           3056 4147at5820           -            788       1.3    5.6  40.2   2   2   5.9e-05    0.0079   12.9  30.9   502   598  1619  1710  1579  1760 0.46 | transcript=PVP01_1314200.1 | gene=PVP01_1314200 | organism=Plasmodium_vivax_P01 | gene_product=glutamate synthase [NADH], putative | transcript_product=glutamate synthase [NADH], putative | location=PvP01_13_v2:645712-654882(+) | protein_length=3056 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0409600.1-p1   -            793 4147at5820           -            788       1.3    5.6  16.2   1   1     0.017       2.2    4.8  16.2   493   629   471   607   454   612 0.38 | transcript=PVP01_0409600.1 | gene=PVP01_0409600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_04_v2:388246-390629(+) | protein_length=793 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0418300.1-p1   -            258 4147at5820           -            788       1.6    5.3  13.7   1   1     0.014       1.9    5.0  13.7   527   580   138   191   119   216 0.53 | transcript=PVP01_0418300.1 | gene=PVP01_0418300 | organism=Plasmodium_vivax_P01 | gene_product=merozoite surface protein 4 | transcript_product=merozoite surface protein 4 | location=PvP01_04_v2:760550-761482(+) | protein_length=258 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1218000.1-p1   -            139 4147at5820           -            788       2.3    4.8  30.6   1   1     0.018       2.4    4.7  30.6   527   582    78   133    50   139 0.34 | transcript=PVP01_1218000.1 | gene=PVP01_1218000 | organism=Plasmodium_vivax_P01 | gene_product=parasitophorous vacuolar protein 3, putative | transcript_product=parasitophorous vacuolar protein 3, putative | location=PvP01_12_v2:750454-750873(+) | protein_length=139 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1407700.1-p1   -            408 4147at5820           -            788       2.9    4.5  45.4   1   2      0.56        75   -0.2  17.5   497   681    18   199     6   222 0.63 | transcript=PVP01_1407700.1 | gene=PVP01_1407700 | organism=Plasmodium_vivax_P01 | gene_product=RED-like protein, putative | transcript_product=RED-like protein, putative | location=PvP01_14_v2:370459-371685(-) | protein_length=408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1407700.1-p1   -            408 4147at5820           -            788       2.9    4.5  45.4   2   2   0.00027     0.036   10.7  19.9   492   623   248   389   233   400 0.30 | transcript=PVP01_1407700.1 | gene=PVP01_1407700 | organism=Plasmodium_vivax_P01 | gene_product=RED-like protein, putative | transcript_product=RED-like protein, putative | location=PvP01_14_v2:370459-371685(-) | protein_length=408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1456500.1-p1   -            300 4147at5820           -            788       3.7    4.1  23.0   1   1     0.057       7.6    3.0  22.8   502   610    41   161     9   259 0.46 | transcript=PVP01_1456500.1 | gene=PVP01_1456500 | organism=Plasmodium_vivax_P01 | gene_product=dynactin subunit 3, putative | transcript_product=dynactin subunit 3, putative | location=PvP01_14_v2:2444763-2446328(-) | protein_length=300 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0617300.1-p1   -            247 4147at5820           -            788       4.4    3.8  36.9   1   1     0.043       5.7    3.5  36.9   452   603    74   231     3   244 0.49 | transcript=PVP01_0617300.1 | gene=PVP01_0617300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:716723-718100(-) | protein_length=247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0620700.1-p1   -            344 4147at5820           -            788       4.5    3.8  27.9   1   1     0.058       7.7    3.0  27.9   483   634   165   330   158   334 0.50 | transcript=PVP01_0620700.1 | gene=PVP01_0620700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:838600-839634(+) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452300.1-p1   -           1884 4147at5820           -            788         5    3.6   9.9   1   2       4.3   5.7e+02   -3.2   0.5   113   175    53   117    31   130 0.65 | transcript=PVP01_1452300.1 | gene=PVP01_1452300 | organism=Plasmodium_vivax_P01 | gene_product=helicase, putative | transcript_product=helicase, putative | location=PvP01_14_v2:2288506-2294160(+) | protein_length=1884 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452300.1-p1   -           1884 4147at5820           -            788         5    3.6   9.9   2   2    0.0017      0.22    8.1   3.3   531   580   361   399   322   454 0.57 | transcript=PVP01_1452300.1 | gene=PVP01_1452300 | organism=Plasmodium_vivax_P01 | gene_product=helicase, putative | transcript_product=helicase, putative | location=PvP01_14_v2:2288506-2294160(+) | protein_length=1884 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0305300.1-p1   -            756 4147at5820           -            788         8    3.0  31.7   1   1     0.096        13    2.3  31.7   501   589   374   463   358   505 0.36 | transcript=PVP01_0305300.1 | gene=PVP01_0305300 | organism=Plasmodium_vivax_P01 | gene_product=rhoptry neck protein 1 | transcript_product=rhoptry neck protein 1 | location=PvP01_03_v2:282744-285506(-) | protein_length=756 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0620400.1-p1   -            555 4147at5820           -            788       8.4    2.9  19.3   1   1      0.09        12    2.4  19.3   506   587   407   488   399   530 0.52 | transcript=PVP01_0620400.1 | gene=PVP01_0620400 | organism=Plasmodium_vivax_P01 | gene_product=merozoite surface protein, putative | transcript_product=merozoite surface protein, putative | location=PvP01_06_v2:828653-830320(+) | protein_length=555 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4147at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4147at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4147at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:27 2026
# [ok]
