#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0814500.1-p1   -            325 8595at5820           -            294  1.1e-187  621.0  19.7   1   1  2.9e-189  3.4e-187  619.4  19.7     1   294     5   320     5   320 0.97 | transcript=PVP01_0814500.1 | gene=PVP01_0814500 | organism=Plasmodium_vivax_P01 | gene_product=MO15-related protein kinase, putative | transcript_product=MO15-related protein kinase, putative | location=PvP01_08_v2:635589-636566(+) | protein_length=325 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115100.1-p1   -           4009 8595at5820           -            294   4.6e-12   44.5   1.4   1   1   7.1e-14   8.3e-12   43.6   1.4    12   211  1193  1389  1183  1402 0.83 | transcript=PVP01_1115100.1 | gene=PVP01_1115100 | organism=Plasmodium_vivax_P01 | gene_product=aurora-related kinase ARK3, putative | transcript_product=aurora-related kinase ARK3, putative | location=PvP01_11_v2:639663-651692(-) | protein_length=4009 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1143600.1-p1   -            354 8595at5820           -            294   6.6e-12   43.9   0.1   1   1   9.8e-14   1.1e-11   43.2   0.1    10   282    36   307    31   320 0.72 | transcript=PVP01_1143600.1 | gene=PVP01_1143600 | organism=Plasmodium_vivax_P01 | gene_product=aurora-related kinase ARK1, putative | transcript_product=aurora-related kinase ARK1, putative | location=PvP01_11_v2:1853071-1854606(-) | protein_length=354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1257000.1-p1   -            377 8595at5820           -            294   2.1e-11   42.3  11.1   1   1   3.3e-13   3.8e-11   41.5  11.1    10   215    46   256    36   267 0.76 | transcript=PVP01_1257000.1 | gene=PVP01_1257000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_12_v2:2340182-2342802(-) | protein_length=377 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0921900.1-p1   -           1542 8595at5820           -            294     1e-10   40.0   7.0   1   3     0.023       2.7    5.8   0.3    56    91   222   257   184   271 0.83 | transcript=PVP01_0921900.1 | gene=PVP01_0921900 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_09_v2:946073-950834(-) | protein_length=1542 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0921900.1-p1   -           1542 8595at5820           -            294     1e-10   40.0   7.0   2   3   2.9e-11   3.3e-09   35.1   0.3   106   206   348   448   341   464 0.83 | transcript=PVP01_0921900.1 | gene=PVP01_0921900 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_09_v2:946073-950834(-) | protein_length=1542 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0921900.1-p1   -           1542 8595at5820           -            294     1e-10   40.0   7.0   3   3      0.72        84    0.9   0.1   188   240   489   539   479   556 0.82 | transcript=PVP01_0921900.1 | gene=PVP01_0921900 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_09_v2:946073-950834(-) | protein_length=1542 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0733500.1-p1   -            341 8595at5820           -            294   2.6e-10   38.7   0.2   1   1   3.3e-12   3.8e-10   38.2   0.2    11   206    38   227    30   248 0.82 | transcript=PVP01_0733500.1 | gene=PVP01_0733500 | organism=Plasmodium_vivax_P01 | gene_product=cAMP-dependent protein kinase catalytic subunit, putative | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative | location=PvP01_07_v2:1376764-1378505(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1464000.1-p1   -            755 8595at5820           -            294   3.7e-10   38.2   0.3   1   2       8.2   9.6e+02   -2.5   0.1   229   255   360   386   356   399 0.78 | transcript=PVP01_1464000.1 | gene=PVP01_1464000 | organism=Plasmodium_vivax_P01 | gene_product=rac-beta serine/threonine protein kinase, putative | transcript_product=rac-beta serine/threonine protein kinase, putative | location=PvP01_14_v2:2748927-2751327(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1464000.1-p1   -            755 8595at5820           -            294   3.7e-10   38.2   0.3   2   2   3.2e-12   3.7e-10   38.2   0.3    11   204   434   623   427   634 0.76 | transcript=PVP01_1464000.1 | gene=PVP01_1464000 | organism=Plasmodium_vivax_P01 | gene_product=rac-beta serine/threonine protein kinase, putative | transcript_product=rac-beta serine/threonine protein kinase, putative | location=PvP01_14_v2:2748927-2751327(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1265700.1-p1   -           2433 8595at5820           -            294     6e-10   37.5   4.4   1   2   2.2e-11   2.5e-09   35.5   3.0    12   216   125   347   116   359 0.74 | transcript=PVP01_1265700.1 | gene=PVP01_1265700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:2723739-2731820(-) | protein_length=2433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1265700.1-p1   -           2433 8595at5820           -            294     6e-10   37.5   4.4   2   2         1   1.2e+02    0.5   0.1    20    44   348   372   341   377 0.85 | transcript=PVP01_1265700.1 | gene=PVP01_1265700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:2723739-2731820(-) | protein_length=2433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413200.1-p1   -           1029 8595at5820           -            294   7.1e-10   37.3   0.6   1   1   1.2e-11   1.4e-09   36.4   0.6     8   204   760   960   754   970 0.73 | transcript=PVP01_0413200.1 | gene=PVP01_0413200 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_04_v2:537325-540414(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262500.1-p1   -           1526 8595at5820           -            294   7.2e-10   37.3   4.3   1   2   6.2e-12   7.2e-10   37.3   4.3   110   202   624   717   518   725 0.70 | transcript=PVP01_1262500.1 | gene=PVP01_1262500 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | location=PvP01_12_v2:2569991-2574722(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262500.1-p1   -           1526 8595at5820           -            294   7.2e-10   37.3   4.3   2   2      0.77        90    0.8   0.6    91   152   836   900   820   925 0.75 | transcript=PVP01_1262500.1 | gene=PVP01_1262500 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | location=PvP01_12_v2:2569991-2574722(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411500.1-p1   -            344 8595at5820           -            294   8.9e-10   37.0   0.0   1   1   1.2e-11   1.4e-09   36.3   0.0    56   281    87   321    56   331 0.70 | transcript=PVP01_0411500.1 | gene=PVP01_0411500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 7, putative | transcript_product=protein kinase 7, putative | location=PvP01_04_v2:470144-471765(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424400.1-p1   -            517 8595at5820           -            294   2.3e-09   35.6   8.2   1   2   3.8e-06   0.00044   18.3   2.9    56   140   259   344   243   358 0.87 | transcript=PVP01_1424400.1 | gene=PVP01_1424400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_14_v2:1058768-1060867(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424400.1-p1   -            517 8595at5820           -            294   2.3e-09   35.6   8.2   2   2   1.2e-06   0.00014   19.9   0.0   142   202   394   453   372   481 0.88 | transcript=PVP01_1424400.1 | gene=PVP01_1424400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_14_v2:1058768-1060867(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0104700.1-p1   -           1251 8595at5820           -            294   2.4e-09   35.5  11.1   1   1   4.3e-11   5.1e-09   34.5  11.1    10   154   737   880   729   893 0.84 | transcript=PVP01_0104700.1 | gene=PVP01_0104700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_01_v2:242786-246541(-) | protein_length=1251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215800.1-p1   -            891 8595at5820           -            294   3.7e-09   34.9   0.0   1   2   4.1e-10   4.8e-08   31.3   0.0   111   204   535   635   522   677 0.78 | transcript=PVP01_1215800.1 | gene=PVP01_1215800 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:660557-663232(+) | protein_length=891 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215800.1-p1   -            891 8595at5820           -            294   3.7e-09   34.9   0.0   2   2      0.78        91    0.8   0.0   264   283   870   889   859   891 0.80 | transcript=PVP01_1215800.1 | gene=PVP01_1215800 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:660557-663232(+) | protein_length=891 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905700.1-p1   -           1294 8595at5820           -            294     4e-09   34.8  15.1   1   2   7.4e-09   8.6e-07   27.2  12.0    26   144   295   415   290   426 0.83 | transcript=PVP01_0905700.1 | gene=PVP01_0905700 | organism=Plasmodium_vivax_P01 | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=PvP01_09_v2:335375-339259(+) | protein_length=1294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905700.1-p1   -           1294 8595at5820           -            294     4e-09   34.8  15.1   2   2    0.0053      0.62    7.9   0.0   168   202   543   576   537   586 0.81 | transcript=PVP01_0905700.1 | gene=PVP01_0905700 | organism=Plasmodium_vivax_P01 | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=PvP01_09_v2:335375-339259(+) | protein_length=1294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724600.1-p1   -           3250 8595at5820           -            294   4.2e-08   31.5   1.4   1   1     6e-10     7e-08   30.7   1.4     8   202  2955  3169  2947  3189 0.72 | transcript=PVP01_0724600.1 | gene=PVP01_0724600 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1049322-1059074(-) | protein_length=3250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0937400.1-p1   -            323 8595at5820           -            294   2.1e-07   29.1   3.5   1   1   3.1e-08   3.6e-06   25.1   2.5    12   157    15   157     6   181 0.71 | transcript=PVP01_0937400.1 | gene=PVP01_0937400 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=PvP01_09_v2:1606184-1608602(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0410300.1-p1   -           1621 8595at5820           -            294   3.5e-07   28.5   4.7   1   1   6.7e-09   7.8e-07   27.3   4.7    15   147  1126  1257  1115  1268 0.74 | transcript=PVP01_0410300.1 | gene=PVP01_0410300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase STK2, putative | transcript_product=serine/threonine protein kinase STK2, putative | location=PvP01_04_v2:420492-425357(-) | protein_length=1621 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945900.1-p1   -           2011 8595at5820           -            294    0.0001   20.4   0.1   1   1   2.3e-06   0.00026   19.0   0.1    12   196    83   264    74   275 0.68 | transcript=PVP01_0945900.1 | gene=PVP01_0945900 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_09_v2:2001384-2007419(-) | protein_length=2011 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0114800.1-p1   -           1422 8595at5820           -            294   0.00022   19.3   2.3   1   2       9.3   1.1e+03   -2.7   0.0    54    89  1089  1124  1083  1128 0.87 | transcript=PVP01_0114800.1 | gene=PVP01_0114800 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, FIKK family | transcript_product=serine/threonine protein kinase, FIKK family | location=PvP01_01_v2:658723-663278(+) | protein_length=1422 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0114800.1-p1   -           1422 8595at5820           -            294   0.00022   19.3   2.3   2   2     2e-06   0.00024   19.1   0.6    94   160  1204  1270  1171  1339 0.81 | transcript=PVP01_0114800.1 | gene=PVP01_0114800 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, FIKK family | transcript_product=serine/threonine protein kinase, FIKK family | location=PvP01_01_v2:658723-663278(+) | protein_length=1422 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828800.1-p1   -           3003 8595at5820           -            294   0.00076   17.5   0.8   1   1   1.1e-05    0.0013   16.7   0.8    66   209   228   383   163   391 0.71 | transcript=PVP01_0828800.1 | gene=PVP01_0828800 | organism=Plasmodium_vivax_P01 | gene_product=kinase-related protein PKRP, putative | transcript_product=kinase-related protein PKRP, putative | location=PvP01_08_v2:1236390-1245587(-) | protein_length=3003 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8595at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8595at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8595at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:40 2026
# [ok]
