#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0915400.1-p1   -            708 5085at5820           -            546         0 1099.9  55.5   1   3   3.5e-28   6.8e-26   89.5  14.5     4    87    44   137    41   146 0.90 | transcript=PVP01_0915400.1 | gene=PVP01_0915400 | organism=Plasmodium_vivax_P01 | gene_product=cyclin-dependent-like kinase CLK3, putative | transcript_product=cyclin-dependent-like kinase CLK3, putative | location=PvP01_09_v2:696362-700179(+) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0422000.1-p1   -           2125 5085at5820           -            546   4.3e-11   40.6   0.6   1   2   1.3e-10   2.4e-08   31.6   0.3   286   417  1773  1904  1724  1914 0.75 | transcript=PVP01_0422000.1 | gene=PVP01_0422000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_04_v2:882364-888741(+) | protein_length=2125 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0422000.1-p1   -           2125 5085at5820           -            546   4.3e-11   40.6   0.6   2   2    0.0033      0.63    7.1   0.0   490   535  1913  1958  1905  1966 0.91 | transcript=PVP01_0422000.1 | gene=PVP01_0422000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_04_v2:882364-888741(+) | protein_length=2125 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1007900.1-p1   -            288 5085at5820           -            546   1.3e-10   39.1   0.8   1   1     9e-13   1.7e-10   38.7   0.8   216   415    16   214    10   225 0.79 | transcript=PVP01_1007900.1 | gene=PVP01_1007900 | organism=Plasmodium_vivax_P01 | gene_product=NIMA related kinase 2, putative | transcript_product=NIMA related kinase 2, putative | location=PvP01_10_v2:352291-354430(-) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0733500.1-p1   -            341 5085at5820           -            546     6e-10   36.9   0.0   1   1   4.5e-12   8.7e-10   36.3   0.0   218   409    39   225    29   243 0.84 | transcript=PVP01_0733500.1 | gene=PVP01_0733500 | organism=Plasmodium_vivax_P01 | gene_product=cAMP-dependent protein kinase catalytic subunit, putative | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative | location=PvP01_07_v2:1376764-1378505(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133600.1-p1   -            801 5085at5820           -            546   1.7e-09   35.4   0.0   1   3   8.7e-06    0.0017   15.6   0.0   310   387   186   267   143   273 0.84 | transcript=PVP01_1133600.1 | gene=PVP01_1133600 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=PvP01_11_v2:1437367-1439772(-) | protein_length=801 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133600.1-p1   -            801 5085at5820           -            546   1.7e-09   35.4   0.0   2   3   0.00011     0.021   12.0   0.0   388   432   473   517   469   556 0.82 | transcript=PVP01_1133600.1 | gene=PVP01_1133600 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=PvP01_11_v2:1437367-1439772(-) | protein_length=801 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133600.1-p1   -            801 5085at5820           -            546   1.7e-09   35.4   0.0   3   3     0.033       6.3    3.8   0.0   503   535   556   589   542   596 0.87 | transcript=PVP01_1133600.1 | gene=PVP01_1133600 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=PvP01_11_v2:1437367-1439772(-) | protein_length=801 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1143600.1-p1   -            354 5085at5820           -            546   1.8e-08   32.0   1.6   1   2   5.6e-09   1.1e-06   26.1   0.1   217   415    37   242    31   261 0.72 | transcript=PVP01_1143600.1 | gene=PVP01_1143600 | organism=Plasmodium_vivax_P01 | gene_product=aurora-related kinase ARK1, putative | transcript_product=aurora-related kinase ARK1, putative | location=PvP01_11_v2:1853071-1854606(-) | protein_length=354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1143600.1-p1   -            354 5085at5820           -            546   1.8e-08   32.0   1.6   2   2     0.011       2.1    5.3   0.2   495   534   268   307   249   313 0.81 | transcript=PVP01_1143600.1 | gene=PVP01_1143600 | organism=Plasmodium_vivax_P01 | gene_product=aurora-related kinase ARK1, putative | transcript_product=aurora-related kinase ARK1, putative | location=PvP01_11_v2:1853071-1854606(-) | protein_length=354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0118800.1-p1   -            721 5085at5820           -            546   2.1e-05   21.9   5.1   1   2      0.11        22    2.0   0.1    35    99    74   138    43   143 0.73 | transcript=PVP01_0118800.1 | gene=PVP01_0118800 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_01_v2:862457-865487(+) | protein_length=721 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0118800.1-p1   -            721 5085at5820           -            546   2.1e-05   21.9   5.1   2   2   1.9e-07   3.6e-05   21.1   1.2   204   414   450   657   444   675 0.78 | transcript=PVP01_0118800.1 | gene=PVP01_0118800 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_01_v2:862457-865487(+) | protein_length=721 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905700.1-p1   -           1294 5085at5820           -            546    0.0068   13.6   5.3   1   3     0.012       2.3    5.2   0.9   319   350   381   412   291   418 0.84 | transcript=PVP01_0905700.1 | gene=PVP01_0905700 | organism=Plasmodium_vivax_P01 | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=PvP01_09_v2:335375-339259(+) | protein_length=1294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905700.1-p1   -           1294 5085at5820           -            546    0.0068   13.6   5.3   2   3    0.0024      0.47    7.5   0.1   378   414   547   583   534   614 0.79 | transcript=PVP01_0905700.1 | gene=PVP01_0905700 | organism=Plasmodium_vivax_P01 | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=PvP01_09_v2:335375-339259(+) | protein_length=1294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905700.1-p1   -           1294 5085at5820           -            546    0.0068   13.6   5.3   3   3      0.29        55    0.7   0.0   509   535   620   647   616   654 0.83 | transcript=PVP01_0905700.1 | gene=PVP01_0905700 | organism=Plasmodium_vivax_P01 | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=PvP01_09_v2:335375-339259(+) | protein_length=1294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724600.1-p1   -           3250 5085at5820           -            546     0.038   11.1   0.3   1   1   0.00036      0.07   10.2   0.3   300   383  3044  3131  2945  3142 0.61 | transcript=PVP01_0724600.1 | gene=PVP01_0724600 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1049322-1059074(-) | protein_length=3250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0207300.1-p1   -           3308 5085at5820           -            546      0.79    6.8  11.3   1   2    0.0001      0.02   12.1   0.7   315   363  3108  3151  3054  3168 0.67 | transcript=PVP01_0207300.1 | gene=PVP01_0207300 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | location=PvP01_02_v2:297497-308722(-) | protein_length=3308 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0207300.1-p1   -           3308 5085at5820           -            546      0.79    6.8  11.3   2   2     0.098        19    2.2   0.0   376   408  3209  3241  3194  3245 0.88 | transcript=PVP01_0207300.1 | gene=PVP01_0207300 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | location=PvP01_02_v2:297497-308722(-) | protein_length=3308 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5085at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5085at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5085at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:15 2026
# [ok]
