#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1342700.1-p1   -            119 14381at5820          -             87   4.5e-56  186.0   1.0   1   1   3.2e-58   5.4e-56  185.7   1.0     1    87    25   114    25   114 0.98 | transcript=PVP01_1342700.1 | gene=PVP01_1342700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein 8A, putative | transcript_product=RNA-binding protein 8A, putative | location=PvP01_13_v2:1878663-1879391(-) | protein_length=119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142800.1-p1   -            606 14381at5820          -             87     0.044   13.0   0.1   1   2       2.8   4.8e+02    0.1   0.0    12    39    10    37     6    77 0.67 | transcript=PVP01_1142800.1 | gene=PVP01_1142800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:1815171-1817570(-) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142800.1-p1   -            606 14381at5820          -             87     0.044   13.0   0.1   2   2    0.0046      0.76    9.0   0.1    11    69   166   222   159   234 0.86 | transcript=PVP01_1142800.1 | gene=PVP01_1142800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:1815171-1817570(-) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436000.1-p1   -           1121 14381at5820          -             87     0.061   12.5   5.2   1   3       7.6   1.3e+03   -1.3   0.0    13    40   716   743   712   767 0.72 | transcript=PVP01_1436000.1 | gene=PVP01_1436000 | organism=Plasmodium_vivax_P01 | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=PvP01_14_v2:1514796-1518161(+) | protein_length=1121 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436000.1-p1   -           1121 14381at5820          -             87     0.061   12.5   5.2   2   3       1.6   2.7e+02    0.8   0.1    51    75   918   942   858   950 0.55 | transcript=PVP01_1436000.1 | gene=PVP01_1436000 | organism=Plasmodium_vivax_P01 | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=PvP01_14_v2:1514796-1518161(+) | protein_length=1121 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436000.1-p1   -           1121 14381at5820          -             87     0.061   12.5   5.2   3   3     0.003       0.5    9.6   0.1    14    77   983  1045   973  1055 0.82 | transcript=PVP01_1436000.1 | gene=PVP01_1436000 | organism=Plasmodium_vivax_P01 | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=PvP01_14_v2:1514796-1518161(+) | protein_length=1121 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0522500.1-p1   -            480 14381at5820          -             87      0.07   12.3   0.0   1   1   0.00074      0.12   11.5   0.0    13    86   407   479   402   480 0.91 | transcript=PVP01_0522500.1 | gene=PVP01_0522500 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_05_v2:905760-908099(-) | protein_length=480 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1118300.1-p1   -           1176 14381at5820          -             87      0.18   11.0   2.9   1   1   0.00063      0.11   11.8   0.4    13    80   639   710   629   717 0.75 | transcript=PVP01_1118300.1 | gene=PVP01_1118300 | organism=Plasmodium_vivax_P01 | gene_product=Ran-binding protein, putative | transcript_product=Ran-binding protein, putative | location=PvP01_11_v2:768969-772499(-) | protein_length=1176 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0937200.1-p1   -           1064 14381at5820          -             87       2.1    7.6   6.7   1   1    0.0021      0.35   10.1   0.4    23    72   320   367   301   379 0.80 | transcript=PVP01_0937200.1 | gene=PVP01_0937200 | organism=Plasmodium_vivax_P01 | gene_product=tudor staphylococcal nuclease, putative | transcript_product=tudor staphylococcal nuclease, putative | location=PvP01_09_v2:1596528-1599960(+) | protein_length=1064 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14381at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14381at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14381at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:17 2026
# [ok]
