#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0507600.1-p1   -            322 7934at5820           -            173  5.6e-121  399.3  12.4   1   2  1.4e-117    2e-115  381.2   8.0     1   173    26   205    26   205 0.98 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015300.1-p1   -           1230 7934at5820           -            173   2.5e-11   42.3  13.3   3   4   7.7e-06    0.0011   17.4   3.2    10   167   960  1118   957  1123 0.81 | transcript=PVP01_1015300.1 | gene=PVP01_1015300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=PvP01_10_v2:689400-693092(-) | protein_length=1230 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015300.1-p1   -           1230 7934at5820           -            173   2.5e-11   42.3  13.3   4   4   0.00025     0.036   12.5   0.3    56   114  1136  1197  1117  1207 0.82 | transcript=PVP01_1015300.1 | gene=PVP01_1015300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=PvP01_10_v2:689400-693092(-) | protein_length=1230 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458200.1-p1   -            472 7934at5820           -            173   4.3e-11   41.5  10.3   1   2   5.1e-09   7.2e-07   27.8   1.5    21   113   196   288   180   309 0.92 | transcript=PVP01_1458200.1 | gene=PVP01_1458200 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=PvP01_14_v2:2537122-2538780(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458200.1-p1   -            472 7934at5820           -            173   4.3e-11   41.5  10.3   2   2   1.1e-08   1.5e-06   26.7   2.0    37   164   254   398   247   407 0.73 | transcript=PVP01_1458200.1 | gene=PVP01_1458200 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=PvP01_14_v2:2537122-2538780(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116900.1-p1   -            365 7934at5820           -            173   4.3e-10   38.3   8.6   1   2   1.4e-09     2e-07   29.5   1.1    37   160    12   134     3   142 0.83 | transcript=PVP01_0116900.1 | gene=PVP01_0116900 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase organizer 1, putative | transcript_product=mitogen-activated protein kinase organizer 1, putative | location=PvP01_01_v2:767750-769801(-) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116900.1-p1   -            365 7934at5820           -            173   4.3e-10   38.3   8.6   2   2   0.00065     0.093   11.1   1.3    44   164   150   268   133   276 0.72 | transcript=PVP01_0116900.1 | gene=PVP01_0116900 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase organizer 1, putative | transcript_product=mitogen-activated protein kinase organizer 1, putative | location=PvP01_01_v2:767750-769801(-) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0813200.1-p1   -           1155 7934at5820           -            173   4.6e-10   38.2  12.7   1   5       9.8   1.4e+03   -2.5   0.0   125   167   196   237   182   244 0.72 | transcript=PVP01_0813200.1 | gene=PVP01_0813200 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 13, putative | transcript_product=U3 small nucleolar RNA-associated protein 13, putative | location=PvP01_08_v2:557987-561672(-) | protein_length=1155 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0813200.1-p1   -           1155 7934at5820           -            173   4.6e-10   38.2  12.7   2   5       2.9   4.2e+02   -0.8   0.0    55    90   249   284   222   293 0.80 | transcript=PVP01_0813200.1 | gene=PVP01_0813200 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 13, putative | transcript_product=U3 small nucleolar RNA-associated protein 13, putative | location=PvP01_08_v2:557987-561672(-) | protein_length=1155 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0813200.1-p1   -           1155 7934at5820           -            173   4.6e-10   38.2  12.7   3   5         4   5.6e+02   -1.2   0.0   142   156   348   362   339   377 0.74 | transcript=PVP01_0813200.1 | gene=PVP01_0813200 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 13, putative | transcript_product=U3 small nucleolar RNA-associated protein 13, putative | location=PvP01_08_v2:557987-561672(-) | protein_length=1155 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0813200.1-p1   -           1155 7934at5820           -            173   4.6e-10   38.2  12.7   4   5   9.9e-06    0.0014   17.1   0.8    36   113   575   655   556   663 0.63 | transcript=PVP01_0813200.1 | gene=PVP01_0813200 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 13, putative | transcript_product=U3 small nucleolar RNA-associated protein 13, putative | location=PvP01_08_v2:557987-561672(-) | protein_length=1155 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0813200.1-p1   -           1155 7934at5820           -            173   4.6e-10   38.2  12.7   5   5   3.7e-08   5.2e-06   25.0   1.7    25   166   676   815   658   821 0.78 | transcript=PVP01_0813200.1 | gene=PVP01_0813200 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 13, putative | transcript_product=U3 small nucleolar RNA-associated protein 13, putative | location=PvP01_08_v2:557987-561672(-) | protein_length=1155 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455700.1-p1   -            511 7934at5820           -            173   5.4e-10   37.9   2.5   1   1   6.8e-12   9.7e-10   37.1   0.4    34   113   280   361   272   371 0.85 | transcript=PVP01_1455700.1 | gene=PVP01_1455700 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=PvP01_14_v2:2421554-2423408(+) | protein_length=511 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 7934at5820           -            173   6.4e-10   37.7   9.5   1   4    0.0076       1.1    7.7   0.1    37   112   158   235   136   242 0.83 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 7934at5820           -            173   6.4e-10   37.7   9.5   2   4     0.012       1.7    7.0   0.2    17    94   309   394   294   404 0.70 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 7934at5820           -            173   6.4e-10   37.7   9.5   3   4   0.00089      0.13   10.7   0.0    56   115   423   482   404   494 0.84 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 7934at5820           -            173   6.4e-10   37.7   9.5   4   4   4.9e-05    0.0069   14.8   0.4    63   156   547   601   524   660 0.55 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905300.1-p1   -            616 7934at5820           -            173   3.4e-09   35.3   1.0   1   3       2.3   3.2e+02   -0.4   0.0    13    32    57    76    34    92 0.61 | transcript=PVP01_0905300.1 | gene=PVP01_0905300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_09_v2:317280-319130(-) | protein_length=616 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905300.1-p1   -            616 7934at5820           -            173   3.4e-09   35.3   1.0   2   3   9.1e-08   1.3e-05   23.7   0.0    49   117   252   324   239   346 0.77 | transcript=PVP01_0905300.1 | gene=PVP01_0905300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_09_v2:317280-319130(-) | protein_length=616 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905300.1-p1   -            616 7934at5820           -            173   3.4e-09   35.3   1.0   3   3    0.0062      0.88    7.9   0.1    53    71   590   608   549   613 0.74 | transcript=PVP01_0905300.1 | gene=PVP01_0905300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_09_v2:317280-319130(-) | protein_length=616 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1412200.1-p1   -            524 7934at5820           -            173   3.5e-09   35.3   3.0   1   1   2.4e-10   3.4e-08   32.1   2.9    35   159   263   387   231   392 0.71 | transcript=PVP01_1412200.1 | gene=PVP01_1412200 | organism=Plasmodium_vivax_P01 | gene_product=transducin beta-like protein TBL1, putative | transcript_product=transducin beta-like protein TBL1, putative | location=PvP01_14_v2:542094-543668(-) | protein_length=524 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0312600.1-p1   -            327 7934at5820           -            173   5.1e-09   34.8   0.1   1   3   2.7e-05    0.0038   15.6   0.0    35   149     3   119     1   144 0.74 | transcript=PVP01_0312600.1 | gene=PVP01_0312600 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=PvP01_03_v2:546721-548166(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0312600.1-p1   -            327 7934at5820           -            173   5.1e-09   34.8   0.1   2   3   0.00038     0.054   11.9   0.0    10    81   155   223   152   256 0.75 | transcript=PVP01_0312600.1 | gene=PVP01_0312600 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=PvP01_03_v2:546721-548166(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0312600.1-p1   -            327 7934at5820           -            173   5.1e-09   34.8   0.1   3   3      0.13        18    3.7   0.0    66   107   270   311   258   319 0.85 | transcript=PVP01_0312600.1 | gene=PVP01_0312600 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=PvP01_03_v2:546721-548166(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1460900.1-p1   -            376 7934at5820           -            173   3.7e-08   32.0   0.3   1   4    0.0041      0.58    8.5   0.1    43   103    29    90    17    96 0.81 | transcript=PVP01_1460900.1 | gene=PVP01_1460900 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 82, putative | transcript_product=WD repeat-containing protein 82, putative | location=PvP01_14_v2:2628635-2630226(-) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1460900.1-p1   -            376 7934at5820           -            173   3.7e-08   32.0   0.3   2   4     0.026       3.7    5.9   0.0    62   131    98   169    82   199 0.79 | transcript=PVP01_1460900.1 | gene=PVP01_1460900 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 82, putative | transcript_product=WD repeat-containing protein 82, putative | location=PvP01_14_v2:2628635-2630226(-) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1460900.1-p1   -            376 7934at5820           -            173   3.7e-08   32.0   0.3   3   4      0.83   1.2e+02    1.0   0.0    81   109   209   238   201   255 0.61 | transcript=PVP01_1460900.1 | gene=PVP01_1460900 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 82, putative | transcript_product=WD repeat-containing protein 82, putative | location=PvP01_14_v2:2628635-2630226(-) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1460900.1-p1   -            376 7934at5820           -            173   3.7e-08   32.0   0.3   4   4   0.00065     0.092   11.1   0.0    50   102   314   365   306   374 0.84 | transcript=PVP01_1460900.1 | gene=PVP01_1460900 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 82, putative | transcript_product=WD repeat-containing protein 82, putative | location=PvP01_14_v2:2628635-2630226(-) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922000.1-p1   -            555 7934at5820           -            173     3e-07   29.0   6.4   1   3   1.1e-06   0.00016   20.2   0.1    40   118    48   129    44   137 0.82 | transcript=PVP01_0922000.1 | gene=PVP01_0922000 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_09_v2:954818-956599(+) | protein_length=555 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922000.1-p1   -            555 7934at5820           -            173     3e-07   29.0   6.4   2   3    0.0015      0.21   10.0   0.5    76   128   162   217   148   261 0.69 | transcript=PVP01_0922000.1 | gene=PVP01_0922000 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_09_v2:954818-956599(+) | protein_length=555 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922000.1-p1   -            555 7934at5820           -            173     3e-07   29.0   6.4   3   3       3.6   5.2e+02   -1.1   0.1    61   146   348   394   297   415 0.54 | transcript=PVP01_0922000.1 | gene=PVP01_0922000 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_09_v2:954818-956599(+) | protein_length=555 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206100.1-p1   -            720 7934at5820           -            173   4.9e-07   28.3   8.6   1   5      0.59        84    1.5   0.2   147   164    54    71    45    76 0.88 | transcript=PVP01_1206100.1 | gene=PVP01_1206100 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 16, putative | transcript_product=WD repeat-containing protein 16, putative | location=PvP01_12_v2:237679-241110(+) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206100.1-p1   -            720 7934at5820           -            173   4.9e-07   28.3   8.6   2   5      0.16        23    3.3   0.0    41    75   154   188   124   229 0.69 | transcript=PVP01_1206100.1 | gene=PVP01_1206100 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 16, putative | transcript_product=WD repeat-containing protein 16, putative | location=PvP01_12_v2:237679-241110(+) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206100.1-p1   -            720 7934at5820           -            173   4.9e-07   28.3   8.6   3   5      0.39        55    2.1   0.0    23    79   270   325   263   412 0.78 | transcript=PVP01_1206100.1 | gene=PVP01_1206100 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 16, putative | transcript_product=WD repeat-containing protein 16, putative | location=PvP01_12_v2:237679-241110(+) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206100.1-p1   -            720 7934at5820           -            173   4.9e-07   28.3   8.6   4   5      0.32        46    2.4   0.3    97   164   518   586   426   593 0.68 | transcript=PVP01_1206100.1 | gene=PVP01_1206100 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 16, putative | transcript_product=WD repeat-containing protein 16, putative | location=PvP01_12_v2:237679-241110(+) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206100.1-p1   -            720 7934at5820           -            173   4.9e-07   28.3   8.6   5   5   2.2e-06   0.00031   19.2   0.0    47   118   639   710   601   714 0.86 | transcript=PVP01_1206100.1 | gene=PVP01_1206100 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 16, putative | transcript_product=WD repeat-containing protein 16, putative | location=PvP01_12_v2:237679-241110(+) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202600.1-p1   -            466 7934at5820           -            173   7.1e-07   27.8   0.1   1   1   1.1e-08   1.5e-06   26.7   0.1    65   163    95   198    66   209 0.82 | transcript=PVP01_1202600.1 | gene=PVP01_1202600 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 15, putative | transcript_product=U3 small nucleolar RNA-associated protein 15, putative | location=PvP01_12_v2:108711-111548(-) | protein_length=466 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204400.1-p1   -            447 7934at5820           -            173   9.5e-07   27.4   0.1   1   3       2.5   3.6e+02   -0.5   0.0    76   109   145   180   141   193 0.55 | transcript=PVP01_0204400.1 | gene=PVP01_0204400 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit C, putative | transcript_product=chromatin assembly factor 1 subunit C, putative | location=PvP01_02_v2:208734-210077(+) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204400.1-p1   -            447 7934at5820           -            173   9.5e-07   27.4   0.1   2   3     0.058       8.3    4.8   0.0    78   112   200   234   166   244 0.80 | transcript=PVP01_0204400.1 | gene=PVP01_0204400 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit C, putative | transcript_product=chromatin assembly factor 1 subunit C, putative | location=PvP01_02_v2:208734-210077(+) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204400.1-p1   -            447 7934at5820           -            173   9.5e-07   27.4   0.1   3   3   1.7e-05    0.0025   16.3   0.1    20   113   275   369   258   439 0.77 | transcript=PVP01_0204400.1 | gene=PVP01_0204400 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit C, putative | transcript_product=chromatin assembly factor 1 subunit C, putative | location=PvP01_02_v2:208734-210077(+) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023800.1-p1   -            731 7934at5820           -            173   4.2e-06   25.3   0.3   1   1   8.3e-08   1.2e-05   23.8   0.3    40   143   126   238   113   271 0.88 | transcript=PVP01_1023800.1 | gene=PVP01_1023800 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_10_v2:1029851-1032046(-) | protein_length=731 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439900.1-p1   -            430 7934at5820           -            173     5e-06   25.0   0.3   1   1   5.6e-08     8e-06   24.4   0.3    69   156   275   366   263   385 0.76 | transcript=PVP01_1439900.1 | gene=PVP01_1439900 | organism=Plasmodium_vivax_P01 | gene_product=protein TSSC1, putative | transcript_product=protein TSSC1, putative | location=PvP01_14_v2:1702773-1704065(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 7934at5820           -            173   8.9e-06   24.2   0.5   1   3       0.5        71    1.7   0.0    77   120   199   243   191   250 0.81 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 7934at5820           -            173   8.9e-06   24.2   0.5   2   3      0.21        29    3.0   0.0   140   158   342   360   331   366 0.87 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 7934at5820           -            173   8.9e-06   24.2   0.5   3   3   1.5e-05    0.0021   16.5   1.6    14    74   345   404   342   430 0.81 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917000.1-p1   -            465 7934at5820           -            173   1.5e-05   23.5   0.2   1   2    0.0023      0.32    9.4   0.1    76   112    98   138    56   146 0.73 | transcript=PVP01_0917000.1 | gene=PVP01_0917000 | organism=Plasmodium_vivax_P01 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=PvP01_09_v2:759296-760693(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917000.1-p1   -            465 7934at5820           -            173   1.5e-05   23.5   0.2   2   2   0.00058     0.082   11.3   0.0    39    71   212   244   205   254 0.90 | transcript=PVP01_0917000.1 | gene=PVP01_0917000 | organism=Plasmodium_vivax_P01 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=PvP01_09_v2:759296-760693(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1007500.1-p1   -            329 7934at5820           -            173   3.4e-05   22.3   3.9   1   1   4.7e-07   6.7e-05   21.4   3.9     7   156    28   180    19   193 0.84 | transcript=PVP01_1007500.1 | gene=PVP01_1007500 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 55, putative | transcript_product=WD repeat-containing protein 55, putative | location=PvP01_10_v2:341065-342054(+) | protein_length=329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1108600.1-p1   -            887 7934at5820           -            173   5.9e-05   21.5   0.6   1   2       1.2   1.7e+02    0.5   0.0    34    71   149   185   122   194 0.63 | transcript=PVP01_1108600.1 | gene=PVP01_1108600 | organism=Plasmodium_vivax_P01 | gene_product=polyubiquitin binding protein, putative | transcript_product=polyubiquitin binding protein, putative | location=PvP01_11_v2:338285-341141(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1108600.1-p1   -            887 7934at5820           -            173   5.9e-05   21.5   0.6   2   2   5.3e-06   0.00075   17.9   0.1    12   112   244   340   234   354 0.77 | transcript=PVP01_1108600.1 | gene=PVP01_1108600 | organism=Plasmodium_vivax_P01 | gene_product=polyubiquitin binding protein, putative | transcript_product=polyubiquitin binding protein, putative | location=PvP01_11_v2:338285-341141(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1033200.1-p1   -            940 7934at5820           -            173   7.7e-05   21.2   0.3   1   2   0.00068     0.096   11.1   0.1    63   116   180   238   168   276 0.79 | transcript=PVP01_1033200.1 | gene=PVP01_1033200 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit A, putative | transcript_product=chromatin assembly factor 1 subunit A, putative | location=PvP01_10_v2:1408959-1411781(-) | protein_length=940 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1033200.1-p1   -            940 7934at5820           -            173   7.7e-05   21.2   0.3   2   2    0.0083       1.2    7.5   0.1    59   115   282   340   262   350 0.71 | transcript=PVP01_1033200.1 | gene=PVP01_1033200 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit A, putative | transcript_product=chromatin assembly factor 1 subunit A, putative | location=PvP01_10_v2:1408959-1411781(-) | protein_length=940 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448900.1-p1   -            763 7934at5820           -            173   0.00013   20.4   3.8   1   2   2.8e-05     0.004   15.6   0.3    40   123    10    98     7   125 0.82 | transcript=PVP01_1448900.1 | gene=PVP01_1448900 | organism=Plasmodium_vivax_P01 | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=PvP01_14_v2:2118685-2120976(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448900.1-p1   -            763 7934at5820           -            173   0.00013   20.4   3.8   2   2     0.029       4.2    5.7   0.3    79   154   186   262   162   281 0.80 | transcript=PVP01_1448900.1 | gene=PVP01_1448900 | organism=Plasmodium_vivax_P01 | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=PvP01_14_v2:2118685-2120976(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618600.1-p1   -            700 7934at5820           -            173   0.00014   20.4   2.8   1   2     1e-05    0.0014   17.0   0.9    65   168   127   233    78   239 0.71 | transcript=PVP01_0618600.1 | gene=PVP01_0618600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 70, putative | transcript_product=WD repeat-containing protein 70, putative | location=PvP01_06_v2:764153-766255(+) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618600.1-p1   -            700 7934at5820           -            173   0.00014   20.4   2.8   2   2      0.28        39    2.6   0.0    40    82   294   338   287   366 0.70 | transcript=PVP01_0618600.1 | gene=PVP01_0618600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 70, putative | transcript_product=WD repeat-containing protein 70, putative | location=PvP01_06_v2:764153-766255(+) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1129000.1-p1   -            539 7934at5820           -            173   0.00015   20.2   3.7   1   2      0.35        49    2.3   0.2    59   111   210   266   189   281 0.52 | transcript=PVP01_1129000.1 | gene=PVP01_1129000 | organism=Plasmodium_vivax_P01 | gene_product=cleavage stimulation factor subunit 1, putative | transcript_product=cleavage stimulation factor subunit 1, putative | location=PvP01_11_v2:1251595-1253214(-) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
