#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0511500.1-p1   -            324 8053at5820           -            274  6.5e-157  519.5   9.9   1   1  1.4e-158  2.3e-156  517.7   9.9     1   274    21   324    21   324 0.94 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0813200.1-p1   -           1155 8053at5820           -            274   1.1e-09   36.7  26.2   5   5      0.23        37    2.1   0.2    45    90   805   849   797   868 0.75 | transcript=PVP01_0813200.1 | gene=PVP01_0813200 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 13, putative | transcript_product=U3 small nucleolar RNA-associated protein 13, putative | location=PvP01_08_v2:557987-561672(-) | protein_length=1155 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1316200.1-p1   -            509 8053at5820           -            274   5.2e-09   34.4  17.8   1   3   3.1e-05    0.0051   14.8   2.7    77   186   115   223    81   237 0.76 | transcript=PVP01_1316200.1 | gene=PVP01_1316200 | organism=Plasmodium_vivax_P01 | gene_product=histone-binding protein RBBP7, putative | transcript_product=histone-binding protein RBBP7, putative | location=PvP01_13_v2:766781-768818(-) | protein_length=509 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1316200.1-p1   -            509 8053at5820           -            274   5.2e-09   34.4  17.8   2   3   2.1e-07   3.4e-05   21.9   3.8    58   130   320   394   304   442 0.86 | transcript=PVP01_1316200.1 | gene=PVP01_1316200 | organism=Plasmodium_vivax_P01 | gene_product=histone-binding protein RBBP7, putative | transcript_product=histone-binding protein RBBP7, putative | location=PvP01_13_v2:766781-768818(-) | protein_length=509 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1316200.1-p1   -            509 8053at5820           -            274   5.2e-09   34.4  17.8   3   3      0.33        54    1.6   0.1   153   183   459   490   445   499 0.66 | transcript=PVP01_1316200.1 | gene=PVP01_1316200 | organism=Plasmodium_vivax_P01 | gene_product=histone-binding protein RBBP7, putative | transcript_product=histone-binding protein RBBP7, putative | location=PvP01_13_v2:766781-768818(-) | protein_length=509 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905300.1-p1   -            616 8053at5820           -            274   8.8e-09   33.7   2.3   1   5   8.1e-06    0.0013   16.7   0.0    85   126    29    70    15    97 0.92 | transcript=PVP01_0905300.1 | gene=PVP01_0905300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_09_v2:317280-319130(-) | protein_length=616 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905300.1-p1   -            616 8053at5820           -            274   8.8e-09   33.7   2.3   2   5       1.4   2.3e+02   -0.5   0.1    59   126   120   190   109   194 0.64 | transcript=PVP01_0905300.1 | gene=PVP01_0905300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_09_v2:317280-319130(-) | protein_length=616 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905300.1-p1   -            616 8053at5820           -            274   8.8e-09   33.7   2.3   3   5      0.53        87    0.9   0.4    51   130   156   236   134   265 0.64 | transcript=PVP01_0905300.1 | gene=PVP01_0905300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_09_v2:317280-319130(-) | protein_length=616 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905300.1-p1   -            616 8053at5820           -            274   8.8e-09   33.7   2.3   4   5    0.0048      0.79    7.6   0.0    18   125   248   319   233   328 0.49 | transcript=PVP01_0905300.1 | gene=PVP01_0905300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_09_v2:317280-319130(-) | protein_length=616 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905300.1-p1   -            616 8053at5820           -            274   8.8e-09   33.7   2.3   5   5     0.041       6.7    4.5   0.0    93   129   576   611   561   614 0.75 | transcript=PVP01_0905300.1 | gene=PVP01_0905300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_09_v2:317280-319130(-) | protein_length=616 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225200.1-p1   -            533 8053at5820           -            274   1.3e-08   33.1   6.8   1   4   0.00078      0.13   10.2   0.1   163   186   271   294   245   321 0.88 | transcript=PVP01_1225200.1 | gene=PVP01_1225200 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit B, putative | transcript_product=chromatin assembly factor 1 subunit B, putative | location=PvP01_12_v2:980220-981821(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225200.1-p1   -            533 8053at5820           -            274   1.3e-08   33.1   6.8   2   4      0.86   1.4e+02    0.2   0.0   240   264   334   359   308   369 0.59 | transcript=PVP01_1225200.1 | gene=PVP01_1225200 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit B, putative | transcript_product=chromatin assembly factor 1 subunit B, putative | location=PvP01_12_v2:980220-981821(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225200.1-p1   -            533 8053at5820           -            274   1.3e-08   33.1   6.8   3   4    0.0033      0.55    8.1   0.1    80   128   364   418   351   427 0.74 | transcript=PVP01_1225200.1 | gene=PVP01_1225200 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit B, putative | transcript_product=chromatin assembly factor 1 subunit B, putative | location=PvP01_12_v2:980220-981821(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225200.1-p1   -            533 8053at5820           -            274   1.3e-08   33.1   6.8   4   4   2.3e-07   3.8e-05   21.8   1.5    69   184   400   526   369   532 0.73 | transcript=PVP01_1225200.1 | gene=PVP01_1225200 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit B, putative | transcript_product=chromatin assembly factor 1 subunit B, putative | location=PvP01_12_v2:980220-981821(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116900.1-p1   -            365 8053at5820           -            274     2e-08   32.5  15.7   1   3   1.7e-10   2.8e-08   32.0   6.9    11   128    14   131     7   168 0.84 | transcript=PVP01_0116900.1 | gene=PVP01_0116900 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase organizer 1, putative | transcript_product=mitogen-activated protein kinase organizer 1, putative | location=PvP01_01_v2:767750-769801(-) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116900.1-p1   -            365 8053at5820           -            274     2e-08   32.5  15.7   2   3      0.33        54    1.6   0.2   214   244   157   188   144   206 0.71 | transcript=PVP01_0116900.1 | gene=PVP01_0116900 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase organizer 1, putative | transcript_product=mitogen-activated protein kinase organizer 1, putative | location=PvP01_01_v2:767750-769801(-) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116900.1-p1   -            365 8053at5820           -            274     2e-08   32.5  15.7   3   3       0.1        17    3.3   1.5    12    94   184   268   171   288 0.61 | transcript=PVP01_0116900.1 | gene=PVP01_0116900 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase organizer 1, putative | transcript_product=mitogen-activated protein kinase organizer 1, putative | location=PvP01_01_v2:767750-769801(-) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308500.1-p1   -            499 8053at5820           -            274   2.3e-08   32.3  11.0   1   4   4.8e-06   0.00078   17.5   0.4    51   126    60   138    50   142 0.77 | transcript=PVP01_0308500.1 | gene=PVP01_0308500 | organism=Plasmodium_vivax_P01 | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=PvP01_03_v2:408142-409641(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308500.1-p1   -            499 8053at5820           -            274   2.3e-08   32.3  11.0   2   4       2.1   3.4e+02   -1.0   0.1   222   272   228   279   223   281 0.70 | transcript=PVP01_0308500.1 | gene=PVP01_0308500 | organism=Plasmodium_vivax_P01 | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=PvP01_03_v2:408142-409641(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308500.1-p1   -            499 8053at5820           -            274   2.3e-08   32.3  11.0   3   4   0.00011     0.019   12.9   1.2   203   271   292   363   241   365 0.77 | transcript=PVP01_0308500.1 | gene=PVP01_0308500 | organism=Plasmodium_vivax_P01 | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=PvP01_03_v2:408142-409641(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308500.1-p1   -            499 8053at5820           -            274   2.3e-08   32.3  11.0   4   4     0.012         2    6.3   0.1    15    43   381   409   372   439 0.80 | transcript=PVP01_0308500.1 | gene=PVP01_0308500 | organism=Plasmodium_vivax_P01 | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=PvP01_03_v2:408142-409641(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458200.1-p1   -            472 8053at5820           -            274   6.6e-08   30.8   9.9   1   3     0.006      0.98    7.3   0.1    10   127    82   202    80   205 0.79 | transcript=PVP01_1458200.1 | gene=PVP01_1458200 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=PvP01_14_v2:2537122-2538780(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458200.1-p1   -            472 8053at5820           -            274   6.6e-08   30.8   9.9   2   3   1.3e-05    0.0022   16.0   2.6    15   133   131   255   125   259 0.82 | transcript=PVP01_1458200.1 | gene=PVP01_1458200 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=PvP01_14_v2:2537122-2538780(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458200.1-p1   -            472 8053at5820           -            274   6.6e-08   30.8   9.9   3   3   1.3e-06   0.00021   19.3   1.0    52   101   254   304   249   392 0.75 | transcript=PVP01_1458200.1 | gene=PVP01_1458200 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=PvP01_14_v2:2537122-2538780(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0312600.1-p1   -            327 8053at5820           -            274   3.3e-07   28.5   2.8   1   4       6.4     1e+03   -2.6   0.0   151   183     6    38     3    41 0.82 | transcript=PVP01_0312600.1 | gene=PVP01_0312600 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=PvP01_03_v2:546721-548166(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0312600.1-p1   -            327 8053at5820           -            274   3.3e-07   28.5   2.8   2   4    0.0041      0.68    7.8   0.2    14    54    51    90    40   123 0.81 | transcript=PVP01_0312600.1 | gene=PVP01_0312600 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=PvP01_03_v2:546721-548166(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0312600.1-p1   -            327 8053at5820           -            274   3.3e-07   28.5   2.8   3   4   2.9e-05    0.0047   14.9   0.4    48   125   133   212   123   226 0.82 | transcript=PVP01_0312600.1 | gene=PVP01_0312600 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=PvP01_03_v2:546721-548166(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0312600.1-p1   -            327 8053at5820           -            274   3.3e-07   28.5   2.8   4   4     0.068        11    3.8   0.0    80   125   270   316   226   322 0.68 | transcript=PVP01_0312600.1 | gene=PVP01_0312600 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=PvP01_03_v2:546721-548166(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455700.1-p1   -            511 8053at5820           -            274   4.6e-07   28.0   4.1   1   2   9.2e-09   1.5e-06   26.4   4.0    51   180   282   420   276   432 0.73 | transcript=PVP01_1455700.1 | gene=PVP01_1455700 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=PvP01_14_v2:2421554-2423408(+) | protein_length=511 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455700.1-p1   -            511 8053at5820           -            274   4.6e-07   28.0   4.1   2   2       3.4   5.6e+02   -1.8   0.0    94   126   421   454   408   456 0.63 | transcript=PVP01_1455700.1 | gene=PVP01_1455700 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=PvP01_14_v2:2421554-2423408(+) | protein_length=511 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1308500.1-p1   -            694 8053at5820           -            274   1.3e-06   26.6  24.7   1   5    0.0013      0.21    9.5   0.2    51    95     7    52     2    73 0.64 | transcript=PVP01_1308500.1 | gene=PVP01_1308500 | organism=Plasmodium_vivax_P01 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=PvP01_13_v2:396209-398293(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1308500.1-p1   -            694 8053at5820           -            274   1.3e-06   26.6  24.7   2   5   0.00019     0.031   12.2   0.5   206   271    89   158    83   161 0.68 | transcript=PVP01_1308500.1 | gene=PVP01_1308500 | organism=Plasmodium_vivax_P01 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=PvP01_13_v2:396209-398293(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1308500.1-p1   -            694 8053at5820           -            274   1.3e-06   26.6  24.7   3   5   0.00018     0.029   12.3   3.9    54   125   245   321   241   350 0.79 | transcript=PVP01_1308500.1 | gene=PVP01_1308500 | organism=Plasmodium_vivax_P01 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=PvP01_13_v2:396209-398293(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1308500.1-p1   -            694 8053at5820           -            274   1.3e-06   26.6  24.7   4   5      0.26        43    1.9   0.1   147   181   604   639   585   652 0.74 | transcript=PVP01_1308500.1 | gene=PVP01_1308500 | organism=Plasmodium_vivax_P01 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=PvP01_13_v2:396209-398293(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1308500.1-p1   -            694 8053at5820           -            274   1.3e-06   26.6  24.7   5   5      0.27        45    1.8   0.9    16    42   615   641   605   693 0.34 | transcript=PVP01_1308500.1 | gene=PVP01_1308500 | organism=Plasmodium_vivax_P01 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=PvP01_13_v2:396209-398293(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1007500.1-p1   -            329 8053at5820           -            274   1.6e-06   26.3  10.0   1   3     0.024       3.9    5.3   0.0   238   271    11    44     3    47 0.82 | transcript=PVP01_1007500.1 | gene=PVP01_1007500 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 55, putative | transcript_product=WD repeat-containing protein 55, putative | location=PvP01_10_v2:341065-342054(+) | protein_length=329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1007500.1-p1   -            329 8053at5820           -            274   1.6e-06   26.3  10.0   2   3   0.00012      0.02   12.9   7.9     9   170    59   219    51   250 0.85 | transcript=PVP01_1007500.1 | gene=PVP01_1007500 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 55, putative | transcript_product=WD repeat-containing protein 55, putative | location=PvP01_10_v2:341065-342054(+) | protein_length=329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1007500.1-p1   -            329 8053at5820           -            274   1.6e-06   26.3  10.0   3   3    0.0094       1.5    6.7   0.0   158   185   281   308   266   314 0.88 | transcript=PVP01_1007500.1 | gene=PVP01_1007500 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 55, putative | transcript_product=WD repeat-containing protein 55, putative | location=PvP01_10_v2:341065-342054(+) | protein_length=329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0813000.1-p1   -            380 8053at5820           -            274   3.7e-06   25.1   0.1   1   1   5.2e-08   8.5e-06   23.9   0.1     7    80   191   266   187   294 0.79 | transcript=PVP01_0813000.1 | gene=PVP01_0813000 | organism=Plasmodium_vivax_P01 | gene_product=autophagy-related protein 18, putative | transcript_product=autophagy-related protein 18, putative | location=PvP01_08_v2:551506-552820(-) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1468300.1-p1   -            565 8053at5820           -            274   4.4e-06   24.8   0.2   1   2   0.00087      0.14   10.0   0.0   240   273    69   103    58   104 0.86 | transcript=PVP01_1468300.1 | gene=PVP01_1468300 | organism=Plasmodium_vivax_P01 | gene_product=coronin, putative | transcript_product=coronin, putative | location=PvP01_14_v2:2907698-2909797(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1468300.1-p1   -            565 8053at5820           -            274   4.4e-06   24.8   0.2   2   2   0.00024     0.039   11.9   0.1    50    90   118   160   106   172 0.81 | transcript=PVP01_1468300.1 | gene=PVP01_1468300 | organism=Plasmodium_vivax_P01 | gene_product=coronin, putative | transcript_product=coronin, putative | location=PvP01_14_v2:2907698-2909797(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439900.1-p1   -            430 8053at5820           -            274   1.8e-05   22.8   5.3   1   2   4.4e-05    0.0071   14.3   0.3    72   129   264   324   256   332 0.76 | transcript=PVP01_1439900.1 | gene=PVP01_1439900 | organism=Plasmodium_vivax_P01 | gene_product=protein TSSC1, putative | transcript_product=protein TSSC1, putative | location=PvP01_14_v2:1702773-1704065(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439900.1-p1   -            430 8053at5820           -            274   1.8e-05   22.8   5.3   2   2   0.00073      0.12   10.3   1.0     9    89   330   424   325   429 0.68 | transcript=PVP01_1439900.1 | gene=PVP01_1439900 | organism=Plasmodium_vivax_P01 | gene_product=protein TSSC1, putative | transcript_product=protein TSSC1, putative | location=PvP01_14_v2:1702773-1704065(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 8053at5820           -            274   5.9e-05   21.1   1.0   1   4       2.5   4.1e+02   -1.3   0.0   208   235   154   181   149   234 0.74 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 8053at5820           -            274   5.9e-05   21.1   1.0   2   4       3.5   5.7e+02   -1.8   0.0   111   127   287   303   269   304 0.74 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 8053at5820           -            274   5.9e-05   21.1   1.0   3   4   3.8e-06   0.00062   17.8   0.1    10    90   323   406   313   417 0.82 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 8053at5820           -            274   5.9e-05   21.1   1.0   4   4         2   3.2e+02   -1.0   0.0   247   267   428   449   419   454 0.74 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448900.1-p1   -            763 8053at5820           -            274    0.0001   20.4   5.6   1   2    0.0039      0.64    7.9   5.2    12    86    10    88     2   135 0.56 | transcript=PVP01_1448900.1 | gene=PVP01_1448900 | organism=Plasmodium_vivax_P01 | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=PvP01_14_v2:2118685-2120976(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448900.1-p1   -            763 8053at5820           -            274    0.0001   20.4   5.6   2   2    0.0038      0.61    8.0   0.0   218   271   197   260   191   262 0.69 | transcript=PVP01_1448900.1 | gene=PVP01_1448900 | organism=Plasmodium_vivax_P01 | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=PvP01_14_v2:2118685-2120976(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1412200.1-p1   -            524 8053at5820           -            274   0.00018   19.6   3.5   1   5       3.8   6.2e+02   -1.9   0.1   196   264   169   239   145   246 0.56 | transcript=PVP01_1412200.1 | gene=PVP01_1412200 | organism=Plasmodium_vivax_P01 | gene_product=transducin beta-like protein TBL1, putative | transcript_product=transducin beta-like protein TBL1, putative | location=PvP01_14_v2:542094-543668(-) | protein_length=524 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1412200.1-p1   -            524 8053at5820           -            274   0.00018   19.6   3.5   2   5     0.052       8.5    4.2   1.2   146   189   261   304   175   307 0.78 | transcript=PVP01_1412200.1 | gene=PVP01_1412200 | organism=Plasmodium_vivax_P01 | gene_product=transducin beta-like protein TBL1, putative | transcript_product=transducin beta-like protein TBL1, putative | location=PvP01_14_v2:542094-543668(-) | protein_length=524 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1412200.1-p1   -            524 8053at5820           -            274   0.00018   19.6   3.5   3   5   1.1e-06   0.00018   19.6   3.5     9   101   307   399   300   411 0.86 | transcript=PVP01_1412200.1 | gene=PVP01_1412200 | organism=Plasmodium_vivax_P01 | gene_product=transducin beta-like protein TBL1, putative | transcript_product=transducin beta-like protein TBL1, putative | location=PvP01_14_v2:542094-543668(-) | protein_length=524 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1412200.1-p1   -            524 8053at5820           -            274   0.00018   19.6   3.5   4   5       2.6   4.3e+02   -1.4   0.0   214   245   417   449   408   461 0.74 | transcript=PVP01_1412200.1 | gene=PVP01_1412200 | organism=Plasmodium_vivax_P01 | gene_product=transducin beta-like protein TBL1, putative | transcript_product=transducin beta-like protein TBL1, putative | location=PvP01_14_v2:542094-543668(-) | protein_length=524 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1412200.1-p1   -            524 8053at5820           -            274   0.00018   19.6   3.5   5   5         1   1.7e+02   -0.1   0.0   214   268   465   519   457   522 0.83 | transcript=PVP01_1412200.1 | gene=PVP01_1412200 | organism=Plasmodium_vivax_P01 | gene_product=transducin beta-like protein TBL1, putative | transcript_product=transducin beta-like protein TBL1, putative | location=PvP01_14_v2:542094-543668(-) | protein_length=524 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1447000.1-p1   -           2999 8053at5820           -            274   0.00026   19.0   4.4   1   3      0.09        15    3.4   0.1   193   234    57    97    10   108 0.70 | transcript=PVP01_1447000.1 | gene=PVP01_1447000 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_14_v2:2030881-2039880(-) | protein_length=2999 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1447000.1-p1   -           2999 8053at5820           -            274   0.00026   19.0   4.4   2   3   1.5e-05    0.0024   15.9   0.1   208   271   151   217   131   219 0.84 | transcript=PVP01_1447000.1 | gene=PVP01_1447000 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_14_v2:2030881-2039880(-) | protein_length=2999 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1447000.1-p1   -           2999 8053at5820           -            274   0.00026   19.0   4.4   3   3       4.5   7.4e+02   -2.1   0.1   109   126   426   443   423   451 0.88 | transcript=PVP01_1447000.1 | gene=PVP01_1447000 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_14_v2:2030881-2039880(-) | protein_length=2999 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917000.1-p1   -            465 8053at5820           -            274   0.00042   18.3   3.3   1   3       2.8   4.5e+02   -1.4   0.0   110   127   123   140   103   144 0.79 | transcript=PVP01_0917000.1 | gene=PVP01_0917000 | organism=Plasmodium_vivax_P01 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=PvP01_09_v2:759296-760693(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
