#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1210900.1-p1   -            644 4935at5820           -            497  9.9e-298  986.4  49.1   1   4       7.2   1.4e+03   -3.7   0.0     1    19     1    19     1    28 0.73 | transcript=PVP01_1210900.1 | gene=PVP01_1210900 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=PvP01_12_v2:454911-456845(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922000.1-p1   -            555 4935at5820           -            497   2.6e-08   31.7  15.3   2   3   1.1e-07   2.1e-05   22.1   1.0   280   378   163   262   152   269 0.82 | transcript=PVP01_0922000.1 | gene=PVP01_0922000 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_09_v2:954818-956599(+) | protein_length=555 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922000.1-p1   -            555 4935at5820           -            497   2.6e-08   31.7  15.3   3   3    0.0064       1.3    6.4   2.9   382   442   340   402   318   430 0.72 | transcript=PVP01_0922000.1 | gene=PVP01_0922000 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_09_v2:954818-956599(+) | protein_length=555 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 4935at5820           -            497   5.6e-08   30.6   0.4   1   3    0.0012      0.23    8.8   0.0   318   355   196   234   134   246 0.77 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 4935at5820           -            497   5.6e-08   30.6   0.4   2   3      0.28        56    0.9   0.0   384   404   286   306   270   311 0.88 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 4935at5820           -            497   5.6e-08   30.6   0.4   3   3   3.3e-06   0.00066   17.2   0.0   321   436   320   449   312   457 0.73 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458200.1-p1   -            472 4935at5820           -            497   1.3e-07   29.5  10.0   1   1     1e-09     2e-07   28.8  10.0   253   470   180   412   140   422 0.58 | transcript=PVP01_1458200.1 | gene=PVP01_1458200 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=PvP01_14_v2:2537122-2538780(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0611600.1-p1   -            661 4935at5820           -            497   1.3e-07   29.4   0.8   1   2   4.2e-06   0.00083   16.9   0.4   327   442   356   468   344   469 0.85 | transcript=PVP01_0611600.1 | gene=PVP01_0611600 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=PvP01_06_v2:510785-512770(-) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0611600.1-p1   -            661 4935at5820           -            497   1.3e-07   29.4   0.8   2   2   6.6e-07   0.00013   19.5   0.0   283   484   396   598   391   601 0.84 | transcript=PVP01_0611600.1 | gene=PVP01_0611600 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=PvP01_06_v2:510785-512770(-) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455700.1-p1   -            511 4935at5820           -            497   5.1e-07   27.5   6.6   1   3       7.8   1.5e+03   -3.8   0.2   202   222    89   109    81   124 0.78 | transcript=PVP01_1455700.1 | gene=PVP01_1455700 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=PvP01_14_v2:2421554-2423408(+) | protein_length=511 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455700.1-p1   -            511 4935at5820           -            497   5.1e-07   27.5   6.6   2   3   9.6e-05     0.019   12.4   0.2   366   404   284   322   272   329 0.87 | transcript=PVP01_1455700.1 | gene=PVP01_1455700 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=PvP01_14_v2:2421554-2423408(+) | protein_length=511 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455700.1-p1   -            511 4935at5820           -            497   5.1e-07   27.5   6.6   3   3   8.7e-07   0.00017   19.1   0.2   280   403   325   457   321   462 0.72 | transcript=PVP01_1455700.1 | gene=PVP01_1455700 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=PvP01_14_v2:2421554-2423408(+) | protein_length=511 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1468300.1-p1   -            565 4935at5820           -            497   9.3e-07   26.6   0.1   1   1     8e-09   1.6e-06   25.8   0.1   365   475    69   186    36   249 0.77 | transcript=PVP01_1468300.1 | gene=PVP01_1468300 | organism=Plasmodium_vivax_P01 | gene_product=coronin, putative | transcript_product=coronin, putative | location=PvP01_14_v2:2907698-2909797(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448900.1-p1   -            763 4935at5820           -            497   1.1e-06   26.4   4.6   1   2   8.4e-09   1.7e-06   25.8   1.0   371   462    13   107     6   130 0.74 | transcript=PVP01_1448900.1 | gene=PVP01_1448900 | organism=Plasmodium_vivax_P01 | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=PvP01_14_v2:2118685-2120976(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448900.1-p1   -            763 4935at5820           -            497   1.1e-06   26.4   4.6   2   2      0.17        33    1.7   0.1   252   305   241   299   189   307 0.67 | transcript=PVP01_1448900.1 | gene=PVP01_1448900 | organism=Plasmodium_vivax_P01 | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=PvP01_14_v2:2118685-2120976(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605500.1-p1   -            735 4935at5820           -            497   4.8e-06   24.3   1.8   1   2    0.0061       1.2    6.4   0.0   328   365   439   478   428   522 0.82 | transcript=PVP01_0605500.1 | gene=PVP01_0605500 | organism=Plasmodium_vivax_P01 | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=PvP01_06_v2:223767-225974(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605500.1-p1   -            735 4935at5820           -            497   4.8e-06   24.3   1.8   2   2   6.9e-06    0.0014   16.2   0.6   370   443   632   706   623   713 0.80 | transcript=PVP01_0605500.1 | gene=PVP01_0605500 | organism=Plasmodium_vivax_P01 | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=PvP01_06_v2:223767-225974(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917000.1-p1   -            465 4935at5820           -            497   4.6e-05   21.0   5.1   1   3    0.0069       1.4    6.3   0.0   287   316   111   140    73   159 0.84 | transcript=PVP01_0917000.1 | gene=PVP01_0917000 | organism=Plasmodium_vivax_P01 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=PvP01_09_v2:759296-760693(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917000.1-p1   -            465 4935at5820           -            497   4.6e-05   21.0   5.1   2   3    0.0021      0.42    7.9   0.3   369   404   214   248   205   265 0.77 | transcript=PVP01_0917000.1 | gene=PVP01_0917000 | organism=Plasmodium_vivax_P01 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=PvP01_09_v2:759296-760693(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917000.1-p1   -            465 4935at5820           -            497   4.6e-05   21.0   5.1   3   3    0.0044      0.88    6.9   0.7   253   316   333   396   259   404 0.83 | transcript=PVP01_0917000.1 | gene=PVP01_0917000 | organism=Plasmodium_vivax_P01 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=PvP01_09_v2:759296-760693(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225400.1-p1   -           1992 4935at5820           -            497   7.1e-05   20.4   0.1   1   2    0.0022      0.43    7.9   0.1   278   360  1722  1804  1718  1871 0.60 | transcript=PVP01_1225400.1 | gene=PVP01_1225400 | organism=Plasmodium_vivax_P01 | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=PvP01_12_v2:985781-992295(+) | protein_length=1992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225400.1-p1   -           1992 4935at5820           -            497   7.1e-05   20.4   0.1   2   2   0.00056      0.11    9.9   0.0   300   355  1930  1987  1872  1990 0.87 | transcript=PVP01_1225400.1 | gene=PVP01_1225400 | organism=Plasmodium_vivax_P01 | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=PvP01_12_v2:985781-992295(+) | protein_length=1992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0318300.1-p1   -            644 4935at5820           -            497    0.0023   15.4   1.2   1   2   3.5e-05    0.0068   13.8   1.0   346   451   325   427   311   434 0.82 | transcript=PVP01_0318300.1 | gene=PVP01_0318300 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 7, putative | transcript_product=U3 small nucleolar RNA-associated protein 7, putative | location=PvP01_03_v2:772270-774204(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0318300.1-p1   -            644 4935at5820           -            497    0.0023   15.4   1.2   2   2      0.18        36    1.6   0.1   265   299   409   443   394   454 0.73 | transcript=PVP01_0318300.1 | gene=PVP01_0318300 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 7, putative | transcript_product=U3 small nucleolar RNA-associated protein 7, putative | location=PvP01_03_v2:772270-774204(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618600.1-p1   -            700 4935at5820           -            497    0.0026   15.2   9.4   1   2     0.001       0.2    9.0   0.2   340   402   154   219   131   223 0.67 | transcript=PVP01_0618600.1 | gene=PVP01_0618600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 70, putative | transcript_product=WD repeat-containing protein 70, putative | location=PvP01_06_v2:764153-766255(+) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618600.1-p1   -            700 4935at5820           -            497    0.0026   15.2   9.4   2   2   0.00039     0.078   10.4   7.6   281   405   182   331   176   339 0.73 | transcript=PVP01_0618600.1 | gene=PVP01_0618600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 70, putative | transcript_product=WD repeat-containing protein 70, putative | location=PvP01_06_v2:764153-766255(+) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0721200.1-p1   -            342 4935at5820           -            497    0.0027   15.2   1.4   1   2   1.4e-05    0.0027   15.2   1.4    33    74    88   129    59   148 0.80 | transcript=PVP01_0721200.1 | gene=PVP01_0721200 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor 18, putative | transcript_product=pre-mRNA-splicing factor 18, putative | location=PvP01_07_v2:916842-919480(-) | protein_length=342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0721200.1-p1   -            342 4935at5820           -            497    0.0027   15.2   1.4   2   2      0.75   1.5e+02   -0.5   1.1   103   161   207   267   173   272 0.62 | transcript=PVP01_0721200.1 | gene=PVP01_0721200 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor 18, putative | transcript_product=pre-mRNA-splicing factor 18, putative | location=PvP01_07_v2:916842-919480(-) | protein_length=342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4935at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4935at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4935at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:44 2026
# [ok]
