#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1421700.1-p1   -            124 14208at5820          -            105     3e-67  222.3   5.0   1   1   2.4e-69   3.5e-67  222.1   5.0     1   105     7   111     7   111 0.99 | transcript=PVP01_1421700.1 | gene=PVP01_1421700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_14_v2:939195-940065(-) | protein_length=124 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0722400.1-p1   -            202 14208at5820          -            105   2.3e-05   23.4   0.1   1   1   3.4e-07   4.9e-05   22.3   0.0     4    76    73   144    70   157 0.87 | transcript=PVP01_0722400.1 | gene=PVP01_0722400 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 2, putative | transcript_product=polyadenylate-binding protein 2, putative | location=PvP01_07_v2:965522-966980(-) | protein_length=202 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0733700.1-p1   -            192 14208at5820          -            105   2.7e-05   23.1   1.4   1   2   1.7e-06   0.00025   20.1   0.8     2    82    10    91     9   105 0.79 | transcript=PVP01_0733700.1 | gene=PVP01_0733700 | organism=Plasmodium_vivax_P01 | gene_product=U2 small nuclear ribonucleoprotein B'', putative | transcript_product=U2 small nuclear ribonucleoprotein B'', putative | location=PvP01_07_v2:1381870-1382448(-) | protein_length=192 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0733700.1-p1   -            192 14208at5820          -            105   2.7e-05   23.1   1.4   2   2       1.1   1.6e+02    1.4   0.0     4    66   122   178   119   190 0.56 | transcript=PVP01_0733700.1 | gene=PVP01_0733700 | organism=Plasmodium_vivax_P01 | gene_product=U2 small nuclear ribonucleoprotein B'', putative | transcript_product=U2 small nuclear ribonucleoprotein B'', putative | location=PvP01_07_v2:1381870-1382448(-) | protein_length=192 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0806500.1-p1   -            250 14208at5820          -            105   4.8e-05   22.4   1.1   1   2   0.00013     0.019   14.0   0.1     5    87    24   105    22   127 0.76 | transcript=PVP01_0806500.1 | gene=PVP01_0806500 | organism=Plasmodium_vivax_P01 | gene_product=G-strand-binding protein 2, putative | transcript_product=G-strand-binding protein 2, putative | location=PvP01_08_v2:283268-284886(+) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0806500.1-p1   -            250 14208at5820          -            105   4.8e-05   22.4   1.1   2   2     0.017       2.4    7.3   0.1    16    80   186   249   174   250 0.81 | transcript=PVP01_0806500.1 | gene=PVP01_0806500 | organism=Plasmodium_vivax_P01 | gene_product=G-strand-binding protein 2, putative | transcript_product=G-strand-binding protein 2, putative | location=PvP01_08_v2:283268-284886(+) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1454200.1-p1   -            497 14208at5820          -            105   7.3e-05   21.8   0.1   1   1     5e-07   7.3e-05   21.8   0.1    15    83   427   494   414   497 0.84 | transcript=PVP01_1454200.1 | gene=PVP01_1454200 | organism=Plasmodium_vivax_P01 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=PvP01_14_v2:2366174-2367667(-) | protein_length=497 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820700.1-p1   -            299 14208at5820          -            105   0.00011   21.2   0.8   1   1   1.4e-06    0.0002   20.3   0.1     3    79    37   113    35   132 0.90 | transcript=PVP01_0820700.1 | gene=PVP01_0820700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_08_v2:909033-910367(-) | protein_length=299 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0719300.1-p1   -            475 14208at5820          -            105   0.00011   21.2   7.1   1   2     0.024       3.5    6.7   1.3     3    59    96   151    94   196 0.75 | transcript=PVP01_0719300.1 | gene=PVP01_0719300 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=PvP01_07_v2:848364-850021(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0719300.1-p1   -            475 14208at5820          -            105   0.00011   21.2   7.1   2   2   1.4e-05     0.002   17.1   0.4    18    75   319   378   304   384 0.82 | transcript=PVP01_0719300.1 | gene=PVP01_0719300 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=PvP01_07_v2:848364-850021(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1346100.1-p1   -            661 14208at5820          -            105   0.00015   20.8   0.3   1   1   4.2e-06    0.0006   18.8   0.3     4    80   168   247   165   271 0.86 | transcript=PVP01_1346100.1 | gene=PVP01_1346100 | organism=Plasmodium_vivax_P01 | gene_product=U2 snRNP-associated SURP motif-containing protein, putative | transcript_product=U2 snRNP-associated SURP motif-containing protein, putative | location=PvP01_13_v2:2008702-2012132(+) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238000.1-p1   -            911 14208at5820          -            105   0.00017   20.6   0.4   1   2   4.4e-05    0.0064   15.5   0.1     4    76   676   748   673   761 0.85 | transcript=PVP01_1238000.1 | gene=PVP01_1238000 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor U2AF large subunit, putative | transcript_product=splicing factor U2AF large subunit, putative | location=PvP01_12_v2:1499194-1501929(+) | protein_length=911 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238000.1-p1   -            911 14208at5820          -            105   0.00017   20.6   0.4   2   2      0.45        65    2.6   0.0    24    73   841   892   824   908 0.72 | transcript=PVP01_1238000.1 | gene=PVP01_1238000 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor U2AF large subunit, putative | transcript_product=splicing factor U2AF large subunit, putative | location=PvP01_12_v2:1499194-1501929(+) | protein_length=911 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111800.1-p1   -            181 14208at5820          -            105    0.0004   19.4   1.6   1   1   3.6e-06   0.00052   19.0   1.1     4    87    52   137    50   156 0.82 | transcript=PVP01_1111800.1 | gene=PVP01_1111800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:489273-490595(+) | protein_length=181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1465300.1-p1   -            390 14208at5820          -            105    0.0016   17.5   1.1   1   2       5.9   8.6e+02   -1.0   0.1    40    68   114   143    80   166 0.63 | transcript=PVP01_1465300.1 | gene=PVP01_1465300 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor RBM22, putative | transcript_product=pre-mRNA-splicing factor RBM22, putative | location=PvP01_14_v2:2784980-2786152(+) | protein_length=390 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1465300.1-p1   -            390 14208at5820          -            105    0.0016   17.5   1.1   2   2   3.3e-05    0.0048   15.9   0.2     4    75   226   292   223   299 0.84 | transcript=PVP01_1465300.1 | gene=PVP01_1465300 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor RBM22, putative | transcript_product=pre-mRNA-splicing factor RBM22, putative | location=PvP01_14_v2:2784980-2786152(+) | protein_length=390 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1104900.1-p1   -            462 14208at5820          -            105     0.002   17.1   1.3   1   1   1.4e-05     0.002   17.1   1.3     3    88    99   183    97   187 0.85 | transcript=PVP01_1104900.1 | gene=PVP01_1104900 | organism=Plasmodium_vivax_P01 | gene_product=U1 small nuclear ribonucleoprotein 70 kDa homolog, putative | transcript_product=U1 small nuclear ribonucleoprotein 70 kDa homolog, putative | location=PvP01_11_v2:193441-194829(-) | protein_length=462 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607200.1-p1   -           1571 14208at5820          -            105    0.0036   16.3   4.9   1   2      0.28        41    3.3   0.4     4    65   337   395   334   416 0.82 | transcript=PVP01_0607200.1 | gene=PVP01_0607200 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein UIS12, putative | transcript_product=RNA-binding protein UIS12, putative | location=PvP01_06_v2:315846-320697(+) | protein_length=1571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607200.1-p1   -           1571 14208at5820          -            105    0.0036   16.3   4.9   2   2   0.00013     0.019   14.0   0.0     4    77   441   518   439   535 0.83 | transcript=PVP01_0607200.1 | gene=PVP01_0607200 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein UIS12, putative | transcript_product=RNA-binding protein UIS12, putative | location=PvP01_06_v2:315846-320697(+) | protein_length=1571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605200.1-p1   -            513 14208at5820          -            105    0.0096   15.0   0.0   1   1   0.00019     0.028   13.5   0.0     6    77   355   426   351   447 0.92 | transcript=PVP01_0605200.1 | gene=PVP01_0605200 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein 34, putative | transcript_product=RNA-binding protein 34, putative | location=PvP01_06_v2:212984-215977(-) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0727700.1-p1   -            287 14208at5820          -            105     0.011   14.8   6.3   1   2     0.022       3.2    6.9   1.3    36    80    74   118    50   141 0.83 | transcript=PVP01_0727700.1 | gene=PVP01_0727700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_07_v2:1172908-1174656(+) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0727700.1-p1   -            287 14208at5820          -            105     0.011   14.8   6.3   2   2    0.0022      0.31   10.1   0.3    20    75   225   282   210   285 0.74 | transcript=PVP01_0727700.1 | gene=PVP01_0727700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_07_v2:1172908-1174656(+) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315800.1-p1   -            330 14208at5820          -            105     0.017   14.2   0.3   1   1    0.0012      0.17   10.9   0.3    46    73   148   175    86   201 0.80 | transcript=PVP01_0315800.1 | gene=PVP01_0315800 | organism=Plasmodium_vivax_P01 | gene_product=pre-rRNA-processing protein ESF2, putative | transcript_product=pre-rRNA-processing protein ESF2, putative | location=PvP01_03_v2:698247-699239(-) | protein_length=330 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1114000.1-p1   -            260 14208at5820          -            105     0.027   13.5   0.0   1   1   0.00033     0.047   12.7   0.0    11    40   133   163   124   197 0.80 | transcript=PVP01_1114000.1 | gene=PVP01_1114000 | organism=Plasmodium_vivax_P01 | gene_product=pyrroline-5-carboxylate reductase, putative | transcript_product=pyrroline-5-carboxylate reductase, putative | location=PvP01_11_v2:604024-605729(-) | protein_length=260 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0804100.1-p1   -            865 14208at5820          -            105      0.03   13.4   3.0   1   2      0.22        31    3.7   0.1     5    74   316   377   314   392 0.69 | transcript=PVP01_0804100.1 | gene=PVP01_0804100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_08_v2:204679-207276(-) | protein_length=865 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0804100.1-p1   -            865 14208at5820          -            105      0.03   13.4   3.0   2   2     0.004      0.57    9.2   0.5    11    75   423   488   418   497 0.83 | transcript=PVP01_0804100.1 | gene=PVP01_0804100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_08_v2:204679-207276(-) | protein_length=865 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142800.1-p1   -            606 14208at5820          -            105       3.3    6.8   6.9   1   2       3.7   5.3e+02   -0.3   0.0     2    51     9    56     8    73 0.77 | transcript=PVP01_1142800.1 | gene=PVP01_1142800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:1815171-1817570(-) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142800.1-p1   -            606 14208at5820          -            105       3.3    6.8   6.9   2   2    0.0048      0.69    9.0   0.9     2    87   166   250   165   255 0.78 | transcript=PVP01_1142800.1 | gene=PVP01_1142800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:1815171-1817570(-) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14208at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14208at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14208at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:48 2026
# [ok]
