#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0923700.1-p1   -           1979 898at5820            -           1021         0 1963.6 107.3   1   6   1.2e-94   1.5e-92  309.8   8.2     1   147     1   147     1   163 0.98 | transcript=PVP01_0923700.1 | gene=PVP01_0923700 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=PvP01_09_v2:1058515-1064613(+) | protein_length=1979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0915400.1-p1   -            708 898at5820            -           1021   3.8e-14   50.2   7.7   1   2       3.1   3.9e+02   -2.8   7.3   145   248   235   334   222   355 0.73 | transcript=PVP01_0915400.1 | gene=PVP01_0915400 | organism=Plasmodium_vivax_P01 | gene_product=cyclin-dependent-like kinase CLK3, putative | transcript_product=cyclin-dependent-like kinase CLK3, putative | location=PvP01_09_v2:696362-700179(+) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0915400.1-p1   -            708 898at5820            -           1021   3.8e-14   50.2   7.7   2   2     3e-16   3.8e-14   50.2   7.7   630   903   315   597   309   607 0.74 | transcript=PVP01_0915400.1 | gene=PVP01_0915400 | organism=Plasmodium_vivax_P01 | gene_product=cyclin-dependent-like kinase CLK3, putative | transcript_product=cyclin-dependent-like kinase CLK3, putative | location=PvP01_09_v2:696362-700179(+) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0827800.1-p1   -            488 898at5820            -           1021   6.8e-14   49.4   1.2   1   1   7.6e-16   9.5e-14   48.9   1.2   681   877   111   311    93   324 0.75 | transcript=PVP01_0827800.1 | gene=PVP01_0827800 | organism=Plasmodium_vivax_P01 | gene_product=glycogen synthase kinase-3 beta, putative | transcript_product=glycogen synthase kinase-3 beta, putative | location=PvP01_08_v2:1206811-1209248(+) | protein_length=488 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1416900.1-p1   -            341 898at5820            -           1021     1e-12   45.5   1.0   1   1   1.1e-14   1.3e-12   45.1   1.0   683   878    30   234    23   293 0.75 | transcript=PVP01_1416900.1 | gene=PVP01_1416900 | organism=Plasmodium_vivax_P01 | gene_product=glycogen synthase kinase-3 alpha, putative | transcript_product=glycogen synthase kinase-3 alpha, putative | location=PvP01_14_v2:737461-740374(-) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411500.1-p1   -            344 898at5820            -           1021   2.1e-12   44.5   0.0   1   1     2e-14   2.5e-12   44.2   0.0   725   886    84   252    53   341 0.69 | transcript=PVP01_0411500.1 | gene=PVP01_0411500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 7, putative | transcript_product=protein kinase 7, putative | location=PvP01_04_v2:470144-471765(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828800.1-p1   -           3003 898at5820            -           1021   4.5e-11   40.0   0.0   1   1   5.4e-13   6.8e-11   39.5   0.0   706   942   192   446   111   459 0.78 | transcript=PVP01_0828800.1 | gene=PVP01_0828800 | organism=Plasmodium_vivax_P01 | gene_product=kinase-related protein PKRP, putative | transcript_product=kinase-related protein PKRP, putative | location=PvP01_08_v2:1236390-1245587(-) | protein_length=3003 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521800.1-p1   -           1610 898at5820            -           1021   3.7e-10   37.0   0.1   1   4    0.0013      0.16    8.4   0.6   648   752   610   716   582   718 0.75 | transcript=PVP01_0521800.1 | gene=PVP01_0521800 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related kinase 3, putative, cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=PvP01_05_v2:884331-889289(+) | protein_length=1610 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521800.1-p1   -           1610 898at5820            -           1021   3.7e-10   37.0   0.1   2   4       4.1   5.1e+02   -3.2   5.8   188   254   805   870   755   881 0.84 | transcript=PVP01_0521800.1 | gene=PVP01_0521800 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related kinase 3, putative, cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=PvP01_05_v2:884331-889289(+) | protein_length=1610 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521800.1-p1   -           1610 898at5820            -           1021   3.7e-10   37.0   0.1   3   4     3e-12   3.7e-10   37.0   0.1   783   889   904  1010   893  1021 0.82 | transcript=PVP01_0521800.1 | gene=PVP01_0521800 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related kinase 3, putative, cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=PvP01_05_v2:884331-889289(+) | protein_length=1610 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521800.1-p1   -           1610 898at5820            -           1021   3.7e-10   37.0   0.1   4   4      0.16        21    1.5   0.1   912   966  1074  1130  1043  1144 0.75 | transcript=PVP01_0521800.1 | gene=PVP01_0521800 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related kinase 3, putative, cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=PvP01_05_v2:884331-889289(+) | protein_length=1610 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202200.1-p1   -            423 898at5820            -           1021   5.1e-10   36.6   7.9   1   4      0.38        48    0.2   0.3   133   179     2    48     1    57 0.87 | transcript=PVP01_1202200.1 | gene=PVP01_1202200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_12_v2:92438-95743(+) | protein_length=423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202200.1-p1   -            423 898at5820            -           1021   5.1e-10   36.6   7.9   2   4   4.1e-12   5.1e-10   36.6   7.9   723   941    63   256    39   260 0.87 | transcript=PVP01_1202200.1 | gene=PVP01_1202200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_12_v2:92438-95743(+) | protein_length=423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202200.1-p1   -            423 898at5820            -           1021   5.1e-10   36.6   7.9   3   4     0.035       4.3    3.7   4.8   557   608   260   309   257   321 0.78 | transcript=PVP01_1202200.1 | gene=PVP01_1202200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_12_v2:92438-95743(+) | protein_length=423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202200.1-p1   -            423 898at5820            -           1021   5.1e-10   36.6   7.9   4   4       1.1   1.4e+02   -1.3   5.8    68   174   304   410   301   418 0.67 | transcript=PVP01_1202200.1 | gene=PVP01_1202200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_12_v2:92438-95743(+) | protein_length=423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1264000.1-p1   -           1310 898at5820            -           1021   1.7e-09   34.8   1.9   1   3   9.8e-08   1.2e-05   22.1   1.0   740   827   919  1006   914  1012 0.90 | transcript=PVP01_1264000.1 | gene=PVP01_1264000 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:2642004-2645936(+) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1264000.1-p1   -           1310 898at5820            -           1021   1.7e-09   34.8   1.9   2   3   1.9e-07   2.4e-05   21.1   0.0   820   883  1084  1145  1074  1170 0.87 | transcript=PVP01_1264000.1 | gene=PVP01_1264000 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:2642004-2645936(+) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1264000.1-p1   -           1310 898at5820            -           1021   1.7e-09   34.8   1.9   3   3       1.7   2.2e+02   -1.9   0.0   914   941  1276  1303  1272  1305 0.88 | transcript=PVP01_1264000.1 | gene=PVP01_1264000 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:2642004-2645936(+) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0937400.1-p1   -            323 898at5820            -           1021   2.6e-09   34.2   0.8   1   2   5.7e-11   7.1e-09   32.8   0.2   680   883     6   214     2   238 0.74 | transcript=PVP01_0937400.1 | gene=PVP01_0937400 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=PvP01_09_v2:1606184-1608602(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0937400.1-p1   -            323 898at5820            -           1021   2.6e-09   34.2   0.8   2   2      0.87   1.1e+02   -1.0   0.0   399   439   273   316   266   320 0.72 | transcript=PVP01_0937400.1 | gene=PVP01_0937400 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=PvP01_09_v2:1606184-1608602(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215800.1-p1   -            891 898at5820            -           1021   4.7e-09   33.4   0.0   1   3      0.56        70   -0.3   0.0   683   717   401   435   374   471 0.81 | transcript=PVP01_1215800.1 | gene=PVP01_1215800 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:660557-663232(+) | protein_length=891 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215800.1-p1   -            891 898at5820            -           1021   4.7e-09   33.4   0.0   2   3   1.3e-08   1.6e-06   25.0   0.0   785   897   535   656   525   678 0.82 | transcript=PVP01_1215800.1 | gene=PVP01_1215800 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:660557-663232(+) | protein_length=891 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215800.1-p1   -            891 898at5820            -           1021   4.7e-09   33.4   0.0   3   3     0.022       2.8    4.3   0.0   910   942   859   891   844   891 0.92 | transcript=PVP01_1215800.1 | gene=PVP01_1215800 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:660557-663232(+) | protein_length=891 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724600.1-p1   -           3250 898at5820            -           1021     9e-09   32.4   0.1   1   1   1.1e-10   1.4e-08   31.8   0.1   690   858  2960  3137  2943  3195 0.74 | transcript=PVP01_0724600.1 | gene=PVP01_0724600 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1049322-1059074(-) | protein_length=3250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818800.1-p1   -            327 898at5820            -           1021     2e-08   31.3   0.1   1   1   2.3e-10   2.9e-08   30.8   0.1   753   941    92   282    77   302 0.83 | transcript=PVP01_0818800.1 | gene=PVP01_0818800 | organism=Plasmodium_vivax_P01 | gene_product=pseudo protein kinase 1, putative | transcript_product=pseudo protein kinase 1, putative | location=PvP01_08_v2:823384-824701(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513200.1-p1   -            800 898at5820            -           1021   2.3e-08   31.1  10.8   1   3    0.0059      0.74    6.2   0.9   683   760    35   109     8   123 0.76 | transcript=PVP01_0513200.1 | gene=PVP01_0513200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=PvP01_05_v2:547872-550471(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513200.1-p1   -            800 898at5820            -           1021   2.3e-08   31.1  10.8   2   3   5.1e-06   0.00065   16.4   0.2   779   814   234   269   223   277 0.81 | transcript=PVP01_0513200.1 | gene=PVP01_0513200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=PvP01_05_v2:547872-550471(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513200.1-p1   -            800 898at5820            -           1021   2.3e-08   31.1  10.8   3   3   0.00094      0.12    8.9   0.3   822   938   573   716   563   732 0.54 | transcript=PVP01_0513200.1 | gene=PVP01_0513200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=PvP01_05_v2:547872-550471(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0207300.1-p1   -           3308 898at5820            -           1021   5.1e-08   29.9   0.8   1   2   3.6e-08   4.5e-06   23.5   0.3   752   831  3076  3151  3058  3154 0.89 | transcript=PVP01_0207300.1 | gene=PVP01_0207300 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | location=PvP01_02_v2:297497-308722(-) | protein_length=3308 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0207300.1-p1   -           3308 898at5820            -           1021   5.1e-08   29.9   0.8   2   2     0.028       3.5    4.0   0.0   843   877  3207  3241  3202  3299 0.71 | transcript=PVP01_0207300.1 | gene=PVP01_0207300 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | location=PvP01_02_v2:297497-308722(-) | protein_length=3308 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133600.1-p1   -            801 898at5820            -           1021   4.1e-07   26.9   2.1   1   3      0.78        98   -0.8   0.2   677   707    14    45     7    53 0.83 | transcript=PVP01_1133600.1 | gene=PVP01_1133600 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=PvP01_11_v2:1437367-1439772(-) | protein_length=801 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133600.1-p1   -            801 898at5820            -           1021   4.1e-07   26.9   2.1   2   3     2e-07   2.5e-05   21.0   0.0   780   832   190   243   155   269 0.78 | transcript=PVP01_1133600.1 | gene=PVP01_1133600 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=PvP01_11_v2:1437367-1439772(-) | protein_length=801 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133600.1-p1   -            801 898at5820            -           1021   4.1e-07   26.9   2.1   3   3     0.034       4.2    3.7   0.0   912   939   561   588   539   593 0.88 | transcript=PVP01_1133600.1 | gene=PVP01_1133600 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=PvP01_11_v2:1437367-1439772(-) | protein_length=801 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0727300.1-p1   -            601 898at5820            -           1021   3.7e-06   23.8   0.1   1   2   0.00023     0.029   10.9   0.1   783   819   388   424   379   432 0.86 | transcript=PVP01_0727300.1 | gene=PVP01_0727300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_07_v2:1160934-1162739(+) | protein_length=601 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0727300.1-p1   -            601 898at5820            -           1021   3.7e-06   23.8   0.1   2   2   0.00029     0.037   10.5   0.0   864   939   495   574   486   584 0.75 | transcript=PVP01_0727300.1 | gene=PVP01_0727300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_07_v2:1160934-1162739(+) | protein_length=601 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1255300.1-p1   -            177 898at5820            -           1021   2.2e-05   21.2   2.0   1   1   1.9e-07   2.4e-05   21.1   2.0    47   162    43   159     8   174 0.66 | transcript=PVP01_1255300.1 | gene=PVP01_1255300 | organism=Plasmodium_vivax_P01 | gene_product=calcineurin subunit B, putative | transcript_product=calcineurin subunit B, putative | location=PvP01_12_v2:2267325-2268756(+) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224800.1-p1   -            467 898at5820            -           1021   0.00087   15.9   1.1   1   1   1.1e-05    0.0013   15.3   1.1    68   147   166   247   154   272 0.84 | transcript=PVP01_1224800.1 | gene=PVP01_1224800 | organism=Plasmodium_vivax_P01 | gene_product=apicoplast calcium binding protein 1, putative | transcript_product=apicoplast calcium binding protein 1, putative | location=PvP01_12_v2:952477-953880(+) | protein_length=467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315300.1-p1   -            149 898at5820            -           1021     0.018   11.5   0.0   1   1    0.0002     0.025   11.1   0.0    76   128    60   113    50   129 0.85 | transcript=PVP01_1315300.1 | gene=PVP01_1315300 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_13_v2:705695-706693(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/898at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/898at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/898at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:49:27 2026
# [ok]
