#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1262500.1-p1   -           1526 1039at5820           -           1031         0 1765.4  94.0   1   6     1e-41   1.3e-39  134.2   4.7     1   126    46   184    46   211 0.83 | transcript=PVP01_1262500.1 | gene=PVP01_1262500 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | location=PvP01_12_v2:2569991-2574722(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317900.1-p1   -            718 1039at5820           -           1031   1.4e-14   51.4   3.9   3   3      0.46        60   -0.4   0.1   426   460   276   310   249   318 0.74 | transcript=PVP01_1317900.1 | gene=PVP01_1317900 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=PvP01_13_v2:833649-835805(+) | protein_length=718 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945900.1-p1   -           2011 1039at5820           -           1031     2e-14   50.8   1.8   1   2     0.061         8    2.5   0.5   142   211    44   111     7   140 0.72 | transcript=PVP01_0945900.1 | gene=PVP01_0945900 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_09_v2:2001384-2007419(-) | protein_length=2011 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945900.1-p1   -           2011 1039at5820           -           1031     2e-14   50.8   1.8   2   2     3e-15   3.9e-13   46.6   0.0   312   457   182   337   167   350 0.84 | transcript=PVP01_0945900.1 | gene=PVP01_0945900 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_09_v2:2001384-2007419(-) | protein_length=2011 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1265700.1-p1   -           2433 1039at5820           -           1031   2.3e-14   50.6   0.4   1   1   3.5e-16   4.5e-14   49.7   0.4   275   459   190   401   161   418 0.72 | transcript=PVP01_1265700.1 | gene=PVP01_1265700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:2723739-2731820(-) | protein_length=2433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133600.1-p1   -            801 1039at5820           -           1031   7.1e-14   49.0   0.3   1   2   5.4e-16   7.1e-14   49.0   0.3   230   375   107   262    71   273 0.81 | transcript=PVP01_1133600.1 | gene=PVP01_1133600 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=PvP01_11_v2:1437367-1439772(-) | protein_length=801 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133600.1-p1   -            801 1039at5820           -           1031   7.1e-14   49.0   0.3   2   2      0.94   1.2e+02   -1.4   0.4   581   650   558   628   534   644 0.59 | transcript=PVP01_1133600.1 | gene=PVP01_1133600 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=PvP01_11_v2:1437367-1439772(-) | protein_length=801 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413200.1-p1   -           1029 1039at5820           -           1031   2.2e-13   47.4   0.2   1   1   2.9e-15   3.8e-13   46.6   0.2   257   402   807   960   780   968 0.75 | transcript=PVP01_0413200.1 | gene=PVP01_0413200 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_04_v2:537325-540414(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1205500.1-p1   -           1714 1039at5820           -           1031     4e-13   46.6   0.0   1   1   6.1e-15   7.9e-13   45.6   0.0   282   400  1507  1633  1497  1645 0.78 | transcript=PVP01_1205500.1 | gene=PVP01_1205500 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_12_v2:211272-216416(-) | protein_length=1714 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1416900.1-p1   -            341 1039at5820           -           1031   4.4e-12   43.1   0.3   1   1   4.7e-14   6.2e-12   42.6   0.3   307   400   137   232    64   238 0.78 | transcript=PVP01_1416900.1 | gene=PVP01_1416900 | organism=Plasmodium_vivax_P01 | gene_product=glycogen synthase kinase-3 alpha, putative | transcript_product=glycogen synthase kinase-3 alpha, putative | location=PvP01_14_v2:737461-740374(-) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909200.1-p1   -            335 1039at5820           -           1031   7.9e-11   38.9   1.4   1   2     0.019       2.4    4.2   0.1   566   613    77   123    51   139 0.83 | transcript=PVP01_0909200.1 | gene=PVP01_0909200 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=PvP01_09_v2:493076-494083(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909200.1-p1   -            335 1039at5820           -           1031   7.9e-11   38.9   1.4   2   2   1.6e-11   2.1e-09   34.3   0.2   305   435   135   267   123   282 0.82 | transcript=PVP01_0909200.1 | gene=PVP01_0909200 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=PvP01_09_v2:493076-494083(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424400.1-p1   -            517 1039at5820           -           1031   1.5e-10   38.0   4.5   1   2   2.1e-05    0.0028   14.0   2.3   275   339   282   344   247   358 0.81 | transcript=PVP01_1424400.1 | gene=PVP01_1424400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_14_v2:1058768-1060867(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424400.1-p1   -            517 1039at5820           -           1031   1.5e-10   38.0   4.5   2   2   1.9e-08   2.5e-06   24.0   0.0   346   452   396   503   382   514 0.82 | transcript=PVP01_1424400.1 | gene=PVP01_1424400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_14_v2:1058768-1060867(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0733500.1-p1   -            341 1039at5820           -           1031   1.6e-09   34.6   3.3   1   2     0.039       5.1    3.2   0.5   163   245    19   105     7   113 0.71 | transcript=PVP01_0733500.1 | gene=PVP01_0733500 | organism=Plasmodium_vivax_P01 | gene_product=cAMP-dependent protein kinase catalytic subunit, putative | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative | location=PvP01_07_v2:1376764-1378505(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0733500.1-p1   -            341 1039at5820           -           1031   1.6e-09   34.6   3.3   2   2   3.7e-11   4.8e-09   33.0   1.1   275   447   103   271    72   283 0.77 | transcript=PVP01_0733500.1 | gene=PVP01_0733500 | organism=Plasmodium_vivax_P01 | gene_product=cAMP-dependent protein kinase catalytic subunit, putative | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative | location=PvP01_07_v2:1376764-1378505(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320900.1-p1   -           2220 1039at5820           -           1031   7.5e-09   32.4   4.6   1   5     0.024       3.1    3.9   0.1   204   243   644   683   565   692 0.94 | transcript=PVP01_1320900.1 | gene=PVP01_1320900 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_13_v2:938545-945964(-) | protein_length=2220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320900.1-p1   -           2220 1039at5820           -           1031   7.5e-09   32.4   4.6   2   5   5.7e-11   7.5e-09   32.4   4.6   262   353   926  1015   916  1028 0.86 | transcript=PVP01_1320900.1 | gene=PVP01_1320900 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_13_v2:938545-945964(-) | protein_length=2220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320900.1-p1   -           2220 1039at5820           -           1031   7.5e-09   32.4   4.6   3   5   0.00013     0.017   11.4   0.1   385   425  1146  1187  1135  1208 0.81 | transcript=PVP01_1320900.1 | gene=PVP01_1320900 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_13_v2:938545-945964(-) | protein_length=2220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320900.1-p1   -           2220 1039at5820           -           1031   7.5e-09   32.4   4.6   4   5       2.2   2.9e+02   -2.6   2.1   693   842  1873  2034  1864  2044 0.61 | transcript=PVP01_1320900.1 | gene=PVP01_1320900 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_13_v2:938545-945964(-) | protein_length=2220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320900.1-p1   -           2220 1039at5820           -           1031   7.5e-09   32.4   4.6   5   5       5.1   6.6e+02   -3.8   2.5   925  1000  2091  2167  2081  2213 0.65 | transcript=PVP01_1320900.1 | gene=PVP01_1320900 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_13_v2:938545-945964(-) | protein_length=2220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0827800.1-p1   -            488 1039at5820           -           1031   1.2e-08   31.7   1.7   1   1   4.2e-10   5.5e-08   29.5   1.7   259   400   165   310    78   344 0.81 | transcript=PVP01_0827800.1 | gene=PVP01_0827800 | organism=Plasmodium_vivax_P01 | gene_product=glycogen synthase kinase-3 beta, putative | transcript_product=glycogen synthase kinase-3 beta, putative | location=PvP01_08_v2:1206811-1209248(+) | protein_length=488 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0814500.1-p1   -            325 1039at5820           -           1031   2.2e-08   30.9  10.3   1   2   1.7e-10   2.2e-08   30.9  10.3   218   400    30   220    22   231 0.72 | transcript=PVP01_0814500.1 | gene=PVP01_0814500 | organism=Plasmodium_vivax_P01 | gene_product=MO15-related protein kinase, putative | transcript_product=MO15-related protein kinase, putative | location=PvP01_08_v2:635589-636566(+) | protein_length=325 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0814500.1-p1   -            325 1039at5820           -           1031   2.2e-08   30.9  10.3   2   2      0.24        31    0.5   0.1   429   461   278   310   256   312 0.85 | transcript=PVP01_0814500.1 | gene=PVP01_0814500 | organism=Plasmodium_vivax_P01 | gene_product=MO15-related protein kinase, putative | transcript_product=MO15-related protein kinase, putative | location=PvP01_08_v2:635589-636566(+) | protein_length=325 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215800.1-p1   -            891 1039at5820           -           1031   2.8e-08   30.5   0.0   1   1   3.1e-10   4.1e-08   30.0   0.0   306   400   531   633   525   681 0.75 | transcript=PVP01_1215800.1 | gene=PVP01_1215800 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:660557-663232(+) | protein_length=891 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0937400.1-p1   -            323 1039at5820           -           1031   1.8e-07   27.8   0.1   1   1     2e-09   2.6e-07   27.3   0.1   311   397   109   204    97   236 0.84 | transcript=PVP01_0937400.1 | gene=PVP01_0937400 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=PvP01_09_v2:1606184-1608602(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0914700.1-p1   -            575 1039at5820           -           1031   2.1e-07   27.6   9.8   1   4    0.0023       0.3    7.2   3.1   163   246   158   243   144   265 0.84 | transcript=PVP01_0914700.1 | gene=PVP01_0914700 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=PvP01_09_v2:671593-673320(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0914700.1-p1   -            575 1039at5820           -           1031   2.1e-07   27.6   9.8   2   4   1.9e-08   2.5e-06   24.0   0.2   300   360   268   325   247   333 0.79 | transcript=PVP01_0914700.1 | gene=PVP01_0914700 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=PvP01_09_v2:671593-673320(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0914700.1-p1   -            575 1039at5820           -           1031   2.1e-07   27.6   9.8   3   4       3.1   4.1e+02   -3.1   0.0   370   400   362   393   353   403 0.79 | transcript=PVP01_0914700.1 | gene=PVP01_0914700 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=PvP01_09_v2:671593-673320(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0914700.1-p1   -            575 1039at5820           -           1031   2.1e-07   27.6   9.8   4   4       2.3     3e+02   -2.7   0.1   472   507   426   462   369   482 0.64 | transcript=PVP01_0914700.1 | gene=PVP01_0914700 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=PvP01_09_v2:671593-673320(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521800.1-p1   -           1610 1039at5820           -           1031   2.8e-07   27.2   0.0   1   2     0.012       1.6    4.8   0.7   175   236   645   708   628   714 0.84 | transcript=PVP01_0521800.1 | gene=PVP01_0521800 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related kinase 3, putative, cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=PvP01_05_v2:884331-889289(+) | protein_length=1610 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521800.1-p1   -           1610 1039at5820           -           1031   2.8e-07   27.2   0.0   2   2   2.1e-09   2.8e-07   27.2   0.0   310   439   906  1033   864  1049 0.79 | transcript=PVP01_0521800.1 | gene=PVP01_0521800 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related kinase 3, putative, cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=PvP01_05_v2:884331-889289(+) | protein_length=1610 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0410300.1-p1   -           1621 1039at5820           -           1031   3.4e-06   23.6   8.2   1   3     0.071       9.3    2.3   1.9   160   243  1102  1185  1056  1189 0.73 | transcript=PVP01_0410300.1 | gene=PVP01_0410300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase STK2, putative | transcript_product=serine/threonine protein kinase STK2, putative | location=PvP01_04_v2:420492-425357(-) | protein_length=1621 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0410300.1-p1   -           1621 1039at5820           -           1031   3.4e-06   23.6   8.2   2   3   4.9e-07   6.4e-05   19.4   1.0   277   339  1187  1250  1184  1264 0.82 | transcript=PVP01_0410300.1 | gene=PVP01_0410300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase STK2, putative | transcript_product=serine/threonine protein kinase STK2, putative | location=PvP01_04_v2:420492-425357(-) | protein_length=1621 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0410300.1-p1   -           1621 1039at5820           -           1031   3.4e-06   23.6   8.2   3   3     0.025       3.2    3.8   0.0   362   405  1513  1555  1505  1616 0.78 | transcript=PVP01_0410300.1 | gene=PVP01_0410300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase STK2, putative | transcript_product=serine/threonine protein kinase STK2, putative | location=PvP01_04_v2:420492-425357(-) | protein_length=1621 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0727300.1-p1   -            601 1039at5820           -           1031   3.9e-05   20.1   0.2   1   1   4.9e-07   6.4e-05   19.4   0.2   304   339   384   419   367   430 0.87 | transcript=PVP01_0727300.1 | gene=PVP01_0727300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_07_v2:1160934-1162739(+) | protein_length=601 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513200.1-p1   -            800 1039at5820           -           1031   0.00011   18.7   0.3   1   4     0.066       8.6    2.4   4.0   158   245     8    99     1   129 0.62 | transcript=PVP01_0513200.1 | gene=PVP01_0513200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=PvP01_05_v2:547872-550471(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513200.1-p1   -            800 1039at5820           -           1031   0.00011   18.7   0.3   2   4   8.1e-07   0.00011   18.7   0.3   284   342   216   272   202   279 0.87 | transcript=PVP01_0513200.1 | gene=PVP01_0513200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=PvP01_05_v2:547872-550471(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513200.1-p1   -            800 1039at5820           -           1031   0.00011   18.7   0.3   3   4      0.46        60   -0.4   0.0   347   399   573   627   562   635 0.81 | transcript=PVP01_0513200.1 | gene=PVP01_0513200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=PvP01_05_v2:547872-550471(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513200.1-p1   -            800 1039at5820           -           1031   0.00011   18.7   0.3   4   4      0.22        28    0.7   0.1   427   458   685   717   668   732 0.79 | transcript=PVP01_0513200.1 | gene=PVP01_0513200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=PvP01_05_v2:547872-550471(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905700.1-p1   -           1294 1039at5820           -           1031   0.00029   17.2  16.0   1   3         3   3.9e+02   -3.1   0.6   114   140    83   110    58   115 0.77 | transcript=PVP01_0905700.1 | gene=PVP01_0905700 | organism=Plasmodium_vivax_P01 | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=PvP01_09_v2:335375-339259(+) | protein_length=1294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905700.1-p1   -           1294 1039at5820           -           1031   0.00029   17.2  16.0   2   3   8.1e-06    0.0011   15.3   7.2   243   338   323   409   292   414 0.72 | transcript=PVP01_0905700.1 | gene=PVP01_0905700 | organism=Plasmodium_vivax_P01 | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=PvP01_09_v2:335375-339259(+) | protein_length=1294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905700.1-p1   -           1294 1039at5820           -           1031   0.00029   17.2  16.0   3   3    0.0019      0.24    7.5   0.0   367   401   543   577   532   642 0.73 | transcript=PVP01_0905700.1 | gene=PVP01_0905700 | organism=Plasmodium_vivax_P01 | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=PvP01_09_v2:335375-339259(+) | protein_length=1294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724600.1-p1   -           3250 1039at5820           -           1031    0.0019   14.5   0.0   1   1   3.9e-05    0.0051   13.1   0.0   324   403  3081  3172  3056  3189 0.68 | transcript=PVP01_0724600.1 | gene=PVP01_0724600 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1049322-1059074(-) | protein_length=3250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223600.1-p1   -            522 1039at5820           -           1031    0.0043   13.3   0.1   1   1   5.1e-05    0.0067   12.7   0.1   303   379   345   422   327   464 0.80 | transcript=PVP01_1223600.1 | gene=PVP01_1223600 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_12_v2:915971-917539(+) | protein_length=522 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1432800.1-p1   -            144 1039at5820           -           1031    0.0071   12.6   0.4   1   1   6.7e-05    0.0088   12.3   0.4    60   150    21   114    15   121 0.73 | transcript=PVP01_1432800.1 | gene=PVP01_1432800 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_14_v2:1427610-1428356(-) | protein_length=144 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1039at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1039at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1039at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:00 2026
# [ok]
