#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0313300.1-p1   -            529 5036at5820           -            465         0 1045.8  21.8   1   1         0         0 1045.0  21.8     1   465    47   529    47   529 0.99 | transcript=PVP01_0313300.1 | gene=PVP01_0313300 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=PvP01_03_v2:573121-574875(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0410300.1-p1   -           1621 5036at5820           -            465   2.4e-12   44.7   2.0   2   2       4.2   4.4e+02   -2.4   0.0   187   209  1518  1543  1508  1548 0.84 | transcript=PVP01_0410300.1 | gene=PVP01_0410300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase STK2, putative | transcript_product=serine/threonine protein kinase STK2, putative | location=PvP01_04_v2:420492-425357(-) | protein_length=1621 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521800.1-p1   -           1610 5036at5820           -            465   3.4e-12   44.2   0.9   1   3     0.007      0.72    6.8   1.1    25    89   647   710   636   715 0.84 | transcript=PVP01_0521800.1 | gene=PVP01_0521800 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related kinase 3, putative, cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=PvP01_05_v2:884331-889289(+) | protein_length=1610 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521800.1-p1   -           1610 5036at5820           -            465   3.4e-12   44.2   0.9   2   3   9.1e-11   9.4e-09   32.8   0.0   126   222   904  1014   870  1028 0.80 | transcript=PVP01_0521800.1 | gene=PVP01_0521800 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related kinase 3, putative, cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=PvP01_05_v2:884331-889289(+) | protein_length=1610 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521800.1-p1   -           1610 5036at5820           -            465   3.4e-12   44.2   0.9   3   3      0.91        94   -0.2   0.0   239   269  1071  1101  1036  1109 0.81 | transcript=PVP01_0521800.1 | gene=PVP01_0521800 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related kinase 3, putative, cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=PvP01_05_v2:884331-889289(+) | protein_length=1610 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1300900.1-p1   -            296 5036at5820           -            465     4e-12   43.9   4.0   1   2   3.9e-14     4e-12   43.9   4.0    22   176    21   175    13   198 0.82 | transcript=PVP01_1300900.1 | gene=PVP01_1300900 | organism=Plasmodium_vivax_P01 | gene_product=NIMA related kinase 3, putative | transcript_product=NIMA related kinase 3, putative | location=PvP01_13_v2:41061-41951(-) | protein_length=296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1300900.1-p1   -            296 5036at5820           -            465     4e-12   43.9   4.0   2   2       0.2        21    2.0   0.9    87   106   227   247   194   267 0.70 | transcript=PVP01_1300900.1 | gene=PVP01_1300900 | organism=Plasmodium_vivax_P01 | gene_product=NIMA related kinase 3, putative | transcript_product=NIMA related kinase 3, putative | location=PvP01_13_v2:41061-41951(-) | protein_length=296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0104700.1-p1   -           1251 5036at5820           -            465   7.2e-12   43.1   8.8   1   1   1.6e-13   1.7e-11   41.8   8.8    21   176   729   881   714   889 0.90 | transcript=PVP01_0104700.1 | gene=PVP01_0104700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_01_v2:242786-246541(-) | protein_length=1251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424400.1-p1   -            517 5036at5820           -            465   9.4e-12   42.7   5.2   1   2   8.3e-10   8.5e-08   29.6   3.3    47   156   235   343   224   353 0.90 | transcript=PVP01_1424400.1 | gene=PVP01_1424400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_14_v2:1058768-1060867(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424400.1-p1   -            517 5036at5820           -            465   9.4e-12   42.7   5.2   2   2   0.00012     0.013   12.6   0.0   163   270   394   511   372   516 0.75 | transcript=PVP01_1424400.1 | gene=PVP01_1424400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_14_v2:1058768-1060867(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0612800.1-p1   -            179 5036at5820           -            465   1.1e-11   42.5   9.3   1   2   8.3e-06   0.00086   16.4   0.5   403   460    39   101    33   106 0.75 | transcript=PVP01_0612800.1 | gene=PVP01_0612800 | organism=Plasmodium_vivax_P01 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=PvP01_06_v2:553783-555183(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0612800.1-p1   -            179 5036at5820           -            465   1.1e-11   42.5   9.3   2   2   6.5e-12   6.8e-10   36.6   2.9   368   459    76   173    70   179 0.82 | transcript=PVP01_0612800.1 | gene=PVP01_0612800 | organism=Plasmodium_vivax_P01 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=PvP01_06_v2:553783-555183(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828800.1-p1   -           3003 5036at5820           -            465   1.5e-11   42.0   0.1   1   1   2.2e-13   2.3e-11   41.4   0.1    24   182   162   331   151   366 0.81 | transcript=PVP01_0828800.1 | gene=PVP01_0828800 | organism=Plasmodium_vivax_P01 | gene_product=kinase-related protein PKRP, putative | transcript_product=kinase-related protein PKRP, putative | location=PvP01_08_v2:1236390-1245587(-) | protein_length=3003 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0118800.1-p1   -            721 5036at5820           -            465   2.8e-11   41.1   0.9   1   1   4.1e-13   4.2e-11   40.5   0.9    17   208   450   642   441   651 0.82 | transcript=PVP01_0118800.1 | gene=PVP01_0118800 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_01_v2:862457-865487(+) | protein_length=721 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945900.1-p1   -           2011 5036at5820           -            465   4.5e-11   40.5   0.0   1   2   1.7e-12   1.8e-10   38.5   0.0    16   180    68   228    56   253 0.80 | transcript=PVP01_0945900.1 | gene=PVP01_0945900 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_09_v2:2001384-2007419(-) | protein_length=2011 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945900.1-p1   -           2011 5036at5820           -            465   4.5e-11   40.5   0.0   2   2       2.5   2.6e+02   -1.6   0.0   239   273   309   343   285   349 0.77 | transcript=PVP01_0945900.1 | gene=PVP01_0945900 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_09_v2:2001384-2007419(-) | protein_length=2011 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261600.1-p1   -            877 5036at5820           -            465   6.8e-11   39.9   5.5   1   1   2.2e-12   2.3e-10   38.1   5.5    17   164   540   689   532   759 0.78 | transcript=PVP01_1261600.1 | gene=PVP01_1261600 | organism=Plasmodium_vivax_P01 | gene_product=protein serine/threonine kinase-1, putative | transcript_product=protein serine/threonine kinase-1, putative | location=PvP01_12_v2:2542000-2544633(+) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1205500.1-p1   -           1714 5036at5820           -            465   2.4e-10   38.0   0.1   1   2       1.5   1.6e+02   -0.9   0.1     3    30   475   502   473   507 0.85 | transcript=PVP01_1205500.1 | gene=PVP01_1205500 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_12_v2:211272-216416(-) | protein_length=1714 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1205500.1-p1   -           1714 5036at5820           -            465   2.4e-10   38.0   0.1   2   2   1.1e-11   1.1e-09   35.8   0.0   126   207  1541  1624  1528  1711 0.71 | transcript=PVP01_1205500.1 | gene=PVP01_1205500 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_12_v2:211272-216416(-) | protein_length=1714 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822900.1-p1   -           1391 5036at5820           -            465   2.3e-09   34.8  14.8   1   4       7.1   7.3e+02   -3.1   1.2   150   195    35    79    24    92 0.68 | transcript=PVP01_0822900.1 | gene=PVP01_0822900 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 4, putative | transcript_product=cdc2-related protein kinase 4, putative | location=PvP01_08_v2:1029162-1033337(+) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822900.1-p1   -           1391 5036at5820           -            465   2.3e-09   34.8  14.8   2   4     0.013       1.4    5.9   0.9    19    97   792   874   773   954 0.81 | transcript=PVP01_0822900.1 | gene=PVP01_0822900 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 4, putative | transcript_product=cdc2-related protein kinase 4, putative | location=PvP01_08_v2:1029162-1033337(+) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822900.1-p1   -           1391 5036at5820           -            465   2.3e-09   34.8  14.8   3   4   4.2e-10   4.4e-08   30.6   0.2   122   201  1163  1252  1150  1270 0.74 | transcript=PVP01_0822900.1 | gene=PVP01_0822900 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 4, putative | transcript_product=cdc2-related protein kinase 4, putative | location=PvP01_08_v2:1029162-1033337(+) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822900.1-p1   -           1391 5036at5820           -            465   2.3e-09   34.8  14.8   4   4    0.0074      0.77    6.7   0.0   237   270  1336  1369  1323  1376 0.89 | transcript=PVP01_0822900.1 | gene=PVP01_0822900 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 4, putative | transcript_product=cdc2-related protein kinase 4, putative | location=PvP01_08_v2:1029162-1033337(+) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0827800.1-p1   -            488 5036at5820           -            465   4.5e-09   33.9   0.9   1   1   9.6e-11   9.9e-09   32.7   0.9    22   206   110   300    97   310 0.72 | transcript=PVP01_0827800.1 | gene=PVP01_0827800 | organism=Plasmodium_vivax_P01 | gene_product=glycogen synthase kinase-3 beta, putative | transcript_product=glycogen synthase kinase-3 beta, putative | location=PvP01_08_v2:1206811-1209248(+) | protein_length=488 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0207300.1-p1   -           3308 5036at5820           -            465     6e-09   33.4   0.8   1   2       6.4   6.7e+02   -3.0   0.0    47    92    67   115    60   123 0.66 | transcript=PVP01_0207300.1 | gene=PVP01_0207300 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | location=PvP01_02_v2:297497-308722(-) | protein_length=3308 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0207300.1-p1   -           3308 5036at5820           -            465     6e-09   33.4   0.8   2   2     1e-10   1.1e-08   32.6   0.1   119   181  3098  3157  3071  3203 0.79 | transcript=PVP01_0207300.1 | gene=PVP01_0207300 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | location=PvP01_02_v2:297497-308722(-) | protein_length=3308 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413200.1-p1   -           1029 5036at5820           -            465   9.5e-09   32.8   0.3   1   1   1.6e-10   1.6e-08   32.0   0.3    36   201   777   939   751   949 0.86 | transcript=PVP01_0413200.1 | gene=PVP01_0413200 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_04_v2:537325-540414(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1264000.1-p1   -           1310 5036at5820           -            465   3.3e-08   31.0   3.1   1   2   3.6e-09   3.8e-07   27.5   1.0    83   161   919   997   914  1010 0.87 | transcript=PVP01_1264000.1 | gene=PVP01_1264000 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:2642004-2645936(+) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1264000.1-p1   -           1310 5036at5820           -            465   3.3e-08   31.0   3.1   2   2      0.14        14    2.5   0.0   166   209  1086  1133  1077  1148 0.80 | transcript=PVP01_1264000.1 | gene=PVP01_1264000 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:2642004-2645936(+) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1260400.1-p1   -            168 5036at5820           -            465   4.7e-07   27.2   2.2   1   1   7.5e-08   7.8e-06   23.2   2.2   317   461    24   164    21   167 0.69 | transcript=PVP01_1260400.1 | gene=PVP01_1260400 | organism=Plasmodium_vivax_P01 | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=PvP01_12_v2:2483484-2484244(+) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724600.1-p1   -           3250 5036at5820           -            465   7.1e-06   23.3   0.5   1   1   1.4e-07   1.5e-05   22.3   0.5    30   221  2958  3148  2946  3165 0.72 | transcript=PVP01_0724600.1 | gene=PVP01_0724600 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1049322-1059074(-) | protein_length=3250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1255300.1-p1   -            177 5036at5820           -            465   7.4e-06   23.3   6.8   1   1   1.6e-06   0.00017   18.8   6.8   319   461    27   166     9   169 0.74 | transcript=PVP01_1255300.1 | gene=PVP01_1255300 | organism=Plasmodium_vivax_P01 | gene_product=calcineurin subunit B, putative | transcript_product=calcineurin subunit B, putative | location=PvP01_12_v2:2267325-2268756(+) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215800.1-p1   -            891 5036at5820           -            465   2.1e-05   21.8   0.0   1   2   0.00014     0.015   12.4   0.0   128   158   535   565   521   589 0.80 | transcript=PVP01_1215800.1 | gene=PVP01_1215800 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:660557-663232(+) | protein_length=891 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215800.1-p1   -            891 5036at5820           -            465   2.1e-05   21.8   0.0   2   2    0.0068       0.7    6.8   0.0   241   269   860   888   856   890 0.93 | transcript=PVP01_1215800.1 | gene=PVP01_1215800 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:660557-663232(+) | protein_length=891 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0921900.1-p1   -           1542 5036at5820           -            465   0.00015   19.0   3.8   1   2    0.0053      0.55    7.2   1.5    60   123   211   274   192   281 0.89 | transcript=PVP01_0921900.1 | gene=PVP01_0921900 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_09_v2:946073-950834(-) | protein_length=1542 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0921900.1-p1   -           1542 5036at5820           -            465   0.00015   19.0   3.8   2   2   0.00025     0.026   11.6   0.0   127   182   352   405   338   429 0.80 | transcript=PVP01_0921900.1 | gene=PVP01_0921900 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_09_v2:946073-950834(-) | protein_length=1542 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411500.1-p1   -            344 5036at5820           -            465   0.00027   18.1   0.9   1   1   6.4e-06   0.00066   16.8   0.9    21   206    24   232     9   239 0.59 | transcript=PVP01_0411500.1 | gene=PVP01_0411500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 7, putative | transcript_product=protein kinase 7, putative | location=PvP01_04_v2:470144-471765(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0727300.1-p1   -            601 5036at5820           -            465    0.0015   15.6   0.7   1   1   1.5e-05    0.0015   15.6   0.7   122   165   384   427   370   464 0.80 | transcript=PVP01_0727300.1 | gene=PVP01_0727300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_07_v2:1160934-1162739(+) | protein_length=601 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513200.1-p1   -            800 5036at5820           -            465    0.0028   14.8  10.0   1   3    0.0026      0.26    8.2   0.9    22    95    32    98    23   115 0.74 | transcript=PVP01_0513200.1 | gene=PVP01_0513200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=PvP01_05_v2:547872-550471(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513200.1-p1   -            800 5036at5820           -            465    0.0028   14.8  10.0   2   3    0.0018      0.19    8.7   0.1   118   158   229   270   205   276 0.78 | transcript=PVP01_0513200.1 | gene=PVP01_0513200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=PvP01_05_v2:547872-550471(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513200.1-p1   -            800 5036at5820           -            465    0.0028   14.8  10.0   3   3      0.17        17    2.3   0.1   165   202   572   609   557   626 0.86 | transcript=PVP01_0513200.1 | gene=PVP01_0513200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=PvP01_05_v2:547872-550471(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818800.1-p1   -            327 5036at5820           -            465    0.0033   14.5   0.5   1   1   5.3e-05    0.0055   13.8   0.5    85   167    81   164    59   178 0.89 | transcript=PVP01_0818800.1 | gene=PVP01_0818800 | organism=Plasmodium_vivax_P01 | gene_product=pseudo protein kinase 1, putative | transcript_product=pseudo protein kinase 1, putative | location=PvP01_08_v2:823384-824701(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5036at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5036at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5036at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:09 2026
# [ok]
