#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718513.1         -            473 6337at5820           -            408  3.2e-269  891.2  15.1   1   2   3.7e-63   6.4e-61  205.1   1.1     1   106     8   125     8   130 0.95 | transcript=PVPAM_040025700_t1 | gene=PVPAM_040025700 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase UAP56, putative | transcript_product=ATP-dependent RNA helicase UAP56, putative | location=CASCJQ010000004:869937-871529(+) | protein_length=473 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722849.1         -           1267 6337at5820           -            408   4.8e-10   37.5   1.4   1   2       1.7     3e+02   -1.3   0.0    59   108    45    94    31    99 0.84 | transcript=PVPAM_130035100_t1 | gene=PVPAM_130035100 | organism=Plasmodium_vivax_PAM | gene_product=ADP-dependent DNA helicase RecQ, putative | transcript_product=ADP-dependent DNA helicase RecQ, putative | location=CASCJQ010000013:1352248-1356051(-) | protein_length=1267 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722849.1         -           1267 6337at5820           -            408   4.8e-10   37.5   1.4   2   2   6.1e-12   1.1e-09   36.4   0.6   256   378   267   390   239   412 0.91 | transcript=PVPAM_130035100_t1 | gene=PVPAM_130035100 | organism=Plasmodium_vivax_PAM | gene_product=ADP-dependent DNA helicase RecQ, putative | transcript_product=ADP-dependent DNA helicase RecQ, putative | location=CASCJQ010000013:1352248-1356051(-) | protein_length=1267 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719627.1         -            735 6337at5820           -            408   8.1e-10   36.8   0.5   1   1   7.5e-12   1.3e-09   36.1   0.5   253   378   359   486   348   501 0.76 | transcript=PVPAM_070024100_t1 | gene=PVPAM_070024100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent DNA helicase Q1, putative | transcript_product=ATP-dependent DNA helicase Q1, putative | location=CASCJQ010000007:855859-858066(+) | protein_length=735 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723300.1         -            790 6337at5820           -            408   1.5e-06   26.1   1.1   1   2     0.028       4.8    4.6   0.0    51   101   120   170    84   184 0.82 | transcript=PVPAM_140021900_t1 | gene=PVPAM_140021900 | organism=Plasmodium_vivax_PAM | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=CASCJQ010000014:749601-751973(-) | protein_length=790 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723300.1         -            790 6337at5820           -            408   1.5e-06   26.1   1.1   2   2   0.00014     0.024   12.2   2.0   315   389   654   733   548   740 0.73 | transcript=PVPAM_140021900_t1 | gene=PVPAM_140021900 | organism=Plasmodium_vivax_PAM | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=CASCJQ010000014:749601-751973(-) | protein_length=790 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718155.1         -           1175 6337at5820           -            408    0.0036   14.9   0.4   1   2      0.23        40    1.6   0.2    61   162   239   364   224   389 0.57 | transcript=PVPAM_030015300_t1 | gene=PVPAM_030015300 | organism=Plasmodium_vivax_PAM | gene_product=DEAD box ATP-dependent RNA helicase, putative | transcript_product=DEAD box ATP-dependent RNA helicase, putative | location=CASCJQ010000003:444822-448349(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718155.1         -           1175 6337at5820           -            408    0.0036   14.9   0.4   2   2    0.0004      0.07   10.6   0.0   309   373   847   911   826   928 0.83 | transcript=PVPAM_030015300_t1 | gene=PVPAM_030015300 | organism=Plasmodium_vivax_PAM | gene_product=DEAD box ATP-dependent RNA helicase, putative | transcript_product=DEAD box ATP-dependent RNA helicase, putative | location=CASCJQ010000003:444822-448349(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6337at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6337at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6337at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:00 2026
# [ok]
