#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718792.1         -            292 9510at5820           -            234  1.1e-139  462.2  23.2   1   1  2.2e-138  3.8e-136  450.6  23.2     1   224     1   263     1   292 0.93 | transcript=PVPAM_050018600_t1 | gene=PVPAM_050018600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:612140-613354(+) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720107.1         -            299 9510at5820           -            234   9.6e-05   20.6   0.0   1   1   9.5e-07   0.00016   19.8   0.0   126   196    36   107    20   114 0.86 | transcript=PVPAM_080032900_t1 | gene=PVPAM_080032900 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000008:1265540-1266874(-) | protein_length=299 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723375.1         -            124 9510at5820           -            234    0.0001   20.4   0.1   1   1   6.9e-07   0.00012   20.3   0.1   138   204    20    87     4   110 0.83 | transcript=PVPAM_140029400_t1 | gene=PVPAM_140029400 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000014:1055808-1056679(-) | protein_length=124 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723273.1         -            158 9510at5820           -            234   0.00014   20.0   0.0   1   1   8.7e-07   0.00015   19.9   0.0     4    66    33    94    29   144 0.84 | transcript=PVPAM_140019200_t1 | gene=PVPAM_140019200 | organism=Plasmodium_vivax_PAM | gene_product=PhIL1-interacting candidate PIC5, putative | transcript_product=PhIL1-interacting candidate PIC5, putative | location=CASCJQ010000014:645115-645591(-) | protein_length=158 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722192.1         -            914 9510at5820           -            234   0.00023   19.3   0.0   1   1   3.1e-06   0.00053   18.1   0.0   124   199   675   751   667   771 0.85 | transcript=PVPAM_120043000_t1 | gene=PVPAM_120043000 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor U2AF large subunit, putative | transcript_product=splicing factor U2AF large subunit, putative | location=CASCJQ010000012:1485281-1488025(+) | protein_length=914 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719153.1         -            471 9510at5820           -            234   0.00036   18.7   0.0   1   1   4.1e-06    0.0007   17.7   0.0   129   199   312   383   300   408 0.85 | transcript=PVPAM_060016000_t1 | gene=PVPAM_060016000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein 34, putative | transcript_product=RNA-binding protein 34, putative | location=CASCJQ010000006:464754-467636(-) | protein_length=471 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719197.1         -            181 9510at5820           -            234    0.0007   17.7   0.0   1   1   5.8e-06   0.00098   17.3   0.0    10   100    79   170    71   179 0.77 | transcript=PVPAM_060020400_t1 | gene=PVPAM_060020400 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000006:677528-678073(-) | protein_length=181 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722430.1         -            786 9510at5820           -            234   0.00074   17.6   0.0   1   1   8.8e-06    0.0015   16.7   0.0   135   205    38   109    14   130 0.88 | transcript=PVPAM_120066700_t1 | gene=PVPAM_120066700 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000012:2518224-2521284(-) | protein_length=786 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722719.1         -            182 9510at5820           -            234     0.001   17.2   0.0   1   1     8e-06    0.0014   16.8   0.0   125   221    81   181    69   182 0.83 | transcript=PVPAM_130022000_t1 | gene=PVPAM_130022000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein | transcript_product=RNA-binding protein | location=CASCJQ010000013:766073-767096(+) | protein_length=182 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723234.1         -            505 9510at5820           -            234    0.0047   15.0   1.1   1   2    0.0012       0.2    9.7   0.1   163   201   266   304   221   316 0.76 | transcript=PVPAM_140015300_t1 | gene=PVPAM_140015300 | organism=Plasmodium_vivax_PAM | gene_product=U1 small nuclear ribonucleoprotein A, putative | transcript_product=U1 small nuclear ribonucleoprotein A, putative | location=CASCJQ010000014:489481-491318(+) | protein_length=505 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723234.1         -            505 9510at5820           -            234    0.0047   15.0   1.1   2   2      0.12        21    3.1   0.0   145   201   452   503   432   505 0.77 | transcript=PVPAM_140015300_t1 | gene=PVPAM_140015300 | organism=Plasmodium_vivax_PAM | gene_product=U1 small nuclear ribonucleoprotein A, putative | transcript_product=U1 small nuclear ribonucleoprotein A, putative | location=CASCJQ010000014:489481-491318(+) | protein_length=505 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723072.1         -            107 9510at5820           -            234      0.01   14.0   0.0   1   1     7e-05     0.012   13.7   0.0   125   198    22    96     7   106 0.74 | transcript=PVPAM_130057800_t1 | gene=PVPAM_130057800 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein 8A, putative | transcript_product=RNA-binding protein 8A, putative | location=CASCJQ010000013:2343283-2343975(-) | protein_length=107 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9510at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9510at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9510at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:51:29 2026
# [ok]
