#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721838.1         -            466 7562at5820           -            393  3.2e-176  584.5  31.3   1   1  7.4e-178  1.8e-175  582.0  31.3     1   393     1   466     1   466 0.90 | transcript=PVPAM_120007200_t1 | gene=PVPAM_120007200 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-associated protein 15, putative | transcript_product=U3 small nucleolar RNA-associated protein 15, putative | location=CASCJQ010000012:93955-96793(-) | protein_length=466 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720031.1         -           1145 7562at5820           -            393   2.2e-05   22.0  13.9   1   5     0.082        20    2.4   0.3   132   175   222   267   200   289 0.58 | transcript=PVPAM_080025300_t1 | gene=PVPAM_080025300 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-associated protein 13, putative | transcript_product=U3 small nucleolar RNA-associated protein 13, putative | location=CASCJQ010000008:913165-916820(-) | protein_length=1145 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720031.1         -           1145 7562at5820           -            393   2.2e-05   22.0  13.9   2   5       4.1   9.8e+02   -3.2   0.2   261   281   361   381   357   398 0.80 | transcript=PVPAM_080025300_t1 | gene=PVPAM_080025300 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-associated protein 13, putative | transcript_product=U3 small nucleolar RNA-associated protein 13, putative | location=CASCJQ010000008:913165-916820(-) | protein_length=1145 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720031.1         -           1145 7562at5820           -            393   2.2e-05   22.0  13.9   3   5       2.6   6.1e+02   -2.5   0.3    19    65   447   498   440   503 0.56 | transcript=PVPAM_080025300_t1 | gene=PVPAM_080025300 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-associated protein 13, putative | transcript_product=U3 small nucleolar RNA-associated protein 13, putative | location=CASCJQ010000008:913165-916820(-) | protein_length=1145 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720031.1         -           1145 7562at5820           -            393   2.2e-05   22.0  13.9   4   5    0.0019      0.45    7.8   1.1    99   155   562   620   544   653 0.74 | transcript=PVPAM_080025300_t1 | gene=PVPAM_080025300 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-associated protein 13, putative | transcript_product=U3 small nucleolar RNA-associated protein 13, putative | location=CASCJQ010000008:913165-916820(-) | protein_length=1145 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720031.1         -           1145 7562at5820           -            393   2.2e-05   22.0  13.9   5   5   9.3e-08   2.2e-05   22.0  13.9   101   314   678   904   671   911 0.80 | transcript=PVPAM_080025300_t1 | gene=PVPAM_080025300 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-associated protein 13, putative | transcript_product=U3 small nucleolar RNA-associated protein 13, putative | location=CASCJQ010000008:913165-916820(-) | protein_length=1145 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721223.1         -            887 7562at5820           -            393   2.4e-05   21.9   7.5   1   4      0.11        27    2.0   0.1   120   173   130   185   120   192 0.82 | transcript=PVPAM_110012500_t1 | gene=PVPAM_110012500 | organism=Plasmodium_vivax_PAM | gene_product=polyubiquitin binding protein, putative | transcript_product=polyubiquitin binding protein, putative | location=CASCJQ010000011:289044-291920(+) | protein_length=887 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721223.1         -            887 7562at5820           -            393   2.4e-05   21.9   7.5   2   4   9.8e-08   2.4e-05   21.9   7.5    18   136   220   342   215   349 0.86 | transcript=PVPAM_110012500_t1 | gene=PVPAM_110012500 | organism=Plasmodium_vivax_PAM | gene_product=polyubiquitin binding protein, putative | transcript_product=polyubiquitin binding protein, putative | location=CASCJQ010000011:289044-291920(+) | protein_length=887 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721223.1         -            887 7562at5820           -            393   2.4e-05   21.9   7.5   3   4       1.1   2.6e+02   -1.3   0.2   256   295   637   678   607   693 0.73 | transcript=PVPAM_110012500_t1 | gene=PVPAM_110012500 | organism=Plasmodium_vivax_PAM | gene_product=polyubiquitin binding protein, putative | transcript_product=polyubiquitin binding protein, putative | location=CASCJQ010000011:289044-291920(+) | protein_length=887 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721223.1         -            887 7562at5820           -            393   2.4e-05   21.9   7.5   4   4       1.9   4.5e+02   -2.1   1.5   327   379   806   857   761   861 0.62 | transcript=PVPAM_110012500_t1 | gene=PVPAM_110012500 | organism=Plasmodium_vivax_PAM | gene_product=polyubiquitin binding protein, putative | transcript_product=polyubiquitin binding protein, putative | location=CASCJQ010000011:289044-291920(+) | protein_length=887 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723540.1         -            612 7562at5820           -            393   6.3e-05   20.5  15.1   1   3   4.8e-07   0.00012   19.6   1.5    98   172   315   395   312   402 0.85 | transcript=PVPAM_140046400_t1 | gene=PVPAM_140046400 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing factor 17, putative | transcript_product=pre-mRNA-processing factor 17, putative | location=CASCJQ010000014:1745350-1747188(+) | protein_length=612 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723540.1         -            612 7562at5820           -            393   6.3e-05   20.5  15.1   2   3    0.0023      0.54    7.6   2.1    78   178   423   528   398   534 0.77 | transcript=PVPAM_140046400_t1 | gene=PVPAM_140046400 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing factor 17, putative | transcript_product=pre-mRNA-processing factor 17, putative | location=CASCJQ010000014:1745350-1747188(+) | protein_length=612 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723540.1         -            612 7562at5820           -            393   6.3e-05   20.5  15.1   3   3      0.46   1.1e+02   -0.0   0.2    82   133   559   611   532   612 0.72 | transcript=PVPAM_140046400_t1 | gene=PVPAM_140046400 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing factor 17, putative | transcript_product=pre-mRNA-processing factor 17, putative | location=CASCJQ010000014:1745350-1747188(+) | protein_length=612 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722063.1         -           1981 7562at5820           -            393   0.00013   19.5   0.1   1   1   1.2e-06   0.00029   18.3   0.1    99   138  1712  1751  1709  1769 0.91 | transcript=PVPAM_120030100_t1 | gene=PVPAM_120030100 | organism=Plasmodium_vivax_PAM | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=CASCJQ010000012:971280-977761(+) | protein_length=1981 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720447.1         -            469 7562at5820           -            393   0.00035   18.1   1.2   1   2   0.00056      0.13    9.6   0.1    97   136   210   249   206   259 0.90 | transcript=PVPAM_090021200_t1 | gene=PVPAM_090021200 | organism=Plasmodium_vivax_PAM | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=CASCJQ010000009:766466-767875(-) | protein_length=469 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720447.1         -            469 7562at5820           -            393   0.00035   18.1   1.2   2   2    0.0029      0.68    7.2   0.1    75   135   340   399   278   404 0.91 | transcript=PVPAM_090021200_t1 | gene=PVPAM_090021200 | organism=Plasmodium_vivax_PAM | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=CASCJQ010000009:766466-767875(-) | protein_length=469 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723717.1         -            511 7562at5820           -            393   0.00035   18.0   1.0   1   1   2.8e-06   0.00068   17.1   1.0   100   175   282   363   276   404 0.86 | transcript=PVPAM_140064100_t1 | gene=PVPAM_140064100 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=CASCJQ010000014:2541864-2543718(+) | protein_length=511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723646.1         -            763 7562at5820           -            393    0.0025   15.2   2.9   1   1     2e-05    0.0048   14.3   2.9   104   173    10    88     4   108 0.86 | transcript=PVPAM_140057000_t1 | gene=PVPAM_140057000 | organism=Plasmodium_vivax_PAM | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=CASCJQ010000014:2238026-2240317(+) | protein_length=763 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717798.1         -           1071 7562at5820           -            393    0.0069   13.8   3.6   1   3       2.7   6.5e+02   -2.6   0.1   114   135   171   192   155   195 0.72 | transcript=PVPAM_010031200_t1 | gene=PVPAM_010031200 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=CASCJQ010000001:1164327-1167542(+) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717798.1         -           1071 7562at5820           -            393    0.0069   13.8   3.6   2   3   0.00051      0.12    9.7   0.0    76   136   421   481   408   486 0.85 | transcript=PVPAM_010031200_t1 | gene=PVPAM_010031200 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=CASCJQ010000001:1164327-1167542(+) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717798.1         -           1071 7562at5820           -            393    0.0069   13.8   3.6   3   3      0.03       7.3    3.8   0.1    96   137   558   602   543   623 0.79 | transcript=PVPAM_010031200_t1 | gene=PVPAM_010031200 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=CASCJQ010000001:1164327-1167542(+) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719219.1         -            638 7562at5820           -            393     0.036   11.4   4.2   1   2     0.003      0.72    7.1   4.7    61   158   338   435   305   453 0.65 | transcript=PVPAM_060022600_t1 | gene=PVPAM_060022600 | organism=Plasmodium_vivax_PAM | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=CASCJQ010000006:761713-763629(-) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719219.1         -            638 7562at5820           -            393     0.036   11.4   4.2   2   2       2.2   5.2e+02   -2.3   0.0    95   136   544   585   501   587 0.83 | transcript=PVPAM_060022600_t1 | gene=PVPAM_060022600 | organism=Plasmodium_vivax_PAM | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=CASCJQ010000006:761713-763629(-) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723644.1         -            445 7562at5820           -            393      0.11    9.8   7.1   1   3     0.028       6.8    3.9   0.9    40   136    48   147    13   204 0.75 | transcript=PVPAM_140056800_t1 | gene=PVPAM_140056800 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000014:2233103-2234440(-) | protein_length=445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723644.1         -            445 7562at5820           -            393      0.11    9.8   7.1   2   3       2.2   5.3e+02   -2.3   0.0    84   125   191   233   180   240 0.77 | transcript=PVPAM_140056800_t1 | gene=PVPAM_140056800 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000014:2233103-2234440(-) | protein_length=445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723644.1         -            445 7562at5820           -            393      0.11    9.8   7.1   3   3   0.00087      0.21    8.9   0.4    99   147   307   354   301   363 0.88 | transcript=PVPAM_140056800_t1 | gene=PVPAM_140056800 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000014:2233103-2234440(-) | protein_length=445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7562at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7562at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7562at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:07 2026
# [ok]
