#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718495.1         -           1029 2944at5820           -            483  2.5e-250  829.9  35.1   1   3   3.7e-69   4.7e-67  225.5   9.8     4   131     9   141     4   157 0.93 | transcript=PVPAM_040023900_t1 | gene=PVPAM_040023900 | organism=Plasmodium_vivax_PAM | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=CASCJQ010000004:797636-800725(-) | protein_length=1029 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720423.1         -            580 2944at5820           -            483   1.5e-11   42.5   6.2   1   2   2.7e-10   3.4e-08   31.4   5.9   249   388   175   325   158   338 0.69 | transcript=PVPAM_090018800_t1 | gene=PVPAM_090018800 | organism=Plasmodium_vivax_PAM | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=CASCJQ010000009:677012-678754(-) | protein_length=580 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720423.1         -            580 2944at5820           -            483   1.5e-11   42.5   6.2   2   2    0.0016       0.2    9.1   0.0   398   433   363   399   352   411 0.81 | transcript=PVPAM_090018800_t1 | gene=PVPAM_090018800 | organism=Plasmodium_vivax_PAM | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=CASCJQ010000009:677012-678754(-) | protein_length=580 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718902.1         -           1623 2944at5820           -            483   1.1e-10   39.5   2.5   1   2    0.0012      0.15    9.5   0.4   246   311   647   718   609   723 0.85 | transcript=PVPAM_050029400_t1 | gene=PVPAM_050029400 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=CASCJQ010000005:1015568-1020565(+) | protein_length=1623 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718902.1         -           1623 2944at5820           -            483   1.1e-10   39.5   2.5   2   2   9.2e-10   1.2e-07   29.6   0.1   353   439   918  1009   902  1025 0.79 | transcript=PVPAM_050029400_t1 | gene=PVPAM_050029400 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=CASCJQ010000005:1015568-1020565(+) | protein_length=1623 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720044.1         -            325 2944at5820           -            483   3.8e-10   37.8  11.2   1   1   1.2e-11   1.5e-09   35.9  11.2   251   438    10   226     4   241 0.67 | transcript=PVPAM_080026600_t1 | gene=PVPAM_080026600 | organism=Plasmodium_vivax_PAM | gene_product=MO15-related protein kinase, putative | transcript_product=MO15-related protein kinase, putative | location=CASCJQ010000008:990655-991632(+) | protein_length=325 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720502.1         -            561 2944at5820           -            483   5.9e-10   37.2   9.1   1   2     1e-09   1.3e-07   29.4   7.7   223   388     6   184     1   193 0.78 | transcript=PVPAM_090026700_t1 | gene=PVPAM_090026700 | organism=Plasmodium_vivax_PAM | gene_product=3-phosphoinositide-dependent protein kinase 1, putative | transcript_product=3-phosphoinositide-dependent protein kinase 1, putative | location=CASCJQ010000009:990615-992300(-) | protein_length=561 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720502.1         -            561 2944at5820           -            483   5.9e-10   37.2   9.1   2   2    0.0083         1    6.7   0.0   392   439   340   387   319   394 0.90 | transcript=PVPAM_090026700_t1 | gene=PVPAM_090026700 | organism=Plasmodium_vivax_PAM | gene_product=3-phosphoinositide-dependent protein kinase 1, putative | transcript_product=3-phosphoinositide-dependent protein kinase 1, putative | location=CASCJQ010000009:990615-992300(-) | protein_length=561 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718813.1         -            807 2944at5820           -            483   7.2e-10   36.9   9.7   1   3   4.1e-07   5.1e-05   20.9   0.9   249   308    33    92    14   113 0.83 | transcript=PVPAM_050020700_t1 | gene=PVPAM_050020700 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=CASCJQ010000005:677818-680438(-) | protein_length=807 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718813.1         -            807 2944at5820           -            483   7.2e-10   36.9   9.7   2   3       0.6        76    0.5   0.2   353   378   247   272   215   297 0.81 | transcript=PVPAM_050020700_t1 | gene=PVPAM_050020700 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=CASCJQ010000005:677818-680438(-) | protein_length=807 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718813.1         -            807 2944at5820           -            483   7.2e-10   36.9   9.7   3   3   1.1e-06   0.00013   19.5   0.1   378   435   578   638   560   658 0.83 | transcript=PVPAM_050020700_t1 | gene=PVPAM_050020700 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=CASCJQ010000005:677818-680438(-) | protein_length=807 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719702.1         -           3230 2944at5820           -            483   7.6e-10   36.8   1.5   1   1   9.6e-12   1.2e-09   36.2   1.5   240   440  2922  3157  2914  3187 0.65 | transcript=PVPAM_070031600_t1 | gene=PVPAM_070031600 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000007:1146503-1156195(-) | protein_length=3230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723621.1         -            996 2944at5820           -            483   2.6e-09   35.1   1.3   1   1   5.4e-11   6.9e-09   33.7   1.3   276   449    47   254    11   259 0.71 | transcript=PVPAM_140054500_t1 | gene=PVPAM_140054500 | organism=Plasmodium_vivax_PAM | gene_product=NIMA related kinase 1, putative | transcript_product=NIMA related kinase 1, putative | location=CASCJQ010000014:2126362-2129525(+) | protein_length=996 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719267.1         -            369 2944at5820           -            483   2.7e-09   35.0  41.9   1   5     0.016         2    5.7   0.4     9    45     8    44     2    53 0.82 | transcript=PVPAM_060027400_t1 | gene=PVPAM_060027400 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=CASCJQ010000006:926233-927342(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719267.1         -            369 2944at5820           -            483   2.7e-09   35.0  41.9   2   5     0.024         3    5.2   9.7     9   101    54   143    47   153 0.72 | transcript=PVPAM_060027400_t1 | gene=PVPAM_060027400 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=CASCJQ010000006:926233-927342(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719267.1         -            369 2944at5820           -            483   2.7e-09   35.0  41.9   3   5     8e-06     0.001   16.6   7.9     2   102   167   264   166   269 0.81 | transcript=PVPAM_060027400_t1 | gene=PVPAM_060027400 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=CASCJQ010000006:926233-927342(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719267.1         -            369 2944at5820           -            483   2.7e-09   35.0  41.9   4   5   1.9e-06   0.00024   18.7   2.9    13    51   270   308   264   340 0.87 | transcript=PVPAM_060027400_t1 | gene=PVPAM_060027400 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=CASCJQ010000006:926233-927342(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719267.1         -            369 2944at5820           -            483   2.7e-09   35.0  41.9   5   5      0.81     1e+02    0.1   0.0     9    41   313   345   308   349 0.86 | transcript=PVPAM_060027400_t1 | gene=PVPAM_060027400 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=CASCJQ010000006:926233-927342(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717919.1         -           3320 2944at5820           -            483   1.1e-07   29.7   0.7   1   2   2.9e-06   0.00036   18.1   0.4   335   389  3111  3163  3088  3168 0.77 | transcript=PVPAM_020015100_t1 | gene=PVPAM_020015100 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | location=CASCJQ010000002:419120-430381(-) | protein_length=3320 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717919.1         -           3320 2944at5820           -            483   1.1e-07   29.7   0.7   2   2    0.0016      0.21    9.0   0.0   397   434  3218  3254  3210  3262 0.89 | transcript=PVPAM_020015100_t1 | gene=PVPAM_020015100 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | location=CASCJQ010000002:419120-430381(-) | protein_length=3320 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722432.1         -            889 2944at5820           -            483   1.3e-07   29.5   0.0   1   2    0.0002     0.026   12.0   4.8   246   375   556   694   530   699 0.77 | transcript=PVPAM_120066900_t1 | gene=PVPAM_120066900 | organism=Plasmodium_vivax_PAM | gene_product=protein serine/threonine kinase-1, putative | transcript_product=protein serine/threonine kinase-1, putative | location=CASCJQ010000012:2528585-2531254(+) | protein_length=889 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722432.1         -            889 2944at5820           -            483   1.3e-07   29.5   0.0   2   2     1e-09   1.3e-07   29.5   0.0   366   443   710   787   706   812 0.87 | transcript=PVPAM_120066900_t1 | gene=PVPAM_120066900 | organism=Plasmodium_vivax_PAM | gene_product=protein serine/threonine kinase-1, putative | transcript_product=protein serine/threonine kinase-1, putative | location=CASCJQ010000012:2528585-2531254(+) | protein_length=889 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720278.1         -           1391 2944at5820           -            483   8.6e-06   23.5   0.0   1   2      0.16        21    2.4   0.1   331   376   169   215   147   221 0.76 | transcript=PVPAM_080050100_t1 | gene=PVPAM_080050100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000008:1953288-1957463(-) | protein_length=1391 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720278.1         -           1391 2944at5820           -            483   8.6e-06   23.5   0.0   2   2   6.8e-08   8.6e-06   23.5   0.0   380   441   700   761   690   776 0.88 | transcript=PVPAM_080050100_t1 | gene=PVPAM_080050100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000008:1953288-1957463(-) | protein_length=1391 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718464.1         -           1635 2944at5820           -            483   1.1e-05   23.1  10.2   1   2   1.3e-06   0.00016   19.3   4.3   252   377  1117  1251  1108  1265 0.77 | transcript=PVPAM_040021000_t1 | gene=PVPAM_040021000 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase STK2, putative | transcript_product=serine/threonine protein kinase STK2, putative | location=CASCJQ010000004:680171-685078(-) | protein_length=1635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718464.1         -           1635 2944at5820           -            483   1.1e-05   23.1  10.2   2   2    0.0076      0.96    6.8   0.0   393   439  1526  1571  1508  1586 0.83 | transcript=PVPAM_040021000_t1 | gene=PVPAM_040021000 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase STK2, putative | transcript_product=serine/threonine protein kinase STK2, putative | location=CASCJQ010000004:680171-685078(-) | protein_length=1635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722269.1         -            326 2944at5820           -            483   1.3e-05   22.9  20.5   1   3   0.00095      0.12    9.8   5.2    12   105    47   137    40   145 0.75 | transcript=PVPAM_120050600_t1 | gene=PVPAM_120050600 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000012:1860357-1861867(+) | protein_length=326 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722269.1         -            326 2944at5820           -            483   1.3e-05   22.9  20.5   2   3      0.12        16    2.8  10.0     8   105   111   205    82   211 0.49 | transcript=PVPAM_120050600_t1 | gene=PVPAM_120050600 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000012:1860357-1861867(+) | protein_length=326 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722269.1         -            326 2944at5820           -            483   1.3e-05   22.9  20.5   3   3   4.6e-06   0.00059   17.4   0.4    81   167   208   295   203   308 0.71 | transcript=PVPAM_120050600_t1 | gene=PVPAM_120050600 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000012:1860357-1861867(+) | protein_length=326 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720736.1         -           2040 2944at5820           -            483   2.9e-05   21.7   0.2   1   1   3.8e-07   4.8e-05   21.0   0.2   253   428    79   266    66   280 0.69 | transcript=PVPAM_090050100_t1 | gene=PVPAM_090050100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000009:2011314-2017436(-) | protein_length=2040 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720338.1         -           1278 2944at5820           -            483   3.7e-05   21.4   7.5   1   2     0.049       6.2    4.1   3.9   294   375   318   400   266   407 0.75 | transcript=PVPAM_090010400_t1 | gene=PVPAM_090010400 | organism=Plasmodium_vivax_PAM | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=CASCJQ010000009:339975-343811(+) | protein_length=1278 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720338.1         -           1278 2944at5820           -            483   3.7e-05   21.4   7.5   2   2   2.3e-06   0.00029   18.4   0.1   393   437   527   571   521   592 0.83 | transcript=PVPAM_090010400_t1 | gene=PVPAM_090010400 | organism=Plasmodium_vivax_PAM | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=CASCJQ010000009:339975-343811(+) | protein_length=1278 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720582.1         -           1002 2944at5820           -            483   0.00069   17.2  25.0   1   3     0.012       1.5    6.2   0.0    11    50   156   196   143   197 0.81 | transcript=PVPAM_090034700_t1 | gene=PVPAM_090034700 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=CASCJQ010000009:1325948-1328956(+) | protein_length=1002 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720582.1         -           1002 2944at5820           -            483   0.00069   17.2  25.0   2   3   0.00017     0.022   12.2  12.2     6   116   198   304   194   307 0.79 | transcript=PVPAM_090034700_t1 | gene=PVPAM_090034700 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=CASCJQ010000009:1325948-1328956(+) | protein_length=1002 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720582.1         -           1002 2944at5820           -            483   0.00069   17.2  25.0   3   3      0.43        55    1.0  10.5     6   103   267   362   265   371 0.76 | transcript=PVPAM_090034700_t1 | gene=PVPAM_090034700 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=CASCJQ010000009:1325948-1328956(+) | protein_length=1002 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720651.1         -            323 2944at5820           -            483   0.00084   16.9   0.1   1   1   9.6e-06    0.0012   16.4   0.1   325   442    87   217    52   229 0.76 | transcript=PVPAM_090041500_t1 | gene=PVPAM_090041500 | organism=Plasmodium_vivax_PAM | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=CASCJQ010000009:1615302-1617735(-) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718564.1         -            191 2944at5820           -            483      0.13    9.6   4.7   1   1    0.0027      0.34    8.3   4.6     7    53    41    87    35   141 0.80 | transcript=PVPAM_040030800_t1 | gene=PVPAM_040030800 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000004:1077053-1078241(+) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2944at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2944at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2944at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:42 2026
# [ok]
