#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722663.1         -            869 3504at5820           -            686         0 1282.8  74.7   1   1         0         0 1278.2  74.7    12   686   141   869   123   869 0.93 | transcript=PVPAM_130016400_t1 | gene=PVPAM_130016400 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent DNA/RNA helicase PSH2, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH2, putative | location=CASCJQ010000013:512933-516706(-) | protein_length=869 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723752.1         -            862 3504at5820           -            686   8.1e-11   39.5  22.6   2   3   6.1e-08   1.1e-05   22.5   4.3   411   516   528   642   523   658 0.70 | transcript=PVPAM_140067500_t1 | gene=PVPAM_140067500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP9, putative | transcript_product=ATP-dependent RNA helicase DBP9, putative | location=CASCJQ010000014:2696273-2698861(-) | protein_length=862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723752.1         -            862 3504at5820           -            686   8.1e-11   39.5  22.6   3   3      0.39        72    0.0   2.1   177   230   640   692   632   695 0.80 | transcript=PVPAM_140067500_t1 | gene=PVPAM_140067500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP9, putative | transcript_product=ATP-dependent RNA helicase DBP9, putative | location=CASCJQ010000014:2696273-2698861(-) | protein_length=862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717956.1         -           1393 3504at5820           -            686   5.3e-10   36.8   3.9   1   3    0.0019      0.35    7.7   0.0    60    98   605   643   598   648 0.85 | transcript=PVPAM_020018800_t1 | gene=PVPAM_020018800 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent DNA/RNA helicase PSH1, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH1, putative | location=CASCJQ010000002:571679-576254(-) | protein_length=1393 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717956.1         -           1393 3504at5820           -            686   5.3e-10   36.8   3.9   2   3      0.61   1.1e+02   -0.6   0.0   187   211   912   934   895   937 0.76 | transcript=PVPAM_020018800_t1 | gene=PVPAM_020018800 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent DNA/RNA helicase PSH1, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH1, putative | location=CASCJQ010000002:571679-576254(-) | protein_length=1393 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717956.1         -           1393 3504at5820           -            686   5.3e-10   36.8   3.9   3   3   1.1e-09   1.9e-07   28.4   0.4   401   457  1203  1259  1137  1271 0.83 | transcript=PVPAM_020018800_t1 | gene=PVPAM_020018800 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent DNA/RNA helicase PSH1, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH1, putative | location=CASCJQ010000002:571679-576254(-) | protein_length=1393 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721094.1         -            522 3504at5820           -            686   2.3e-09   34.7  21.2   1   2      0.13        24    1.6   8.6    39   118   103   184    87   311 0.72 | transcript=PVPAM_100036200_t1 | gene=PVPAM_100036200 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX27, putative | transcript_product=ATP-dependent RNA helicase DDX27, putative | location=CASCJQ010000010:1343851-1345783(-) | protein_length=522 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721094.1         -            522 3504at5820           -            686   2.3e-09   34.7  21.2   2   2   4.7e-11   8.8e-09   32.8  11.1   286   449   294   455   232   488 0.68 | transcript=PVPAM_100036200_t1 | gene=PVPAM_100036200 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX27, putative | transcript_product=ATP-dependent RNA helicase DDX27, putative | location=CASCJQ010000010:1343851-1345783(-) | protein_length=522 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718755.1         -           1203 3504at5820           -            686   1.7e-08   31.8   9.9   1   2     0.043         8    3.2   4.6    40   175   178   301   143   368 0.60 | transcript=PVPAM_050014900_t1 | gene=PVPAM_050014900 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP10, putative | transcript_product=ATP-dependent RNA helicase DBP10, putative | location=CASCJQ010000005:454102-457713(+) | protein_length=1203 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718755.1         -           1203 3504at5820           -            686   1.7e-08   31.8   9.9   2   2   2.2e-10     4e-08   30.6   0.2   347   444   408   507   386   516 0.83 | transcript=PVPAM_050014900_t1 | gene=PVPAM_050014900 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP10, putative | transcript_product=ATP-dependent RNA helicase DBP10, putative | location=CASCJQ010000005:454102-457713(+) | protein_length=1203 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718094.1         -            548 3504at5820           -            686   1.6e-07   28.7  14.7   1   2      0.34        62    0.3   9.8    34   177    94   240    56   263 0.62 | transcript=PVPAM_030009000_t1 | gene=PVPAM_030009000 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX51, putative | transcript_product=ATP-dependent RNA helicase DDX51, putative | location=CASCJQ010000003:195401-197371(-) | protein_length=548 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718094.1         -            548 3504at5820           -            686   1.6e-07   28.7  14.7   2   2   8.5e-10   1.6e-07   28.7  14.7   259   466   272   486   258   505 0.77 | transcript=PVPAM_030009000_t1 | gene=PVPAM_030009000 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX51, putative | transcript_product=ATP-dependent RNA helicase DDX51, putative | location=CASCJQ010000003:195401-197371(-) | protein_length=548 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719627.1         -            735 3504at5820           -            686   3.3e-07   27.6   5.3   1   3      0.79   1.5e+02   -1.0   1.5    65    89    54    79    45   136 0.78 | transcript=PVPAM_070024100_t1 | gene=PVPAM_070024100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent DNA helicase Q1, putative | transcript_product=ATP-dependent DNA helicase Q1, putative | location=CASCJQ010000007:855859-858066(+) | protein_length=735 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719627.1         -            735 3504at5820           -            686   3.3e-07   27.6   5.3   2   3       1.5   2.8e+02   -1.9   0.9    11    58   117   164    99   177 0.66 | transcript=PVPAM_070024100_t1 | gene=PVPAM_070024100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent DNA helicase Q1, putative | transcript_product=ATP-dependent DNA helicase Q1, putative | location=CASCJQ010000007:855859-858066(+) | protein_length=735 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719627.1         -            735 3504at5820           -            686   3.3e-07   27.6   5.3   3   3   1.8e-09   3.3e-07   27.6   5.3   333   474   360   502   349   531 0.75 | transcript=PVPAM_070024100_t1 | gene=PVPAM_070024100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent DNA helicase Q1, putative | transcript_product=ATP-dependent DNA helicase Q1, putative | location=CASCJQ010000007:855859-858066(+) | protein_length=735 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722849.1         -           1267 3504at5820           -            686   4.4e-07   27.2   8.1   1   2      0.39        72    0.1   0.0    69    99    64    94    48   108 0.80 | transcript=PVPAM_130035100_t1 | gene=PVPAM_130035100 | organism=Plasmodium_vivax_PAM | gene_product=ADP-dependent DNA helicase RecQ, putative | transcript_product=ADP-dependent DNA helicase RecQ, putative | location=CASCJQ010000013:1352248-1356051(-) | protein_length=1267 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722849.1         -           1267 3504at5820           -            686   4.4e-07   27.2   8.1   2   2     6e-09   1.1e-06   25.9   6.6   289   462   214   393   207   445 0.78 | transcript=PVPAM_130035100_t1 | gene=PVPAM_130035100 | organism=Plasmodium_vivax_PAM | gene_product=ADP-dependent DNA helicase RecQ, putative | transcript_product=ADP-dependent DNA helicase RecQ, putative | location=CASCJQ010000013:1352248-1356051(-) | protein_length=1267 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722294.1         -            787 3504at5820           -            686   1.7e-06   25.3   1.5   1   3       3.6   6.6e+02   -3.1   0.3   194   212   297   315   283   318 0.74 | transcript=PVPAM_120053100_t1 | gene=PVPAM_120053100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP5, putative | transcript_product=ATP-dependent RNA helicase DBP5, putative | location=CASCJQ010000012:1934145-1936508(-) | protein_length=787 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722294.1         -            787 3504at5820           -            686   1.7e-06   25.3   1.5   2   3      0.21        38    1.0   2.8    29    95   373   437   344   561 0.79 | transcript=PVPAM_120053100_t1 | gene=PVPAM_120053100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP5, putative | transcript_product=ATP-dependent RNA helicase DBP5, putative | location=CASCJQ010000012:1934145-1936508(-) | protein_length=787 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722294.1         -            787 3504at5820           -            686   1.7e-06   25.3   1.5   3   3     9e-09   1.7e-06   25.3   1.5   348   467   607   764   583   772 0.65 | transcript=PVPAM_120053100_t1 | gene=PVPAM_120053100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP5, putative | transcript_product=ATP-dependent RNA helicase DBP5, putative | location=CASCJQ010000012:1934145-1936508(-) | protein_length=787 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723300.1         -            790 3504at5820           -            686   2.4e-05   21.5   0.2   1   3     0.015       2.8    4.7   1.2    22    94   102   172    81   196 0.69 | transcript=PVPAM_140021900_t1 | gene=PVPAM_140021900 | organism=Plasmodium_vivax_PAM | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=CASCJQ010000014:749601-751973(-) | protein_length=790 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723300.1         -            790 3504at5820           -            686   2.4e-05   21.5   0.2   2   3       2.7     5e+02   -2.7   0.1   496   547   228   278   221   289 0.69 | transcript=PVPAM_140021900_t1 | gene=PVPAM_140021900 | organism=Plasmodium_vivax_PAM | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=CASCJQ010000014:749601-751973(-) | protein_length=790 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723300.1         -            790 3504at5820           -            686   2.4e-05   21.5   0.2   3   3   1.3e-07   2.4e-05   21.5   0.2   386   451   646   711   626   731 0.84 | transcript=PVPAM_140021900_t1 | gene=PVPAM_140021900 | organism=Plasmodium_vivax_PAM | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=CASCJQ010000014:749601-751973(-) | protein_length=790 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718155.1         -           1175 3504at5820           -            686   5.4e-05   20.3  15.8   1   4       4.5   8.3e+02   -3.5   0.0   305   326    97   118    91   130 0.83 | transcript=PVPAM_030015300_t1 | gene=PVPAM_030015300 | organism=Plasmodium_vivax_PAM | gene_product=DEAD box ATP-dependent RNA helicase, putative | transcript_product=DEAD box ATP-dependent RNA helicase, putative | location=CASCJQ010000003:444822-448349(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718155.1         -           1175 3504at5820           -            686   5.4e-05   20.3  15.8   2   4   2.9e-07   5.4e-05   20.3  15.8    19   261   211   444   192   449 0.72 | transcript=PVPAM_030015300_t1 | gene=PVPAM_030015300 | organism=Plasmodium_vivax_PAM | gene_product=DEAD box ATP-dependent RNA helicase, putative | transcript_product=DEAD box ATP-dependent RNA helicase, putative | location=CASCJQ010000003:444822-448349(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718155.1         -           1175 3504at5820           -            686   5.4e-05   20.3  15.8   3   4       2.4   4.4e+02   -2.5   0.9   192   240   632   684   615   711 0.65 | transcript=PVPAM_030015300_t1 | gene=PVPAM_030015300 | organism=Plasmodium_vivax_PAM | gene_product=DEAD box ATP-dependent RNA helicase, putative | transcript_product=DEAD box ATP-dependent RNA helicase, putative | location=CASCJQ010000003:444822-448349(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718155.1         -           1175 3504at5820           -            686   5.4e-05   20.3  15.8   4   4    0.0004     0.075    9.9   0.1   369   458   822   915   801   934 0.82 | transcript=PVPAM_030015300_t1 | gene=PVPAM_030015300 | organism=Plasmodium_vivax_PAM | gene_product=DEAD box ATP-dependent RNA helicase, putative | transcript_product=DEAD box ATP-dependent RNA helicase, putative | location=CASCJQ010000003:444822-448349(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3504at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3504at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3504at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:05 2026
# [ok]
