#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721564.1         -           1397 808at5820            -           1071         0 1973.7  77.1   1   6  7.2e-121  1.7e-118  395.6   3.1     1   185     1   193     1   197 0.94 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723278.1         -            524 808at5820            -           1071   2.1e-07   27.8   9.8   1   1   2.4e-09   5.7e-07   26.4   9.5   190   376   211   400   181   424 0.72 | transcript=PVPAM_140019700_t1 | gene=PVPAM_140019700 | organism=Plasmodium_vivax_PAM | gene_product=transducin beta-like protein TBL1, putative | transcript_product=transducin beta-like protein TBL1, putative | location=CASCJQ010000014:659160-660734(-) | protein_length=524 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719219.1         -            638 808at5820            -           1071   4.7e-07   26.6   0.2   1   2     1e-08   2.4e-06   24.3   0.4    10   163   343   499   336   519 0.84 | transcript=PVPAM_060022600_t1 | gene=PVPAM_060022600 | organism=Plasmodium_vivax_PAM | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=CASCJQ010000006:761713-763629(-) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719219.1         -            638 808at5820            -           1071   4.7e-07   26.6   0.2   2   2      0.33        80   -0.6   0.0   118   163   538   584   526   587 0.77 | transcript=PVPAM_060022600_t1 | gene=PVPAM_060022600 | organism=Plasmodium_vivax_PAM | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=CASCJQ010000006:761713-763629(-) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719290.1         -            706 808at5820            -           1071   5.2e-07   26.5  15.0   1   2   5.2e-08   1.2e-05   21.9   1.6   196   244   184   233   150   251 0.85 | transcript=PVPAM_060029700_t1 | gene=PVPAM_060029700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 70, putative | transcript_product=WD repeat-containing protein 70, putative | location=CASCJQ010000006:1015798-1017918(+) | protein_length=706 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719290.1         -            706 808at5820            -           1071   5.2e-07   26.5  15.0   2   2   5.4e-07   0.00013   18.5   6.1   133   272   185   325   180   339 0.46 | transcript=PVPAM_060029700_t1 | gene=PVPAM_060029700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 70, putative | transcript_product=WD repeat-containing protein 70, putative | location=CASCJQ010000006:1015798-1017918(+) | protein_length=706 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723743.1         -            472 808at5820            -           1071   1.2e-05   21.9   3.7   1   2   1.9e-07   4.5e-05   20.1   0.2     4    87   211   295   206   316 0.84 | transcript=PVPAM_140066700_t1 | gene=PVPAM_140066700 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=CASCJQ010000014:2657658-2659316(-) | protein_length=472 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723743.1         -            472 808at5820            -           1071   1.2e-05   21.9   3.7   2   2      0.04       9.6    2.4   0.3   213   276   325   390   308   417 0.77 | transcript=PVPAM_140066700_t1 | gene=PVPAM_140066700 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=CASCJQ010000014:2657658-2659316(-) | protein_length=472 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723848.1         -            565 808at5820            -           1071   1.4e-05   21.7   0.1   1   1   8.4e-08     2e-05   21.2   0.1    77   167    58   159    44   212 0.74 | transcript=PVPAM_140077100_t1 | gene=PVPAM_140077100 | organism=Plasmodium_vivax_PAM | gene_product=coronin, putative | transcript_product=coronin, putative | location=CASCJQ010000014:3029062-3031161(+) | protein_length=565 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721552.1         -            361 808at5820            -           1071   9.2e-05   19.0   0.3   1   1   5.3e-07   0.00013   18.6   0.3   196   325   189   321   179   327 0.80 | transcript=PVPAM_110045700_t1 | gene=PVPAM_110045700 | organism=Plasmodium_vivax_PAM | gene_product=diphthine methyltransferase, putative | transcript_product=diphthine methyltransferase, putative | location=CASCJQ010000011:1691106-1693660(+) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723554.1         -            430 808at5820            -           1071   0.00018   18.0   3.1   1   1     1e-06   0.00025   17.6   3.1   134   304   227   396   209   421 0.71 | transcript=PVPAM_140047800_t1 | gene=PVPAM_140047800 | organism=Plasmodium_vivax_PAM | gene_product=protein TSSC1, putative | transcript_product=protein TSSC1, putative | location=CASCJQ010000014:1818666-1819958(+) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720334.1         -            616 808at5820            -           1071   0.00047   16.7   0.3   1   2    0.0001     0.025   11.0   0.0    33   124   227   322   212   328 0.62 | transcript=PVPAM_090010000_t1 | gene=PVPAM_090010000 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000009:321772-323622(-) | protein_length=616 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720334.1         -            616 808at5820            -           1071   0.00047   16.7   0.3   2   2     0.022       5.2    3.3   0.0   139   164   584   609   549   612 0.74 | transcript=PVPAM_090010000_t1 | gene=PVPAM_090010000 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000009:321772-323622(-) | protein_length=616 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723644.1         -            445 808at5820            -           1071    0.0014   15.1   0.4   1   1   8.4e-06     0.002   14.6   0.4    12    89    78   158    67   240 0.67 | transcript=PVPAM_140056800_t1 | gene=PVPAM_140056800 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000014:2233103-2234440(-) | protein_length=445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/808at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/808at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/808at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:49:56 2026
# [ok]
