#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722738.1         -            694 5720at5820           -            385  8.3e-223  738.2  47.4   1   4   3.9e-85     1e-82  277.0  15.1     1   146     1   163     1   170 0.90 | transcript=PVPAM_130023900_t1 | gene=PVPAM_130023900 | organism=Plasmodium_vivax_PAM | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=CASCJQ010000013:858457-860541(+) | protein_length=694 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719290.1         -            706 5720at5820           -            385   5.4e-06   24.5   7.4   2   2    0.0016      0.43    8.4   0.4   120   202   251   338   245   355 0.70 | transcript=PVPAM_060029700_t1 | gene=PVPAM_060029700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 70, putative | transcript_product=WD repeat-containing protein 70, putative | location=CASCJQ010000006:1015798-1017918(+) | protein_length=706 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717887.1         -            447 5720at5820           -            385   9.1e-06   23.8   0.3   1   1   1.1e-07   2.9e-05   22.1   0.3    82   343   167   435   124   446 0.69 | transcript=PVPAM_020011900_t1 | gene=PVPAM_020011900 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit C, putative | transcript_product=chromatin assembly factor 1 subunit C, putative | location=CASCJQ010000002:329433-330776(+) | protein_length=447 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719219.1         -            638 5720at5820           -            385   1.3e-05   23.3   7.3   1   4     0.017       4.5    5.0   0.6     9    54   338   383   331   391 0.86 | transcript=PVPAM_060022600_t1 | gene=PVPAM_060022600 | organism=Plasmodium_vivax_PAM | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=CASCJQ010000006:761713-763629(-) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719219.1         -            638 5720at5820           -            385   1.3e-05   23.3   7.3   2   4   0.00051      0.14   10.0   0.8   173   235   395   456   385   465 0.83 | transcript=PVPAM_060022600_t1 | gene=PVPAM_060022600 | organism=Plasmodium_vivax_PAM | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=CASCJQ010000006:761713-763629(-) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719219.1         -            638 5720at5820           -            385   1.3e-05   23.3   7.3   3   4     0.056        15    3.3   0.1    10    54   464   511   459   522 0.68 | transcript=PVPAM_060022600_t1 | gene=PVPAM_060022600 | organism=Plasmodium_vivax_PAM | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=CASCJQ010000006:761713-763629(-) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719219.1         -            638 5720at5820           -            385   1.3e-05   23.3   7.3   4   4    0.0082       2.2    6.0   0.0   161   232   513   583   506   587 0.81 | transcript=PVPAM_060022600_t1 | gene=PVPAM_060022600 | organism=Plasmodium_vivax_PAM | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=CASCJQ010000006:761713-763629(-) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720471.1         -            408 5720at5820           -            385   1.5e-05   23.1   0.5   1   2   5.4e-08   1.5e-05   23.1   0.5    75   186    69   179    25   185 0.83 | transcript=PVPAM_090023600_t1 | gene=PVPAM_090023600 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein 2/3 complex subunit 1, putative | transcript_product=actin-related protein 2/3 complex subunit 1, putative | location=CASCJQ010000009:861008-863035(-) | protein_length=408 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720471.1         -            408 5720at5820           -            385   1.5e-05   23.1   0.5   2   2       4.1   1.1e+03   -2.9   0.1   355   380   366   391   271   394 0.56 | transcript=PVPAM_090023600_t1 | gene=PVPAM_090023600 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein 2/3 complex subunit 1, putative | transcript_product=actin-related protein 2/3 complex subunit 1, putative | location=CASCJQ010000009:861008-863035(-) | protein_length=408 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718877.1         -            458 5720at5820           -            385   2.2e-05   22.5   3.2   1   2   0.00011      0.03   12.1   1.0   343   382   321   357   265   360 0.63 | transcript=PVPAM_050026900_t1 | gene=PVPAM_050026900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=CASCJQ010000005:924052-925428(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718877.1         -            458 5720at5820           -            385   2.2e-05   22.5   3.2   2   2    0.0074         2    6.2   0.0   306   336   369   400   362   420 0.61 | transcript=PVPAM_050026900_t1 | gene=PVPAM_050026900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=CASCJQ010000005:924052-925428(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721130.1         -            944 5720at5820           -            385     3e-05   22.0  15.5   1   4   2.1e-05    0.0055   14.6   0.1   184   238   183   240   158   263 0.73 | transcript=PVPAM_100039800_t1 | gene=PVPAM_100039800 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit A, putative | transcript_product=chromatin assembly factor 1 subunit A, putative | location=CASCJQ010000010:1475165-1477999(-) | protein_length=944 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721130.1         -            944 5720at5820           -            385     3e-05   22.0  15.5   2   4   5.9e-05     0.016   13.1   0.3     7    60   303   357   291   376 0.83 | transcript=PVPAM_100039800_t1 | gene=PVPAM_100039800 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit A, putative | transcript_product=chromatin assembly factor 1 subunit A, putative | location=CASCJQ010000010:1475165-1477999(-) | protein_length=944 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721130.1         -            944 5720at5820           -            385     3e-05   22.0  15.5   3   4       1.1     3e+02   -1.0   0.6    19   112   498   596   486   673 0.61 | transcript=PVPAM_100039800_t1 | gene=PVPAM_100039800 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit A, putative | transcript_product=chromatin assembly factor 1 subunit A, putative | location=CASCJQ010000010:1475165-1477999(-) | protein_length=944 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721130.1         -            944 5720at5820           -            385     3e-05   22.0  15.5   4   4      0.11        30    2.3   0.2    12    46   823   857   791   897 0.67 | transcript=PVPAM_100039800_t1 | gene=PVPAM_100039800 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit A, putative | transcript_product=chromatin assembly factor 1 subunit A, putative | location=CASCJQ010000010:1475165-1477999(-) | protein_length=944 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723848.1         -            565 5720at5820           -            385    0.0013   16.7   0.7   1   2     0.034       9.2    4.0   0.0   199   234    69   105    58   119 0.82 | transcript=PVPAM_140077100_t1 | gene=PVPAM_140077100 | organism=Plasmodium_vivax_PAM | gene_product=coronin, putative | transcript_product=coronin, putative | location=CASCJQ010000014:3029062-3031161(+) | protein_length=565 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723848.1         -            565 5720at5820           -            385    0.0013   16.7   0.7   2   2   0.00063      0.17    9.7   0.5     9    46   121   159   114   181 0.63 | transcript=PVPAM_140077100_t1 | gene=PVPAM_140077100 | organism=Plasmodium_vivax_PAM | gene_product=coronin, putative | transcript_product=coronin, putative | location=CASCJQ010000014:3029062-3031161(+) | protein_length=565 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721552.1         -            361 5720at5820           -            385      0.02   12.7   3.4   1   1    0.0059       1.6    6.5   0.9   198   232   186   220   179   231 0.88 | transcript=PVPAM_110045700_t1 | gene=PVPAM_110045700 | organism=Plasmodium_vivax_PAM | gene_product=diphthine methyltransferase, putative | transcript_product=diphthine methyltransferase, putative | location=CASCJQ010000011:1691106-1693660(+) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723626.1         -           3000 5720at5820           -            385     0.091   10.6   2.8   1   1    0.0033       0.9    7.3   2.8   100   189   131   220    53   222 0.67 | transcript=PVPAM_140055000_t1 | gene=PVPAM_140055000 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000014:2149347-2158349(-) | protein_length=3000 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5720at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5720at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5720at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:04 2026
# [ok]
