#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723072.1         -            107 14381at5820          -             87   3.2e-56  186.5   1.0   1   1   2.2e-58   3.7e-56  186.2   1.0     1    87    13   102    13   102 0.98 | transcript=PVPAM_130057800_t1 | gene=PVPAM_130057800 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein 8A, putative | transcript_product=RNA-binding protein 8A, putative | location=CASCJQ010000013:2343283-2343975(-) | protein_length=107 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723515.1         -           1116 14381at5820          -             87     0.058   12.6   5.2   1   3       7.4   1.3e+03   -1.3   0.0    13    40   714   741   710   765 0.72 | transcript=PVPAM_140043900_t1 | gene=PVPAM_140043900 | organism=Plasmodium_vivax_PAM | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=CASCJQ010000014:1630544-1633894(+) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723515.1         -           1116 14381at5820          -             87     0.058   12.6   5.2   2   3       1.6   2.7e+02    0.8   0.1    51    75   913   937   853   945 0.55 | transcript=PVPAM_140043900_t1 | gene=PVPAM_140043900 | organism=Plasmodium_vivax_PAM | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=CASCJQ010000014:1630544-1633894(+) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723515.1         -           1116 14381at5820          -             87     0.058   12.6   5.2   3   3    0.0029      0.49    9.6   0.1    14    77   978  1040   968  1050 0.82 | transcript=PVPAM_140043900_t1 | gene=PVPAM_140043900 | organism=Plasmodium_vivax_PAM | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=CASCJQ010000014:1630544-1633894(+) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718909.1         -            480 14381at5820          -             87     0.069   12.3   0.0   1   1   0.00072      0.12   11.5   0.0    13    86   407   479   402   480 0.91 | transcript=PVPAM_050030100_t1 | gene=PVPAM_050030100 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:1037056-1039394(-) | protein_length=480 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721320.1         -           1176 14381at5820          -             87      0.18   11.0   2.9   1   1   0.00061       0.1   11.8   0.4    13    80   639   710   629   717 0.75 | transcript=PVPAM_110022300_t1 | gene=PVPAM_110022300 | organism=Plasmodium_vivax_PAM | gene_product=Ran-binding protein, putative | transcript_product=Ran-binding protein, putative | location=CASCJQ010000011:720177-723707(-) | protein_length=1176 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720649.1         -           1064 14381at5820          -             87       2.1    7.6   6.7   1   1    0.0021      0.35   10.1   0.4    23    72   320   367   301   379 0.80 | transcript=PVPAM_090041300_t1 | gene=PVPAM_090041300 | organism=Plasmodium_vivax_PAM | gene_product=tudor staphylococcal nuclease, putative | transcript_product=tudor staphylococcal nuclease, putative | location=CASCJQ010000009:1605587-1609015(+) | protein_length=1064 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14381at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14381at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14381at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:17 2026
# [ok]
