#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717787.1         -           1073 2167at5820           -            898         0 1737.6 110.1   1   3         0         0 1672.7  53.9     1   819     1   862     1   864 0.94 | transcript=PVPAM_010030100_t1 | gene=PVPAM_010030100 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair and recombination protein RAD54, putative | transcript_product=DNA repair and recombination protein RAD54, putative | location=CASCJQ010000001:1123148-1126369(-) | protein_length=1073 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718947.1         -           2190 2167at5820           -            898      0.23    7.8  13.7   1   1    0.0033      0.57    6.5  13.7   770   810   102   142    76   202 0.55 | transcript=PVPAM_050033900_t1 | gene=PVPAM_050033900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:1179327-1186153(-) | protein_length=2190 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720855.1         -            667 2167at5820           -            898      0.24    7.8  23.4   1   1    0.0023       0.4    7.0  23.4   760   882    49   178    31   185 0.43 | transcript=PVPAM_100012100_t1 | gene=PVPAM_100012100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX41, putative | transcript_product=ATP-dependent RNA helicase DDX41, putative | location=CASCJQ010000010:321156-323159(-) | protein_length=667 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719778.1         -            208 2167at5820           -            898      0.29    7.5   6.0   1   1    0.0022      0.38    7.1   6.0   805   887    65   147    51   156 0.71 | transcript=PVPAM_070039200_t1 | gene=PVPAM_070039200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:1425758-1426384(-) | protein_length=208 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720022.1         -            254 2167at5820           -            898      0.36    7.2  20.2   1   1    0.0027      0.47    6.8  20.2   775   889    58   175    24   184 0.60 | transcript=PVPAM_080024400_t1 | gene=PVPAM_080024400 | organism=Plasmodium_vivax_PAM | gene_product=rhoptry associated adhesin, putative | transcript_product=rhoptry associated adhesin, putative | location=CASCJQ010000008:880310-881418(+) | protein_length=254 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721902.1         -           1083 2167at5820           -            898       1.3    5.4  17.1   1   1     0.017       2.9    4.2  17.1   766   810   110   138    97   169 0.41 | transcript=PVPAM_120013600_t1 | gene=PVPAM_120013600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:355647-359050(-) | protein_length=1083 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718491.1         -           1606 2167at5820           -            898       1.6    5.1  18.3   1   1     0.014       2.5    4.4  18.3   765   809  1312  1350  1282  1372 0.43 | transcript=PVPAM_040023500_t1 | gene=PVPAM_040023500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000004:782801-787621(-) | protein_length=1606 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721043.1         -            143 2167at5820           -            898       2.1    4.7  18.8   1   1     0.015       2.6    4.4  18.8   759   832    55   127    42   135 0.42 | transcript=PVPAM_100031100_t1 | gene=PVPAM_100031100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:1135167-1135857(+) | protein_length=143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723671.1         -            166 2167at5820           -            898       2.3    4.5  11.3   1   1     0.015       2.6    4.3  11.3   758   857    36   134    22   159 0.63 | transcript=PVPAM_140059500_t1 | gene=PVPAM_140059500 | organism=Plasmodium_vivax_PAM | gene_product=(malaria parasite P. vivax) hypothetical protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5L1] | transcript_product=(malaria parasite P. vivax) hypothetical protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5L1] | location=CASCJQ010000014:2345932-2346432(+) | protein_length=166 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717684.1         -            162 2167at5820           -            898       2.5    4.4  10.2   1   1     0.016       2.8    4.3  10.2   772   842     6    76     1   103 0.36 | transcript=PVPAM_010019400_t1 | gene=PVPAM_010019400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000001:696866-697563(+) | protein_length=162 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720862.1         -            971 2167at5820           -            898       2.5    4.4  29.2   1   1   2.9e-05     0.005   13.3  19.0   771   860   792   871   718   911 0.45 | transcript=PVPAM_100013000_t1 | gene=PVPAM_100013000 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=CASCJQ010000010:352385-355420(+) | protein_length=971 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722095.1         -            822 2167at5820           -            898       7.6    2.8   8.9   1   1     0.064        11    2.3   8.9   762   791   505   534   483   556 0.47 | transcript=PVPAM_120033300_t1 | gene=PVPAM_120033300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1120143-1122876(-) | protein_length=822 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722169.1         -            273 2167at5820           -            898       7.6    2.8  17.1   1   2     0.017         3    4.2   0.2   460   513    94   149     5   173 0.71 | transcript=PVPAM_120040700_t1 | gene=PVPAM_120040700 | organism=Plasmodium_vivax_PAM | gene_product=exported protein 2, putative | transcript_product=exported protein 2, putative | location=CASCJQ010000012:1410256-1411382(+) | protein_length=273 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722169.1         -            273 2167at5820           -            898       7.6    2.8  17.1   2   2     0.067        12    2.2  11.8   772   814   228   269   185   273 0.35 | transcript=PVPAM_120040700_t1 | gene=PVPAM_120040700 | organism=Plasmodium_vivax_PAM | gene_product=exported protein 2, putative | transcript_product=exported protein 2, putative | location=CASCJQ010000012:1410256-1411382(+) | protein_length=273 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720702.1         -            426 2167at5820           -            898       7.9    2.8  49.0   1   2       1.8   3.1e+02   -2.5   0.1   826   850   130   154   111   179 0.61 | transcript=PVPAM_090046700_t1 | gene=PVPAM_090046700 | organism=Plasmodium_vivax_PAM | gene_product=EELM2 domain-containing protein, putative | transcript_product=EELM2 domain-containing protein, putative | location=CASCJQ010000009:1887105-1889313(-) | protein_length=426 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720702.1         -            426 2167at5820           -            898       7.9    2.8  49.0   2   2    0.0072       1.3    5.4  44.8   758   821   354   418   321   425 0.49 | transcript=PVPAM_090046700_t1 | gene=PVPAM_090046700 | organism=Plasmodium_vivax_PAM | gene_product=EELM2 domain-containing protein, putative | transcript_product=EELM2 domain-containing protein, putative | location=CASCJQ010000009:1887105-1889313(-) | protein_length=426 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2167at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2167at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2167at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:20 2026
# [ok]
