#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723318.1         -            368 7744at5820           -            303  1.1e-176  584.8  26.9   1   1  3.1e-177  3.4e-175  580.0  26.9     2   302    13   361    12   362 0.94 | transcript=PVPAM_140023700_t1 | gene=PVPAM_140023700 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase PK9, putative | transcript_product=serine/threonine protein kinase PK9, putative | location=CASCJQ010000014:822225-823331(+) | protein_length=368 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722456.1         -           1309 7744at5820           -            303   1.6e-11   42.5   9.3   2   3   0.00087     0.095   10.4   0.1   200   255  1085  1135  1075  1146 0.77 | transcript=PVPAM_120069300_t1 | gene=PVPAM_120069300 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000012:2628692-2632621(+) | protein_length=1309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722456.1         -           1309 7744at5820           -            303   1.6e-11   42.5   9.3   3   3     0.089       9.7    3.8   0.0   270   302  1267  1300  1255  1301 0.77 | transcript=PVPAM_120069300_t1 | gene=PVPAM_120069300 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000012:2628692-2632621(+) | protein_length=1309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723810.1         -            740 7744at5820           -            303   2.5e-11   41.9   8.8   1   1   2.2e-13   2.5e-11   41.9   8.8    70   266    29   245    16   293 0.74 | transcript=PVPAM_140073300_t1 | gene=PVPAM_140073300 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000014:2888926-2891148(+) | protein_length=740 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717666.1         -           1251 7744at5820           -            303   2.8e-11   41.7  10.0   1   2   2.6e-13   2.8e-11   41.7  10.0    74   211   742   882   726   892 0.84 | transcript=PVPAM_010017600_t1 | gene=PVPAM_010017600 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000001:601815-605570(-) | protein_length=1251 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717666.1         -           1251 7744at5820           -            303   2.8e-11   41.7  10.0   2   2      0.45        49    1.5   0.7   221   263  1096  1134  1080  1162 0.66 | transcript=PVPAM_010017600_t1 | gene=PVPAM_010017600 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000001:601815-605570(-) | protein_length=1251 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720764.1         -           1423 7744at5820           -            303   5.3e-11   40.8   2.2   1   3       1.8     2e+02   -0.5   0.1   133   167  1076  1109  1064  1119 0.82 | transcript=PVPAM_090052800_t1 | gene=PVPAM_090052800 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000009:2141525-2145796(-) | protein_length=1423 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720764.1         -           1423 7744at5820           -            303   5.3e-11   40.8   2.2   2   3   4.8e-13   5.3e-11   40.8   2.2    71   275  1153  1368  1139  1378 0.72 | transcript=PVPAM_090052800_t1 | gene=PVPAM_090052800 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000009:2141525-2145796(-) | protein_length=1423 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720764.1         -           1423 7744at5820           -            303   5.3e-11   40.8   2.2   3   3       3.8   4.2e+02   -1.6   0.0   268   301  1383  1416  1368  1418 0.82 | transcript=PVPAM_090052800_t1 | gene=PVPAM_090052800 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000009:2141525-2145796(-) | protein_length=1423 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718464.1         -           1635 7744at5820           -            303   5.8e-11   40.7   7.2   1   2   7.1e-11   7.8e-09   33.7   5.5    71   197  1122  1251  1111  1264 0.85 | transcript=PVPAM_040021000_t1 | gene=PVPAM_040021000 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase STK2, putative | transcript_product=serine/threonine protein kinase STK2, putative | location=CASCJQ010000004:680171-685078(-) | protein_length=1635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718464.1         -           1635 7744at5820           -            303   5.8e-11   40.7   7.2   2   2     0.016       1.7    6.3   0.0   222   291  1533  1594  1507  1600 0.72 | transcript=PVPAM_040021000_t1 | gene=PVPAM_040021000 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase STK2, putative | transcript_product=serine/threonine protein kinase STK2, putative | location=CASCJQ010000004:680171-685078(-) | protein_length=1635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722659.1         -            296 7744at5820           -            303     1e-10   39.9   9.0   1   1   2.3e-12   2.5e-10   38.6   9.0   105   272    64   229    38   276 0.81 | transcript=PVPAM_130016000_t1 | gene=PVPAM_130016000 | organism=Plasmodium_vivax_PAM | gene_product=NIMA related kinase 3, putative | transcript_product=NIMA related kinase 3, putative | location=CASCJQ010000013:503229-504119(-) | protein_length=296 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721351.1         -           2597 7744at5820           -            303   1.7e-10   39.1   0.6   1   2    0.0089      0.97    7.1   0.0    71   130  1837  1899  1826  1936 0.81 | transcript=PVPAM_110025400_t1 | gene=PVPAM_110025400 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=CASCJQ010000011:864280-872073(-) | protein_length=2597 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721351.1         -           2597 7744at5820           -            303   1.7e-10   39.1   0.6   2   2   1.8e-09     2e-07   29.1   0.2   153   214  2304  2366  2299  2388 0.88 | transcript=PVPAM_110025400_t1 | gene=PVPAM_110025400 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=CASCJQ010000011:864280-872073(-) | protein_length=2597 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720338.1         -           1278 7744at5820           -            303   3.1e-10   38.3  15.2   1   2     1e-06   0.00011   20.0   9.0   106   197   310   402   281   415 0.78 | transcript=PVPAM_090010400_t1 | gene=PVPAM_090010400 | organism=Plasmodium_vivax_PAM | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=CASCJQ010000009:339975-343811(+) | protein_length=1278 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720338.1         -           1278 7744at5820           -            303   3.1e-10   38.3  15.2   2   2   3.6e-07   3.9e-05   21.5   0.4   221   266   533   575   527   597 0.80 | transcript=PVPAM_090010400_t1 | gene=PVPAM_090010400 | organism=Plasmodium_vivax_PAM | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=CASCJQ010000009:339975-343811(+) | protein_length=1278 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722432.1         -            889 7744at5820           -            303   5.7e-10   37.4  16.9   1   3   4.6e-11     5e-09   34.3   5.2    61   196   556   695   543   702 0.82 | transcript=PVPAM_120066900_t1 | gene=PVPAM_120066900 | organism=Plasmodium_vivax_PAM | gene_product=protein serine/threonine kinase-1, putative | transcript_product=protein serine/threonine kinase-1, putative | location=CASCJQ010000012:2528585-2531254(+) | protein_length=889 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722432.1         -            889 7744at5820           -            303   5.7e-10   37.4  16.9   2   3    0.0056      0.62    7.7   0.0   188   259   712   778   697   791 0.81 | transcript=PVPAM_120066900_t1 | gene=PVPAM_120066900 | organism=Plasmodium_vivax_PAM | gene_product=protein serine/threonine kinase-1, putative | transcript_product=protein serine/threonine kinase-1, putative | location=CASCJQ010000012:2528585-2531254(+) | protein_length=889 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722432.1         -            889 7744at5820           -            303   5.7e-10   37.4  16.9   3   3       0.3        33    2.1   0.0   276   302   856   882   841   883 0.84 | transcript=PVPAM_120066900_t1 | gene=PVPAM_120066900 | organism=Plasmodium_vivax_PAM | gene_product=protein serine/threonine kinase-1, putative | transcript_product=protein serine/threonine kinase-1, putative | location=CASCJQ010000012:2528585-2531254(+) | protein_length=889 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720131.1         -           1391 7744at5820           -            303   1.1e-09   36.5   2.1   1   4         4   4.4e+02   -1.6   0.1   150   215   665   726   656   749 0.64 | transcript=PVPAM_080035300_t1 | gene=PVPAM_080035300 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 4, putative | transcript_product=cdc2-related protein kinase 4, putative | location=CASCJQ010000008:1385632-1389807(+) | protein_length=1391 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720131.1         -           1391 7744at5820           -            303   1.1e-09   36.5   2.1   2   4       0.9        98    0.5   0.2    61   134   794   871   737   881 0.70 | transcript=PVPAM_080035300_t1 | gene=PVPAM_080035300 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 4, putative | transcript_product=cdc2-related protein kinase 4, putative | location=CASCJQ010000008:1385632-1389807(+) | protein_length=1391 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720131.1         -           1391 7744at5820           -            303   1.1e-09   36.5   2.1   3   4       3.2   3.5e+02   -1.3   0.1   149   173  1069  1093  1066  1123 0.75 | transcript=PVPAM_080035300_t1 | gene=PVPAM_080035300 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 4, putative | transcript_product=cdc2-related protein kinase 4, putative | location=CASCJQ010000008:1385632-1389807(+) | protein_length=1391 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720131.1         -           1391 7744at5820           -            303   1.1e-09   36.5   2.1   4   4   9.7e-12   1.1e-09   36.5   2.1   162   270  1165  1285  1106  1291 0.73 | transcript=PVPAM_080035300_t1 | gene=PVPAM_080035300 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 4, putative | transcript_product=cdc2-related protein kinase 4, putative | location=CASCJQ010000008:1385632-1389807(+) | protein_length=1391 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721965.1         -            897 7744at5820           -            303   1.4e-09   36.1   0.0   1   3      0.41        45    1.6   0.0    64    88   400   424   394   441 0.81 | transcript=PVPAM_120020300_t1 | gene=PVPAM_120020300 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000012:644935-647628(+) | protein_length=897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721965.1         -            897 7744at5820           -            303   1.4e-09   36.1   0.0   2   3   4.4e-10   4.9e-08   31.1   0.0   159   259   528   635   516   652 0.78 | transcript=PVPAM_120020300_t1 | gene=PVPAM_120020300 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000012:644935-647628(+) | protein_length=897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721965.1         -            897 7744at5820           -            303   1.4e-09   36.1   0.0   3   3       4.3   4.7e+02   -1.7   0.0   275   302   867   894   864   895 0.89 | transcript=PVPAM_120020300_t1 | gene=PVPAM_120020300 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000012:644935-647628(+) | protein_length=897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717919.1         -           3320 7744at5820           -            303   5.3e-09   34.2   1.8   1   2   2.6e-10   2.9e-08   31.8   1.2   139   216  3092  3170  3079  3178 0.85 | transcript=PVPAM_020015100_t1 | gene=PVPAM_020015100 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | location=CASCJQ010000002:419120-430381(-) | protein_length=3320 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717919.1         -           3320 7744at5820           -            303   5.3e-09   34.2   1.8   2   2       1.6   1.7e+02   -0.3   0.0   221   253  3219  3248  3215  3262 0.83 | transcript=PVPAM_020015100_t1 | gene=PVPAM_020015100 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | location=CASCJQ010000002:419120-430381(-) | protein_length=3320 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721476.1         -            806 7744at5820           -            303   7.3e-09   33.8   3.0   1   3       1.2   1.3e+02    0.1   0.1    56   102    11    57     6    73 0.81 | transcript=PVPAM_110038100_t1 | gene=PVPAM_110038100 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=CASCJQ010000011:1389536-1391956(-) | protein_length=806 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721476.1         -            806 7744at5820           -            303   7.3e-09   33.8   3.0   2   3   1.3e-09   1.4e-07   29.5   0.2   121   231   142   264    91   270 0.78 | transcript=PVPAM_110038100_t1 | gene=PVPAM_110038100 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=CASCJQ010000011:1389536-1391956(-) | protein_length=806 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721476.1         -            806 7744at5820           -            303   7.3e-09   33.8   3.0   3   3      0.24        26    2.4   0.0   273   302   563   593   553   594 0.84 | transcript=PVPAM_110038100_t1 | gene=PVPAM_110038100 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=CASCJQ010000011:1389536-1391956(-) | protein_length=806 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720189.1         -           3007 7744at5820           -            303   8.5e-09   33.6   0.2   1   1   1.2e-10   1.3e-08   32.9   0.2   122   263   229   382   130   397 0.66 | transcript=PVPAM_080041100_t1 | gene=PVPAM_080041100 | organism=Plasmodium_vivax_PAM | gene_product=kinase-related protein PKRP, putative | transcript_product=kinase-related protein PKRP, putative | location=CASCJQ010000008:1593615-1602811(-) | protein_length=3007 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718495.1         -           1029 7744at5820           -            303   9.6e-08   30.1   0.1   1   1   2.1e-09   2.3e-07   28.9   0.1   140   264   840   965   762   977 0.74 | transcript=PVPAM_040023900_t1 | gene=PVPAM_040023900 | organism=Plasmodium_vivax_PAM | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=CASCJQ010000004:797636-800725(-) | protein_length=1029 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719702.1         -           3230 7744at5820           -            303     1e-07   30.0   2.7   1   2   4.5e-09   4.9e-07   27.8   1.1    71   274  2939  3167  2923  3182 0.67 | transcript=PVPAM_070031600_t1 | gene=PVPAM_070031600 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000007:1146503-1156195(-) | protein_length=3230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719702.1         -           3230 7744at5820           -            303     1e-07   30.0   2.7   2   2      0.49        53    1.4   0.0   275   297  3193  3215  3175  3220 0.83 | transcript=PVPAM_070031600_t1 | gene=PVPAM_070031600 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000007:1146503-1156195(-) | protein_length=3230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718813.1         -            807 7744at5820           -            303   6.4e-07   27.4  15.0   1   4   0.00043     0.047   11.4   3.0    64   151    34   118     8   129 0.79 | transcript=PVPAM_050020700_t1 | gene=PVPAM_050020700 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=CASCJQ010000005:677818-680438(-) | protein_length=807 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718813.1         -            807 7744at5820           -            303   6.4e-07   27.4  15.0   2   4   6.7e-05    0.0073   14.1   0.3   123   194   199   268   187   276 0.75 | transcript=PVPAM_050020700_t1 | gene=PVPAM_050020700 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=CASCJQ010000005:677818-680438(-) | protein_length=807 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718813.1         -            807 7744at5820           -            303   6.4e-07   27.4  15.0   3   4     0.017       1.9    6.2   0.1   201   279   581   654   561   663 0.71 | transcript=PVPAM_050020700_t1 | gene=PVPAM_050020700 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=CASCJQ010000005:677818-680438(-) | protein_length=807 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718813.1         -            807 7744at5820           -            303   6.4e-07   27.4  15.0   4   4      0.41        45    1.6   0.0   261   302   681   724   676   725 0.87 | transcript=PVPAM_050020700_t1 | gene=PVPAM_050020700 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=CASCJQ010000005:677818-680438(-) | protein_length=807 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720651.1         -            323 7744at5820           -            303   1.2e-06   26.5   0.1   1   2    0.0094         1    7.0   0.0    61    95     5    39     2    59 0.91 | transcript=PVPAM_090041500_t1 | gene=PVPAM_090041500 | organism=Plasmodium_vivax_PAM | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=CASCJQ010000009:1615302-1617735(-) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720651.1         -            323 7744at5820           -            303   1.2e-06   26.5   0.1   2   2   5.3e-06   0.00058   17.7   0.0   169   209   111   154    67   220 0.85 | transcript=PVPAM_090041500_t1 | gene=PVPAM_090041500 | organism=Plasmodium_vivax_PAM | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=CASCJQ010000009:1615302-1617735(-) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720278.1         -           1391 7744at5820           -            303   1.5e-06   26.1   2.0   1   3     0.088       9.6    3.8   0.1   137   194   152   213   114   220 0.80 | transcript=PVPAM_080050100_t1 | gene=PVPAM_080050100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000008:1953288-1957463(-) | protein_length=1391 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720278.1         -           1391 7744at5820           -            303   1.5e-06   26.1   2.0   2   3   2.7e-05     0.003   15.3   0.0   194   293   694   787   686   799 0.78 | transcript=PVPAM_080050100_t1 | gene=PVPAM_080050100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000008:1953288-1957463(-) | protein_length=1391 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720278.1         -           1391 7744at5820           -            303   1.5e-06   26.1   2.0   3   3     0.061       6.6    4.4   0.0   274   302   833   861   805   862 0.72 | transcript=PVPAM_080050100_t1 | gene=PVPAM_080050100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000008:1953288-1957463(-) | protein_length=1391 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720358.1         -           1324 7744at5820           -            303   0.00013   19.8   6.0   1   4       2.9   3.2e+02   -1.2   0.1   123   152    53    82    50    94 0.88 | transcript=PVPAM_090012300_t1 | gene=PVPAM_090012300 | organism=Plasmodium_vivax_PAM | gene_product=pseudo-tyrosine kinase-like protein, putative | transcript_product=pseudo-tyrosine kinase-like protein, putative | location=CASCJQ010000009:407874-412759(+) | protein_length=1324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720358.1         -           1324 7744at5820           -            303   0.00013   19.8   6.0   2   4    0.0067      0.74    7.5   0.1    91   162   794   861   784   865 0.86 | transcript=PVPAM_090012300_t1 | gene=PVPAM_090012300 | organism=Plasmodium_vivax_PAM | gene_product=pseudo-tyrosine kinase-like protein, putative | transcript_product=pseudo-tyrosine kinase-like protein, putative | location=CASCJQ010000009:407874-412759(+) | protein_length=1324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720358.1         -           1324 7744at5820           -            303   0.00013   19.8   6.0   3   4   0.00027     0.029   12.1   0.1   179   210  1096  1128  1068  1144 0.79 | transcript=PVPAM_090012300_t1 | gene=PVPAM_090012300 | organism=Plasmodium_vivax_PAM | gene_product=pseudo-tyrosine kinase-like protein, putative | transcript_product=pseudo-tyrosine kinase-like protein, putative | location=CASCJQ010000009:407874-412759(+) | protein_length=1324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720358.1         -           1324 7744at5820           -            303   0.00013   19.8   6.0   4   4       1.3   1.5e+02   -0.1   0.0   242   268  1228  1254  1212  1265 0.81 | transcript=PVPAM_090012300_t1 | gene=PVPAM_090012300 | organism=Plasmodium_vivax_PAM | gene_product=pseudo-tyrosine kinase-like protein, putative | transcript_product=pseudo-tyrosine kinase-like protein, putative | location=CASCJQ010000009:407874-412759(+) | protein_length=1324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7744at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7744at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7744at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:42 2026
# [ok]
