#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719963.1         -            250 12423at5820          -            183  4.8e-108  357.4  23.9   1   2   1.4e-71   3.3e-69  230.8   7.3     1   116    16   136    16   141 0.97 | transcript=PVPAM_080018600_t1 | gene=PVPAM_080018600 | organism=Plasmodium_vivax_PAM | gene_product=G-strand-binding protein 2, putative | transcript_product=G-strand-binding protein 2, putative | location=CASCJQ010000008:638144-639816(+) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721566.1         -            747 12423at5820          -            183   0.00015   20.1   0.7   2   3     0.094        22    3.2   0.0   111   150   542   582   526   616 0.82 | transcript=PVPAM_110047100_t1 | gene=PVPAM_110047100 | organism=Plasmodium_vivax_PAM | gene_product=polypyrimidine tract-binding protein, putative | transcript_product=polypyrimidine tract-binding protein, putative | location=CASCJQ010000011:1758675-1761668(+) | protein_length=747 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721566.1         -            747 12423at5820          -            183   0.00015   20.1   0.7   3   3    0.0012      0.28    9.4   0.0     8    79   670   741   663   746 0.92 | transcript=PVPAM_110047100_t1 | gene=PVPAM_110047100 | organism=Plasmodium_vivax_PAM | gene_product=polypyrimidine tract-binding protein, putative | transcript_product=polypyrimidine tract-binding protein, putative | location=CASCJQ010000011:1758675-1761668(+) | protein_length=747 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723375.1         -            124 12423at5820          -            183   0.00086   17.6   0.4   1   1   4.2e-06     0.001   17.4   0.4     8   103    10   104     4   114 0.81 | transcript=PVPAM_140029400_t1 | gene=PVPAM_140029400 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000014:1055808-1056679(-) | protein_length=124 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719738.1         -            287 12423at5820          -            183   0.00098   17.4   0.7   1   2     0.066        16    3.7   0.2   136   180    63   111    41   142 0.63 | transcript=PVPAM_070035200_t1 | gene=PVPAM_070035200 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000007:1271113-1272713(+) | protein_length=287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719738.1         -            287 12423at5820          -            183   0.00098   17.4   0.7   2   2   0.00019     0.046   12.0   0.0     4    78   208   282   202   286 0.83 | transcript=PVPAM_070035200_t1 | gene=PVPAM_070035200 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000007:1271113-1272713(+) | protein_length=287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718909.1         -            480 12423at5820          -            183    0.0038   15.5   0.8   1   2         6   1.4e+03   -2.7   1.0    80   106    28    55     7    69 0.62 | transcript=PVPAM_050030100_t1 | gene=PVPAM_050030100 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:1037056-1039394(-) | protein_length=480 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718909.1         -            480 12423at5820          -            183    0.0038   15.5   0.8   2   2     4e-05    0.0096   14.2   0.0     7    74   406   473   377   479 0.88 | transcript=PVPAM_050030100_t1 | gene=PVPAM_050030100 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:1037056-1039394(-) | protein_length=480 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12423at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12423at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12423at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:48 2026
# [ok]
