#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720044.1         -            325 8595at5820           -            294    1e-187  621.0  19.7   1   1  2.9e-189  3.4e-187  619.4  19.7     1   294     5   320     5   320 0.97 | transcript=PVPAM_080026600_t1 | gene=PVPAM_080026600 | organism=Plasmodium_vivax_PAM | gene_product=MO15-related protein kinase, putative | transcript_product=MO15-related protein kinase, putative | location=CASCJQ010000008:990655-991632(+) | protein_length=325 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721579.1         -            354 8595at5820           -            294   6.2e-12   44.0   0.1   1   1   8.8e-14     1e-11   43.3   0.1    10   282    36   307    31   320 0.73 | transcript=PVPAM_110048400_t1 | gene=PVPAM_110048400 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase ARK1, putative | transcript_product=serine/threonine protein kinase ARK1, putative | location=CASCJQ010000011:1807072-1808609(-) | protein_length=354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722386.1         -            377 8595at5820           -            294   2.1e-11   42.3  11.1   1   1   3.2e-13   3.8e-11   41.5  11.1    10   215    46   256    36   267 0.76 | transcript=PVPAM_120062200_t1 | gene=PVPAM_120062200 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000012:2325953-2328570(-) | protein_length=377 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720496.1         -           1548 8595at5820           -            294   1.1e-10   40.0   7.1   1   3     0.022       2.6    5.9   0.3    56    91   236   271   198   285 0.82 | transcript=PVPAM_090026100_t1 | gene=PVPAM_090026100 | organism=Plasmodium_vivax_PAM | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=CASCJQ010000009:954667-959462(-) | protein_length=1548 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720496.1         -           1548 8595at5820           -            294   1.1e-10   40.0   7.1   2   3   2.8e-11   3.3e-09   35.1   0.3   106   206   362   462   355   478 0.83 | transcript=PVPAM_090026100_t1 | gene=PVPAM_090026100 | organism=Plasmodium_vivax_PAM | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=CASCJQ010000009:954667-959462(-) | protein_length=1548 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720496.1         -           1548 8595at5820           -            294   1.1e-10   40.0   7.1   3   3      0.71        83    0.9   0.1   188   240   503   553   493   570 0.82 | transcript=PVPAM_090026100_t1 | gene=PVPAM_090026100 | organism=Plasmodium_vivax_PAM | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=CASCJQ010000009:954667-959462(-) | protein_length=1548 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719798.1         -            341 8595at5820           -            294   2.6e-10   38.7   0.2   1   1   3.2e-12   3.8e-10   38.2   0.2    11   206    38   227    30   248 0.82 | transcript=PVPAM_070041200_t1 | gene=PVPAM_070041200 | organism=Plasmodium_vivax_PAM | gene_product=cAMP-dependent protein kinase catalytic subunit, putative | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative | location=CASCJQ010000007:1475268-1476949(+) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723804.1         -            755 8595at5820           -            294   3.7e-10   38.2   0.3   1   2       8.1   9.5e+02   -2.5   0.1   229   255   360   386   356   399 0.78 | transcript=PVPAM_140072700_t1 | gene=PVPAM_140072700 | organism=Plasmodium_vivax_PAM | gene_product=rac-beta serine/threonine protein kinase, putative | transcript_product=rac-beta serine/threonine protein kinase, putative | location=CASCJQ010000014:2870308-2872708(-) | protein_length=755 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723804.1         -            755 8595at5820           -            294   3.7e-10   38.2   0.3   2   2   3.1e-12   3.7e-10   38.2   0.3    11   204   434   623   427   634 0.76 | transcript=PVPAM_140072700_t1 | gene=PVPAM_140072700 | organism=Plasmodium_vivax_PAM | gene_product=rac-beta serine/threonine protein kinase, putative | transcript_product=rac-beta serine/threonine protein kinase, putative | location=CASCJQ010000014:2870308-2872708(-) | protein_length=755 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722473.1         -           2429 8595at5820           -            294     6e-10   37.5   4.4   1   2   2.1e-11   2.5e-09   35.5   3.0    12   216   125   347   116   359 0.74 | transcript=PVPAM_120071000_t1 | gene=PVPAM_120071000 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000012:2710608-2718677(-) | protein_length=2429 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722473.1         -           2429 8595at5820           -            294     6e-10   37.5   4.4   2   2      0.99   1.2e+02    0.5   0.1    20    44   348   372   341   377 0.85 | transcript=PVPAM_120071000_t1 | gene=PVPAM_120071000 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000012:2710608-2718677(-) | protein_length=2429 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718495.1         -           1029 8595at5820           -            294   7.1e-10   37.3   0.6   1   1   1.2e-11   1.4e-09   36.4   0.6     8   204   760   960   754   970 0.73 | transcript=PVPAM_040023900_t1 | gene=PVPAM_040023900 | organism=Plasmodium_vivax_PAM | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=CASCJQ010000004:797636-800725(-) | protein_length=1029 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722441.1         -           1526 8595at5820           -            294   7.2e-10   37.3   4.3   1   2   6.1e-12   7.2e-10   37.3   4.3   110   202   624   717   518   725 0.70 | transcript=PVPAM_120067800_t1 | gene=PVPAM_120067800 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | location=CASCJQ010000012:2556552-2561283(+) | protein_length=1526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722441.1         -           1526 8595at5820           -            294   7.2e-10   37.3   4.3   2   2      0.18        21    2.9   0.8    91   153   836   901   819   921 0.80 | transcript=PVPAM_120067800_t1 | gene=PVPAM_120067800 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | location=CASCJQ010000012:2556552-2561283(+) | protein_length=1526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723399.1         -            517 8595at5820           -            294   2.2e-09   35.6   8.2   1   2   3.7e-06   0.00044   18.3   2.9    56   140   259   344   243   358 0.87 | transcript=PVPAM_140032100_t1 | gene=PVPAM_140032100 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=CASCJQ010000014:1174997-1177096(-) | protein_length=517 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723399.1         -            517 8595at5820           -            294   2.2e-09   35.6   8.2   2   2   1.2e-06   0.00014   19.9   0.0   142   202   394   453   372   481 0.88 | transcript=PVPAM_140032100_t1 | gene=PVPAM_140032100 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=CASCJQ010000014:1174997-1177096(-) | protein_length=517 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717666.1         -           1251 8595at5820           -            294   2.4e-09   35.5  11.1   1   1   4.3e-11     5e-09   34.5  11.1    10   154   737   880   729   893 0.84 | transcript=PVPAM_010017600_t1 | gene=PVPAM_010017600 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000001:601815-605570(-) | protein_length=1251 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721965.1         -            897 8595at5820           -            294   3.7e-09   34.9   0.0   1   2   4.1e-10   4.8e-08   31.3   0.0   111   204   535   635   522   677 0.78 | transcript=PVPAM_120020300_t1 | gene=PVPAM_120020300 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000012:644935-647628(+) | protein_length=897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721965.1         -            897 8595at5820           -            294   3.7e-09   34.9   0.0   2   2      0.77        90    0.8   0.0   264   283   876   895   865   897 0.80 | transcript=PVPAM_120020300_t1 | gene=PVPAM_120020300 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000012:644935-647628(+) | protein_length=897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720338.1         -           1278 8595at5820           -            294   3.8e-09   34.9  15.1   1   2   7.2e-09   8.4e-07   27.2  12.0    26   144   285   405   280   416 0.83 | transcript=PVPAM_090010400_t1 | gene=PVPAM_090010400 | organism=Plasmodium_vivax_PAM | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=CASCJQ010000009:339975-343811(+) | protein_length=1278 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720338.1         -           1278 8595at5820           -            294   3.8e-09   34.9  15.1   2   2    0.0051       0.6    8.0   0.0   168   202   533   566   527   576 0.81 | transcript=PVPAM_090010400_t1 | gene=PVPAM_090010400 | organism=Plasmodium_vivax_PAM | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=CASCJQ010000009:339975-343811(+) | protein_length=1278 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719702.1         -           3230 8595at5820           -            294   3.7e-08   31.6   1.8   1   1   5.3e-10   6.2e-08   30.9   1.8     8   202  2935  3149  2927  3169 0.71 | transcript=PVPAM_070031600_t1 | gene=PVPAM_070031600 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000007:1146503-1156195(-) | protein_length=3230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720651.1         -            323 8595at5820           -            294   2.1e-07   29.1   3.5   1   1   3.1e-08   3.6e-06   25.1   2.5    12   157    15   157     6   181 0.71 | transcript=PVPAM_090041500_t1 | gene=PVPAM_090041500 | organism=Plasmodium_vivax_PAM | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=CASCJQ010000009:1615302-1617735(-) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718464.1         -           1635 8595at5820           -            294   2.3e-07   29.0   4.4   1   1   4.6e-09   5.4e-07   27.8   4.4    15   148  1125  1257  1114  1269 0.74 | transcript=PVPAM_040021000_t1 | gene=PVPAM_040021000 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase STK2, putative | transcript_product=serine/threonine protein kinase STK2, putative | location=CASCJQ010000004:680171-685078(-) | protein_length=1635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720736.1         -           2040 8595at5820           -            294    0.0001   20.3   0.1   1   1   2.2e-06   0.00026   19.0   0.1    12   196    83   264    74   275 0.68 | transcript=PVPAM_090050100_t1 | gene=PVPAM_090050100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000009:2011314-2017436(-) | protein_length=2040 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717767.1         -           1410 8595at5820           -            294   0.00021   19.3   2.3   1   2       9.1   1.1e+03   -2.7   0.0    54    89  1077  1112  1071  1116 0.87 | transcript=PVPAM_010028100_t1 | gene=PVPAM_010028100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, FIKK family | transcript_product=serine/threonine protein kinase, FIKK family | location=CASCJQ010000001:1018533-1023076(+) | protein_length=1410 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717767.1         -           1410 8595at5820           -            294   0.00021   19.3   2.3   2   2     2e-06   0.00023   19.2   0.6    94   160  1192  1258  1159  1327 0.81 | transcript=PVPAM_010028100_t1 | gene=PVPAM_010028100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, FIKK family | transcript_product=serine/threonine protein kinase, FIKK family | location=CASCJQ010000001:1018533-1023076(+) | protein_length=1410 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720189.1         -           3007 8595at5820           -            294   0.00074   17.5   0.8   1   1   1.1e-05    0.0013   16.7   0.8    66   209   228   383   163   391 0.71 | transcript=PVPAM_080041100_t1 | gene=PVPAM_080041100 | organism=Plasmodium_vivax_PAM | gene_product=kinase-related protein PKRP, putative | transcript_product=kinase-related protein PKRP, putative | location=CASCJQ010000008:1593615-1602811(-) | protein_length=3007 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8595at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8595at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8595at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:40 2026
# [ok]
