#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723238.1         -            626 4799at5820           -            470  1.5e-301  998.6  30.5   1   1    9e-304  1.7e-301  998.4  30.5     1   470   153   626   153   626 0.99 | transcript=PVPAM_140015700_t1 | gene=PVPAM_140015700 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP6, putative | transcript_product=ATP-dependent RNA helicase DBP6, putative | location=CASCJQ010000014:498695-500575(+) | protein_length=626 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721094.1         -            522 4799at5820           -            470     3e-09   34.7  16.4   1   1   6.7e-11   1.2e-08   32.7  16.4    37   373   135   480   127   495 0.72 | transcript=PVPAM_100036200_t1 | gene=PVPAM_100036200 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX27, putative | transcript_product=ATP-dependent RNA helicase DDX27, putative | location=CASCJQ010000010:1343851-1345783(-) | protein_length=522 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718094.1         -            548 4799at5820           -            470   3.9e-09   34.3  19.4   1   1   1.9e-10   3.4e-08   31.2  19.4     5   360    99   482    95   503 0.62 | transcript=PVPAM_030009000_t1 | gene=PVPAM_030009000 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX51, putative | transcript_product=ATP-dependent RNA helicase DDX51, putative | location=CASCJQ010000003:195401-197371(-) | protein_length=548 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720356.1         -           1329 4799at5820           -            470   9.6e-08   29.8   0.9   1   2    0.0078       1.4    6.1   0.0    17    60   161   204   146   213 0.79 | transcript=PVPAM_090012100_t1 | gene=PVPAM_090012100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000009:399016-403005(+) | protein_length=1329 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720356.1         -           1329 4799at5820           -            470   9.6e-08   29.8   0.9   2   2   1.5e-07   2.8e-05   21.7   0.1   243   342   878   979   876   995 0.85 | transcript=PVPAM_090012100_t1 | gene=PVPAM_090012100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000009:399016-403005(+) | protein_length=1329 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722849.1         -           1267 4799at5820           -            470   1.2e-05   22.8   2.6   1   2      0.11        20    2.3   0.0    14    70    45    98    32   153 0.77 | transcript=PVPAM_130035100_t1 | gene=PVPAM_130035100 | organism=Plasmodium_vivax_PAM | gene_product=ADP-dependent DNA helicase RecQ, putative | transcript_product=ADP-dependent DNA helicase RecQ, putative | location=CASCJQ010000013:1352248-1356051(-) | protein_length=1267 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722849.1         -           1267 4799at5820           -            470   1.2e-05   22.8   2.6   2   2   5.5e-07    0.0001   19.8   0.7   285   373   318   403   272   443 0.77 | transcript=PVPAM_130035100_t1 | gene=PVPAM_130035100 | organism=Plasmodium_vivax_PAM | gene_product=ADP-dependent DNA helicase RecQ, putative | transcript_product=ADP-dependent DNA helicase RecQ, putative | location=CASCJQ010000013:1352248-1356051(-) | protein_length=1267 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723300.1         -            790 4799at5820           -            470   2.7e-05   21.7   1.1   1   3    0.0029      0.53    7.5   0.1    14    57   128   168   117   209 0.77 | transcript=PVPAM_140021900_t1 | gene=PVPAM_140021900 | organism=Plasmodium_vivax_PAM | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=CASCJQ010000014:749601-751973(-) | protein_length=790 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723300.1         -            790 4799at5820           -            470   2.7e-05   21.7   1.1   2   3         7   1.3e+03   -3.6   0.0    69    86   252   269   229   278 0.63 | transcript=PVPAM_140021900_t1 | gene=PVPAM_140021900 | organism=Plasmodium_vivax_PAM | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=CASCJQ010000014:749601-751973(-) | protein_length=790 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723300.1         -            790 4799at5820           -            470   2.7e-05   21.7   1.1   3   3   0.00012     0.023   12.1   0.1   294   355   656   717   638   737 0.88 | transcript=PVPAM_140021900_t1 | gene=PVPAM_140021900 | organism=Plasmodium_vivax_PAM | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=CASCJQ010000014:749601-751973(-) | protein_length=790 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717956.1         -           1393 4799at5820           -            470   0.00027   18.4   0.6   1   3      0.32        59    0.8   0.0    18    57   593   635   589   643 0.75 | transcript=PVPAM_020018800_t1 | gene=PVPAM_020018800 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent DNA/RNA helicase PSH1, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH1, putative | location=CASCJQ010000002:571679-576254(-) | protein_length=1393 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717956.1         -           1393 4799at5820           -            470   0.00027   18.4   0.6   2   3         6   1.1e+03   -3.4   0.0    71    90   766   785   763   791 0.82 | transcript=PVPAM_020018800_t1 | gene=PVPAM_020018800 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent DNA/RNA helicase PSH1, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH1, putative | location=CASCJQ010000002:571679-576254(-) | protein_length=1393 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717956.1         -           1393 4799at5820           -            470   0.00027   18.4   0.6   3   3   2.4e-05    0.0044   14.4   0.4   298   355  1201  1259  1128  1285 0.69 | transcript=PVPAM_020018800_t1 | gene=PVPAM_020018800 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent DNA/RNA helicase PSH1, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH1, putative | location=CASCJQ010000002:571679-576254(-) | protein_length=1393 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4799at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4799at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4799at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:07 2026
# [ok]
