#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717786.1         -           1171 3089at5820           -            632  1.3e-250  832.1  44.9   1   8   5.9e-13   1.9e-10   38.8   0.2     1    36     1    36     1    44 0.91 | transcript=PVPAM_010030000_t1 | gene=PVPAM_010030000 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000001:1117779-1121294(-) | protein_length=1171 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718122.1         -            700 3089at5820           -            632   2.4e-19   68.1   4.7   2   2   1.1e-07   3.7e-05   21.3   0.8   459   580   557   685   554   697 0.69 | transcript=PVPAM_030011800_t1 | gene=PVPAM_030011800 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000003:322999-325101(-) | protein_length=700 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717691.1         -            665 3089at5820           -            632   3.6e-08   31.2   4.9   1   3      0.98   3.2e+02   -1.6   0.2     2    55   177   229   174   262 0.73 | transcript=PVPAM_010020500_t1 | gene=PVPAM_010020500 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000001:739478-741475(+) | protein_length=665 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717691.1         -            665 3089at5820           -            632   3.6e-08   31.2   4.9   2   3   1.1e-10   3.6e-08   31.2   4.9   238   395   263   424   210   437 0.69 | transcript=PVPAM_010020500_t1 | gene=PVPAM_010020500 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000001:739478-741475(+) | protein_length=665 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717691.1         -            665 3089at5820           -            632   3.6e-08   31.2   4.9   3   3   4.2e-05     0.014   12.8   1.0   461   512   447   495   438   543 0.81 | transcript=PVPAM_010020500_t1 | gene=PVPAM_010020500 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000001:739478-741475(+) | protein_length=665 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721235.1         -            483 3089at5820           -            632   0.00022   18.7   0.1   1   3   6.9e-07   0.00022   18.7   0.1   311   356    61   108    36   186 0.76 | transcript=PVPAM_110013700_t1 | gene=PVPAM_110013700 | organism=Plasmodium_vivax_PAM | gene_product=RuvB-like helicase 3, putative | transcript_product=RuvB-like helicase 3, putative | location=CASCJQ010000011:342633-344084(+) | protein_length=483 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721235.1         -            483 3089at5820           -            632   0.00022   18.7   0.1   2   3       4.1   1.3e+03   -3.7   0.0   232   246   266   280   265   314 0.59 | transcript=PVPAM_110013700_t1 | gene=PVPAM_110013700 | organism=Plasmodium_vivax_PAM | gene_product=RuvB-like helicase 3, putative | transcript_product=RuvB-like helicase 3, putative | location=CASCJQ010000011:342633-344084(+) | protein_length=483 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721235.1         -            483 3089at5820           -            632   0.00022   18.7   0.1   3   3       1.6     5e+02   -2.3   0.4    53    86   357   390   351   441 0.59 | transcript=PVPAM_110013700_t1 | gene=PVPAM_110013700 | organism=Plasmodium_vivax_PAM | gene_product=RuvB-like helicase 3, putative | transcript_product=RuvB-like helicase 3, putative | location=CASCJQ010000011:342633-344084(+) | protein_length=483 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717764.1         -           1000 3089at5820           -            632   0.00024   18.6   0.0   1   1   1.2e-06   0.00037   18.0   0.0   315   422   760   868   757   926 0.91 | transcript=PVPAM_010027800_t1 | gene=PVPAM_010027800 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000001:1005291-1008466(+) | protein_length=1000 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3089at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3089at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3089at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:43 2026
# [ok]
