#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720875.1         -            288 9439at5820           -            250  1.9e-145  481.6   1.3   1   1  2.3e-147  2.3e-145  481.3   1.3     1   246     7   267     7   270 0.96 | transcript=PVPAM_100014300_t1 | gene=PVPAM_100014300 | organism=Plasmodium_vivax_PAM | gene_product=NIMA related kinase 2, putative | transcript_product=NIMA related kinase 2, putative | location=CASCJQ010000010:406454-408600(-) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723399.1         -            517 9439at5820           -            250   2.9e-13   48.5   6.3   2   3   9.8e-07   9.7e-05   20.6   1.6    47   136   261   347   238   385 0.83 | transcript=PVPAM_140032100_t1 | gene=PVPAM_140032100 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=CASCJQ010000014:1174997-1177096(-) | protein_length=517 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723399.1         -            517 9439at5820           -            250   2.9e-13   48.5   6.3   3   3   9.5e-09   9.4e-07   27.2   0.0   138   198   397   459   389   465 0.88 | transcript=PVPAM_140032100_t1 | gene=PVPAM_140032100 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=CASCJQ010000014:1174997-1177096(-) | protein_length=517 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720496.1         -           1548 9439at5820           -            250     3e-13   48.5   0.9   1   2       4.8   4.8e+02   -1.3   0.2    12    86   203   278   197   287 0.83 | transcript=PVPAM_090026100_t1 | gene=PVPAM_090026100 | organism=Plasmodium_vivax_PAM | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=CASCJQ010000009:954667-959462(-) | protein_length=1548 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720496.1         -           1548 9439at5820           -            250     3e-13   48.5   0.9   2   2   1.3e-14   1.3e-12   46.4   0.0   104   197   367   463   355   471 0.90 | transcript=PVPAM_090026100_t1 | gene=PVPAM_090026100 | organism=Plasmodium_vivax_PAM | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=CASCJQ010000009:954667-959462(-) | protein_length=1548 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720430.1         -            708 9439at5820           -            250     7e-13   47.3   2.2   1   1     7e-15     7e-13   47.3   2.2    22   201   399   580   371   589 0.87 | transcript=PVPAM_090019500_t1 | gene=PVPAM_090019500 | organism=Plasmodium_vivax_PAM | gene_product=cyclin-dependent-like kinase CLK3, putative | transcript_product=cyclin-dependent-like kinase CLK3, putative | location=CASCJQ010000009:701953-705776(+) | protein_length=708 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722456.1         -           1309 9439at5820           -            250   5.2e-12   44.4   2.9   1   2   9.4e-07   9.3e-05   20.7   0.6    57   135   920   995   914  1016 0.75 | transcript=PVPAM_120069300_t1 | gene=PVPAM_120069300 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000012:2628692-2632621(+) | protein_length=1309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722456.1         -           1309 9439at5820           -            250   5.2e-12   44.4   2.9   2   2   1.6e-07   1.6e-05   23.2   0.1   130   199  1076  1144  1072  1159 0.84 | transcript=PVPAM_120069300_t1 | gene=PVPAM_120069300 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000012:2628692-2632621(+) | protein_length=1309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718813.1         -            807 9439at5820           -            250   2.1e-11   42.4   8.6   1   3   4.1e-05    0.0041   15.3   0.7     5    70    34    99    31   123 0.80 | transcript=PVPAM_050020700_t1 | gene=PVPAM_050020700 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=CASCJQ010000005:677818-680438(-) | protein_length=807 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718813.1         -            807 9439at5820           -            250   2.1e-11   42.4   8.6   2   3     4e-06    0.0004   18.6   0.1    82   132   222   268   203   284 0.82 | transcript=PVPAM_050020700_t1 | gene=PVPAM_050020700 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=CASCJQ010000005:677818-680438(-) | protein_length=807 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718813.1         -            807 9439at5820           -            250   2.1e-11   42.4   8.6   3   3   0.00041      0.04   12.0   0.2   138   198   580   641   565   658 0.79 | transcript=PVPAM_050020700_t1 | gene=PVPAM_050020700 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=CASCJQ010000005:677818-680438(-) | protein_length=807 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720131.1         -           1391 9439at5820           -            250   6.4e-11   40.9   1.2   1   1   1.2e-12   1.2e-10   40.0   0.4    92   202  1157  1282  1128  1310 0.75 | transcript=PVPAM_080035300_t1 | gene=PVPAM_080035300 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 4, putative | transcript_product=cdc2-related protein kinase 4, putative | location=CASCJQ010000008:1385632-1389807(+) | protein_length=1391 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719702.1         -           3230 9439at5820           -            250   1.6e-10   39.6   0.6   1   1   3.1e-12   3.1e-10   38.6   0.6    12   204  2939  3161  2934  3213 0.70 | transcript=PVPAM_070031600_t1 | gene=PVPAM_070031600 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000007:1146503-1156195(-) | protein_length=3230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720087.1         -            327 9439at5820           -            250   2.1e-10   39.2   0.1   1   1     3e-12     3e-10   38.7   0.1    69   223    92   248    73   274 0.82 | transcript=PVPAM_080030900_t1 | gene=PVPAM_080030900 | organism=Plasmodium_vivax_PAM | gene_product=pseudo protein kinase 1, putative | transcript_product=pseudo protein kinase 1, putative | location=CASCJQ010000008:1179205-1180522(-) | protein_length=327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721351.1         -           2597 9439at5820           -            250   3.3e-10   38.5   2.7   1   3      0.16        16    3.5   0.0     5    93  1830  1927  1826  1957 0.79 | transcript=PVPAM_110025400_t1 | gene=PVPAM_110025400 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=CASCJQ010000011:864280-872073(-) | protein_length=2597 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721351.1         -           2597 9439at5820           -            250   3.3e-10   38.5   2.7   2   3   1.6e-09   1.6e-07   29.7   0.3   105   158  2318  2372  2269  2396 0.83 | transcript=PVPAM_110025400_t1 | gene=PVPAM_110025400 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=CASCJQ010000011:864280-872073(-) | protein_length=2597 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721351.1         -           2597 9439at5820           -            250   3.3e-10   38.5   2.7   3   3       0.3        30    2.7   0.1   152   193  2395  2434  2370  2441 0.78 | transcript=PVPAM_110025400_t1 | gene=PVPAM_110025400 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=CASCJQ010000011:864280-872073(-) | protein_length=2597 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722432.1         -            889 9439at5820           -            250   7.9e-10   37.3   2.6   1   2   6.1e-06   0.00061   18.0   1.5     5   134   559   695   556   703 0.68 | transcript=PVPAM_120066900_t1 | gene=PVPAM_120066900 | organism=Plasmodium_vivax_PAM | gene_product=protein serine/threonine kinase-1, putative | transcript_product=protein serine/threonine kinase-1, putative | location=CASCJQ010000012:2528585-2531254(+) | protein_length=889 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722432.1         -            889 9439at5820           -            250   7.9e-10   37.3   2.6   2   2   6.1e-06    0.0006   18.0   0.0   126   199   712   783   698   811 0.79 | transcript=PVPAM_120066900_t1 | gene=PVPAM_120066900 | organism=Plasmodium_vivax_PAM | gene_product=protein serine/threonine kinase-1, putative | transcript_product=protein serine/threonine kinase-1, putative | location=CASCJQ010000012:2528585-2531254(+) | protein_length=889 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719704.1         -            950 9439at5820           -            250   1.1e-09   36.8   0.4   1   2       4.5   4.5e+02   -1.2   0.2    30    50   364   384   354   450 0.65 | transcript=PVPAM_070031800_t1 | gene=PVPAM_070031800 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000007:1163727-1169753(+) | protein_length=950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719704.1         -            950 9439at5820           -            250   1.1e-09   36.8   0.4   2   2   1.1e-11   1.1e-09   36.8   0.4   100   195   777   877   690   884 0.78 | transcript=PVPAM_070031800_t1 | gene=PVPAM_070031800 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000007:1163727-1169753(+) | protein_length=950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720189.1         -           3007 9439at5820           -            250   1.2e-09   36.8   0.2   1   1   1.9e-11   1.9e-09   36.0   0.2    56   200   229   384   181   390 0.76 | transcript=PVPAM_080041100_t1 | gene=PVPAM_080041100 | organism=Plasmodium_vivax_PAM | gene_product=kinase-related protein PKRP, putative | transcript_product=kinase-related protein PKRP, putative | location=CASCJQ010000008:1593615-1602811(-) | protein_length=3007 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717666.1         -           1251 9439at5820           -            250   6.3e-09   34.3   7.9   1   2   4.6e-08   4.6e-06   25.0   4.0    27   146   764   879   753   885 0.75 | transcript=PVPAM_010017600_t1 | gene=PVPAM_010017600 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000001:601815-605570(-) | protein_length=1251 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717666.1         -           1251 9439at5820           -            250   6.3e-09   34.3   7.9   2   2    0.0013      0.13   10.4   0.1   157   196  1094  1132  1080  1202 0.88 | transcript=PVPAM_010017600_t1 | gene=PVPAM_010017600 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000001:601815-605570(-) | protein_length=1251 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720358.1         -           1324 9439at5820           -            250   2.1e-08   32.6   0.0   1   2   0.00019     0.019   13.1   0.0   100   148  1080  1128  1067  1145 0.75 | transcript=PVPAM_090012300_t1 | gene=PVPAM_090012300 | organism=Plasmodium_vivax_PAM | gene_product=pseudo-tyrosine kinase-like protein, putative | transcript_product=pseudo-tyrosine kinase-like protein, putative | location=CASCJQ010000009:407874-412759(+) | protein_length=1324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720358.1         -           1324 9439at5820           -            250   2.1e-08   32.6   0.0   2   2   1.5e-05    0.0015   16.7   0.0   167   245  1217  1301  1207  1305 0.77 | transcript=PVPAM_090012300_t1 | gene=PVPAM_090012300 | organism=Plasmodium_vivax_PAM | gene_product=pseudo-tyrosine kinase-like protein, putative | transcript_product=pseudo-tyrosine kinase-like protein, putative | location=CASCJQ010000009:407874-412759(+) | protein_length=1324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720736.1         -           2040 9439at5820           -            250   6.1e-08   31.1   0.1   1   1   1.1e-09   1.1e-07   30.2   0.1     6   194    77   272    73   308 0.73 | transcript=PVPAM_090050100_t1 | gene=PVPAM_090050100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000009:2011314-2017436(-) | protein_length=2040 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720278.1         -           1391 9439at5820           -            250   3.4e-06   25.4   0.1   1   2    0.0017      0.17   10.0   0.0    73   132   153   213   125   216 0.81 | transcript=PVPAM_080050100_t1 | gene=PVPAM_080050100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000008:1953288-1957463(-) | protein_length=1391 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720278.1         -           1391 9439at5820           -            250   3.4e-06   25.4   0.1   2   2   0.00023     0.023   12.8   0.0   131   193   693   753   689   769 0.79 | transcript=PVPAM_080050100_t1 | gene=PVPAM_080050100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000008:1953288-1957463(-) | protein_length=1391 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720651.1         -            323 9439at5820           -            250   4.8e-06   24.9   0.1   1   2       2.6   2.6e+02   -0.4   0.0     5    29     8    33     4    49 0.70 | transcript=PVPAM_090041500_t1 | gene=PVPAM_090041500 | organism=Plasmodium_vivax_PAM | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=CASCJQ010000009:1615302-1617735(-) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720651.1         -            323 9439at5820           -            250   4.8e-06   24.9   0.1   2   2   2.4e-07   2.4e-05   22.6   0.1   107   192   111   207    96   245 0.79 | transcript=PVPAM_090041500_t1 | gene=PVPAM_090041500 | organism=Plasmodium_vivax_PAM | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=CASCJQ010000009:1615302-1617735(-) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719701.1         -           1180 9439at5820           -            250   5.9e-05   21.3   0.0   1   2   0.00076     0.076   11.2   0.0    97   145   905   954   898   967 0.82 | transcript=PVPAM_070031500_t1 | gene=PVPAM_070031500 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000007:1141777-1145852(+) | protein_length=1180 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719701.1         -           1180 9439at5820           -            250   5.9e-05   21.3   0.0   2   2    0.0095      0.94    7.6   0.0   162   201  1062  1101  1044  1108 0.83 | transcript=PVPAM_070031500_t1 | gene=PVPAM_070031500 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000007:1141777-1145852(+) | protein_length=1180 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721965.1         -            897 9439at5820           -            250   0.00014   20.1   0.0   1   1   2.5e-06   0.00025   19.3   0.0    93   199   524   641   488   687 0.74 | transcript=PVPAM_120020300_t1 | gene=PVPAM_120020300 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000012:644935-647628(+) | protein_length=897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722863.1         -           2266 9439at5820           -            250    0.0021   16.3   7.5   1   3       3.8   3.8e+02   -1.0   0.3    39    68   656   685   643   704 0.75 | transcript=PVPAM_130036500_t1 | gene=PVPAM_130036500 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000013:1403001-1410571(-) | protein_length=2266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722863.1         -           2266 9439at5820           -            250    0.0021   16.3   7.5   2   3    0.0013      0.13   10.4   1.4    67   136   947  1014   928  1049 0.77 | transcript=PVPAM_130036500_t1 | gene=PVPAM_130036500 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000013:1403001-1410571(-) | protein_length=2266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722863.1         -           2266 9439at5820           -            250    0.0021   16.3   7.5   3   3    0.0084      0.83    7.7   0.0   174   201  1164  1190  1157  1219 0.76 | transcript=PVPAM_130036500_t1 | gene=PVPAM_130036500 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000013:1403001-1410571(-) | protein_length=2266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718250.1         -           2104 9439at5820           -            250      0.15   10.2   1.6   1   1    0.0031      0.31    9.2   1.6    92   238  1938  2087  1874  2095 0.70 | transcript=PVPAM_030025000_t1 | gene=PVPAM_030025000 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000003:807881-815141(-) | protein_length=2104 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9439at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9439at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9439at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:51:07 2026
# [ok]
