#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723375.1         -            124 14208at5820          -            105     3e-67  222.3   5.0   1   1   2.3e-69   3.4e-67  222.1   5.0     1   105     7   111     7   111 0.99 | transcript=PVPAM_140029400_t1 | gene=PVPAM_140029400 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000014:1055808-1056679(-) | protein_length=124 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719800.1         -            192 14208at5820          -            105   3.7e-05   22.7   1.1   2   2       1.1   1.6e+02    1.4   0.0     4    66   122   178   119   190 0.56 | transcript=PVPAM_070041400_t1 | gene=PVPAM_070041400 | organism=Plasmodium_vivax_PAM | gene_product=U2 small nuclear ribonucleoprotein B'', putative | transcript_product=U2 small nuclear ribonucleoprotein B'', putative | location=CASCJQ010000007:1480328-1480906(-) | protein_length=192 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719963.1         -            250 14208at5820          -            105   4.7e-05   22.4   1.1   1   2   0.00013     0.018   14.0   0.1     5    87    24   105    22   127 0.76 | transcript=PVPAM_080018600_t1 | gene=PVPAM_080018600 | organism=Plasmodium_vivax_PAM | gene_product=G-strand-binding protein 2, putative | transcript_product=G-strand-binding protein 2, putative | location=CASCJQ010000008:638144-639816(+) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719963.1         -            250 14208at5820          -            105   4.7e-05   22.4   1.1   2   2     0.016       2.4    7.3   0.1    16    80   186   249   174   250 0.81 | transcript=PVPAM_080018600_t1 | gene=PVPAM_080018600 | organism=Plasmodium_vivax_PAM | gene_product=G-strand-binding protein 2, putative | transcript_product=G-strand-binding protein 2, putative | location=CASCJQ010000008:638144-639816(+) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723701.1         -            511 14208at5820          -            105   7.5e-05   21.7   0.1   1   1   5.1e-07   7.5e-05   21.7   0.1    15    83   441   508   428   511 0.84 | transcript=PVPAM_140062500_t1 | gene=PVPAM_140062500 | organism=Plasmodium_vivax_PAM | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=CASCJQ010000014:2486249-2487784(-) | protein_length=511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719650.1         -            480 14208at5820          -            105   9.2e-05   21.4   6.8   1   2     0.022       3.3    6.8   1.2     3    59   101   156    99   198 0.75 | transcript=PVPAM_070026400_t1 | gene=PVPAM_070026400 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=CASCJQ010000007:946281-947918(+) | protein_length=480 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719650.1         -            480 14208at5820          -            105   9.2e-05   21.4   6.8   2   2   1.4e-05     0.002   17.1   0.4    18    75   324   383   309   389 0.82 | transcript=PVPAM_070026400_t1 | gene=PVPAM_070026400 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=CASCJQ010000007:946281-947918(+) | protein_length=480 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720107.1         -            299 14208at5820          -            105   0.00011   21.2   0.8   1   1   1.4e-06    0.0002   20.3   0.1     3    79    37   113    35   132 0.90 | transcript=PVPAM_080032900_t1 | gene=PVPAM_080032900 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000008:1265540-1266874(-) | protein_length=299 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723106.1         -            661 14208at5820          -            105   0.00015   20.8   0.3   1   1   4.1e-06    0.0006   18.8   0.3     4    80   168   247   165   271 0.86 | transcript=PVPAM_130061200_t1 | gene=PVPAM_130061200 | organism=Plasmodium_vivax_PAM | gene_product=U2 snRNP-associated SURP motif-containing protein, putative | transcript_product=U2 snRNP-associated SURP motif-containing protein, putative | location=CASCJQ010000013:2473302-2476727(+) | protein_length=661 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722192.1         -            914 14208at5820          -            105   0.00017   20.6   0.4   1   2   4.4e-05    0.0064   15.5   0.1     4    76   679   751   676   764 0.85 | transcript=PVPAM_120043000_t1 | gene=PVPAM_120043000 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor U2AF large subunit, putative | transcript_product=splicing factor U2AF large subunit, putative | location=CASCJQ010000012:1485281-1488025(+) | protein_length=914 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722192.1         -            914 14208at5820          -            105   0.00017   20.6   0.4   2   2      0.44        65    2.6   0.0    24    73   844   895   827   911 0.72 | transcript=PVPAM_120043000_t1 | gene=PVPAM_120043000 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor U2AF large subunit, putative | transcript_product=splicing factor U2AF large subunit, putative | location=CASCJQ010000012:1485281-1488025(+) | protein_length=914 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721256.1         -            181 14208at5820          -            105   0.00039   19.4   1.6   1   1   3.5e-06   0.00052   19.0   1.1     4    87    52   137    50   156 0.82 | transcript=PVPAM_110015800_t1 | gene=PVPAM_110015800 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000011:440296-441618(+) | protein_length=181 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723818.1         -            390 14208at5820          -            105    0.0016   17.5   1.1   1   2       5.8   8.5e+02   -1.0   0.1    40    68   114   143    80   166 0.63 | transcript=PVPAM_140074100_t1 | gene=PVPAM_140074100 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor RBM22, putative | transcript_product=pre-mRNA-splicing factor RBM22, putative | location=CASCJQ010000014:2906139-2907311(+) | protein_length=390 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723818.1         -            390 14208at5820          -            105    0.0016   17.5   1.1   2   2   3.2e-05    0.0047   15.9   0.2     4    75   226   292   223   299 0.84 | transcript=PVPAM_140074100_t1 | gene=PVPAM_140074100 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor RBM22, putative | transcript_product=pre-mRNA-splicing factor RBM22, putative | location=CASCJQ010000014:2906139-2907311(+) | protein_length=390 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721186.1         -            452 14208at5820          -            105    0.0019   17.2   1.3   1   1   1.3e-05    0.0019   17.2   1.3     3    88    99   183    97   187 0.85 | transcript=PVPAM_110008800_t1 | gene=PVPAM_110008800 | organism=Plasmodium_vivax_PAM | gene_product=U1 small nuclear ribonucleoprotein 70 kDa homolog, putative | transcript_product=U1 small nuclear ribonucleoprotein 70 kDa homolog, putative | location=CASCJQ010000011:144604-145962(-) | protein_length=452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719174.1         -           1549 14208at5820          -            105    0.0037   16.3   4.9   1   2      0.27        40    3.3   0.4     4    65   329   387   326   408 0.82 | transcript=PVPAM_060018100_t1 | gene=PVPAM_060018100 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein UIS12, putative | transcript_product=RNA-binding protein UIS12, putative | location=CASCJQ010000006:567674-572458(+) | protein_length=1549 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719174.1         -           1549 14208at5820          -            105    0.0037   16.3   4.9   2   2   0.00012     0.018   14.1   0.0     4    77   433   510   431   527 0.83 | transcript=PVPAM_060018100_t1 | gene=PVPAM_060018100 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein UIS12, putative | transcript_product=RNA-binding protein UIS12, putative | location=CASCJQ010000006:567674-572458(+) | protein_length=1549 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719153.1         -            471 14208at5820          -            105     0.008   15.2   0.0   1   1   0.00017     0.024   13.6   0.0     6    77   313   384   309   405 0.92 | transcript=PVPAM_060016000_t1 | gene=PVPAM_060016000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein 34, putative | transcript_product=RNA-binding protein 34, putative | location=CASCJQ010000006:464754-467636(-) | protein_length=471 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719738.1         -            287 14208at5820          -            105     0.011   14.8   6.3   1   2     0.021       3.2    6.9   1.3    36    80    74   118    50   141 0.83 | transcript=PVPAM_070035200_t1 | gene=PVPAM_070035200 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000007:1271113-1272713(+) | protein_length=287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719738.1         -            287 14208at5820          -            105     0.011   14.8   6.3   2   2    0.0021      0.31   10.1   0.3    20    75   225   282   210   285 0.74 | transcript=PVPAM_070035200_t1 | gene=PVPAM_070035200 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000007:1271113-1272713(+) | protein_length=287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718204.1         -            315 14208at5820          -            105     0.015   14.3   0.3   1   1    0.0011      0.16   11.0   0.3    46    73   133   160    71   186 0.80 | transcript=PVPAM_030020400_t1 | gene=PVPAM_030020400 | organism=Plasmodium_vivax_PAM | gene_product=pre-rRNA-processing protein ESF2, putative | transcript_product=pre-rRNA-processing protein ESF2, putative | location=CASCJQ010000003:665003-665950(-) | protein_length=315 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721278.1         -            260 14208at5820          -            105     0.027   13.5   0.0   1   1   0.00032     0.047   12.7   0.0    11    40   133   163   124   197 0.80 | transcript=PVPAM_110018000_t1 | gene=PVPAM_110018000 | organism=Plasmodium_vivax_PAM | gene_product=pyrroline-5-carboxylate reductase, putative | transcript_product=pyrroline-5-carboxylate reductase, putative | location=CASCJQ010000011:555126-556831(-) | protein_length=260 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719939.1         -            860 14208at5820          -            105     0.035   13.1   3.3   1   2      0.21        31    3.7   0.1     5    74   311   372   309   388 0.69 | transcript=PVPAM_080016200_t1 | gene=PVPAM_080016200 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000008:559696-562278(-) | protein_length=860 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719939.1         -            860 14208at5820          -            105     0.035   13.1   3.3   2   2    0.0038      0.56    9.3   0.5    11    75   418   483   413   492 0.83 | transcript=PVPAM_080016200_t1 | gene=PVPAM_080016200 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000008:559696-562278(-) | protein_length=860 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721570.1         -            626 14208at5820          -            105       3.6    6.7   6.9   1   2       3.7   5.5e+02   -0.3   0.0     2    51     9    56     8    73 0.77 | transcript=PVPAM_110047500_t1 | gene=PVPAM_110047500 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000011:1768823-1771281(-) | protein_length=626 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721570.1         -            626 14208at5820          -            105       3.6    6.7   6.9   2   2    0.0049      0.72    8.9   0.9     2    87   166   250   165   255 0.78 | transcript=PVPAM_110047500_t1 | gene=PVPAM_110047500 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000011:1768823-1771281(-) | protein_length=626 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14208at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14208at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14208at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:47 2026
# [ok]
