#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722199.1         -           3059 518at5820            -           2167         0 3493.5 351.0   1   8  7.9e-252  1.1e-249  830.2  77.3     1   538     1   705     1   740 0.91 | transcript=PVPAM_120043700_t1 | gene=PVPAM_120043700 | organism=Plasmodium_vivax_PAM | gene_product=MORC family protein, putative | transcript_product=MORC family protein, putative | location=CASCJQ010000012:1525627-1534806(+) | protein_length=3059 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721043.1         -            143 518at5820            -           2167         3    3.0  20.6   1   1     0.021       3.1    3.0  20.6  1638  1703    55   117     2   136 0.40 | transcript=PVPAM_100031100_t1 | gene=PVPAM_100031100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:1135167-1135857(+) | protein_length=143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719810.1         -            266 518at5820            -           2167       3.5    2.8  28.7   1   1     0.033       4.7    2.4  28.7  1588  1746    87   242    45   261 0.48 | transcript=PVPAM_070042400_t1 | gene=PVPAM_070042400 | organism=Plasmodium_vivax_PAM | gene_product=(malaria parasite P. vivax) hypothetical protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB58] | transcript_product=(malaria parasite P. vivax) hypothetical protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB58] | location=CASCJQ010000007:1537597-1538649(-) | protein_length=266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721589.1         -            709 518at5820            -           2167       3.6    2.8   9.5   1   1     0.036       5.2    2.2   9.5  1647  1695   286   334   279   348 0.58 | transcript=PVPAM_110049400_t1 | gene=PVPAM_110049400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:1847928-1850057(-) | protein_length=709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722006.1         -            411 518at5820            -           2167       5.4    2.2  27.4   1   1     0.052       7.5    1.7  27.4  1964  2151    41   236     8   259 0.32 | transcript=PVPAM_120024500_t1 | gene=PVPAM_120024500 | organism=Plasmodium_vivax_PAM | gene_product=MSP7-like protein | transcript_product=MSP7-like protein | location=CASCJQ010000012:791278-792513(+) | protein_length=411 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722003.1         -            395 518at5820            -           2167       6.4    1.9  18.0   1   1     0.062       8.9    1.5  18.0  1569  1701    28   170    17   187 0.34 | transcript=PVPAM_120024200_t1 | gene=PVPAM_120024200 | organism=Plasmodium_vivax_PAM | gene_product=MSP7-like protein | transcript_product=MSP7-like protein | location=CASCJQ010000012:784385-785572(+) | protein_length=395 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717702.1         -            748 518at5820            -           2167       6.8    1.9  43.5   1   2    0.0018      0.26    6.6  35.9  1635  1786   189   335   134   356 0.60 | transcript=PVPAM_010021600_t1 | gene=PVPAM_010021600 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein 90, putative | transcript_product=heat shock protein 90, putative | location=CASCJQ010000001:779796-782694(+) | protein_length=748 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717702.1         -            748 518at5820            -           2167       6.8    1.9  43.5   2   2      0.18        26   -0.1   0.8   211   294   423   510   363   526 0.72 | transcript=PVPAM_010021600_t1 | gene=PVPAM_010021600 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein 90, putative | transcript_product=heat shock protein 90, putative | location=CASCJQ010000001:779796-782694(+) | protein_length=748 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722796.1         -           3064 518at5820            -           2167       6.8    1.8  43.9   1   1   3.7e-05    0.0053   12.2  32.3  1572  1755  1555  1731  1532  1780 0.32 | transcript=PVPAM_130029700_t1 | gene=PVPAM_130029700 | organism=Plasmodium_vivax_PAM | gene_product=glutamate synthase [NADH], putative | transcript_product=glutamate synthase [NADH], putative | location=CASCJQ010000013:1109104-1118298(+) | protein_length=3064 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717928.1         -            292 518at5820            -           2167       7.6    1.7  22.5   1   1     0.062       8.9    1.5  22.5  2007  2080    63   138    37   176 0.37 | transcript=PVPAM_020016000_t1 | gene=PVPAM_020016000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000002:463722-464600(-) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718533.1         -           1219 518at5820            -           2167       7.6    1.7  33.1   1   1      0.12        17    0.5  33.1  1664  1744  1006  1082   944  1094 0.47 | transcript=PVPAM_040027700_t1 | gene=PVPAM_040027700 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:950954-954976(+) | protein_length=1219 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/518at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/518at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/518at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:47 2026
# [ok]
