#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717677.1         -           1051 2481at5820           -            813         0 1419.5  59.6   1   3   5.2e-35   1.6e-32  111.0   0.0     9   105    59   164    52   170 0.89 | transcript=PVPAM_010018700_t1 | gene=PVPAM_010018700 | organism=Plasmodium_vivax_PAM | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=CASCJQ010000001:672335-675490(-) | protein_length=1051 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722294.1         -            787 2481at5820           -            813     0.001   15.7   0.1   1   4       4.5   1.4e+03   -4.5   0.6   410   440   140   167   115   184 0.42 | transcript=PVPAM_120053100_t1 | gene=PVPAM_120053100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP5, putative | transcript_product=ATP-dependent RNA helicase DBP5, putative | location=CASCJQ010000012:1934145-1936508(-) | protein_length=787 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722294.1         -            787 2481at5820           -            813     0.001   15.7   0.1   2   4   0.00062      0.19    8.3   0.2     5    64   353   412   348   448 0.85 | transcript=PVPAM_120053100_t1 | gene=PVPAM_120053100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP5, putative | transcript_product=ATP-dependent RNA helicase DBP5, putative | location=CASCJQ010000012:1934145-1936508(-) | protein_length=787 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722294.1         -            787 2481at5820           -            813     0.001   15.7   0.1   3   4       1.1   3.3e+02   -2.5   0.1   330   380   487   533   476   556 0.76 | transcript=PVPAM_120053100_t1 | gene=PVPAM_120053100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP5, putative | transcript_product=ATP-dependent RNA helicase DBP5, putative | location=CASCJQ010000012:1934145-1936508(-) | protein_length=787 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722294.1         -            787 2481at5820           -            813     0.001   15.7   0.1   4   4   3.4e-06     0.001   15.7   0.1   559   603   661   706   588   725 0.75 | transcript=PVPAM_120053100_t1 | gene=PVPAM_120053100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP5, putative | transcript_product=ATP-dependent RNA helicase DBP5, putative | location=CASCJQ010000012:1934145-1936508(-) | protein_length=787 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722849.1         -           1267 2481at5820           -            813    0.0045   13.6  10.1   1   1   2.3e-05    0.0071   13.0  10.1   526   682   281   439   224   442 0.77 | transcript=PVPAM_130035100_t1 | gene=PVPAM_130035100 | organism=Plasmodium_vivax_PAM | gene_product=ADP-dependent DNA helicase RecQ, putative | transcript_product=ADP-dependent DNA helicase RecQ, putative | location=CASCJQ010000013:1352248-1356051(-) | protein_length=1267 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2481at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2481at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2481at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:15 2026
# [ok]
