#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718877.1         -            458 6833at5820           -            348  5.1e-177  586.6  16.1   1   4   6.1e-15   1.7e-12   45.5   0.2     1    31     1    31     1    34 0.95 | transcript=PVPAM_050026900_t1 | gene=PVPAM_050026900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=CASCJQ010000005:924052-925428(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720334.1         -            616 6833at5820           -            348   9.3e-06   23.4   0.1   2   4       2.5   7.1e+02   -2.5   0.0   198   228   137   166   131   223 0.55 | transcript=PVPAM_090010000_t1 | gene=PVPAM_090010000 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000009:321772-323622(-) | protein_length=616 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720334.1         -            616 6833at5820           -            348   9.3e-06   23.4   0.1   3   4    0.0016      0.46    7.9   0.0   204   253   273   322   239   334 0.81 | transcript=PVPAM_090010000_t1 | gene=PVPAM_090010000 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000009:321772-323622(-) | protein_length=616 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720334.1         -            616 6833at5820           -            348   9.3e-06   23.4   0.1   4   4   0.00019     0.053   11.0   0.0   234   292   551   609   540   614 0.86 | transcript=PVPAM_090010000_t1 | gene=PVPAM_090010000 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000009:321772-323622(-) | protein_length=616 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717798.1         -           1071 6833at5820           -            348   1.3e-05   22.9   1.3   1   3      0.28        78    0.6   0.0   268   344   245   327   140   331 0.71 | transcript=PVPAM_010031200_t1 | gene=PVPAM_010031200 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=CASCJQ010000001:1164327-1167542(+) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717798.1         -           1071 6833at5820           -            348   1.3e-05   22.9   1.3   2   3   0.00048      0.14    9.7   0.1   230   291   417   480   359   487 0.88 | transcript=PVPAM_010031200_t1 | gene=PVPAM_010031200 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=CASCJQ010000001:1164327-1167542(+) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717798.1         -           1071 6833at5820           -            348   1.3e-05   22.9   1.3   3   3   0.00076      0.21    9.0   0.0   236   292   538   601   513   618 0.78 | transcript=PVPAM_010031200_t1 | gene=PVPAM_010031200 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=CASCJQ010000001:1164327-1167542(+) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723554.1         -            430 6833at5820           -            348   0.00017   19.2   1.2   1   2       3.4   9.6e+02   -3.0   0.0    96   113    61    78    58    93 0.85 | transcript=PVPAM_140047800_t1 | gene=PVPAM_140047800 | organism=Plasmodium_vivax_PAM | gene_product=protein TSSC1, putative | transcript_product=protein TSSC1, putative | location=CASCJQ010000014:1818666-1819958(+) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723554.1         -            430 6833at5820           -            348   0.00017   19.2   1.2   2   2     6e-07   0.00017   19.2   1.2   217   291   287   365   260   399 0.82 | transcript=PVPAM_140047800_t1 | gene=PVPAM_140047800 | organism=Plasmodium_vivax_PAM | gene_product=protein TSSC1, putative | transcript_product=protein TSSC1, putative | location=CASCJQ010000014:1818666-1819958(+) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719156.1         -            725 6833at5820           -            348    0.0005   17.7   0.5   1   3       4.8   1.3e+03   -3.5   0.0   145   163   489   507   474   513 0.83 | transcript=PVPAM_060016300_t1 | gene=PVPAM_060016300 | organism=Plasmodium_vivax_PAM | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=CASCJQ010000006:475279-477456(+) | protein_length=725 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719156.1         -            725 6833at5820           -            348    0.0005   17.7   0.5   2   3     8e-06    0.0023   15.5   0.1   124   190   612   680   599   687 0.84 | transcript=PVPAM_060016300_t1 | gene=PVPAM_060016300 | organism=Plasmodium_vivax_PAM | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=CASCJQ010000006:475279-477456(+) | protein_length=725 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719156.1         -            725 6833at5820           -            348    0.0005   17.7   0.5   3   3      0.61   1.7e+02   -0.5   0.0   147   164   679   696   672   712 0.78 | transcript=PVPAM_060016300_t1 | gene=PVPAM_060016300 | organism=Plasmodium_vivax_PAM | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=CASCJQ010000006:475279-477456(+) | protein_length=725 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718230.1         -            649 6833at5820           -            348    0.0029   15.2   0.1   1   1   3.3e-05    0.0092   13.5   0.0   240   292   330   382   312   423 0.87 | transcript=PVPAM_030023000_t1 | gene=PVPAM_030023000 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-associated protein 7, putative | transcript_product=U3 small nucleolar RNA-associated protein 7, putative | location=CASCJQ010000003:739166-741115(-) | protein_length=649 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720342.1         -            453 6833at5820           -            348    0.0052   14.3   2.8   1   4       2.7   7.6e+02   -2.6   0.1   283   340    27    89    12    94 0.54 | transcript=PVPAM_090010700_t1 | gene=PVPAM_090010700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein WRAP73, putative | transcript_product=WD repeat-containing protein WRAP73, putative | location=CASCJQ010000009:352883-355982(-) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720342.1         -            453 6833at5820           -            348    0.0052   14.3   2.8   2   4       1.3   3.6e+02   -1.6   0.0   194   231   235   270   220   285 0.75 | transcript=PVPAM_090010700_t1 | gene=PVPAM_090010700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein WRAP73, putative | transcript_product=WD repeat-containing protein WRAP73, putative | location=CASCJQ010000009:352883-355982(-) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720342.1         -            453 6833at5820           -            348    0.0052   14.3   2.8   3   4    0.0094       2.6    5.4   0.1   237   274   350   386   334   388 0.85 | transcript=PVPAM_090010700_t1 | gene=PVPAM_090010700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein WRAP73, putative | transcript_product=WD repeat-containing protein WRAP73, putative | location=CASCJQ010000009:352883-355982(-) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720342.1         -            453 6833at5820           -            348    0.0052   14.3   2.8   4   4   0.00042      0.12    9.9   0.0   141   189   383   430   381   436 0.73 | transcript=PVPAM_090010700_t1 | gene=PVPAM_090010700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein WRAP73, putative | transcript_product=WD repeat-containing protein WRAP73, putative | location=CASCJQ010000009:352883-355982(-) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720341.1         -            462 6833at5820           -            348    0.0069   13.9   3.1   1   4         3   8.5e+02   -2.8   0.1   284   340    28    89    13    94 0.53 | transcript=PVPAM_090010700_t2 | gene=PVPAM_090010700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein WRAP73, putative | transcript_product=WD repeat-containing protein WRAP73, putative | location=CASCJQ010000009:352883-355982(-) | protein_length=462 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720341.1         -            462 6833at5820           -            348    0.0069   13.9   3.1   2   4       1.3   3.7e+02   -1.6   0.0   194   230   235   269   220   285 0.75 | transcript=PVPAM_090010700_t2 | gene=PVPAM_090010700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein WRAP73, putative | transcript_product=WD repeat-containing protein WRAP73, putative | location=CASCJQ010000009:352883-355982(-) | protein_length=462 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720341.1         -            462 6833at5820           -            348    0.0069   13.9   3.1   3   4     0.013       3.5    5.0   0.1   237   274   359   395   343   396 0.85 | transcript=PVPAM_090010700_t2 | gene=PVPAM_090010700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein WRAP73, putative | transcript_product=WD repeat-containing protein WRAP73, putative | location=CASCJQ010000009:352883-355982(-) | protein_length=462 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720341.1         -            462 6833at5820           -            348    0.0069   13.9   3.1   4   4   0.00043      0.12    9.8   0.0   141   189   392   439   390   445 0.73 | transcript=PVPAM_090010700_t2 | gene=PVPAM_090010700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein WRAP73, putative | transcript_product=WD repeat-containing protein WRAP73, putative | location=CASCJQ010000009:352883-355982(-) | protein_length=462 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6833at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6833at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6833at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:46 2026
# [ok]
