#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084500.1-p1      -            694 5720at5820           -            385  5.8e-223  738.5  47.8   1   4   4.5e-85   1.1e-82  276.7  15.5     1   146     1   163     1   170 0.90 | transcript=PVX_084500.1 | gene=PVX_084500 | organism=Plasmodium_vivax_Sal-1 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=Pv_Sal1_chr13:371389-373473(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081265.1-p1      -            447 5720at5820           -            385   7.4e-06   23.8   0.4   1   1     1e-07   2.4e-05   22.1   0.4    82   343   167   435   124   446 0.69 | transcript=PVX_081265.1 | gene=PVX_081265 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromatin assembly factor 1 protein WD40 domain, putative | transcript_product=chromatin assembly factor 1 protein WD40 domain, putative | location=Pv_Sal1_chr02:210496-211839(+) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111390.1-p1      -            629 5720at5820           -            385   9.3e-06   23.5   7.2   1   4     0.015       3.7    5.1   0.5     9    54   333   378   326   386 0.86 | transcript=PVX_111390.1 | gene=PVX_111390 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=Pv_Sal1_chr06:504070-505959(-) | protein_length=629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111390.1-p1      -            629 5720at5820           -            385   9.3e-06   23.5   7.2   2   4   0.00048      0.12   10.0   0.8   173   235   390   451   380   459 0.83 | transcript=PVX_111390.1 | gene=PVX_111390 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=Pv_Sal1_chr06:504070-505959(-) | protein_length=629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111390.1-p1      -            629 5720at5820           -            385   9.3e-06   23.5   7.2   3   4     0.065        16    3.0   0.0    10    50   459   502   455   511 0.67 | transcript=PVX_111390.1 | gene=PVX_111390 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=Pv_Sal1_chr06:504070-505959(-) | protein_length=629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111390.1-p1      -            629 5720at5820           -            385   9.3e-06   23.5   7.2   4   4    0.0078       1.9    6.0   0.0   161   232   508   578   501   582 0.81 | transcript=PVX_111390.1 | gene=PVX_111390 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=Pv_Sal1_chr06:504070-505959(-) | protein_length=629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089605.1-p1      -            458 5720at5820           -            385     2e-05   22.4   3.2   1   3     0.037       8.9    3.8   0.1   205   242   274   311   243   316 0.84 | transcript=PVX_089605.1 | gene=PVX_089605 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr05:693181-694557(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089605.1-p1      -            458 5720at5820           -            385     2e-05   22.4   3.2   2   3   0.00011     0.026   12.2   1.0   343   382   321   357   265   360 0.63 | transcript=PVX_089605.1 | gene=PVX_089605 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr05:693181-694557(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089605.1-p1      -            458 5720at5820           -            385     2e-05   22.4   3.2   3   3    0.0077       1.8    6.1   0.0   306   336   369   400   362   418 0.62 | transcript=PVX_089605.1 | gene=PVX_089605 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr05:693181-694557(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097595.1-p1      -            944 5720at5820           -            385   2.5e-05   22.1  15.4   1   5     2e-05    0.0049   14.5   0.1   194   238   196   240   168   263 0.71 | transcript=PVX_097595.1 | gene=PVX_097595 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1308582-1311416(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097595.1-p1      -            944 5720at5820           -            385   2.5e-05   22.1  15.4   2   5   2.5e-05     0.006   14.3   0.1    10    50   203   243   194   309 0.54 | transcript=PVX_097595.1 | gene=PVX_097595 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1308582-1311416(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097595.1-p1      -            944 5720at5820           -            385   2.5e-05   22.1  15.4   3   5   5.7e-05     0.014   13.1   0.3     7    60   303   357   291   376 0.83 | transcript=PVX_097595.1 | gene=PVX_097595 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1308582-1311416(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097595.1-p1      -            944 5720at5820           -            385   2.5e-05   22.1  15.4   4   5       1.1   2.6e+02   -1.0   0.6    19   112   498   596   486   673 0.61 | transcript=PVX_097595.1 | gene=PVX_097595 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1308582-1311416(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097595.1-p1      -            944 5720at5820           -            385   2.5e-05   22.1  15.4   5   5      0.11        26    2.3   0.2    12    46   823   857   791   897 0.67 | transcript=PVX_097595.1 | gene=PVX_097595 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1308582-1311416(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101450.1-p1      -            558 5720at5820           -            385    0.0011   16.7   0.7   1   2     0.032       7.8    4.0   0.0   199   234    62    98    51   112 0.82 | transcript=PVX_101450.1 | gene=PVX_101450 | organism=Plasmodium_vivax_Sal-1 | gene_product=coronin, putative | transcript_product=coronin, putative | location=Pv_Sal1_chr14:2900350-2902407(+) | protein_length=558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101450.1-p1      -            558 5720at5820           -            385    0.0011   16.7   0.7   2   2    0.0006      0.14    9.7   0.5     9    46   114   152   107   174 0.63 | transcript=PVX_101450.1 | gene=PVX_101450 | organism=Plasmodium_vivax_Sal-1 | gene_product=coronin, putative | transcript_product=coronin, putative | location=Pv_Sal1_chr14:2900350-2902407(+) | protein_length=558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113565.1-p1      -            361 5720at5820           -            385    0.0078   13.9   3.0   1   2    0.0042         1    6.9   0.8   198   232   186   220   178   231 0.89 | transcript=PVX_113565.1 | gene=PVX_113565 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr11:1697877-1700429(+) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113565.1-p1      -            361 5720at5820           -            385    0.0078   13.9   3.0   2   2    0.0048       1.2    6.7   0.0   158   217   235   291   228   309 0.61 | transcript=PVX_113565.1 | gene=PVX_113565 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr11:1697877-1700429(+) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124070.1-p1      -           2973 5720at5820           -            385     0.077   10.6   2.8   1   1    0.0032      0.76    7.3   2.8   100   189   131   220    53   222 0.67 | transcript=PVX_124070.1 | gene=PVX_124070 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr14:2020097-2029018(-) | protein_length=2973 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5720at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5720at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5720at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:05 2026
# [ok]
