#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085300.1-p1      -            284 11010at5820          -            232  7.9e-139  459.2  26.0   1   1  1.4e-140  1.4e-138  458.4  26.0     1   232    18   279    18   279 0.96 | transcript=PVX_085300.1 | gene=PVX_085300 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr13:1079692-1081903(-) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095165.1-p1      -            327 11010at5820          -            232   2.3e-09   35.5   0.5   1   1   3.4e-10   3.3e-08   31.7   0.5    66   232    80   280    30   280 0.70 | transcript=PVX_095165.1 | gene=PVX_095165 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr08:854649-855966(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119675.1-p1      -           3008 11010at5820          -            232   6.6e-09   34.0   0.4   1   2     5e-10   4.8e-08   31.2   0.1    30   142   194   309   161   323 0.78 | transcript=PVX_119675.1 | gene=PVX_119675 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr08:1266625-1275824(-) | protein_length=3008 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119675.1-p1      -           3008 11010at5820          -            232   6.6e-09   34.0   0.4   2   2       1.3   1.3e+02    0.4   0.0   198   231   406   442   360   443 0.77 | transcript=PVX_119675.1 | gene=PVX_119675 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr08:1266625-1275824(-) | protein_length=3008 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099725.1-p1      -           3247 11010at5820          -            232     1e-08   33.4   3.0   1   1   1.1e-10     1e-08   33.4   3.0    10   156  2955  3108  2948  3118 0.79 | transcript=PVX_099725.1 | gene=PVX_099725 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:991258-1001001(-) | protein_length=3247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094935.1-p1      -            325 11010at5820          -            232   1.2e-08   33.2  11.6   1   2   1.2e-10   1.2e-08   33.2  11.6     9   158    14   162     5   188 0.83 | transcript=PVX_094935.1 | gene=PVX_094935 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclin dependent kinase 7 (cdk7), putative | transcript_product=cyclin dependent kinase 7 (cdk7), putative | location=Pv_Sal1_chr08:666484-667461(+) | protein_length=325 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094935.1-p1      -            325 11010at5820          -            232   1.2e-08   33.2  11.6   2   2       3.3   3.2e+02   -0.9   0.1   207   227   280   300   258   311 0.64 | transcript=PVX_094935.1 | gene=PVX_094935 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclin dependent kinase 7 (cdk7), putative | transcript_product=cyclin dependent kinase 7 (cdk7), putative | location=Pv_Sal1_chr08:666484-667461(+) | protein_length=325 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118270.1-p1      -           1526 11010at5820          -            232   3.7e-08   31.6  16.2   1   4       9.6   9.4e+02   -2.5   0.2    40    75   416   451   412   461 0.68 | transcript=PVX_118270.1 | gene=PVX_118270 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2540762-2545493(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118270.1-p1      -           1526 11010at5820          -            232   3.7e-08   31.6  16.2   2   4   1.6e-05    0.0016   16.4   1.9     8    82   463   549   456   554 0.65 | transcript=PVX_118270.1 | gene=PVX_118270 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2540762-2545493(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118270.1-p1      -           1526 11010at5820          -            232   3.7e-08   31.6  16.2   3   4   8.9e-10   8.6e-08   30.4   6.7    45   158   554   674   550   769 0.82 | transcript=PVX_118270.1 | gene=PVX_118270 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2540762-2545493(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118270.1-p1      -           1526 11010at5820          -            232   3.7e-08   31.6  16.2   4   4       6.5   6.3e+02   -1.9   0.1   115   173   765   826   751   867 0.66 | transcript=PVX_118270.1 | gene=PVX_118270 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2540762-2545493(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118220.1-p1      -            885 11010at5820          -            232   4.5e-08   31.3   5.2   1   1   4.6e-10   4.5e-08   31.3   5.2     5   140   556   691   552   743 0.86 | transcript=PVX_118220.1 | gene=PVX_118220 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine kinase-1, putative | transcript_product=serine/threonine kinase-1, putative | location=Pv_Sal1_chr12:2512696-2515353(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113910.1-p1      -            806 11010at5820          -            232   1.9e-06   26.0   9.5   1   4       1.4   1.4e+02    0.3   0.0    28    79    71   123    62   131 0.82 | transcript=PVX_113910.1 | gene=PVX_113910 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-like protein kinase, putative | transcript_product=cdc2-like protein kinase, putative | location=Pv_Sal1_chr11:1397033-1399453(-) | protein_length=806 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113910.1-p1      -            806 11010at5820          -            232   1.9e-06   26.0   9.5   2   4   2.7e-07   2.7e-05   22.2   0.1    64   156   143   243   127   256 0.76 | transcript=PVX_113910.1 | gene=PVX_113910 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-like protein kinase, putative | transcript_product=cdc2-like protein kinase, putative | location=Pv_Sal1_chr11:1397033-1399453(-) | protein_length=806 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113910.1-p1      -            806 11010at5820          -            232   1.9e-06   26.0   9.5   3   4     0.014       1.3    6.9   0.1   176   231   529   592   521   593 0.76 | transcript=PVX_113910.1 | gene=PVX_113910 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-like protein kinase, putative | transcript_product=cdc2-like protein kinase, putative | location=Pv_Sal1_chr11:1397033-1399453(-) | protein_length=806 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113910.1-p1      -            806 11010at5820          -            232   1.9e-06   26.0   9.5   4   4       5.6   5.5e+02   -1.7   0.7    42    77   684   723   670   728 0.66 | transcript=PVX_113910.1 | gene=PVX_113910 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-like protein kinase, putative | transcript_product=cdc2-like protein kinase, putative | location=Pv_Sal1_chr11:1397033-1399453(-) | protein_length=806 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099890.1-p1      -            590 11010at5820          -            232   5.2e-06   24.6   7.0   1   3     0.065       6.3    4.6   0.2    43    77   258   292   223   300 0.82 | transcript=PVX_099890.1 | gene=PVX_099890 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr07:1103151-1104923(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099890.1-p1      -            590 11010at5820          -            232   5.2e-06   24.6   7.0   2   3   3.8e-07   3.7e-05   21.7   1.4   108   171   388   452   375   466 0.79 | transcript=PVX_099890.1 | gene=PVX_099890 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr07:1103151-1104923(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099890.1-p1      -            590 11010at5820          -            232   5.2e-06   24.6   7.0   3   3       5.8   5.6e+02   -1.7   0.0   170   187   498   515   493   528 0.82 | transcript=PVX_099890.1 | gene=PVX_099890 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr07:1103151-1104923(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089720.1-p1      -           1573 11010at5820          -            232   9.4e-06   23.7   0.1   1   3         3   2.9e+02   -0.8   0.3    40    71   635   669   604   675 0.66 | transcript=PVX_089720.1 | gene=PVX_089720 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr05:784803-789650(+) | protein_length=1573 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089720.1-p1      -           1573 11010at5820          -            232   9.4e-06   23.7   0.1   2   3   9.7e-08   9.4e-06   23.7   0.1   106   156   857   905   847   922 0.78 | transcript=PVX_089720.1 | gene=PVX_089720 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr05:784803-789650(+) | protein_length=1573 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089720.1-p1      -           1573 11010at5820          -            232   9.4e-06   23.7   0.1   3   3       2.2   2.2e+02   -0.4   0.0   208   231  1029  1055   993  1056 0.69 | transcript=PVX_089720.1 | gene=PVX_089720 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr05:784803-789650(+) | protein_length=1573 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118340.1-p1      -           1309 11010at5820          -            232   1.6e-05   23.0   3.5   1   2   1.6e-07   1.6e-05   23.0   3.5    64   152   918  1007   870  1012 0.86 | transcript=PVX_118340.1 | gene=PVX_118340 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2612703-2616632(+) | protein_length=1309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118340.1-p1      -           1309 11010at5820          -            232   1.6e-05   23.0   3.5   2   2       9.9   9.6e+02   -2.5   0.0   133   153  1072  1092  1067  1147 0.73 | transcript=PVX_118340.1 | gene=PVX_118340 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2612703-2616632(+) | protein_length=1309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081395.1-p1      -           3309 11010at5820          -            232   1.6e-05   22.9   2.9   1   1   4.2e-07     4e-05   21.6   2.9    77   155  3077  3152  3060  3175 0.79 | transcript=PVX_081395.1 | gene=PVX_081395 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr02:299845-311073(-) | protein_length=3309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089305.1-p1      -            800 11010at5820          -            232   0.00019   19.4   8.3   1   3     0.045       4.4    5.2   1.2     4    75    34    96    31   128 0.77 | transcript=PVX_089305.1 | gene=PVX_089305 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr05:447665-450264(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089305.1-p1      -            800 11010at5820          -            232   0.00019   19.4   8.3   2   3   9.2e-05    0.0089   14.0   0.3    98   144   228   275   219   279 0.77 | transcript=PVX_089305.1 | gene=PVX_089305 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr05:447665-450264(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089305.1-p1      -            800 11010at5820          -            232   0.00019   19.4   8.3   3   3      0.25        24    2.7   0.0   202   228   684   710   671   714 0.81 | transcript=PVX_089305.1 | gene=PVX_089305 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr05:447665-450264(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 11010at5820          -            232    0.0021   16.0   1.5   1   2         2     2e+02   -0.3   0.0    58    96   833   872   822   894 0.67 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 11010at5820          -            232    0.0021   16.0   1.5   2   2     9e-05    0.0088   14.0   0.0   100   155   902   956   899   965 0.83 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096115.1-p1      -           2060 11010at5820          -            232    0.0028   15.6   2.0   1   1   5.1e-05    0.0049   14.8   2.0    49   160  1848  1956  1814  1973 0.79 | transcript=PVX_096115.1 | gene=PVX_096115 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr03:749024-755872(-) | protein_length=2060 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083360.1-p1      -           1736 11010at5820          -            232     0.005   14.8   0.3   1   1   5.1e-05     0.005   14.8   0.3    81   157  1527  1610  1468  1621 0.70 | transcript=PVX_083360.1 | gene=PVX_083360 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr12:174109-179319(-) | protein_length=1736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082880.1-p1      -            897 11010at5820          -            232     0.008   14.1   0.4   1   1    0.0024      0.23    9.3   0.2     1   154   397   579   397   588 0.63 | transcript=PVX_082880.1 | gene=PVX_082880 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr12:622663-625356(+) | protein_length=897 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11010at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11010at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11010at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:09 2026
# [ok]
