#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_092155.1-p1      -            156 14831at5820          -            106   9.8e-38  126.9  11.0   1   2   6.2e-40   9.8e-38  126.9  11.0     1   101     1   112     1   117 0.79 | transcript=PVX_092155.1 | gene=PVX_092155 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr09:1133265-1133735(-) | protein_length=156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123535.1-p1      -           1127 14831at5820          -            106   0.00098   17.6   0.4   2   6       4.5   7.1e+02   -1.2   3.8    75   103   209   228   192   241 0.51 | transcript=PVX_123535.1 | gene=PVX_123535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:1501610-1504993(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123535.1-p1      -           1127 14831at5820          -            106   0.00098   17.6   0.4   3   6    0.0088       1.4    7.5   0.3    39    80   501   542   491   575 0.74 | transcript=PVX_123535.1 | gene=PVX_123535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:1501610-1504993(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123535.1-p1      -           1127 14831at5820          -            106   0.00098   17.6   0.4   4   6   6.2e-06   0.00098   17.6   0.4     3    55   713   765   711   775 0.93 | transcript=PVX_123535.1 | gene=PVX_123535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:1501610-1504993(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123535.1-p1      -           1127 14831at5820          -            106   0.00098   17.6   0.4   5   6     0.071        11    4.5   4.1     2    49   867   915   866   975 0.78 | transcript=PVX_123535.1 | gene=PVX_123535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:1501610-1504993(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123535.1-p1      -           1127 14831at5820          -            106   0.00098   17.6   0.4   6   6   0.00083      0.13   10.7   3.5     5    76   987  1063   983  1119 0.78 | transcript=PVX_123535.1 | gene=PVX_123535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:1501610-1504993(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099460.1-p1      -            475 14831at5820          -            106    0.0039   15.6  14.8   1   3    0.0016      0.25    9.9   0.5     2    52    93   148    92   166 0.84 | transcript=PVX_099460.1 | gene=PVX_099460 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:790787-792409(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099460.1-p1      -            475 14831at5820          -            106    0.0039   15.6  14.8   2   3       3.8   5.9e+02   -1.0   0.5    81    99   277   297   240   303 0.59 | transcript=PVX_099460.1 | gene=PVX_099460 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:790787-792409(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099460.1-p1      -            475 14831at5820          -            106    0.0039   15.6  14.8   3   3   0.00012     0.018   13.5   2.2     3    71   302   378   299   396 0.74 | transcript=PVX_099460.1 | gene=PVX_099460 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:790787-792409(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117025.1-p1      -            914 14831at5820          -            106    0.0067   14.9   0.1   1   2   4.2e-05    0.0067   14.9   0.1     3    74   676   753   674   772 0.74 | transcript=PVX_117025.1 | gene=PVX_117025 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing factor U2AF large subunit, putative | transcript_product=splicing factor U2AF large subunit, putative | location=Pv_Sal1_chr12:1469113-1471857(+) | protein_length=914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117025.1-p1      -            914 14831at5820          -            106    0.0067   14.9   0.1   2   2       3.4   5.4e+02   -0.9   0.0    31    78   858   905   855   912 0.75 | transcript=PVX_117025.1 | gene=PVX_117025 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing factor U2AF large subunit, putative | transcript_product=splicing factor U2AF large subunit, putative | location=Pv_Sal1_chr12:1469113-1471857(+) | protein_length=914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089205.1-p1      -            292 14831at5820          -            106    0.0083   14.6   0.0   1   2      0.13        21    3.7   0.0     3    58     6    66     4    74 0.74 | transcript=PVX_089205.1 | gene=PVX_089205 | organism=Plasmodium_vivax_Sal-1 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=Pv_Sal1_chr05:382086-383300(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089205.1-p1      -            292 14831at5820          -            106    0.0083   14.6   0.0   2   2    0.0065         1    7.9   0.0     7    77   158   233   154   244 0.74 | transcript=PVX_089205.1 | gene=PVX_089205 | organism=Plasmodium_vivax_Sal-1 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=Pv_Sal1_chr05:382086-383300(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116785.1-p1      -           1016 14831at5820          -            106     0.021   13.3   0.0   1   3       3.9   6.2e+02   -1.1   0.0     5    40   626   662   623   711 0.77 | transcript=PVX_116785.1 | gene=PVX_116785 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=Pv_Sal1_chr12:1293026-1296231(-) | protein_length=1016 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116785.1-p1      -           1016 14831at5820          -            106     0.021   13.3   0.0   2   3   0.00013     0.021   13.3   0.0    14   101   737   830   727   835 0.80 | transcript=PVX_116785.1 | gene=PVX_116785 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=Pv_Sal1_chr12:1293026-1296231(-) | protein_length=1016 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116785.1-p1      -           1016 14831at5820          -            106     0.021   13.3   0.0   3   3     0.011       1.8    7.1   0.0    40    75   946   980   940  1003 0.85 | transcript=PVX_116785.1 | gene=PVX_116785 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=Pv_Sal1_chr12:1293026-1296231(-) | protein_length=1016 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100755.1-p1      -            505 14831at5820          -            106     0.027   13.0   6.6   1   3      0.07        11    4.6   0.2     5    40    17    53    13    70 0.82 | transcript=PVX_100755.1 | gene=PVX_100755 | organism=Plasmodium_vivax_Sal-1 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=Pv_Sal1_chr14:2357427-2358944(-) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100755.1-p1      -            505 14831at5820          -            106     0.027   13.0   6.6   2   3       5.4   8.5e+02   -1.5   0.1     2    16   381   395   380   409 0.84 | transcript=PVX_100755.1 | gene=PVX_100755 | organism=Plasmodium_vivax_Sal-1 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=Pv_Sal1_chr14:2357427-2358944(-) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100755.1-p1      -            505 14831at5820          -            106     0.027   13.0   6.6   3   3   0.00061     0.096   11.2   0.1    20    76   438   499   420   505 0.73 | transcript=PVX_100755.1 | gene=PVX_100755 | organism=Plasmodium_vivax_Sal-1 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=Pv_Sal1_chr14:2357427-2358944(-) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080385.1-p1      -            314 14831at5820          -            106     0.048   12.1   0.0   1   1   0.00031     0.048   12.1   0.0     5    73     9    80     3   108 0.80 | transcript=PVX_080385.1 | gene=PVX_080385 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=Pv_Sal1_chr10:626300-627451(+) | protein_length=314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113320.1-p1      -            485 14831at5820          -            106      0.22   10.0  11.3   1   2   9.6e-05     0.015   13.8   2.6     4    97   171   262   168   270 0.76 | transcript=PVX_113320.1 | gene=PVX_113320 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1916566-1918023(+) | protein_length=485 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113320.1-p1      -            485 14831at5820          -            106      0.22   10.0  11.3   2   2      0.65     1e+02    1.4   0.3    25    66   441   481   420   485 0.73 | transcript=PVX_113320.1 | gene=PVX_113320 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1916566-1918023(+) | protein_length=485 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099257.1-p1      -            339 14831at5820          -            106       0.4    9.2   9.4   1   1   7.8e-05     0.012   14.1   2.3     3    94   169   263   167   276 0.69 | transcript=PVX_099257.1 | gene=PVX_099257 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein musashi, putative | transcript_product=RNA-binding protein musashi, putative | location=Pv_Sal1_chr07:628751-629772(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123315.1-p1      -            746 14831at5820          -            106       1.3    7.6   6.9   1   2       2.6   4.1e+02   -0.5   0.1    32    92   149   212   129   219 0.76 | transcript=PVX_123315.1 | gene=PVX_123315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1345629-1347869(-) | protein_length=746 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123315.1-p1      -            746 14831at5820          -            106       1.3    7.6   6.9   2   2    0.0038       0.6    8.6   2.3    11    60   240   291   231   301 0.83 | transcript=PVX_123315.1 | gene=PVX_123315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1345629-1347869(-) | protein_length=746 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14831at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14831at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14831at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:29 2026
# [ok]
