#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_095370.1-p1      -           1391 1133at5820           -           1080         0 1822.6 106.9   1   2   6.7e-78   1.2e-75  253.7  44.7     1   327     1   486     1   494 0.86 | transcript=PVX_095370.1 | gene=PVX_095370 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr08:1061141-1065316(+) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082880.1-p1      -            897 1133at5820           -           1080   1.7e-08   31.3   0.0   2   3   8.3e-05     0.014   11.7   0.0   858   963   535   635   526   646 0.81 | transcript=PVX_082880.1 | gene=PVX_082880 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr12:622663-625356(+) | protein_length=897 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082880.1-p1      -            897 1133at5820           -           1080   1.7e-08   31.3   0.0   3   3   4.7e-06   0.00081   15.8   0.0  1030  1058   867   895   856   896 0.88 | transcript=PVX_082880.1 | gene=PVX_082880 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr12:622663-625356(+) | protein_length=897 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122575.1-p1      -            368 1133at5820           -           1080   1.9e-08   31.2   3.9   1   1   1.1e-10   1.9e-08   31.2   3.9   846   967   200   309   147   326 0.78 | transcript=PVX_122575.1 | gene=PVX_122575 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr14:693706-694812(+) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117985.1-p1      -            377 1133at5820           -           1080   3.2e-07   27.1   2.3   1   3   0.00015     0.026   10.8   0.9   554   576    37    59    33   107 0.88 | transcript=PVX_117985.1 | gene=PVX_117985 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr12:2309678-2312310(-) | protein_length=377 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117985.1-p1      -            377 1133at5820           -           1080   3.2e-07   27.1   2.3   2   3   1.8e-09   3.2e-07   27.1   2.3   849   979   140   261   109   274 0.84 | transcript=PVX_117985.1 | gene=PVX_117985 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr12:2309678-2312310(-) | protein_length=377 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117985.1-p1      -            377 1133at5820           -           1080   3.2e-07   27.1   2.3   3   3       2.2   3.8e+02   -2.9   0.0  1032  1058   284   310   279   322 0.89 | transcript=PVX_117985.1 | gene=PVX_117985 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr12:2309678-2312310(-) | protein_length=377 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079950.1-p1      -            288 1133at5820           -           1080   2.2e-06   24.3   1.1   1   2       2.7   4.6e+02   -3.2   0.1   559   602    12    53    11    78 0.60 | transcript=PVX_079950.1 | gene=PVX_079950 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase Nek1, putative | transcript_product=serine/threonine-protein kinase Nek1, putative | location=Pv_Sal1_chr10:235807-238034(-) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079950.1-p1      -            288 1133at5820           -           1080   2.2e-06   24.3   1.1   2   2   1.5e-08   2.5e-06   24.1   0.1   852   961   112   206    96   220 0.82 | transcript=PVX_079950.1 | gene=PVX_079950 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase Nek1, putative | transcript_product=serine/threonine-protein kinase Nek1, putative | location=Pv_Sal1_chr10:235807-238034(-) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003590.1-p1      -           2125 1133at5820           -           1080   1.8e-05   21.3   0.8   1   1   3.5e-07     6e-05   19.6   0.8   858   970  1804  1903  1788  1914 0.77 | transcript=PVX_003590.1 | gene=PVX_003590 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-specific protein kinase, putative | transcript_product=serine/threonine-specific protein kinase, putative | location=Pv_Sal1_chr04:748723-755100(+) | protein_length=2125 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085300.1-p1      -            284 1133at5820           -           1080   6.1e-05   19.6  17.7   1   3      0.59     1e+02   -1.0   6.7   558   630    21    91     4    97 0.77 | transcript=PVX_085300.1 | gene=PVX_085300 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr13:1079692-1081903(-) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085300.1-p1      -            284 1133at5820           -           1080   6.1e-05   19.6  17.7   2   3   0.00012     0.021   11.2  12.6   791   972    54   226    51   238 0.67 | transcript=PVX_085300.1 | gene=PVX_085300 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr13:1079692-1081903(-) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085300.1-p1      -            284 1133at5820           -           1080   6.1e-05   19.6  17.7   3   3   0.00062      0.11    8.8   0.0  1026  1058   248   280   243   283 0.93 | transcript=PVX_085300.1 | gene=PVX_085300 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr13:1079692-1081903(-) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092440.1-p1      -            323 1133at5820           -           1080    0.0002   17.8   1.9   1   2      0.17        29    0.7   0.1   557   579     7    29     4    51 0.82 | transcript=PVX_092440.1 | gene=PVX_092440 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=Pv_Sal1_chr09:1376598-1379036(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092440.1-p1      -            323 1133at5820           -           1080    0.0002   17.8   1.9   2   2   4.5e-06   0.00078   15.9   0.2   860   887   110   137   100   153 0.87 | transcript=PVX_092440.1 | gene=PVX_092440 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=Pv_Sal1_chr09:1376598-1379036(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002865.1-p1      -            344 1133at5820           -           1080     0.004   13.5   1.9   1   2      0.52        90   -0.9   0.6   368   443    56   131    17   144 0.53 | transcript=PVX_002865.1 | gene=PVX_002865 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr04:336029-337650(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002865.1-p1      -            344 1133at5820           -           1080     0.004   13.5   1.9   2   2   0.00042     0.072    9.4   0.0   872  1063   167   328   147   341 0.63 | transcript=PVX_002865.1 | gene=PVX_002865 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr04:336029-337650(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123357.1-p1      -            118 1133at5820           -           1080     0.015   11.7   0.4   1   1   9.6e-05     0.017   11.5   0.4   310   398    11   102     2   114 0.68 | transcript=PVX_123357.1 | gene=PVX_123357 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr14:1390685-1391185(-) | protein_length=118 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090925.1-p1      -           1278 1133at5820           -           1080     0.017   11.4  18.5   1   2   6.9e-05     0.012   12.0  12.9   777   889   284   402   257   408 0.64 | transcript=PVX_090925.1 | gene=PVX_090925 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr09:103326-107162(+) | protein_length=1278 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090925.1-p1      -           1278 1133at5820           -           1080     0.017   11.4  18.5   2   2     0.089        15    1.7   0.3   929   966   535   571   527   576 0.79 | transcript=PVX_090925.1 | gene=PVX_090925 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr09:103326-107162(+) | protein_length=1278 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119675.1-p1      -           3008 1133at5820           -           1080     0.024   10.9   0.1   1   2      0.36        63   -0.4   0.1   850   960   268   375   236   378 0.66 | transcript=PVX_119675.1 | gene=PVX_119675 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr08:1266625-1275824(-) | protein_length=3008 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119675.1-p1      -           3008 1133at5820           -           1080     0.024   10.9   0.1   2   2    0.0011      0.19    8.0   0.0  1026  1059   412   445   404   458 0.88 | transcript=PVX_119675.1 | gene=PVX_119675 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr08:1266625-1275824(-) | protein_length=3008 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1133at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1133at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1133at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:09 2026
# [ok]
