#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118095.1-p1      -           1215 1841at5820           -            929         0 1701.2  87.0   1   4  9.9e-149  2.2e-146  487.9  22.5     1   263     1   276     1   283 0.96 | transcript=PVX_118095.1 | gene=PVX_118095 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2406101-2409897(+) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082410.1-p1      -            533 1841at5820           -            929   1.1e-06   25.6   3.0   3   3      0.31        70   -0.2   0.0   419   473   470   527   456   531 0.78 | transcript=PVX_082410.1 | gene=PVX_082410 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromatin assembly factor 1 P55 subunit, putative | transcript_product=chromatin assembly factor 1 P55 subunit, putative | location=Pv_Sal1_chr12:943725-945326(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000590.1-p1      -            327 1841at5820           -            929   1.5e-06   25.2   1.1   1   4    0.0081       1.8    5.0   0.0   579   616     6    43     2    46 0.88 | transcript=PVX_000590.1 | gene=PVX_000590 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 3 subunit 2, putative | transcript_product=eukaryotic translation initiation factor 3 subunit 2, putative | location=Pv_Sal1_chr03:448728-450117(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000590.1-p1      -            327 1841at5820           -            929   1.5e-06   25.2   1.1   2   4      0.22        48    0.3   0.0   578   624    46    92    43   121 0.83 | transcript=PVX_000590.1 | gene=PVX_000590 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 3 subunit 2, putative | transcript_product=eukaryotic translation initiation factor 3 subunit 2, putative | location=Pv_Sal1_chr03:448728-450117(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000590.1-p1      -            327 1841at5820           -            929   1.5e-06   25.2   1.1   3   4   8.9e-06     0.002   14.8   0.1   595   661   154   220   127   233 0.89 | transcript=PVX_000590.1 | gene=PVX_000590 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 3 subunit 2, putative | transcript_product=eukaryotic translation initiation factor 3 subunit 2, putative | location=Pv_Sal1_chr03:448728-450117(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000590.1-p1      -            327 1841at5820           -            929   1.5e-06   25.2   1.1   4   4      0.28        63   -0.1   0.0   134   161   271   298   260   322 0.59 | transcript=PVX_000590.1 | gene=PVX_000590 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 3 subunit 2, putative | transcript_product=eukaryotic translation initiation factor 3 subunit 2, putative | location=Pv_Sal1_chr03:448728-450117(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084500.1-p1      -            694 1841at5820           -            929   6.8e-06   23.0   0.8   1   4   0.00078      0.17    8.4   0.2   576   639     6    69     1    84 0.83 | transcript=PVX_084500.1 | gene=PVX_084500 | organism=Plasmodium_vivax_Sal-1 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=Pv_Sal1_chr13:371389-373473(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084500.1-p1      -            694 1841at5820           -            929   6.8e-06   23.0   0.8   2   4       0.1        22    1.4   0.3   107   154    85   135    71   147 0.81 | transcript=PVX_084500.1 | gene=PVX_084500 | organism=Plasmodium_vivax_Sal-1 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=Pv_Sal1_chr13:371389-373473(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084500.1-p1      -            694 1841at5820           -            929   6.8e-06   23.0   0.8   3   4   3.1e-08   6.8e-06   23.0   0.8   637   718   261   346   249   371 0.83 | transcript=PVX_084500.1 | gene=PVX_084500 | organism=Plasmodium_vivax_Sal-1 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=Pv_Sal1_chr13:371389-373473(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084500.1-p1      -            694 1841at5820           -            929   6.8e-06   23.0   0.8   4   4       1.3   2.8e+02   -2.2   1.4   574   619   604   651   592   693 0.35 | transcript=PVX_084500.1 | gene=PVX_084500 | organism=Plasmodium_vivax_Sal-1 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=Pv_Sal1_chr13:371389-373473(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100830.1-p1      -            507 1841at5820           -            929   8.3e-06   22.7   3.3   1   1   1.1e-07   2.5e-05   21.1   3.3   103   238   278   406   270   444 0.78 | transcript=PVX_100830.1 | gene=PVX_100830 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2412994-2414836(+) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083090.1-p1      -            644 1841at5820           -            929   1.9e-05   21.5   4.6   1   3    0.0079       1.7    5.1   0.2   568   622   224   284   218   331 0.75 | transcript=PVX_083090.1 | gene=PVX_083090 | organism=Plasmodium_vivax_Sal-1 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=Pv_Sal1_chr12:417792-419726(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083090.1-p1      -            644 1841at5820           -            929   1.9e-05   21.5   4.6   2   3   8.7e-08   1.9e-05   21.5   4.6    72   220   437   578   429   579 0.86 | transcript=PVX_083090.1 | gene=PVX_083090 | organism=Plasmodium_vivax_Sal-1 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=Pv_Sal1_chr12:417792-419726(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083090.1-p1      -            644 1841at5820           -            929   1.9e-05   21.5   4.6   3   3   1.7e-05    0.0037   13.9   4.0   599   680   533   615   529   640 0.53 | transcript=PVX_083090.1 | gene=PVX_083090 | organism=Plasmodium_vivax_Sal-1 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=Pv_Sal1_chr12:417792-419726(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000785.1-p1      -            499 1841at5820           -            929   2.3e-05   21.3   4.7   1   3   3.9e-06   0.00086   16.0   0.1    55   144    55   144    40   158 0.72 | transcript=PVX_000785.1 | gene=PVX_000785 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosomal processing protein, putative | transcript_product=ribosomal processing protein, putative | location=Pv_Sal1_chr03:310046-311545(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000785.1-p1      -            499 1841at5820           -            929   2.3e-05   21.3   4.7   2   3     0.028       6.2    3.2   0.2    60   160   245   346   240   351 0.78 | transcript=PVX_000785.1 | gene=PVX_000785 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosomal processing protein, putative | transcript_product=ribosomal processing protein, putative | location=Pv_Sal1_chr03:310046-311545(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000785.1-p1      -            499 1841at5820           -            929   2.3e-05   21.3   4.7   3   3    0.0048       1.1    5.8   0.2    64   136   291   364   284   371 0.90 | transcript=PVX_000785.1 | gene=PVX_000785 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosomal processing protein, putative | transcript_product=ribosomal processing protein, putative | location=Pv_Sal1_chr03:310046-311545(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091450.1-p1      -            464 1841at5820           -            929   0.00033   17.4   4.9   1   3       1.9   4.2e+02   -2.8   0.0   675   712    16    54    13    61 0.77 | transcript=PVX_091450.1 | gene=PVX_091450 | organism=Plasmodium_vivax_Sal-1 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=Pv_Sal1_chr09:529466-530860(-) | protein_length=464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091450.1-p1      -            464 1841at5820           -            929   0.00033   17.4   4.9   2   3    0.0017      0.38    7.3   0.2   580   613   211   244   200   254 0.86 | transcript=PVX_091450.1 | gene=PVX_091450 | organism=Plasmodium_vivax_Sal-1 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=Pv_Sal1_chr09:529466-530860(-) | protein_length=464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091450.1-p1      -            464 1841at5820           -            929   0.00033   17.4   4.9   3   3   0.00016     0.036   10.6   0.5   537   607   319   389   300   401 0.76 | transcript=PVX_091450.1 | gene=PVX_091450 | organism=Plasmodium_vivax_Sal-1 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=Pv_Sal1_chr09:529466-530860(-) | protein_length=464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111390.1-p1      -            629 1841at5820           -            929    0.0061   13.2  18.9   1   3   0.00076      0.17    8.4   0.0    80   139   350   407   344   414 0.91 | transcript=PVX_111390.1 | gene=PVX_111390 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=Pv_Sal1_chr06:504070-505959(-) | protein_length=629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111390.1-p1      -            629 1841at5820           -            929    0.0061   13.2  18.9   2   3   0.00066      0.15    8.6   0.1    88   158   398   469   388   477 0.82 | transcript=PVX_111390.1 | gene=PVX_111390 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=Pv_Sal1_chr06:504070-505959(-) | protein_length=629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111390.1-p1      -            629 1841at5820           -            929    0.0061   13.2  18.9   3   3   0.00057      0.13    8.9   0.0   600   694   482   577   471   580 0.81 | transcript=PVX_111390.1 | gene=PVX_111390 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=Pv_Sal1_chr06:504070-505959(-) | protein_length=629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091590.1-p1      -            368 1841at5820           -            929     0.066    9.8  10.1   1   1   0.00059      0.13    8.8  10.1   264   338    30   105    25   119 0.68 | transcript=PVX_091590.1 | gene=PVX_091590 | organism=Plasmodium_vivax_Sal-1 | gene_product=tRNA methyltransferase, putative | transcript_product=tRNA methyltransferase, putative | location=Pv_Sal1_chr09:630720-632353(+) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1841at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1841at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1841at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:59 2026
# [ok]
