#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_087820.1-p1      -           1051 2481at5820           -            813         0 1419.5  58.3   1   3   5.4e-35   1.4e-32  111.0   0.0     9   105    59   164    52   170 0.89 | transcript=PVX_087820.1 | gene=PVX_087820 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr01:201631-204786(-) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080160.1-p1      -            816 2481at5820           -            813     2e-05   21.2  28.3   3   3   7.8e-08     2e-05   21.2  28.3   406   619   431   675   400   686 0.68 | transcript=PVX_080160.1 | gene=PVX_080160 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr10:441543-443993(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088190.1-p1      -           1266 2481at5820           -            813   4.9e-05   19.9   5.1   1   3       1.5   3.8e+02   -2.9   0.0    20    62    23    65    19    97 0.84 | transcript=PVX_088190.1 | gene=PVX_088190 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr01:487423-491223(+) | protein_length=1266 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088190.1-p1      -           1266 2481at5820           -            813   4.9e-05   19.9   5.1   2   3       4.7   1.2e+03   -4.5   1.5   769   776   436   443   415   470 0.52 | transcript=PVX_088190.1 | gene=PVX_088190 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr01:487423-491223(+) | protein_length=1266 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088190.1-p1      -           1266 2481at5820           -            813   4.9e-05   19.9   5.1   3   3   1.9e-07   4.9e-05   19.9   5.1   491   615   565   692   559   707 0.78 | transcript=PVX_088190.1 | gene=PVX_088190 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr01:487423-491223(+) | protein_length=1266 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117510.1-p1      -            787 2481at5820           -            813   0.00088   15.7   0.1   1   4       4.7   1.2e+03   -4.5   0.6   410   440   140   167   115   184 0.42 | transcript=PVX_117510.1 | gene=PVX_117510 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DBP5, putative | transcript_product=ATP-dependent RNA helicase DBP5, putative | location=Pv_Sal1_chr12:1917920-1920283(-) | protein_length=787 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117510.1-p1      -            787 2481at5820           -            813   0.00088   15.7   0.1   2   4   0.00065      0.16    8.3   0.2     5    64   353   412   348   448 0.85 | transcript=PVX_117510.1 | gene=PVX_117510 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DBP5, putative | transcript_product=ATP-dependent RNA helicase DBP5, putative | location=Pv_Sal1_chr12:1917920-1920283(-) | protein_length=787 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117510.1-p1      -            787 2481at5820           -            813   0.00088   15.7   0.1   3   4       1.1   2.9e+02   -2.5   0.1   330   380   487   533   476   556 0.76 | transcript=PVX_117510.1 | gene=PVX_117510 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DBP5, putative | transcript_product=ATP-dependent RNA helicase DBP5, putative | location=Pv_Sal1_chr12:1917920-1920283(-) | protein_length=787 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117510.1-p1      -            787 2481at5820           -            813   0.00088   15.7   0.1   4   4   3.5e-06   0.00088   15.7   0.1   559   603   661   706   588   725 0.75 | transcript=PVX_117510.1 | gene=PVX_117510 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DBP5, putative | transcript_product=ATP-dependent RNA helicase DBP5, putative | location=Pv_Sal1_chr12:1917920-1920283(-) | protein_length=787 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085045.1-p1      -           1282 2481at5820           -            813    0.0039   13.6  10.1   1   1   2.4e-05    0.0061   13.0  10.1   526   682   281   439   224   442 0.77 | transcript=PVX_085045.1 | gene=PVX_085045 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-dependent DNA helicase RecQ, putative | transcript_product=ADP-dependent DNA helicase RecQ, putative | location=Pv_Sal1_chr13:865154-869002(-) | protein_length=1282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2481at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2481at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2481at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:15 2026
# [ok]
