#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118270.1-p1      -           1526 1039at5820           -           1031         0 1765.6  94.1   1   6     1e-41   1.1e-39  134.2   4.7     1   126    46   184    46   211 0.83 | transcript=PVX_118270.1 | gene=PVX_118270 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2540762-2545493(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084965.1-p1      -            754 1039at5820           -           1031   1.4e-14   51.2   3.9   3   3       0.5        54   -0.5   0.1   426   460   276   310   249   318 0.74 | transcript=PVX_084965.1 | gene=PVX_084965 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=Pv_Sal1_chr13:811099-813363(+) | protein_length=754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092865.1-p1      -           2036 1039at5820           -           1031   1.7e-14   50.8   1.8   1   2     0.063       6.9    2.5   0.5   142   211    44   111     7   140 0.72 | transcript=PVX_092865.1 | gene=PVX_092865 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr09:1772727-1778837(-) | protein_length=2036 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092865.1-p1      -           2036 1039at5820           -           1031   1.7e-14   50.8   1.8   2   2   3.1e-15   3.3e-13   46.6   0.0   312   457   182   337   167   350 0.84 | transcript=PVX_092865.1 | gene=PVX_092865 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr09:1772727-1778837(-) | protein_length=2036 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118425.1-p1      -           2443 1039at5820           -           1031     2e-14   50.6   0.4   1   1   3.5e-16   3.8e-14   49.7   0.4   275   459   190   401   161   418 0.72 | transcript=PVX_118425.1 | gene=PVX_118425 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2694648-2702759(-) | protein_length=2443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113910.1-p1      -            806 1039at5820           -           1031   6.1e-14   49.0   0.3   1   2   5.6e-16   6.1e-14   49.0   0.3   230   375   107   262    71   273 0.81 | transcript=PVX_113910.1 | gene=PVX_113910 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-like protein kinase, putative | transcript_product=cdc2-like protein kinase, putative | location=Pv_Sal1_chr11:1397033-1399453(-) | protein_length=806 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113910.1-p1      -            806 1039at5820           -           1031   6.1e-14   49.0   0.3   2   2      0.97   1.1e+02   -1.4   0.4   581   650   563   633   539   649 0.59 | transcript=PVX_113910.1 | gene=PVX_113910 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-like protein kinase, putative | transcript_product=cdc2-like protein kinase, putative | location=Pv_Sal1_chr11:1397033-1399453(-) | protein_length=806 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002945.1-p1      -           1029 1039at5820           -           1031   1.9e-13   47.4   0.2   1   1     3e-15   3.2e-13   46.6   0.2   257   402   807   960   780   968 0.75 | transcript=PVX_002945.1 | gene=PVX_002945 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr04:403097-406186(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083360.1-p1      -           1736 1039at5820           -           1031     3e-13   46.7   0.0   1   1   6.3e-15   6.8e-13   45.5   0.0   282   400  1529  1655  1519  1667 0.78 | transcript=PVX_083360.1 | gene=PVX_083360 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr12:174109-179319(-) | protein_length=1736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122625.1-p1      -            341 1039at5820           -           1031   3.7e-12   43.1   0.3   1   1   4.8e-14   5.2e-12   42.6   0.3   307   400   137   232    64   238 0.78 | transcript=PVX_122625.1 | gene=PVX_122625 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr14:726211-729124(-) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091095.1-p1      -            335 1039at5820           -           1031   6.7e-11   38.9   1.4   1   2     0.019         2    4.2   0.1   566   613    77   123    51   139 0.83 | transcript=PVX_091095.1 | gene=PVX_091095 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=Pv_Sal1_chr09:261138-262145(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091095.1-p1      -            335 1039at5820           -           1031   6.7e-11   38.9   1.4   2   2   1.6e-11   1.7e-09   34.3   0.2   305   435   135   267   123   282 0.82 | transcript=PVX_091095.1 | gene=PVX_091095 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=Pv_Sal1_chr09:261138-262145(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_252300-t26_1-p1  -            382 1039at5820           -           1031     1e-10   38.3   1.4   1   2     0.023       2.4    4.0   0.1   566   614    77   124    54   140 0.83 | transcript=PVX_252300-t26_1 | gene=PVX_252300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000971:39-1187(+) | protein_length=382 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_252300-t26_1-p1  -            382 1039at5820           -           1031     1e-10   38.3   1.4   2   2   2.2e-11   2.3e-09   33.8   0.2   305   435   135   267   123   282 0.82 | transcript=PVX_252300-t26_1 | gene=PVX_252300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000971:39-1187(+) | protein_length=382 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_122970.1-p1      -            517 1039at5820           -           1031   1.2e-10   38.0   4.5   1   2   2.2e-05    0.0023   14.0   2.3   275   339   282   344   247   358 0.81 | transcript=PVX_122970.1 | gene=PVX_122970 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr14:1046286-1048385(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122970.1-p1      -            517 1039at5820           -           1031   1.2e-10   38.0   4.5   2   2     2e-08   2.1e-06   24.0   0.0   346   452   396   503   382   514 0.82 | transcript=PVX_122970.1 | gene=PVX_122970 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr14:1046286-1048385(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086975.1-p1      -            341 1039at5820           -           1031   1.3e-09   34.6   3.3   1   2      0.04       4.3    3.2   0.5   163   245    19   105     7   113 0.71 | transcript=PVX_086975.1 | gene=PVX_086975 | organism=Plasmodium_vivax_Sal-1 | gene_product=cAMP-dependent protein kinase catalytic subunit, putative | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative | location=Pv_Sal1_chr07:1318150-1319927(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086975.1-p1      -            341 1039at5820           -           1031   1.3e-09   34.6   3.3   2   2   3.7e-11   4.1e-09   33.0   1.1   275   447   103   271    72   283 0.77 | transcript=PVX_086975.1 | gene=PVX_086975 | organism=Plasmodium_vivax_Sal-1 | gene_product=cAMP-dependent protein kinase catalytic subunit, putative | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative | location=Pv_Sal1_chr07:1318150-1319927(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089720.1-p1      -           1573 1039at5820           -           1031     3e-09   33.5   2.1   1   2     0.012       1.3    4.9   0.7   175   236   604   667   587   673 0.84 | transcript=PVX_089720.1 | gene=PVX_089720 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr05:784803-789650(+) | protein_length=1573 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089720.1-p1      -           1573 1039at5820           -           1031     3e-09   33.5   2.1   2   2     2e-09   2.2e-07   27.3   0.0   310   439   861   988   819  1085 0.83 | transcript=PVX_089720.1 | gene=PVX_089720 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr05:784803-789650(+) | protein_length=1573 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085120.1-p1      -           2270 1039at5820           -           1031   6.5e-09   32.4   4.6   1   5     0.025       2.7    3.8   0.1   204   243   657   696   578   705 0.94 | transcript=PVX_085120.1 | gene=PVX_085120 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr13:916372-923954(-) | protein_length=2270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085120.1-p1      -           2270 1039at5820           -           1031   6.5e-09   32.4   4.6   2   5     6e-11   6.5e-09   32.4   4.6   262   353   931  1020   921  1033 0.86 | transcript=PVX_085120.1 | gene=PVX_085120 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr13:916372-923954(-) | protein_length=2270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085120.1-p1      -           2270 1039at5820           -           1031   6.5e-09   32.4   4.6   3   5   0.00014     0.015   11.3   0.1   385   425  1171  1212  1160  1233 0.81 | transcript=PVX_085120.1 | gene=PVX_085120 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr13:916372-923954(-) | protein_length=2270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085120.1-p1      -           2270 1039at5820           -           1031   6.5e-09   32.4   4.6   4   5       2.2   2.4e+02   -2.6   2.1   693   842  1923  2084  1915  2094 0.61 | transcript=PVX_085120.1 | gene=PVX_085120 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr13:916372-923954(-) | protein_length=2270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085120.1-p1      -           2270 1039at5820           -           1031   6.5e-09   32.4   4.6   5   5       5.1   5.5e+02   -3.8   2.4   925  1000  2141  2217  2132  2263 0.64 | transcript=PVX_085120.1 | gene=PVX_085120 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr13:916372-923954(-) | protein_length=2270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119725.1-p1      -            494 1039at5820           -           1031   1.1e-08   31.7   1.7   1   1   4.4e-10   4.8e-08   29.5   1.7   259   400   171   316    84   350 0.81 | transcript=PVX_119725.1 | gene=PVX_119725 | organism=Plasmodium_vivax_Sal-1 | gene_product=glycogen synthase kinase 3, putative | transcript_product=glycogen synthase kinase 3, putative | location=Pv_Sal1_chr08:1236943-1239427(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094935.1-p1      -            325 1039at5820           -           1031   1.8e-08   30.9  10.3   1   2   1.7e-10   1.8e-08   30.9  10.3   218   400    30   220    22   231 0.72 | transcript=PVX_094935.1 | gene=PVX_094935 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclin dependent kinase 7 (cdk7), putative | transcript_product=cyclin dependent kinase 7 (cdk7), putative | location=Pv_Sal1_chr08:666484-667461(+) | protein_length=325 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094935.1-p1      -            325 1039at5820           -           1031   1.8e-08   30.9  10.3   2   2      0.24        27    0.5   0.1   429   461   278   310   256   312 0.85 | transcript=PVX_094935.1 | gene=PVX_094935 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclin dependent kinase 7 (cdk7), putative | transcript_product=cyclin dependent kinase 7 (cdk7), putative | location=Pv_Sal1_chr08:666484-667461(+) | protein_length=325 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082880.1-p1      -            897 1039at5820           -           1031   2.4e-08   30.5   0.0   1   1   3.2e-10   3.5e-08   30.0   0.0   306   400   531   633   525   681 0.75 | transcript=PVX_082880.1 | gene=PVX_082880 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr12:622663-625356(+) | protein_length=897 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092440.1-p1      -            323 1039at5820           -           1031   1.5e-07   27.8   0.1   1   1     2e-09   2.2e-07   27.3   0.1   311   397   109   204    97   236 0.84 | transcript=PVX_092440.1 | gene=PVX_092440 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=Pv_Sal1_chr09:1376598-1379036(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091340.1-p1      -            575 1039at5820           -           1031     2e-07   27.4  10.0   1   4    0.0023      0.25    7.2   3.2   163   246   158   243   139   265 0.84 | transcript=PVX_091340.1 | gene=PVX_091340 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=Pv_Sal1_chr09:440196-441923(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091340.1-p1      -            575 1039at5820           -           1031     2e-07   27.4  10.0   2   4     2e-08   2.2e-06   24.0   0.2   300   360   268   325   247   333 0.79 | transcript=PVX_091340.1 | gene=PVX_091340 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=Pv_Sal1_chr09:440196-441923(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091340.1-p1      -            575 1039at5820           -           1031     2e-07   27.4  10.0   3   4       3.2   3.4e+02   -3.1   0.0   370   400   362   393   353   403 0.79 | transcript=PVX_091340.1 | gene=PVX_091340 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=Pv_Sal1_chr09:440196-441923(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091340.1-p1      -            575 1039at5820           -           1031     2e-07   27.4  10.0   4   4       2.3   2.5e+02   -2.7   0.1   472   507   426   462   369   482 0.64 | transcript=PVX_091340.1 | gene=PVX_091340 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=Pv_Sal1_chr09:440196-441923(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002805.1-p1      -           1615 1039at5820           -           1031   2.9e-06   23.6   8.2   1   3     0.072       7.9    2.3   1.9   160   243  1101  1184  1055  1188 0.73 | transcript=PVX_002805.1 | gene=PVX_002805 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=Pv_Sal1_chr04:285977-290824(-) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002805.1-p1      -           1615 1039at5820           -           1031   2.9e-06   23.6   8.2   2   3     5e-07   5.4e-05   19.4   1.0   277   339  1186  1249  1183  1263 0.82 | transcript=PVX_002805.1 | gene=PVX_002805 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=Pv_Sal1_chr04:285977-290824(-) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002805.1-p1      -           1615 1039at5820           -           1031   2.9e-06   23.6   8.2   3   3     0.025       2.7    3.8   0.0   362   405  1507  1549  1499  1610 0.78 | transcript=PVX_002805.1 | gene=PVX_002805 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=Pv_Sal1_chr04:285977-290824(-) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099890.1-p1      -            590 1039at5820           -           1031   3.2e-05   20.1   0.2   1   1   4.9e-07   5.3e-05   19.4   0.2   304   339   384   419   367   430 0.87 | transcript=PVX_099890.1 | gene=PVX_099890 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr07:1103151-1104923(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089305.1-p1      -            800 1039at5820           -           1031     9e-05   18.7   0.3   1   4     0.067       7.3    2.4   4.0   158   245     8    99     1   129 0.62 | transcript=PVX_089305.1 | gene=PVX_089305 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr05:447665-450264(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089305.1-p1      -            800 1039at5820           -           1031     9e-05   18.7   0.3   2   4   8.3e-07     9e-05   18.7   0.3   284   342   216   272   202   279 0.87 | transcript=PVX_089305.1 | gene=PVX_089305 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr05:447665-450264(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089305.1-p1      -            800 1039at5820           -           1031     9e-05   18.7   0.3   3   4      0.47        51   -0.4   0.0   347   399   573   627   562   635 0.81 | transcript=PVX_089305.1 | gene=PVX_089305 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr05:447665-450264(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089305.1-p1      -            800 1039at5820           -           1031     9e-05   18.7   0.3   4   4      0.22        24    0.7   0.1   427   458   685   717   668   732 0.79 | transcript=PVX_089305.1 | gene=PVX_089305 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr05:447665-450264(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090925.1-p1      -           1278 1039at5820           -           1031   0.00024   17.2  16.0   1   3         3   3.3e+02   -3.1   0.6   114   140    83   110    58   115 0.77 | transcript=PVX_090925.1 | gene=PVX_090925 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr09:103326-107162(+) | protein_length=1278 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090925.1-p1      -           1278 1039at5820           -           1031   0.00024   17.2  16.0   2   3   8.2e-06   0.00088   15.4   7.2   243   338   313   399   282   404 0.72 | transcript=PVX_090925.1 | gene=PVX_090925 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr09:103326-107162(+) | protein_length=1278 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090925.1-p1      -           1278 1039at5820           -           1031   0.00024   17.2  16.0   3   3    0.0019       0.2    7.6   0.0   367   401   533   567   522   632 0.73 | transcript=PVX_090925.1 | gene=PVX_090925 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr09:103326-107162(+) | protein_length=1278 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099725.1-p1      -           3247 1039at5820           -           1031    0.0015   14.6   0.0   1   1   4.3e-05    0.0047   13.0   0.0   325   403  3079  3169  3055  3179 0.67 | transcript=PVX_099725.1 | gene=PVX_099725 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:991258-1001001(-) | protein_length=3247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082485.1-p1      -            522 1039at5820           -           1031    0.0038   13.3   0.1   1   1   5.5e-05    0.0059   12.6   0.1   303   379   345   422   327   463 0.80 | transcript=PVX_082485.1 | gene=PVX_082485 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:878717-880285(+) | protein_length=522 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123390.1-p1      -            144 1039at5820           -           1031     0.006   12.6   0.4   1   1   6.8e-05    0.0074   12.3   0.4    60   150    21   114    15   121 0.73 | transcript=PVX_123390.1 | gene=PVX_123390 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1414344-1415090(-) | protein_length=144 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1039at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1039at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1039at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:59 2026
# [ok]
